size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1617120,202140,random,1000,40.98063,40.807,1.9629769834966833,38.366,40.201,41.402,39.3339,42.4402,72.396,23
1640640,205080,random,1000,41.144414,40.971999999999994,1.8406421782172198,38.142,40.3275,41.594,39.3636,42.7507,58.034,30
1664504,208063,random,1000,42.30576,41.952,2.0844403666313034,39.304,41.2535,42.7645,40.4132,44.8951,60.468,47
1688720,211090,random,1000,42.63519,42.312,2.038547150886235,38.196,41.6335,43.13,40.5537,45.493199999999995,64.324,60
1713280,214160,random,1000,43.419864,42.958,2.1913218515227197,39.728,42.192,44.0145,41.231899999999996,46.9976,62.732,60
1738200,217275,random,1000,42.919742,42.760999999999996,1.6374835332783526,40.114,42.116,43.3425,41.2156,44.6868,59.458,31
1763480,220435,random,1000,43.112902,42.979,1.458737495739887,40.48,42.4055,43.564,41.5935,44.474199999999996,54.364,28
1789136,223642,random,1000,43.523414,43.36,1.5196597627095343,40.874,42.775000000000006,43.8885,41.9579,45.115199999999994,55.44,41
1815160,226895,random,1000,44.046734,43.905,1.4439382808842638,41.354,43.336,44.47,42.5518,45.4061,56.206,23
1841560,230195,random,1000,44.643262,44.461,2.781151570017609,41.866,43.841499999999996,45.0065,43.0195,46.058,119.944,26
1868344,233543,random,1000,44.725138,44.548,2.0244258170762506,41.116,43.892,45.283,42.7713,46.2362,75.626,26
1895520,236940,random,1000,43.816056,43.643,1.884101930615472,40.738,43.0015,44.28,42.0631,45.2722,61.092,21
1923096,240387,random,1000,45.711788,45.568,1.5862991559186015,42.616,44.938,46.1255,44.1794,47.2085,60.712,34
1951064,243883,random,1000,45.987096,45.839,1.5574747144882546,43.292,45.1825,46.4465,44.466,47.452999999999996,63.88,22
1979448,247431,random,1000,46.368878,46.268,1.39437711996026,43.364,45.6475,46.8175,44.863699999999994,47.6849,57.648,21
2008232,251029,random,1000,46.571062,46.427,1.4095387883104713,43.72,45.8615,47.038,45.079499999999996,47.910999999999994,56.612,27
2037448,254681,random,1000,45.747344,45.467,2.045174407237686,42.442,44.8595,46.1605,44.0678,47.4688,73.558,32
2067080,258385,random,1000,45.803088,45.658,1.510183678563306,42.648,45.114,46.206500000000005,44.3279,47.2086,58.48,27
