size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1617120,202140,sequential,1000,9.978216,9.848,2.8746789908865726,9.796,9.836,9.864,9.82,9.916,96.324,62
1640640,205080,sequential,1000,6.603424,6.646,1.066194608487197,6.276,6.326,6.6605,6.302,6.704199999999999,35.0,3
1664504,208063,sequential,1000,6.35113,6.316,0.6326840793352114,6.282,6.306,6.3285,6.296,6.372,21.246,67
1688720,211090,sequential,1000,6.54736,6.344,1.5994929546928651,6.276,6.316,6.656,6.3019,6.694,51.12,4
1713280,214160,sequential,1000,6.877488,6.707000000000001,2.5962903145167053,6.284,6.634,6.84,6.304,6.8801,50.64,175
1738200,217275,sequential,1000,6.351808,6.316,0.7006382012315807,6.276,6.306,6.328,6.296,6.37,25.316,71
1763480,220435,sequential,1000,6.349404,6.316,0.6531981511062387,6.28,6.306,6.326,6.294,6.366,22.318,77
1789136,223642,sequential,1000,6.3482899999999995,6.318,0.5805676624741605,6.282,6.308,6.328,6.298,6.366,21.432,73
1815160,226895,sequential,1000,6.346718,6.316,0.5492491630572769,6.276,6.306,6.328,6.296,6.372,20.112,81
1841560,230195,sequential,1000,6.343934,6.316,0.5450607258268008,6.28,6.306,6.326,6.296,6.362,19.576,79
1868344,233543,sequential,1000,6.342524,6.314,0.5194383405310139,6.28,6.306,6.324,6.296,6.366,18.066,91
1895520,236940,sequential,1000,6.347058,6.314,0.6169636105417666,6.282,6.306,6.324,6.296,6.368,22.268,89
1923096,240387,sequential,1000,6.35743,6.314,0.6973203731447998,6.282,6.306,6.326,6.296,6.37,21.97,87
1951064,243883,sequential,1000,6.34346,6.314,0.5614123869921898,6.274,6.306,6.326,6.294,6.3641,21.884,86
1979448,247431,sequential,1000,6.654878,6.3870000000000005,1.4220455881478522,6.286,6.314,6.838,6.3,6.878,36.308,4
2008232,251029,sequential,1000,6.345876,6.314,0.5955195010241899,6.278,6.306,6.324,6.296,6.368,21.42,102
2037448,254681,sequential,1000,6.346726,6.314,0.6144352590888739,6.276,6.304,6.326,6.294,6.3681,22.804,74
2067080,258385,sequential,1000,6.351796,6.314,0.7216769415687271,6.274,6.306,6.324,6.294,6.366099999999999,23.048,97
2097152,262144,sequential,1000,6.347264,6.312,0.637368151435624,6.278,6.306,6.322,6.296,6.364,22.182,88
2127648,265956,sequential,1000,6.338806,6.312,0.4933753435201171,6.282,6.304,6.322,6.296,6.362,19.054,82
2158600,269825,sequential,1000,6.339338,6.312,0.5156034257534066,6.28,6.304,6.322,6.294,6.362,19.738,75
2190000,273750,sequential,1000,6.341892,6.316,0.49959647814709124,6.282,6.308,6.326,6.296,6.3621,18.754,73
2221848,277731,sequential,1000,6.345838,6.314,0.5575152239903238,6.278,6.306,6.326,6.294,6.372,20.344,85
2254168,281771,sequential,1000,6.3441279999999995,6.316,0.5631729426911234,6.278,6.306,6.324,6.296,6.364,21.174,94
2286960,285870,sequential,1000,6.346692,6.316,0.6106225389068283,6.278,6.308,6.324,6.298,6.362,20.774,95
2320224,290028,sequential,1000,6.679892,6.654,0.4797807185307408,6.62,6.646,6.664,6.636,6.708,17.656,80
2353968,294246,sequential,1000,6.682154,6.658,0.4730570063060214,6.616,6.65,6.668,6.638,6.706,17.95,70
2388208,298526,sequential,1000,6.786122,6.666,2.2129938786682226,6.286,6.644,6.834,6.3039000000000005,6.862,50.856,223
2422944,302868,sequential,1000,6.343344,6.312,0.5736870771827849,6.28,6.304,6.322,6.294,6.364,20.38,86
2458192,307274,sequential,1000,6.34427,6.316,0.5569438944827402,6.278,6.306,6.324,6.296,6.368,20.468,91
2493944,311743,sequential,1000,6.343956,6.314,0.564006572193514,6.274,6.306,6.324,6.296,6.3641,20.914,91
2530216,316277,sequential,1000,6.400402,6.314,2.051836266972212,6.284,6.306,6.324,6.296,6.362,69.928,84
2567024,320878,sequential,1000,6.341732,6.316,0.448382326688828,6.284,6.308,6.326,6.298,6.366,17.198,84
2604360,325545,sequential,1000,6.440266,6.319,1.0560123898001441,6.276,6.308,6.356,6.296,6.668,35.402,214
2642240,330280,sequential,1000,6.344174,6.312,0.5465941262608508,6.276,6.306,6.322,6.296,6.3681,18.676,102
2680672,335084,sequential,1000,6.344844,6.314,0.5985751647804074,6.282,6.304,6.322,6.294,6.366099999999999,21.986,98
2719664,339958,sequential,1000,6.34346,6.316,0.48466109063217855,6.278,6.308,6.326,6.296,6.3641,18.39,88
2759224,344903,sequential,1000,6.370242,6.316,0.7737127948566734,6.272,6.308,6.326,6.296,6.4361999999999995,21.464,121
2799360,349920,sequential,1000,6.3362739999999995,6.312,0.3725348616534393,6.274,6.304,6.3225,6.294,6.3681,14.648,94
2840072,355009,sequential,1000,6.555116,6.365,1.5333499080394157,6.276,6.31,6.656,6.2979,6.6921,51.628,4
2881384,360173,sequential,1000,6.350796,6.314,0.5354583476107418,6.278,6.306,6.324,6.294,6.4441999999999995,19.218,111
2923296,365412,sequential,1000,6.635724,6.351,1.4285791073966083,6.276,6.312,6.836,6.2999,6.87,35.26,5
2965816,370727,sequential,1000,6.34975,6.316,0.477585063620077,6.282,6.308,6.328,6.2979,6.462,21.314,147
3008952,376119,sequential,1000,6.349662,6.314,0.5397736389796535,6.276,6.308,6.326,6.298,6.4181,18.808,115
3052720,381590,sequential,1000,6.359276,6.316,0.5571386176377143,6.28,6.308,6.33,6.2979,6.448,16.546,102
3097128,387141,sequential,1000,6.33707,6.312,0.4676127294725463,6.264,6.304,6.322,6.296,6.36,17.974,77
3142176,392772,sequential,1000,6.3348379999999995,6.312,0.40023269227283764,6.276,6.304,6.322,6.296,6.366,15.512,86
3187880,398485,sequential,1000,6.3491,6.312,0.5915950698972454,6.282,6.304,6.322,6.294,6.36,17.406,82
3234248,404281,sequential,1000,6.334258,6.312,0.3938142037345315,6.28,6.304,6.322,6.294,6.362,15.114,80
3281288,410161,sequential,1000,6.332698,6.312,0.3785621456169305,6.28,6.304,6.322,6.294,6.358,15.002,74
3329016,416127,sequential,1000,6.682964,6.654,0.5224986464475669,6.614,6.646,6.666,6.636,6.708,18.78,79
3377440,422180,sequential,1000,6.345272,6.314,0.4934144544293771,6.282,6.3055,6.324,6.294,6.368,15.574,94
3426568,428321,sequential,1000,6.346122,6.312,0.5415957783283609,6.278,6.304,6.322,6.294,6.36,17.578,81
3476408,434551,sequential,1000,6.345012,6.314,0.5807624616767968,6.282,6.306,6.324,6.296,6.372,21.562,93
3526968,440871,sequential,1000,6.340482,6.314,0.4884144637133142,6.282,6.306,6.324,6.294,6.366,18.266,91
3578272,447284,sequential,1000,6.34121,6.314,0.518767450374026,6.276,6.306,6.322,6.294,6.366099999999999,18.91,94
3630320,453790,sequential,1000,6.339946,6.316,0.442633416525939,6.282,6.308,6.326,6.298,6.362,16.344,75
3683120,460390,sequential,1000,6.338994,6.316,0.42168351277818417,6.282,6.308,6.326,6.298,6.364,16.146,83
3736696,467087,sequential,1000,6.347192,6.314,0.621235266539491,6.276,6.306,6.324,6.296,6.372,23.678,97
3791048,473881,sequential,1000,6.339836,6.31,0.5700831236511671,6.272,6.302,6.32,6.292,6.36,20.86,80
3846192,480774,sequential,1000,6.35686,6.316,0.6717419993671035,6.28,6.308,6.328,6.298,6.3900999999999994,24.108,85
3902136,487767,sequential,1000,6.350764,6.314,0.585357692297566,6.282,6.306,6.324,6.294,6.372,19.486,96
3958888,494861,sequential,1000,6.34075,6.311,0.5750602122801992,6.278,6.304,6.32,6.292,6.36,21.928,92
4016472,502059,sequential,1000,6.33794,6.312,0.4075132481864209,6.276,6.306,6.324,6.296,6.3681,15.78,93
4074896,509362,sequential,1000,6.3509079999999996,6.316,0.5064118368329126,6.282,6.31,6.328,6.298,6.372,16.05,98
4134168,516771,sequential,1000,6.342212,6.314,0.4636082221441286,6.28,6.306,6.322,6.296,6.390199999999999,17.062,108
4194296,524287,sequential,1000,6.344436,6.312,0.5157201733510153,6.276,6.304,6.322,6.294,6.384,18.904,109
4255304,531913,sequential,1000,6.350098,6.312,0.5180540342265259,6.278,6.304,6.322,6.294,6.3980999999999995,16.258,113
4317200,539650,sequential,1000,6.34293,6.316,0.43058514450299684,6.282,6.31,6.326,6.298,6.374,16.396,102
4380000,547500,sequential,1000,6.34228,6.314,0.41138032448255396,6.276,6.304,6.324,6.2959000000000005,6.4161,15.73,113
4443704,555463,sequential,1000,6.354738,6.314,0.6615319643795724,6.282,6.306,6.324,6.2959000000000005,6.444,23.942,127
4508344,563543,sequential,1000,6.354982,6.314,0.5056320158093348,6.28,6.306,6.326,6.296,6.4421,15.622,125
4573920,571740,sequential,1000,6.3534939999999995,6.314,0.5216353087736292,6.274,6.306,6.324,6.296,6.46,19.552,143
4640448,580056,sequential,1000,6.34957,6.314,0.5713551485773152,6.274,6.306,6.324,6.296,6.432,19.628,109
4707944,588493,sequential,1000,6.336048,6.31,0.4833668847172314,6.284,6.304,6.32,6.294,6.358,18.854,79
4776424,597053,sequential,1000,6.337182,6.31,0.5023001257139921,6.284,6.304,6.32,6.294,6.358,18.894,83
4845896,605737,sequential,1000,6.3334719999999995,6.31,0.43101749534943157,6.276,6.304,6.32,6.294,6.352,16.082,80
4916384,614548,sequential,1000,6.337902,6.314,0.48428598917924043,6.278,6.306,6.322,6.296,6.358,17.248,77
4987888,623486,sequential,1000,6.336656,6.316,0.385183790178424,6.272,6.308,6.326,6.296,6.36,15.046,77
5060440,632555,sequential,1000,6.33735,6.314,0.45389772046204485,6.28,6.306,6.322,6.296,6.36,17.184,88
5134048,641756,sequential,1000,6.337972,6.314,0.4800825913428964,6.278,6.306,6.322,6.2959000000000005,6.356,17.988,78
5208728,651091,sequential,1000,6.87036,6.84,0.4263332105365549,6.802,6.83,6.85,6.82,6.898,16.914,87
