stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,262144,2097152,4096,random,1000,42.596612,42.409,2.0552592449664395,39.558,41.69,43.0395,40.87,44.163,77.488,21
16,131072,2097152,4096,random,1000,45.427038,45.206,1.9411019043726578,42.456,44.6535,45.831500000000005,43.5859,47.094500000000004,66.002,32
24,87381,2097152,4096,random,1000,47.938308,47.749,2.1314601388389742,45.21,47.1145,48.3365,46.288,49.1701,78.39,22
32,65536,2097152,4096,random,1000,52.314432,52.063,1.9265761415020703,49.774,51.522,52.658500000000004,50.7238,53.7109,70.908,28
40,52428,2097152,4096,random,1000,57.842394,57.536,2.112624833815141,55.306,56.945499999999996,58.1985,56.0996,59.601,79.824,35
48,43690,2097152,4096,random,1000,58.89837,58.69,1.9507827219678588,55.348,57.9875,59.392,56.9358,60.734500000000004,74.896,27
56,37449,2097152,4096,random,1000,63.285846,63.047,1.955841793552179,60.68,62.459,63.614999999999995,61.7676,64.6426,79.154,24
64,32768,2097152,4096,random,1000,71.28358,70.951,2.1110859905886494,69.546,70.5775,71.332,70.158,72.1106,93.236,34
72,29127,2097152,4096,random,1000,68.828168,68.517,1.998847773142366,66.386,68.06899999999999,69.0125,67.4734,70.04660000000001,83.06,40
80,26214,2097152,4096,random,1000,66.250746,66.0,1.9079883949330505,63.93,65.472,66.5205,64.8118,67.4546,82.6,27
88,23831,2097152,4096,random,1000,61.54137,61.369,1.9677508710684364,58.092,60.717,61.9425,59.68,62.932500000000005,82.404,36
96,21845,2097152,4096,random,1000,56.333972,56.013000000000005,2.0258362964257293,52.688,55.407000000000004,56.716,54.658,58.158500000000004,72.128,38
104,20164,2097152,4096,random,1000,50.936228,50.648,2.183967374644024,47.34,49.984,51.312,49.1138,53.1122,86.29,47
112,18724,2097152,4096,random,1000,44.55684,44.302,1.9815201489009644,41.736,43.644,45.0295,42.8936,46.3981,74.916,30
120,17476,2097152,4096,random,1000,39.959208,39.513,2.442055488260605,36.844,38.8155,40.3745,38.006,43.0792,80.976,63
128,16384,2097152,4096,random,1000,70.783192,70.495,1.749754701851849,69.318,70.1895,70.834,69.732,71.6065,83.874,36
136,15420,2097152,4096,random,1000,31.379156,31.136000000000003,1.567981113545835,29.08,30.645,31.7045,29.924,33.140299999999996,48.906,49
144,14563,2097152,4096,random,1000,29.511288,29.29,1.4637508598240465,27.374,28.7795,29.8585,28.151300000000003,31.2381,42.936,42
152,13797,2097152,4096,random,1000,25.741658,25.608,1.1643712223253284,24.248,25.2075,25.9955,24.7175,26.927999999999997,37.614,29
160,13107,2097152,4096,random,1000,26.099332,25.884,1.3624172718365686,24.558,25.468,26.37,24.956,27.7182,42.662,49
168,12483,2097152,4096,random,1000,23.119136,22.908,1.238875920764889,22.052,22.7,23.1705,22.44,23.9723,42.776,60
176,11915,2097152,4096,random,1000,21.864102,21.73,0.9872450913863622,20.954,21.576,21.936,21.362,22.4847,35.856,52
184,11397,2097152,4096,random,1000,23.372775999999998,23.273,1.0111983900343235,22.03,23.002,23.536,22.5779,24.1902,36.41,44
192,10922,2097152,4096,random,1000,22.771192,22.614,1.1842053037110318,21.748,22.386,22.8725,22.092,23.6101,41.818,51
200,10485,2097152,4096,random,1000,21.402776,21.275,1.1063026309899724,20.534,21.126,21.432,20.9097,21.8882,34.658,52
208,10082,2097152,4096,random,1000,21.551836,21.436999999999998,0.9022693428633554,20.696,21.256,21.672,20.9816,22.1202,36.324,34
216,9709,2097152,4096,random,1000,21.091794,20.987000000000002,0.9173886261860104,20.462,20.844,21.1605,20.6579,21.5043,34.192,26
224,9362,2097152,4096,random,1000,20.986192,20.894,0.8154315346635324,20.32,20.758,21.066499999999998,20.5899,21.3581,33.248,22
232,9039,2097152,4096,random,1000,20.844722,20.637,0.8944922532404108,20.268,20.476,21.021,20.358,21.6081,33.402,25
240,8738,2097152,4096,random,1000,20.873498,20.79,0.8989364998857409,20.396,20.688,20.9065,20.5719,21.078,34.352,12
248,8456,2097152,4096,random,1000,20.477454,20.412,0.9674869140266513,20.132,20.332,20.474,20.214,20.568,40.02,14
256,8192,2097152,4096,random,1000,70.868434,70.58099999999999,1.666632379119982,69.44,70.27,70.968,69.8599,71.7304,84.862,32
264,7943,2097152,4096,random,1000,20.584418,20.49,1.1723774247664878,20.21,20.422,20.566,20.334,20.692,47.812,25
272,7710,2097152,4096,random,1000,20.474922,20.404,0.7695610450887688,20.266,20.364,20.446,20.322,20.5541,32.034,39
280,7489,2097152,4096,random,1000,20.872158,20.77,0.9806648941767369,20.298,20.6575,20.912,20.5,21.156399999999998,35.234,20
288,7281,2097152,4096,random,1000,20.5024,20.42,0.871176917291328,20.236,20.36,20.494,20.3059,20.598,32.254,17
296,7084,2097152,4096,random,1000,20.469858,20.408,0.8011550619382426,20.21,20.368,20.45,20.262,20.526,33.752,58
304,6898,2097152,4096,random,1000,20.449982,20.38,0.7841974249366528,20.208,20.32,20.4525,20.266,20.532,34.318,13
312,6721,2097152,4096,random,1000,20.445394,20.378,0.7254816002603487,20.254,20.336,20.428,20.292,20.5083,33.338,29
320,6553,2097152,4096,random,1000,20.431966,20.382,0.673074438709452,20.19,20.334,20.42,20.2398,20.524,33.3,50
328,6393,2097152,4096,random,1000,20.47034,20.388,0.8710710333521285,20.242,20.33,20.466,20.282,20.544,33.918,11
336,6241,2097152,4096,random,1000,20.519648,20.44,0.945400678304463,20.252,20.38,20.49,20.3159,20.5884,34.778,27
344,6096,2097152,4096,random,1000,20.467136,20.39,0.9918386468601662,20.21,20.326,20.4405,20.262,20.4941,38.442,13
352,5957,2097152,4096,random,1000,20.436192,20.334,1.0258081016434786,20.21,20.3,20.388,20.252,20.51,38.546,39
360,5825,2097152,4096,random,1000,20.508454,20.438,0.9053099004760192,20.242,20.375500000000002,20.482,20.282,20.596,34.916,21
368,5698,2097152,4096,random,1000,20.515862,20.45,0.8286969310668162,20.288,20.41,20.48,20.354,20.572,32.962,45
376,5577,2097152,4096,random,1000,20.501926,20.424,0.9706816766795598,20.266,20.378,20.458,20.3199,20.5321,35.636,33
384,5461,2097152,4096,random,1000,22.716862,22.59,1.0376041534878968,21.854,22.404,22.804499999999997,22.1178,23.310299999999998,37.208,41
392,5349,2097152,4096,random,1000,20.523278,20.417,1.711918978604217,20.26,20.36,20.462,20.302,20.5881,69.9,34
400,5242,2097152,4096,random,1000,20.508744,20.444,0.835332261109584,20.288,20.39,20.484,20.328,20.566,35.626,27
