footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,8192,256,4096,0,random,1000,70.740504,68.056,9.495013031821413,66.87,67.6215,73.3175,67.20179999999999,75.25500000000001,335.924,17
2353920,9195,256,4096,0,random,1000,75.605974,67.961,199.30626802877748,66.43,67.6045,68.345,67.1719,69.1237,6364.814,48
2642176,10321,256,4096,0,random,1000,68.999804,68.68,2.1830221609821874,67.612,68.412,68.9495,67.9978,69.5284,91.952,31
2965760,11585,256,4096,0,random,1000,69.683706,69.339,2.244017530288086,67.766,68.992,69.7005,68.5455,70.4224,89.478,40
3328768,13003,256,4096,0,random,1000,70.438076,70.071,2.341237665002857,68.08,69.6395,70.528,68.9675,71.5749,88.724,37
3736576,14596,256,4096,0,random,1000,71.510376,71.055,2.4008247303812102,69.402,70.6095,71.646,70.0138,73.1112,97.348,48
4194304,16384,256,4096,0,random,1000,70.064196,69.464,2.7436720915827624,67.27,68.908,70.168,68.258,73.25909999999999,94.226,69
4707840,18390,256,4096,0,random,1000,71.338274,70.807,2.7681559479690225,68.496,70.1165,71.6145,69.3297,73.96869999999998,92.936,55
5284352,20642,256,4096,0,random,1000,77.075608,75.329,7.367975085679864,70.252,73.58,77.475,71.75280000000001,89.9142,149.736,90
5931520,23170,256,4096,0,random,1000,89.95471,81.61500000000001,20.275507881771144,71.72,77.7225,93.416,75.118,135.86569999999998,187.842,122
6657792,26007,256,4096,0,random,1000,187.459822,190.461,17.03056707979436,121.25,182.0185,198.1145,149.6312,208.33010000000002,247.556,78
7473152,29192,256,4096,0,random,1000,216.93436,217.411,11.484850448317566,184.46,210.48149999999998,224.303,195.6927,234.5373,276.484,23
8388608,32768,256,4096,0,random,1000,255.218198,251.999,65.4468788720661,217.418,247.63150000000002,257.105,241.971,266.9188,2248.014,38
9415680,36780,256,4096,0,random,1000,254.981392,254.21800000000002,7.368824690522611,233.598,249.964,259.161,244.3734,268.0703,284.118,22
10568960,41285,256,4096,0,random,1000,255.116718,254.684,7.131222091689263,237.53,249.879,259.0265,244.9314,268.9208,281.132,21
11863040,46340,256,4096,0,random,1000,254.871996,254.258,6.849495559631045,238.178,250.03699999999998,258.7265,244.9858,267.1884,283.454,18
13315840,52015,256,4096,0,random,1000,254.563038,253.793,6.948980713998242,237.264,249.96300000000002,258.2415,244.803,267.126,320.27,19
14946560,58385,256,4096,0,random,1000,254.461312,253.95,6.425270083529742,239.12,250.1005,258.4865,244.81040000000002,265.7742,276.802,13
16777216,65536,256,4096,0,random,1000,253.009126,252.381,6.687719524663438,235.598,248.2695,256.9345,243.2884,264.7694,278.402,17
18831616,73561,256,4096,0,random,1000,255.4959,254.668,6.927117197699968,237.838,250.5615,259.49350000000004,245.9397,267.8913,284.068,21
21137920,82570,256,4096,0,random,1000,249.18169,248.632,6.1095560132123,232.326,244.972,252.5715,240.20270000000002,259.8385,296.36,18
23726336,92681,256,4096,0,random,1000,250.40317,249.772,6.783107746291356,235.476,245.987,253.741,241.50560000000002,261.5421,319.968,21
26631936,104031,256,4096,0,random,1000,253.138362,252.589,6.613742286783784,236.924,248.5645,257.0685,243.1646,265.0378,289.748,15
29893376,116771,256,4096,0,random,1000,250.574506,249.962,6.173173975913922,235.42,246.0925,254.2945,241.4265,261.60200000000003,273.574,13
33554432,131072,256,4096,0,random,1000,249.74605,249.191,6.184953045389566,234.234,245.537,253.1,240.8263,261.3537,279.9,24
37663488,147123,256,4096,0,random,1000,252.146654,251.315,7.341523354007766,236.62,247.448,255.691,242.71,264.6884,349.652,26
42275840,165140,256,4096,0,random,1000,252.28651,251.336,8.533856562406456,235.232,247.535,256.27549999999997,242.4331,263.6454,425.26,10
47452928,185363,256,4096,0,random,1000,252.380226,251.901,6.356473184421395,234.286,247.9315,256.04249999999996,243.10500000000002,263.887,278.674,18
53264128,208063,256,4096,0,random,1000,252.208012,251.368,6.558530655277309,233.1,247.85950000000003,255.9955,243.0842,263.7912,322.428,14
59787008,233543,256,4096,0,random,1000,252.799098,252.136,6.921130848829736,235.528,248.13400000000001,256.802,243.0128,265.1777,299.238,19
67108864,262144,256,4096,0,random,1000,253.829336,253.257,6.404146627078827,237.728,249.4245,257.6605,244.8744,265.4869,278.328,18
