footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,262144,8,4096,0,sequential,1000,7.114412,6.848,7.713782464015832,6.816,6.838,6.858499999999999,6.828,6.91,250.424,89
2353968,294246,8,4096,0,sequential,1000,6.88706,6.844,0.6445094916949516,6.804,6.834,6.854,6.822,6.952,21.712,119
2642240,330280,8,4096,0,sequential,1000,6.901366,6.846,0.7273053382858531,6.814,6.836,6.858,6.826,6.9243,20.16,100
2965816,370727,8,4096,0,sequential,1000,6.899328,6.84,0.6966421884689117,6.802,6.83,6.854,6.818,6.998,20.216,109
3329016,416127,8,4096,0,sequential,1000,6.901946,6.84,0.7822791072792917,6.792,6.832,6.856,6.818,7.026299999999999,29.06,148
3736696,467087,8,4096,0,sequential,1000,6.921332,6.842,0.8496798583217314,6.806,6.832,6.858,6.8199000000000005,7.096699999999999,27.38,143
4194304,524288,8,4096,0,sequential,1000,6.924592,6.846,0.7280788283670362,6.814,6.838,6.8625,6.8279000000000005,7.0886,22.034,157
4707944,588493,8,4096,0,sequential,1000,6.930698,6.846,0.7387576000201878,6.808,6.836,6.868,6.824,7.1701999999999995,22.678,157
5284488,660561,8,4096,0,sequential,1000,6.9289819999999995,6.848,0.4986069399402264,6.794,6.836,6.87,6.824,7.294199999999999,18.128,172
5931640,741455,8,4096,0,sequential,1000,6.973206,6.85,0.607835870947092,6.804,6.836,6.9125,6.822,7.452,20.006,190
6658040,832255,8,4096,0,sequential,1000,7.021882,6.854,0.548037041334502,6.808,6.838,7.041,6.824,7.6400999999999994,18.116,121
7473400,934175,8,4096,0,sequential,1000,7.049212,6.856,0.6817521757098285,6.812,6.84,7.098,6.826,7.7341999999999995,20.592,90
8388608,1048576,8,4096,0,sequential,1000,7.072534,6.862,0.7084543248328535,6.81,6.844,7.1465,6.828,7.7461,21.072,79
9415888,1176986,8,4096,0,sequential,1000,7.093372,6.86,0.7970440218637794,6.814,6.842,7.1525,6.828,7.828899999999999,20.64,82
10568984,1321123,8,4096,0,sequential,1000,7.094534,6.868,0.6401913931504108,6.806,6.842,7.1905,6.83,7.8141,18.83,65
11863280,1482910,8,4096,0,sequential,1000,7.095466,6.868,0.6493066316817856,6.81,6.844,7.16,6.832,7.814299999999999,19.77,89
13316080,1664510,8,4096,0,sequential,1000,7.125968,6.885,0.7597444271401868,6.808,6.846,7.2385,6.8319,7.9003,23.358,60
14946800,1868350,8,4096,0,sequential,1000,7.07938,6.866,0.633287698371687,6.81,6.843500000000001,7.1315,6.828,7.8862,18.932,99
16777216,2097152,8,4096,0,sequential,1000,7.103514,6.872,0.6669572698485292,6.812,6.844,7.179,6.83,7.8782,19.684,84
18831784,2353973,8,4096,0,sequential,1000,7.115336,6.868,0.8933584680610894,6.814,6.844,7.172,6.828,7.8980999999999995,23.288,87
21137968,2642246,8,4096,0,sequential,1000,7.13636,6.912,0.7744707737412557,6.81,6.846,7.2364999999999995,6.83,7.9700999999999995,22.948,65
23726560,2965820,8,4096,0,sequential,1000,7.089486,6.872,0.7357049745744646,6.812,6.844,7.148,6.83,7.8282,23.332,86
26632168,3329021,8,4096,0,sequential,1000,7.084262,6.8629999999999995,0.6719855444337534,6.814,6.842,7.123,6.828,7.832099999999998,21.348,106
29893600,3736700,8,4096,0,sequential,1000,7.07865,6.862,0.6811030545158867,6.814,6.844,7.156,6.828,7.79,20.396,75
33554432,4194304,8,4096,0,sequential,1000,7.065466,6.868,0.6478059426891539,6.81,6.842,7.092499999999999,6.826,7.8704,21.622,100
37663576,4707947,8,4096,0,sequential,1000,7.095158,6.866,0.7773471010761869,6.808,6.842,7.184,6.828,7.8142,22.458,73
42275928,5284491,8,4096,0,sequential,1000,7.116926,6.872999999999999,0.7545876151865952,6.818,6.844,7.196,6.83,7.9620999999999995,20.038,87
47453128,5931641,8,4096,0,sequential,1000,7.110108,6.872999999999999,0.810578550124491,6.808,6.844,7.1850000000000005,6.832,7.896,21.502,85
53264336,6658042,8,4096,0,sequential,1000,7.117212,6.876,0.7358920927882214,6.8,6.844,7.187,6.83,7.994,18.572,82
59787200,7473400,8,4096,0,sequential,1000,7.116546,6.866,0.8075736158574208,6.812,6.844,7.168,6.83,7.967099999999999,21.71,91
67108864,8388608,8,4096,0,sequential,1000,7.109178,6.87,0.651865840023382,6.808,6.844,7.2,6.83,7.9327,18.128,77
