footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,65536,32,4096,0,random,1000,59.192494,49.829,24.77844458257814,46.386,48.456,57.153,47.513200000000005,117.59069999999997,224.878,114
2353952,73561,32,4096,0,random,1000,49.837298,49.617000000000004,1.75769415540359,47.664,49.204,50.071,48.6518,50.974199999999996,81.542,35
2642240,82570,32,4096,0,random,1000,51.641492,51.424,1.6436421476238205,49.186,50.9855,51.9765,50.2819,52.7943,68.754,24
2965792,92681,32,4096,0,random,1000,78.88427,55.647999999999996,48.03078052000051,51.16,54.054,71.324,52.9777,196.19969999999992,282.698,181
3328992,104031,32,4096,0,random,1000,76.569534,55.109,48.81849726279827,52.854,54.4375,64.755,53.7138,211.26059999999998,284.764,182
3736672,116771,32,4096,0,random,1000,56.52046,56.126999999999995,2.607951547032972,54.078,55.677,56.664500000000004,55.0319,58.784499999999994,117.232,74
4194304,131072,32,4096,0,random,1000,125.780634,117.46799999999999,66.65607000018763,55.114,60.511,174.66899999999998,56.891000000000005,248.6591,313.918,0
4707936,147123,32,4096,0,random,1000,56.50383,55.995000000000005,1.964263441080642,54.13,55.4435,56.786500000000004,54.8798,59.9031,74.306,84
5284480,165140,32,4096,0,random,1000,121.117772,107.631,64.80496585030251,56.132,58.8375,167.928,56.9877,236.59709999999995,304.14,0
5931616,185363,32,4096,0,random,1000,61.49711,60.531,3.75990532380058,56.178,58.688,63.3805,57.2551,69.04719999999999,78.15,33
6658016,208063,32,4096,0,random,1000,192.080042,188.27800000000002,42.37732253500062,116.75,167.0905,205.438,138.54049999999998,259.7143,457.594,43
7473376,233543,32,4096,0,random,1000,174.621674,163.147,35.854357654775534,105.726,152.5405,189.422,129.13889999999998,249.4656,334.432,63
8388608,262144,32,4096,0,random,1000,209.908854,207.353,27.333093280178645,161.468,192.7175,221.501,171.3885,258.0997,363.518,42
9415872,294246,32,4096,0,random,1000,223.888146,219.235,25.268167377657395,188.852,206.9305,232.7255,195.0376,276.04659999999996,362.226,55
10568960,330280,32,4096,0,random,1000,225.128504,220.73899999999998,24.61869712869262,191.752,207.6225,233.7595,198.8424,277.2957,366.706,57
11863264,370727,32,4096,0,random,1000,224.44305,217.373,21.599544366730292,194.51,210.17899999999997,231.51749999999998,203.80540000000002,267.9586,364.962,55
13316064,416127,32,4096,0,random,1000,224.91647,223.163,20.42174509330081,174.668,213.5775,234.9415,192.0216,255.4569,339.674,42
14946784,467087,32,4096,0,random,1000,222.418538,224.136,24.01459157268678,171.398,209.6685,233.438,182.51,261.7394,328.538,45
16777216,524288,32,4096,0,random,1000,232.928488,228.33100000000002,18.504709072766417,208.552,221.291,236.8315,215.6776,271.82339999999994,348.298,74
18831776,588493,32,4096,0,random,1000,229.151232,227.005,17.86812233756099,191.838,219.407,235.95299999999997,205.91049999999998,258.023,373.526,46
21137952,660561,32,4096,0,random,1000,229.311758,226.306,19.127063273772972,198.576,221.043,232.038,208.77540000000002,264.4989,478.78,109
23726560,741455,32,4096,0,random,1000,238.106028,232.148,18.22521860742703,216.326,227.905,240.082,223.4954,275.32059999999996,355.078,106
26632160,832255,32,4096,0,random,1000,240.201104,235.034,17.447894347867834,221.074,230.566,242.151,225.7107,280.3198,370.808,102
29893600,934175,32,4096,0,random,1000,240.641586,235.273,17.90112698899374,218.888,230.7545,242.645,225.5691,278.7042,357.856,109
33554432,1048576,32,4096,0,random,1000,241.327376,237.113,15.957017039892996,221.17,232.23950000000002,244.0275,227.1012,273.7469,339.226,96
37663552,1176986,32,4096,0,random,1000,246.201374,240.506,19.51394633408767,222.516,235.01850000000002,249.1095,229.4064,283.4843,370.066,92
42275904,1321122,32,4096,0,random,1000,246.578284,240.664,19.580458466979806,222.846,234.81099999999998,251.1965,228.9144,287.17040000000003,348.822,73
47453120,1482910,32,4096,0,random,1000,246.969648,241.162,19.58202707209722,225.168,235.756,248.7425,230.5217,284.73449999999997,358.672,108
53264320,1664510,32,4096,0,random,1000,247.607134,241.614,19.26804142767247,226.188,237.041,250.0435,231.9839,284.0406,370.746,92
59787200,1868350,32,4096,0,random,1000,248.625072,242.442,19.076757125498066,226.432,237.778,251.5635,232.6222,284.55279999999993,350.216,96
67108864,2097152,32,4096,0,random,1000,248.460902,242.462,18.413678134170393,226.904,238.074,250.66549999999998,233.3079,286.8008,353.61,99
