footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,32768,64,4096,0,sequential,1000,20.22862,19.872,8.841649344026415,15.03,19.7295,20.1345,19.4791,21.1293,293.19,139
2353920,36780,64,4096,0,sequential,1000,21.58984,14.918,204.068094229806,14.274,14.754,15.118500000000001,14.55,15.5927,6467.62,44
2642240,41285,64,4096,0,sequential,1000,15.039134,14.926,1.2161759815347704,14.234,14.754,15.098,14.55,15.4601,39.702,29
2965760,46340,64,4096,0,sequential,1000,16.137866,15.916,2.106363558715704,14.434,15.4995,16.426499999999997,14.9478,17.4291,46.396,25
3328960,52015,64,4096,0,sequential,1000,14.961286,14.844,1.0422137975501014,14.156,14.694,15.017,14.508,15.3662,32.324,36
3736640,58385,64,4096,0,sequential,1000,14.857982,14.731,1.0536636630304714,14.156,14.555499999999999,14.938,14.358,15.3563,30.77,31
4194304,65536,64,4096,0,sequential,1000,14.868516,14.695,1.9301348622130865,14.06,14.536,14.888,14.352,15.356,65.836,36
4707904,73561,64,4096,0,sequential,1000,14.924788,14.746,1.4522555288850434,14.136,14.554,15.002,14.352,15.552399999999999,42.484,39
5284480,82570,64,4096,0,sequential,1000,19.518044,17.881999999999998,4.858125561781832,14.254,15.909500000000001,22.497999999999998,14.744,27.069399999999995,59.146,13
5931584,92681,64,4096,0,sequential,1000,19.192268,17.131,4.99712393039754,14.094,15.4055,22.71,14.5718,27.3261,64.31,8
6657984,104031,64,4096,0,sequential,1000,16.446168,15.579,2.8629538320448726,13.99,14.736,17.061,14.389800000000001,21.2546,51.894,60
7473344,116771,64,4096,0,sequential,1000,15.225754,14.853,1.4816842726329276,14.148,14.5635,15.4225,14.326,17.130999999999997,36.722,70
8388608,131072,64,4096,0,sequential,1000,15.197744,14.856,1.5706235248208658,14.1,14.6215,15.285,14.3618,16.632599999999996,40.616,80
9415872,147123,64,4096,0,sequential,1000,16.308458,15.913,1.8577237005495686,14.128,15.1615,17.032,14.602,19.019099999999995,43.292,27
10568960,165140,64,4096,0,sequential,1000,19.72565,18.933,3.6109547052522526,14.822,17.3995,21.4295,15.7479,25.2945,52.18,20
11863232,185363,64,4096,0,sequential,1000,24.881196,24.248,4.826022220841929,16.104,22.464,25.98,19.788899999999998,31.1561,71.154,54
13316032,208063,64,4096,0,sequential,1000,25.06849,24.277,4.68525123926936,19.128,22.566000000000003,25.9005,21.1718,30.724,72.612,48
14946752,233543,64,4096,0,sequential,1000,21.638722,21.389,2.6211819680490756,17.276,20.3315,22.404,18.8698,24.1166,41.822,25
16777216,262144,64,4096,0,sequential,1000,22.716104,22.2,2.995936256871838,17.75,21.429499999999997,23.114,20.4185,25.4243,50.578,44
18831744,294246,64,4096,0,sequential,1000,23.00168,22.37,3.0075041697279374,18.964,21.6155,23.4185,20.7359,25.9471,43.68,45
21137920,330280,64,4096,0,sequential,1000,26.744812,25.857,4.530105394308121,21.648,24.673,27.301499999999997,23.1184,31.6861,71.008,61
23726528,370727,64,4096,0,sequential,1000,24.12093,23.567,4.286563640837139,18.55,22.6395,24.7065,21.3936,26.490699999999997,118.086,40
26632128,416127,64,4096,0,sequential,1000,26.57127,25.745,4.227201444827909,21.022,24.6055,27.059,23.3184,31.759099999999997,69.22,63
29893568,467087,64,4096,0,sequential,1000,27.292506,26.35,4.774791875822592,21.924,25.371,27.574,24.0792,32.811599999999984,93.366,75
33554432,524288,64,4096,0,sequential,1000,25.165344,24.692999999999998,3.0859398935641456,21.022,23.799500000000002,25.6975,22.7138,27.298599999999997,51.398,29
37663552,588493,64,4096,0,sequential,1000,26.443872,25.655,3.996788541599651,21.772,24.5195,27.0265,23.1199,30.86239999999999,59.878,53
42275904,660561,64,4096,0,sequential,1000,25.063876,24.593,3.3681205175059343,21.544,23.6435,25.512999999999998,22.5457,26.952199999999998,58.082,34
47453120,741455,64,4096,0,sequential,1000,25.546984,24.784,4.4310717977732,20.896,23.4795,26.221,22.1149,30.4556,75.46,52
53264320,832255,64,4096,0,sequential,1000,23.619348,23.073,3.147972266759713,20.376,22.25,24.0985,21.386,25.8961,54.472,33
59787200,934175,64,4096,0,sequential,1000,24.358856,23.658,4.345439939468906,20.444,22.634,24.8235,21.5153,27.262599999999996,85.826,41
67108864,1048576,64,4096,0,sequential,1000,22.523922,22.071,3.1585811537493886,19.396,21.366999999999997,22.6685,20.5919,24.179199999999998,47.576,36
