footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,4096,32,4096,0,sequential,1000,9.560734,9.408,3.799526799635074,9.23,9.35,9.466,9.284,9.542,127.998,7
147104,4597,32,4096,0,sequential,1000,12.32329,9.4,104.3672282389361,7.14,9.2715,9.472,7.276,9.57,3309.092,233
165120,5160,32,4096,0,sequential,1000,7.369198,7.322,0.7153818084966432,7.158,7.274,7.366,7.216,7.4241,20.952,10
185344,5792,32,4096,0,sequential,1000,7.361298,7.32,0.7463702001498128,7.178,7.278,7.364,7.2199,7.430199999999999,23.108,6
208064,6502,32,4096,0,sequential,1000,7.349978,7.322,0.4989060981896401,7.132,7.272,7.37,7.22,7.428,17.194,7
233536,7298,32,4096,0,sequential,1000,7.350308,7.324,0.4890538117291049,7.18,7.276,7.3705,7.22,7.43,16.916,4
262144,8192,32,4096,0,sequential,1000,7.346934,7.322,0.5912410147998712,7.16,7.2735,7.366,7.221900000000001,7.422,22.718,6
294240,9195,32,4096,0,sequential,1000,7.352882,7.336,0.42956087883398386,7.118,7.28,7.384,7.218,7.452,17.426,5
330272,10321,32,4096,0,sequential,1000,7.367456,7.338,0.6850885332293647,7.1,7.276,7.382,7.212,7.442,21.294,6
370720,11585,32,4096,0,sequential,1000,7.367032,7.338,0.6440736214174632,7.132,7.278,7.386,7.2078,7.458,21.964,4
416128,13004,32,4096,0,sequential,1000,7.353532,7.318,0.6400404242864045,7.14,7.27,7.368,7.2179,7.4261,19.906,4
467072,14596,32,4096,0,sequential,1000,7.404492,7.323,1.747696511707062,7.138,7.274,7.37,7.214,7.424,59.422,7
524288,16384,32,4096,0,sequential,1000,7.351396,7.32,0.5653244616421006,7.158,7.272,7.368,7.2199,7.4261,18.526,6
588480,18390,32,4096,0,sequential,1000,7.36251,7.33,0.677372731749454,7.158,7.278,7.372,7.222,7.4341,22.686,9
660544,20642,32,4096,0,sequential,1000,7.367236,7.3309999999999995,0.6719662632624965,7.138,7.276,7.376,7.224,7.4460999999999995,23.816,21
741440,23170,32,4096,0,sequential,1000,7.381076,7.332,0.7458208866872924,7.174,7.278,7.38,7.226,7.478,23.196,38
832224,26007,32,4096,0,sequential,1000,7.41855,7.3870000000000005,0.5249955674535223,7.1,7.324,7.446,7.246,7.5581,19.796,30
934144,29192,32,4096,0,sequential,1000,7.70006,7.588,0.8154856352022525,7.204,7.487500000000001,7.714,7.3579,8.0442,22.974,49
1048576,32768,32,4096,0,sequential,1000,7.80502,7.678,0.916072069018391,7.244,7.5735,7.836,7.436,8.163799999999998,26.154,44
1176960,36780,32,4096,0,sequential,1000,8.06624,7.98,1.1650882838262124,7.418,7.8535,8.082,7.6799,8.252,27.9,32
1321120,41285,32,4096,0,sequential,1000,8.297134,8.142,1.0091473511932836,7.784,8.056,8.234,7.9379,8.799399999999995,21.59,58
1482880,46340,32,4096,0,sequential,1000,8.23478,8.11,1.1671275587262682,7.72,8.036,8.184,7.9299,8.34,24.824,40
1664480,52015,32,4096,0,sequential,1000,8.276548,8.12,1.0321007061152336,7.772,8.046,8.208,7.9456,8.633699999999997,22.024,61
1868320,58385,32,4096,0,sequential,1000,8.114732,7.968,1.465383563837525,7.258,7.534,8.124,7.406,9.149199999999999,24.816,52
2097152,65536,32,4096,0,sequential,1000,7.58156,7.537,0.5107548344371308,7.248,7.456,7.624,7.362,7.776199999999999,18.472,25
2353952,73561,32,4096,0,sequential,1000,7.697854,7.514,1.1720655033863203,7.25,7.4435,7.6125,7.348,7.870699999999999,22.25,51
2642240,82570,32,4096,0,sequential,1000,7.702158,7.524,1.150001465393156,7.268,7.444,7.622,7.358,7.842699999999999,21.622,47
2965792,92681,32,4096,0,sequential,1000,7.667746,7.532,1.0132641095191517,7.284,7.452,7.626,7.366,7.842299999999999,21.744,44
3328992,104031,32,4096,0,sequential,1000,7.72891,7.542999999999999,1.2371472269544808,7.242,7.462,7.6305,7.362,7.9425,22.86,55
3736672,116771,32,4096,0,sequential,1000,8.65236,8.546,0.7846041818153419,8.144,8.47,8.624,8.347900000000001,8.9003,20.124,58
4194304,131072,32,4096,0,sequential,1000,8.762604,8.519,1.4948943214208208,8.132,8.442,8.6005,8.3358,9.258999999999999,29.0,63
