footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,16384,128,4096,0,random,1000,66.7807,66.204,3.7818559952447646,64.886,65.8535,66.568,65.4035,68.448,140.976,108
2353920,18390,128,4096,0,random,1000,72.112366,65.86699999999999,181.91368261680935,64.528,65.6095,66.274,65.2197,67.1811,5818.148,42
2642176,20642,128,4096,0,random,1000,66.980464,66.642,2.4173952296636148,65.366,66.3775,66.9745,65.9576,67.6064,112.442,37
2965760,23170,128,4096,0,random,1000,67.094016,66.716,2.584962509383631,65.652,66.4755,67.062,66.13,67.604,120.246,30
3328896,26007,128,4096,0,random,1000,67.443886,67.176,1.6967036565948408,65.972,66.896,67.51050000000001,66.466,68.2075,84.074,38
3736576,29192,128,4096,0,random,1000,67.669952,67.289,2.4215363131309453,66.186,67.02,67.6045,66.696,68.3822,112.288,43
4194304,32768,128,4096,0,random,1000,66.783146,66.40100000000001,2.7558121197068433,65.59,66.181,66.673,65.9119,67.1421,109.712,33
4707840,36780,128,4096,0,random,1000,66.879462,66.57499999999999,2.2576976061990757,65.484,66.2895,66.86,65.9179,67.5926,110.296,44
5284480,41285,128,4096,0,random,1000,67.351554,66.87899999999999,3.0763532440807846,65.772,66.586,67.2945,66.2327,67.93220000000001,111.594,32
5931520,46340,128,4096,0,random,1000,67.331284,66.936,2.8292233945661414,65.724,66.6595,67.2265,66.3118,67.9765,110.884,42
6657920,52015,128,4096,0,random,1000,66.656606,66.366,2.2860883562838814,64.814,66.02250000000001,66.688,65.5899,67.3862,110.254,35
7473280,58385,128,4096,0,random,1000,66.798062,66.362,2.8968248193824544,65.414,66.102,66.724,65.776,67.4745,111.254,39
8388608,65536,128,4096,0,random,1000,66.154676,65.832,2.2930318537050693,64.854,65.604,66.096,65.2739,66.69669999999999,110.242,41
9415808,73561,128,4096,0,random,1000,66.44194,66.172,1.557064182771304,65.116,65.9255,66.475,65.5937,67.235,83.658,43
10568960,82570,128,4096,0,random,1000,66.223826,65.828,2.797292398460784,64.802,65.59,66.0985,65.272,66.768,109.102,43
11863168,92681,128,4096,0,random,1000,69.095164,68.566,2.500298295938441,66.316,67.884,69.53750000000001,67.2013,72.41260000000001,111.484,56
13315968,104031,128,4096,0,random,1000,74.037054,72.614,5.924678040110109,66.764,70.5225,76.1695,68.4991,83.45679999999999,170.15,34
14946688,116771,128,4096,0,random,1000,107.345178,106.414,16.764325164065582,72.556,95.477,119.948,81.7533,134.9968,175.21,2
16777216,131072,128,4096,0,random,1000,131.926628,129.906,22.13124889180742,84.03,115.439,149.332,96.7216,168.6573,187.258,0
18831744,147123,128,4096,0,random,1000,192.367286,191.817,11.790623188337984,161.292,183.2015,200.6695,175.8376,210.4873,260.632,7
21137920,165140,128,4096,0,random,1000,202.80573,204.637,15.427164980982425,157.386,190.872,213.5115,177.4295,226.3246,274.086,3
23726464,185363,128,4096,0,random,1000,231.594892,234.303,15.688882531762147,169.388,224.5915,242.2055,204.2128,250.92239999999998,296.768,40
26632064,208063,128,4096,0,random,1000,192.103744,191.87,20.185385357840175,142.456,177.9855,209.3785,156.91979999999998,220.4933,275.318,2
29893504,233543,128,4096,0,random,1000,223.38421,223.91199999999998,8.648122266170306,197.1,218.3195,228.60899999999998,208.3549,236.5898,275.368,24
33554432,262144,128,4096,0,random,1000,239.875036,238.822,7.212804606600473,228.064,236.10950000000003,241.77499999999998,232.2499,249.7924,303.798,49
37663488,294246,128,4096,0,random,1000,202.21397,201.43099999999998,21.647918991713077,147.398,186.236,217.641,166.7799,234.9897,324.678,3
42275840,330280,128,4096,0,random,1000,238.455126,237.85000000000002,5.595332323994701,225.436,234.526,241.418,230.916,248.24909999999997,271.522,23
47453056,370727,128,4096,0,random,1000,238.605526,237.903,5.05535045625519,225.55,235.21099999999998,241.305,231.44719999999998,247.8107,265.774,23
53264256,416127,128,4096,0,random,1000,239.10813,238.272,5.751538248792868,225.984,235.44,241.966,231.8254,248.9227,312.928,16
59787136,467087,128,4096,0,random,1000,239.785172,238.833,6.4332525120890685,226.682,235.48149999999998,242.64600000000002,231.5308,251.04770000000002,286.422,33
67108864,524288,128,4096,0,random,1000,239.170534,238.247,5.648492422008326,226.2,235.3435,242.184,231.705,249.30079999999998,277.476,18
