num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,1048576,sequential,1000,7.46436,7.152,7.632338624516032,7.056,7.152,7.176,7.152,7.296,247.224,234
3,1048576,sequential,1000,24.031272,7.176,530.7916243559731,7.032,7.152,7.2,7.152,7.368,16792.32,109
4,1048576,sequential,1000,7.288320000000001,7.224,1.7041929595099388,7.056,7.152,7.248,7.128,7.272,53.496,3
5,1048576,sequential,1000,7.3128720000000005,7.272,1.1015732018958775,7.104,7.128,7.368,7.104,7.368,32.232,3
6,1048576,sequential,1000,7.304016,7.2,1.103372179235053,7.104,7.152,7.344,7.104,7.464,32.976,4
7,1048576,sequential,1000,38.562192,7.2,989.7656672916556,7.104,7.152,7.32,7.128,7.344,31306.392,5
8,1048576,sequential,1000,7.346616,7.2,1.4882400501904895,7.08,7.176,7.416,7.128,7.44,41.4,6
9,1048576,sequential,1000,53.942448,22.104,986.2287288496598,20.256,21.696,22.632,21.144,25.6332,31209.72,65
10,1048576,sequential,1000,17.847648,17.616,4.281281471608137,17.184,17.496,17.712,17.376,17.88,143.496,17
11,1048576,sequential,1000,16.489368,16.128,4.304405738000698,15.72,16.032,16.224,15.912,17.353199999999998,140.928,120
12,1048576,sequential,1000,15.571752,15.384,2.9055413645510395,15.072,15.288,15.432,15.1908,15.552,89.64,10
13,1048576,sequential,1000,14.659896,14.472,3.54014137318358,14.16,14.376,14.544,14.28,14.688,117.264,8
14,1048576,sequential,1000,14.018088,13.848,2.7360762257966003,13.56,13.752,13.92,13.656,14.064,88.2,7
15,1048576,sequential,1000,17.15112,16.824,2.963849369432374,14.808,16.32,17.328,15.696,19.248,89.64,84
16,1048576,sequential,1000,14.058095999999999,13.44,3.0812755504501386,12.888,13.32,14.88,13.032,15.6,92.64,6
17,1048576,sequential,1000,13.109064,12.936,2.7773498786167097,12.6,12.84,13.032,12.744,13.2,88.632,10
18,1048576,sequential,1000,13.117992,12.696,3.7360578818364725,12.36,12.6,12.84,12.48,14.352,120.96,157
19,1048576,sequential,1000,12.682464,12.48,2.945718251415217,12.12,12.384,12.576,12.264,12.744,88.968,16
20,1048576,sequential,1000,12.665784,12.216,2.9936080776659235,11.88,12.138,12.384,12.024,14.184,90.408,155
21,1048576,sequential,1000,12.788616,12.192,3.897787637238464,11.688,12.048,12.582,11.88,14.28,123.264,238
22,1048576,sequential,1000,12.092112,11.928,2.588176443126851,11.544,11.808,12.048,11.688,12.264,81.456,15
23,1048576,sequential,1000,12.433848,11.856,3.515913030399548,11.328,11.688,12.168,11.52,14.232,106.416,196
24,1048576,sequential,1000,11.752848,11.664,2.4751151188879574,11.088,11.424,11.76,11.28,11.928,80.064,5
25,1048576,sequential,1000,11.494871999999999,11.28,3.001397852448869,10.92,11.184,11.448,11.134799999999998,11.592,98.952,12
26,1048576,sequential,1000,11.603184,11.16,2.8655117902329357,10.776,11.033999999999999,11.424,10.92,13.296,84.144,136
27,1048576,sequential,1000,11.43036,11.064,1.5470325957303719,10.584,10.92,11.304,10.774799999999999,13.536,32.808,119
28,1048576,sequential,1000,11.794416,11.064,3.59524792616512,10.584,10.848,12.648,10.656,13.441199999999998,111.312,5
29,1048576,sequential,1000,11.81172,11.16,3.0398984312098443,10.512,10.92,12.624,10.728,13.656,84.456,5
30,1048576,sequential,1000,11.147016,10.968,1.5421226170152327,10.512,10.8,11.184,10.656,11.712,37.848,41
31,1048576,sequential,1000,15.52248,15.192,2.4768341432104357,11.928,14.28,16.224,12.984,19.176,45.6,52
32,1048576,sequential,1000,11.894712,11.376,1.683031709978393,10.488,10.968,12.84,10.56,13.512,35.592,5
33,1048576,sequential,1000,12.308136,11.76,2.2311910548016787,10.416,11.136,13.296,10.728,14.064,55.368,5
34,1048576,sequential,1000,11.480016,11.16,1.609698613209743,10.416,10.92,11.568,10.656,13.176,35.64,116
35,1048576,sequential,1000,11.30616,11.136,1.6574632348184302,10.272,10.896,11.472,10.608,12.048,40.656,21
36,1048576,sequential,1000,11.861424,11.496,1.84390856688368,10.488,11.208,12.192,10.7988,13.489199999999999,53.976,37
37,1048576,sequential,1000,12.104064,11.976,1.4515594306416408,10.464,11.496,12.48,11.0148,13.345199999999998,37.272,16
38,1048576,sequential,1000,11.804832,11.376,1.523021477917563,10.32,11.016,12.558,10.656,13.536,34.008,4
39,1048576,sequential,1000,11.574552,11.448,1.5657447416140002,10.8,11.208,11.688,10.992,12.12,38.304,12
40,1048576,sequential,1000,19.183056,19.104,2.873976640579146,13.992,16.848,21.432,14.016,21.888,44.928,8
