num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,sequential,1000,7.81596,7.776,8.2225401577034,7.08,7.152,7.8,7.152,7.8,266.04,3
3,33554432,sequential,1000,7.231512,7.152,1.3491290015854371,7.056,7.152,7.176,7.152,7.176,37.056,9
4,33554432,sequential,1000,7.331976,7.272,0.9621872976815998,7.056,7.272,7.272,7.248,7.368,30.456,255
5,33554432,sequential,1000,31.985400000000002,7.152,783.9357127661209,7.08,7.152,7.176,7.104,7.176,24797.4,215
6,33554432,sequential,1000,7.336032,7.344,1.03324480439139,7.104,7.2,7.368,7.152,7.392,30.048,3
7,33554432,sequential,1000,7.30284,7.272,1.0046550463528077,7.032,7.176,7.32,7.152,7.344,28.656,3
8,33554432,sequential,1000,7.66296,7.224,12.887854667256468,6.984,7.2,7.272,7.008,7.296,413.784,105
9,33554432,sequential,1000,10.984128,10.776,4.255263935265917,10.584,10.728,10.824,10.656,10.896,140.496,24
10,33554432,sequential,1000,13.445015999999999,13.344,1.5296922507897222,13.008,13.32,13.368,13.2,13.416,38.712,131
11,33554432,sequential,1000,15.3618,15.264,1.3524205060650423,15.12,15.24,15.288,15.192,15.336,37.8,24
12,33554432,sequential,1000,35.673816,17.568,568.2798585570667,16.416,17.544,17.592,17.496,17.616,17988.216,19
13,33554432,sequential,1000,18.583344,18.48,3.4881683043946983,18.096,18.192,18.528,18.12,18.576,122.16,7
14,33554432,sequential,1000,19.847928,19.632,3.0712460590403974,19.464,19.584,19.68,19.512,19.752,101.664,10
15,33554432,sequential,1000,38.716416,20.616,568.1126678471828,20.568,20.592,20.616,20.592,20.64,17985.984,21
16,33554432,sequential,1000,33.53016,21.72,365.3753663057725,21.672,21.72,21.744,21.696,21.744,11575.632,17
17,33554432,sequential,1000,22.62588,22.224,8.388039050977333,22.176,22.2,22.224,22.2,22.248,282.336,15
18,33554432,sequential,1000,21.883512,21.72,1.7022617756999094,21.672,21.72,21.744,21.696,21.744,48.672,13
19,33554432,sequential,1000,21.915024,21.72,1.9695021183075732,21.696,21.72,21.744,21.696,21.744,56.544,14
20,33554432,sequential,1000,21.892008,21.72,1.7889267583897568,21.696,21.72,21.744,21.696,21.744,49.968,10
21,33554432,sequential,1000,21.882407999999998,21.72,1.6648751529201256,21.672,21.72,21.744,21.696,21.744,44.448,12
22,33554432,sequential,1000,21.911088,21.72,1.85531776153096,21.672,21.72,21.744,21.696,21.744,44.4,15
23,33554432,sequential,1000,21.903744,21.72,1.8974093920039674,21.672,21.72,21.744,21.696,21.744,50.904,15
24,33554432,sequential,1000,21.895512,21.72,1.8219351408635582,21.696,21.72,21.744,21.696,21.744,46.272,11
25,33554432,sequential,1000,22.206912,22.056,1.629123247274684,22.008,22.032,22.056,22.032,22.08,43.344,12
26,33554432,sequential,1000,21.890952,21.72,1.7807957117713034,21.696,21.72,21.744,21.696,21.744,46.56,13
27,33554432,sequential,1000,21.900792,21.72,1.9088838734659528,21.696,21.72,21.744,21.696,21.744,58.176,15
28,33554432,sequential,1000,21.893207999999998,21.72,1.8232557215492735,21.672,21.72,21.744,21.696,21.744,48.696,14
29,33554432,sequential,1000,21.881256,21.72,1.6611052504634125,21.672,21.72,21.744,21.696,21.744,46.104,14
30,33554432,sequential,1000,21.904008,21.72,1.9202783748646897,21.672,21.72,21.744,21.696,21.744,50.952,12
31,33554432,sequential,1000,21.892872,21.72,1.8090176185876026,21.696,21.72,21.744,21.696,21.744,55.68,19
32,33554432,sequential,1000,21.908448,21.72,1.951384646176487,21.696,21.72,21.744,21.696,21.744,52.08,15
33,33554432,sequential,1000,22.137288,21.984,1.6890131848492465,21.936,21.96,21.984,21.96,22.008,47.112,14
34,33554432,sequential,1000,21.896928,21.72,1.8240031003608865,21.672,21.72,21.744,21.696,21.744,48.456,15
35,33554432,sequential,1000,21.892368,21.72,1.758129862435989,21.672,21.72,21.744,21.696,21.744,50.16,18
36,33554432,sequential,1000,21.960192,21.72,3.291355945974106,21.672,21.72,21.744,21.696,21.744,113.808,23
37,33554432,sequential,1000,21.905952,21.72,1.8057970308461062,21.672,21.72,21.744,21.696,21.744,48.072,17
38,33554432,sequential,1000,21.917016,21.72,2.080121870165,21.672,21.72,21.744,21.696,21.744,56.256,16
39,33554432,sequential,1000,21.907536,21.72,1.8483666270228674,21.696,21.72,21.744,21.696,21.744,46.32,14
40,33554432,sequential,1000,21.881904,21.72,1.6326378340223164,21.672,21.72,21.744,21.696,21.744,45.6,18
