size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,206.931672,205.776,7.642082659052033,187.344,201.972,210.096,197.1096,222.408,242.856,53
73182728,9147841,random,1000,216.02736,214.932,7.413586841216083,199.536,211.44,218.67,206.736,231.17999999999998,263.064,62
79806336,9975792,random,1000,225.76848,224.496,8.008863615895704,207.144,221.13,228.216,216.432,242.3508,296.856,73
87029424,10878678,random,1000,234.892896,233.496,7.7653688637935785,215.256,230.184,237.288,225.6696,251.64839999999998,279.6,70
94906264,11863283,random,1000,242.047152,240.744,7.81646613808208,227.088,237.402,244.572,233.0136,257.7408,329.112,64
103496016,12937002,random,1000,248.933688,247.284,9.725722908902801,231.984,244.074,250.656,239.9748,266.5236,404.208,91
112863200,14107900,random,1000,256.079592,254.652,7.837916278011466,239.016,251.328,258.24,247.26239999999999,272.1852,340.08,81
123078192,15384774,random,1000,262.467576,260.22,11.326654136953337,246.12,257.208,263.54999999999995,253.05360000000002,283.428,470.664,111
134217728,16777216,random,1000,267.036792,265.476,9.24600598569044,252.192,262.536,268.512,258.5484,283.5144,441.6,98
146365464,18295683,random,1000,272.349336,270.528,7.727854984519688,256.2,267.97799999999995,273.966,263.64,290.38439999999997,309.024,108
159612672,19951584,random,1000,276.97176,275.292,8.10301230696627,261.528,272.322,278.424,268.8456,294.312,359.496,107
174058856,21757357,random,1000,282.257592,280.464,8.201153518900654,269.376,277.674,283.494,274.464,299.0652,368.448,107
189812528,23726566,random,1000,287.431896,285.216,9.646951574039122,273.84,282.552,288.168,278.9028,306.4368,374.832,114
206992032,25874004,random,1000,291.6366,289.056,11.156216592046277,277.68,286.632,292.128,283.3656,311.04240000000004,449.952,123
225726408,28215801,random,1000,294.294552,292.56,9.52222665976062,282.816,289.728,295.26,286.368,310.20599999999996,435.6,114
246156392,30769549,random,1000,297.568848,295.56,8.867612208208655,284.688,293.136,298.584,289.7508,314.6184,439.344,119
268435456,33554432,random,1000,300.765144,298.944,8.582644086222775,288.024,296.472,301.746,293.3508,315.924,454.416,118
