size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,7.362144,7.152,5.159298867876532,7.008,7.128,7.176,7.08,7.224,166.344,25
1112,139,random,1000,7.281912,7.152,2.0303709765849587,6.912,7.152,7.2,7.08,7.272,53.52,92
1216,152,random,1000,7.2316080000000005,7.176,0.9611700110418167,6.984,7.152,7.224,7.056,7.272,27.144,33
1328,166,random,1000,7.235736,7.176,1.3542836684234802,7.008,7.104,7.2,7.056,7.273199999999999,38.04,3
1448,181,random,1000,7.230912,7.176,1.2485526741135258,6.96,7.128,7.224,7.032,7.272,34.512,6
1576,197,random,1000,7.387272,7.176,5.130383513248206,6.96,7.128,7.224,7.056,7.296,164.664,4
1720,215,random,1000,7.303776,7.176,3.002289675084188,6.96,7.128,7.224,7.056,7.296,98.208,11
1872,234,random,1000,7.239312,7.176,1.106895004599446,6.816,7.128,7.224,7.056,7.296,31.344,9
2048,256,random,1000,7.2498000000000005,7.2,0.9900397298425284,7.032,7.152,7.224,7.104,7.296,28.248,27
2232,279,random,1000,7.275528,7.224,1.2095670025052558,6.912,7.152,7.272,7.08,7.344,33.24,5
2432,304,random,1000,7.283040000000001,7.224,0.9087936048499772,7.056,7.176,7.296,7.104,7.344,27.072,3
2656,332,random,1000,7.2622800000000005,7.2,1.136288499085137,7.008,7.152,7.248,7.08,7.344,29.352,6
2896,362,random,1000,7.262784,7.2,1.1731881672689253,6.96,7.152,7.248,7.08,7.32,29.688,7
3152,394,random,1000,7.259448,7.2,1.0733425695310737,6.984,7.152,7.248,7.056,7.32,28.968,9
3440,430,random,1000,7.244232,7.224,0.6559904859780313,7.032,7.152,7.272,7.08,7.344,23.472,5
3752,469,random,1000,7.2582,7.2,1.3366155727018854,6.936,7.152,7.248,7.08,7.296,41.232,8
4096,512,random,1000,7.258896,7.2,1.0213597392206633,6.984,7.152,7.248,7.0788,7.32,29.184,8
4464,558,random,1000,7.227384,7.176,0.8824866158595104,6.936,7.128,7.224,7.056,7.296,25.944,12
4864,608,random,1000,7.31616,7.2,2.9848834187323674,6.984,7.152,7.248,7.08,7.32,99.456,11
5312,664,random,1000,7.253304,7.176,1.2525166959596417,6.984,7.128,7.248,7.056,7.296,34.056,3
5792,724,random,1000,7.247064,7.2,1.0889988734844727,6.96,7.128,7.248,7.056,7.32,30.624,4
