size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
5931640,741455,sequential,1000,7.297752,7.224,1.304169484591838,6.936,7.176,7.272,7.104,7.368,40.08,22
6017912,752239,sequential,1000,7.291704,7.224,1.065597921974004,6.912,7.176,7.272,7.104,7.368,31.464,28
6105448,763181,sequential,1000,7.32564,7.224,1.8719100270978704,6.984,7.176,7.272,7.104,7.368,60.744,22
6194256,774282,sequential,1000,7.277592,7.224,0.9289627534693375,6.84,7.176,7.272,7.08,7.368,25.128,22
6284352,785544,sequential,1000,7.305096,7.224,1.2681144937083375,6.984,7.176,7.272,7.104,7.368,34.728,23
6375760,796970,sequential,1000,7.312344,7.224,1.5497922885992825,6.984,7.176,7.272,7.08,7.368,42.144,21
6468496,808562,sequential,1000,7.282704,7.224,0.9377441465924853,6.96,7.176,7.272,7.104,7.368,25.512,20
6562584,820323,sequential,1000,7.33668,7.224,1.691944492519115,7.032,7.176,7.272,7.104,7.368,36.504,17
6658040,832255,sequential,1000,7.286808000000001,7.224,0.9533585010726906,6.96,7.176,7.272,7.104,7.368,25.752,25
6754880,844360,sequential,1000,7.298712,7.224,1.3329533651743897,6.912,7.176,7.272,7.104,7.344,32.472,19
6853136,856642,sequential,1000,7.30464,7.224,1.217816187553223,6.96,7.176,7.272,7.104,7.368,29.616,22
6952816,869102,sequential,1000,7.283856,7.224,0.9867293763368586,7.008,7.176,7.272,7.104,7.368,26.04,17
7053944,881743,sequential,1000,7.29,7.224,1.203690541176975,6.984,7.152,7.272,7.08,7.368,37.176,15
7156552,894569,sequential,1000,7.293024,7.224,0.9683417233172995,6.96,7.176,7.272,7.104,7.368,25.152,18
7260640,907580,sequential,1000,7.318344000000001,7.224,1.3864976138808525,6.96,7.176,7.272,7.104,7.368,36.408,21
7366248,920781,sequential,1000,7.28592,7.224,0.969411404962863,6.912,7.176,7.272,7.104,7.368,25.488,18
7473392,934174,sequential,1000,7.343352,7.224,1.8648818655530082,6.984,7.176,7.272,7.104,7.368,45.408,18
7582096,947762,sequential,1000,7.305096,7.224,1.4190506881854645,7.008,7.176,7.272,7.104,7.344,40.176,19
7692384,961548,sequential,1000,7.295664,7.224,1.191910705646289,6.96,7.176,7.272,7.104,7.368,31.992,23
7804272,975534,sequential,1000,7.289688,7.224,1.0418931711245814,6.984,7.176,7.272,7.104,7.368,28.128,20
7917784,989723,sequential,1000,7.300728,7.224,1.0749954629026401,6.984,7.176,7.272,7.104,7.368,24.84,23
8032952,1004119,sequential,1000,7.303104,7.224,1.3018598220162492,7.008,7.176,7.272,7.104,7.368,37.416,16
8149800,1018725,sequential,1000,7.317552,7.224,1.4933700631261635,7.008,7.176,7.272,7.104,7.345199999999999,41.544,20
8268336,1033542,sequential,1000,7.293552,7.224,1.082182005574473,6.96,7.176,7.272,7.104,7.368,31.008,19
8388600,1048575,sequential,1000,7.321728,7.224,1.6455240415707657,6.96,7.176,7.272,7.104,7.368,37.296,20
8510616,1063827,sequential,1000,7.29756,7.224,1.1000972340317579,6.984,7.176,7.272,7.104,7.368,25.704,18
8634408,1079301,sequential,1000,7.318272,7.224,1.3739177238568283,6.984,7.176,7.272,7.104,7.368,37.8,19
8760000,1095000,sequential,1000,7.29108,7.224,1.1532513161484788,6.96,7.176,7.272,7.104,7.368,33.84,26
8887416,1110927,sequential,1000,7.278984,7.224,0.9491908949727125,7.008,7.176,7.272,7.1028,7.368,26.448,16
9016688,1127086,sequential,1000,7.271208000000001,7.224,0.8896026155253532,6.96,7.176,7.272,7.104,7.344,30.024,18
9147840,1143480,sequential,1000,7.304784000000001,7.224,1.354506348745842,7.008,7.176,7.272,7.104,7.368,39.504,15
9280896,1160112,sequential,1000,7.321632,7.224,1.7005147076243847,7.008,7.176,7.272,7.104,7.368,49.68,20
9415888,1176986,sequential,1000,7.3204080000000005,7.224,1.4046123683925902,6.96,7.176,7.272,7.104,7.368,34.224,27
9552848,1194106,sequential,1000,7.293312,7.224,1.3220030570080914,6.912,7.176,7.272,7.104,7.368,41.496,23
9691800,1211475,sequential,1000,7.295568,7.224,1.1392263981150377,7.008,7.176,7.272,7.104,7.368,30.24,23
9832768,1229096,sequential,1000,7.319688,7.224,1.5327820704625728,7.008,7.176,7.272,7.1028,7.344,43.608,23
9975784,1246973,sequential,1000,7.32984,7.224,1.8303574839137078,7.032,7.176,7.272,7.104,7.368,51.72,18
10120888,1265111,sequential,1000,7.3149120000000005,7.224,1.4987385554236983,6.96,7.176,7.272,7.104,7.345199999999999,37.344,22
10268104,1283513,sequential,1000,7.278792,7.224,0.9060520156100261,7.008,7.176,7.272,7.104,7.368,24.336,17
10417456,1302182,sequential,1000,7.274568,7.224,0.9480127116644996,6.96,7.176,7.272,7.104,7.344,25.608,13
10568976,1321122,sequential,1000,7.286256,7.224,1.1618619822206635,7.032,7.176,7.272,7.104,7.344,32.496,10
10722712,1340339,sequential,1000,7.27032,7.224,0.9042544806445616,6.96,7.176,7.272,7.104,7.344,24.504,24
10878672,1359834,sequential,1000,7.278312000000001,7.224,0.9583799636943643,7.008,7.176,7.272,7.104,7.344,25.008,15
11036912,1379614,sequential,1000,7.281000000000001,7.224,1.0258081937918269,6.984,7.176,7.272,7.104,7.344,27.072,10
11197440,1399680,sequential,1000,7.284120000000001,7.224,1.1075743092228396,6.936,7.176,7.272,7.104,7.344,29.4,15
11360312,1420039,sequential,1000,7.277736,7.224,0.927899304571042,7.008,7.176,7.272,7.104,7.368,25.224,17
11525552,1440694,sequential,1000,7.272096,7.224,0.9487509046441341,6.984,7.176,7.272,7.08,7.368,26.64,16
11693200,1461650,sequential,1000,7.27608,7.224,0.9315084656736199,6.984,7.176,7.272,7.104,7.368,25.176,19
11863280,1482910,sequential,1000,7.2740160000000005,7.224,0.9315752638494735,7.032,7.176,7.272,7.104,7.344,24.768,9
12035832,1504479,sequential,1000,7.2740160000000005,7.224,0.9171848645828277,7.008,7.176,7.272,7.104,7.368,24.792,14
12210896,1526362,sequential,1000,7.288944,7.224,1.2492683700167568,6.96,7.176,7.272,7.104,7.344,31.92,14
12388512,1548564,sequential,1000,7.284792,7.224,1.1261265922789665,6.936,7.176,7.272,7.104,7.368,29.448,21
12568704,1571088,sequential,1000,7.292808,7.224,1.2553094586487321,6.96,7.176,7.272,7.104,7.344,32.28,15
12751520,1593940,sequential,1000,7.268448,7.224,0.8613854655241265,7.008,7.176,7.272,7.104,7.368,28.176,13
12937000,1617125,sequential,1000,7.28928,7.224,1.149694790677818,6.936,7.176,7.272,7.104,7.368,32.592,18
13125168,1640646,sequential,1000,7.271232,7.224,0.9350644361089109,6.96,7.176,7.272,7.104,7.368,25.752,13
13316080,1664510,sequential,1000,7.311048,7.224,1.6986852566903903,7.008,7.176,7.272,7.104,7.345199999999999,52.464,14
13509768,1688721,sequential,1000,7.291584,7.224,1.2602480851721936,7.008,7.176,7.272,7.104,7.344,35.496,18
13706272,1713284,sequential,1000,7.318752,7.224,1.6711736043007952,7.008,7.176,7.272,7.104,7.368,44.64,20
13905632,1738204,sequential,1000,7.2913440000000005,7.224,1.2883659854934764,6.96,7.176,7.272,7.08,7.344,37.032,21
14107896,1763487,sequential,1000,7.318536,7.224,1.6648433896965251,7.032,7.176,7.272,7.104,7.368,41.952,18
14313096,1789137,sequential,1000,7.278792,7.224,0.9381313720408284,6.96,7.176,7.272,7.104,7.368,25.704,19
14521288,1815161,sequential,1000,7.286208,7.224,1.212275837192774,7.008,7.176,7.272,7.1028,7.344,36.144,13
14732504,1841563,sequential,1000,7.289448,7.224,1.3783601111073593,6.984,7.176,7.272,7.104,7.344,44.112,19
14946792,1868349,sequential,1000,7.285344,7.224,1.1686624960585044,7.008,7.176,7.272,7.104,7.344,31.488,15
15164200,1895525,sequential,1000,7.28556,7.224,1.1562982314264776,7.008,7.176,7.272,7.104,7.368,33.096,17
15384768,1923096,sequential,1000,7.269072,7.224,0.9058827928879378,7.008,7.176,7.272,7.08,7.368,24.648,14
15608544,1951068,sequential,1000,7.270704,7.224,0.903475598198723,6.984,7.176,7.272,7.104,7.368,24.912,19
15835576,1979447,sequential,1000,7.2738000000000005,7.224,0.9383939125629146,6.96,7.17,7.272,7.104,7.368,25.44,17
16065912,2008239,sequential,1000,7.27248,7.224,0.9397257334212222,6.96,7.176,7.272,7.104,7.344,24.528,15
16299600,2037450,sequential,1000,7.276968,7.224,0.9831022495188428,7.008,7.176,7.272,7.104,7.344,26.712,17
16536680,2067085,sequential,1000,7.280832,7.224,0.9493932290043358,6.96,7.176,7.272,7.104,7.368,25.656,23
16777208,2097151,sequential,1000,7.2834,7.224,1.0606524254285978,7.008,7.176,7.272,7.104,7.344,29.52,16
17021240,2127655,sequential,1000,7.2750960000000005,7.224,0.9273748621344655,6.96,7.176,7.272,7.104,7.368,25.248,15
17268824,2158603,sequential,1000,7.274184,7.224,0.9230888121405757,7.008,7.176,7.272,7.104,7.368,25.344,11
17520000,2190000,sequential,1000,7.25988,7.224,0.79934098081082,6.96,7.176,7.272,7.104,7.368,25.896,14
17774832,2221854,sequential,1000,7.270584,7.224,0.9328514129821013,6.984,7.176,7.272,7.104,7.344,25.152,19
18033376,2254172,sequential,1000,7.299816,7.224,1.2414816417534376,6.936,7.176,7.272,7.104,7.368,29.808,20
18295680,2286960,sequential,1000,7.287864,7.224,1.212443846776248,6.96,7.176,7.272,7.104,7.344,37.872,18
18561792,2320224,sequential,1000,7.281912,7.224,1.1161282966714134,6.96,7.176,7.272,7.104,7.368,32.952,18
18831784,2353973,sequential,1000,7.307952,7.224,1.6131492107279077,6.984,7.176,7.272,7.08,7.368,44.472,19
19105696,2388212,sequential,1000,7.335312,7.224,1.8647484026702532,7.032,7.176,7.272,7.104,7.368,48.432,19
19383600,2422950,sequential,1000,7.298424,7.224,1.2275428439193712,7.008,7.176,7.272,7.104,7.368,37.968,26
19665536,2458192,sequential,1000,7.28496,7.224,0.9776504727390289,7.008,7.176,7.272,7.104,7.368,25.8,18
19951576,2493947,sequential,1000,7.290984,7.224,1.0665542244338342,6.984,7.176,7.272,7.104,7.368,28.776,25
20241784,2530223,sequential,1000,7.262160000000001,7.2,0.8691053368185506,6.96,7.152,7.272,7.104,7.344,28.464,12
20536208,2567026,sequential,1000,7.28904,7.224,1.004598264020037,7.008,7.176,7.272,7.104,7.368,27.0,19
20834912,2604364,sequential,1000,7.307136,7.224,1.452606024276977,6.984,7.176,7.272,7.104,7.345199999999999,41.76,22
21137960,2642245,sequential,1000,7.277808,7.224,0.889903790244705,6.96,7.176,7.272,7.1028,7.368,24.48,26
21445424,2680678,sequential,1000,7.331952,7.224,1.8211170508808623,6.936,7.176,7.272,7.104,7.368,44.328,22
21757352,2719669,sequential,1000,7.2997440000000005,7.224,1.3467983874212057,6.984,7.176,7.272,7.104,7.368,39.936,21
22073816,2759227,sequential,1000,7.308696,7.224,1.2794154428720403,7.008,7.176,7.2780000000000005,7.104,7.368,31.656,24
22394888,2799361,sequential,1000,7.266360000000001,7.224,0.7412277227255718,7.008,7.176,7.272,7.104,7.368,24.024,17
22720632,2840079,sequential,1000,7.320024,7.224,1.408926599076611,7.008,7.176,7.272,7.104,7.368,30.288,20
23051112,2881389,sequential,1000,7.287072,7.224,1.1345697419353802,7.008,7.176,7.272,7.104,7.368,30.648,23
23386400,2923300,sequential,1000,7.30236,7.224,1.2104903094156472,6.936,7.176,7.272,7.104,7.368,29.76,15
23726560,2965820,sequential,1000,7.311072,7.224,1.4513720362483231,6.984,7.176,7.272,7.104,7.368,38.496,24
24071672,3008959,sequential,1000,7.281216000000001,7.224,0.916921930794095,7.008,7.176,7.272,7.104,7.368,24.624,21
24421800,3052725,sequential,1000,7.299864,7.224,1.1327025048389663,6.984,7.176,7.272,7.104,7.368,29.4,22
24777024,3097128,sequential,1000,7.278672,7.224,0.9402535877226023,6.984,7.176,7.272,7.104,7.368,25.608,20
25137416,3142177,sequential,1000,7.289736,7.224,1.1161103317219927,6.984,7.176,7.272,7.08,7.344,30.024,20
25503048,3187881,sequential,1000,7.318704,7.224,1.6791807670505379,7.008,7.176,7.272,7.104,7.368,38.64,23
25874000,3234250,sequential,1000,7.267704,7.224,0.7628131752430107,7.032,7.176,7.272,7.104,7.368,24.48,16
26250344,3281293,sequential,1000,7.289808,7.224,1.1293181068780056,6.984,7.176,7.272,7.104,7.344,30.6,22
26632168,3329021,sequential,1000,7.30452,7.224,1.4903635157266193,6.984,7.176,7.272,7.104,7.368,48.0,27
27019536,3377442,sequential,1000,7.280448,7.224,1.0532911190537388,6.984,7.176,7.272,7.104,7.344,30.984,12
27412544,3426568,sequential,1000,7.348152,7.224,2.785284892579003,6.936,7.176,7.272,7.104,7.368,91.92,20
27811272,3476409,sequential,1000,7.276776,7.224,0.9369544372281084,6.936,7.176,7.272,7.104,7.368,24.576,20
28215792,3526974,sequential,1000,7.282488,7.224,1.1165279595874615,6.96,7.176,7.272,7.08,7.368,28.968,20
28626200,3578275,sequential,1000,7.2988800000000005,7.224,1.434937969591918,6.96,7.176,7.272,7.104,7.344,35.952,17
29042584,3630323,sequential,1000,7.274688,7.224,0.9483714499409306,6.984,7.176,7.272,7.104,7.368,24.552,11
29465016,3683127,sequential,1000,7.295784,7.224,1.345680399307756,6.912,7.176,7.272,7.104,7.368,39.792,13
29893592,3736699,sequential,1000,7.282104,7.224,1.0298772102790954,7.008,7.176,7.272,7.104,7.368,30.048,15
30328408,3791051,sequential,1000,7.27848,7.224,1.0177407517820232,6.984,7.176,7.272,7.08,7.344,29.016,20
30769544,3846193,sequential,1000,7.281936,7.224,1.0677950618907162,6.96,7.176,7.272,7.104,7.344,29.496,13
31217096,3902137,sequential,1000,7.28124,7.224,1.0215846443567882,6.984,7.176,7.272,7.104,7.368,27.936,19
31671160,3958895,sequential,1000,7.290096,7.224,1.2037848980880532,6.96,7.176,7.272,7.104,7.345199999999999,31.944,14
32131824,4016478,sequential,1000,7.293048,7.224,1.2565592078126437,7.008,7.176,7.272,7.104,7.368,34.848,14
32599192,4074899,sequential,1000,7.308576,7.224,1.4913911612383317,6.984,7.176,7.272,7.104,7.368,39.024,21
33073360,4134170,sequential,1000,7.296600000000001,7.224,1.3792871641108972,6.912,7.176,7.272,7.104,7.368,42.384,28
33554424,4194303,sequential,1000,7.261992,7.224,0.849513899710771,6.984,7.176,7.272,7.08,7.368,27.264,21
34042488,4255311,sequential,1000,7.279104,7.224,0.991306466080845,6.96,7.176,7.272,7.104,7.368,26.712,18
34537648,4317206,sequential,1000,7.3044,7.224,1.5811822239151392,6.984,7.176,7.272,7.08,7.368,40.92,17
35040008,4380001,sequential,1000,7.291392,7.224,1.2870072019510512,7.008,7.176,7.272,7.104,7.368,37.176,13
35549672,4443709,sequential,1000,7.301712,7.224,1.198213049322852,6.984,7.176,7.272,7.104,7.368,31.584,19
36066760,4508345,sequential,1000,7.2982320000000005,7.224,1.22441948908912,6.96,7.176,7.272,7.104,7.368,32.304,23
36591360,4573920,sequential,1000,7.283304,7.224,0.9753567985452649,6.984,7.176,7.272,7.104,7.344,25.68,20
37123592,4640449,sequential,1000,7.2957600000000005,7.224,1.0566435112704329,7.008,7.176,7.272,7.104,7.368,24.48,19
37663568,4707946,sequential,1000,7.291632,7.224,1.05422807276481,6.984,7.176,7.272,7.104,7.368,29.904,31
38211400,4776425,sequential,1000,7.295616,7.224,1.03310639595802,6.984,7.176,7.272,7.104,7.368,24.48,21
38767200,4845900,sequential,1000,7.298904,7.224,1.2018509110519477,6.96,7.176,7.272,7.104,7.368,34.968,31
39331080,4916385,sequential,1000,7.283352,7.224,0.9672838601786768,6.984,7.176,7.272,7.104,7.368,25.416,31
39903160,4987895,sequential,1000,7.287936,7.224,0.9630734896416008,7.032,7.176,7.272,7.104,7.368,25.992,18
40483568,5060446,sequential,1000,7.28976,7.224,1.1501006364113855,6.96,7.176,7.272,7.104,7.368,33.384,25
41072416,5134052,sequential,1000,7.283448,7.224,0.9232083410243523,6.96,7.176,7.272,7.104,7.368,24.336,21
41669824,5208728,sequential,1000,7.28088,7.224,0.9526206168457828,6.984,7.176,7.272,7.104,7.368,26.568,23
42275928,5284491,sequential,1000,7.303104,7.224,1.4496565874045497,6.984,7.152,7.272,7.104,7.345199999999999,38.592,16
42890848,5361356,sequential,1000,7.2913440000000005,7.224,1.1988603270388705,6.984,7.176,7.272,7.104,7.344,32.4,21
43514704,5439338,sequential,1000,7.280496,7.224,0.9246359292097542,6.96,7.176,7.272,7.104,7.368,24.84,22
44147640,5518455,sequential,1000,7.294008,7.224,1.3299996040912505,6.96,7.176,7.272,7.104,7.344,41.592,18
44789784,5598723,sequential,1000,7.309488,7.224,1.5284065599402759,6.984,7.176,7.272,7.104,7.344,44.208,18
45441264,5680158,sequential,1000,7.3116,7.224,1.557098248330835,7.008,7.176,7.272,7.104,7.368,38.16,11
46102224,5762778,sequential,1000,7.264392,7.224,0.8818609352074991,6.936,7.176,7.272,7.104,7.344,27.96,18
46772800,5846600,sequential,1000,7.324992,7.224,1.8456022408871222,6.984,7.176,7.272,7.104,7.368,51.12,19
47453128,5931641,sequential,1000,7.3140480000000005,7.224,1.561393047872939,7.008,7.176,7.272,7.104,7.368,36.888,14
48143344,6017918,sequential,1000,7.274472,7.224,0.9373398867429463,6.96,7.176,7.272,7.1028,7.368,24.912,18
48843608,6105451,sequential,1000,7.2644400000000005,7.224,0.8013940196774461,6.984,7.176,7.272,7.104,7.344,25.608,21
49554056,6194257,sequential,1000,7.287936,7.224,1.208199041892034,6.984,7.176,7.272,7.104,7.368,36.984,19
50274832,6284354,sequential,1000,7.278504,7.224,0.9790269290023189,6.984,7.176,7.272,7.104,7.344,25.392,14
51006096,6375762,sequential,1000,7.309224,7.224,1.5245869904060296,6.936,7.176,7.272,7.104,7.368,37.224,10
51748000,6468500,sequential,1000,7.310808,7.224,1.4825175200763507,6.984,7.176,7.272,7.104,7.344,43.464,14
52500688,6562586,sequential,1000,7.292088000000001,7.224,1.1318621330109706,6.96,7.176,7.272,7.104,7.344,31.44,22
53264328,6658041,sequential,1000,7.2864960000000005,7.224,0.9321656069082912,6.96,7.176,7.272,7.104,7.368,25.152,27
54039080,6754885,sequential,1000,7.292112,7.224,1.093252756248547,6.984,7.176,7.272,7.104,7.368,32.376,22
54825096,6853137,sequential,1000,7.306536,7.224,1.4134465252650288,6.984,7.176,7.272,7.104,7.368,42.456,17
55622544,6952818,sequential,1000,7.335696,7.224,1.9022598276881202,7.008,7.176,7.272,7.104,7.344,48.6,19
56431592,7053949,sequential,1000,7.285056,7.224,0.9702670390109059,7.008,7.176,7.272,7.104,7.368,25.056,21
57252408,7156551,sequential,1000,7.291848,7.224,1.1504045686485984,6.96,7.176,7.272,7.104,7.344,31.536,20
58085168,7260646,sequential,1000,7.295856000000001,7.224,1.201980339273484,6.984,7.176,7.272,7.104,7.345199999999999,33.12,22
58930032,7366254,sequential,1000,7.284624,7.224,0.9228978486609788,6.96,7.176,7.272,7.104,7.368,24.768,22
59787192,7473399,sequential,1000,7.287816,7.224,1.0033787156358216,6.912,7.176,7.272,7.104,7.344,27.84,21
60656816,7582102,sequential,1000,7.448352,7.224,5.566320596685128,6.912,7.176,7.272,7.104,7.344,180.264,17
61539088,7692386,sequential,1000,7.3056,7.224,1.5039597464423438,6.96,7.176,7.272,7.104,7.368,46.392,17
62434200,7804275,sequential,1000,7.279272000000001,7.224,0.9904181491300157,6.984,7.176,7.272,7.104,7.368,26.376,21
63342320,7917790,sequential,1000,7.284576,7.224,1.13229784360416,6.96,7.176,7.272,7.104,7.344,31.008,16
64263656,8032957,sequential,1000,7.3139520000000005,7.224,1.638816447636844,6.984,7.176,7.272,7.104,7.368,40.824,15
65198392,8149799,sequential,1000,7.26456,7.224,1.181224382342932,6.984,7.176,7.272,7.104,7.368,44.496,16
66146728,8268341,sequential,1000,7.2998400000000006,7.224,1.4016536745656623,6.96,7.176,7.272,7.104,7.344,41.328,14
67108856,8388607,sequential,1000,7.266192,7.224,0.8216871015349022,6.96,7.176,7.272,7.104,7.368,25.536,19
68084976,8510622,sequential,1000,7.27908,7.224,1.0625350546416539,6.984,7.176,7.272,7.104,7.344,28.656,16
69075296,8634412,sequential,1000,7.279248,7.224,0.9480124820708651,6.984,7.176,7.272,7.104,7.368,24.96,21
70080016,8760002,sequential,1000,7.289136,7.224,1.0605194590515665,7.008,7.176,7.272,7.104,7.368,27.96,22
71099352,8887419,sequential,1000,7.3004880000000005,7.224,1.2812646975083177,7.008,7.176,7.272,7.104,7.368,31.896,21
72133520,9016690,sequential,1000,7.320912,7.224,1.605714938810971,6.936,7.176,7.272,7.08,7.368,42.912,29
73182728,9147841,sequential,1000,7.318824,7.224,1.5936339297737503,7.008,7.176,7.272,7.104,7.368,41.184,26
74247192,9280899,sequential,1000,7.311528,7.224,1.4663779026463026,6.96,7.176,7.272,7.104,7.368,40.368,25
75327144,9415893,sequential,1000,7.291656000000001,7.224,1.167650506516984,6.984,7.176,7.272,7.104,7.368,33.672,23
76422800,9552850,sequential,1000,7.297392,7.224,1.1703416329746943,6.96,7.176,7.272,7.104,7.368,30.384,22
77534392,9691799,sequential,1000,7.2815520000000005,7.224,1.115439775689028,6.936,7.176,7.272,7.08,7.344,28.92,20
78662160,9832770,sequential,1000,7.3068480000000005,7.224,1.5115787002544931,7.008,7.176,7.272,7.104,7.344,39.384,16
79806328,9975791,sequential,1000,7.305168,7.224,1.2099918131805538,6.936,7.176,7.272,7.104,7.368,30.696,20
80967136,10120892,sequential,1000,7.2792,7.224,0.9971120822176937,6.936,7.176,7.272,7.104,7.368,27.336,20
82144832,10268104,sequential,1000,7.285512,7.224,0.9679693334432069,7.008,7.176,7.272,7.104,7.368,26.16,17
83339656,10417457,sequential,1000,7.268784,7.224,0.9728290073911354,6.984,7.176,7.272,7.104,7.368,29.952,18
84551856,10568982,sequential,1000,7.274904,7.224,0.9577963774647954,7.008,7.176,7.272,7.104,7.344,25.752,13
85781696,10722712,sequential,1000,7.284984000000001,7.224,1.0909425811927314,6.912,7.176,7.272,7.104,7.368,30.0,17
87029416,10878677,sequential,1000,7.280376,7.224,0.9130303012249675,7.008,7.176,7.272,7.104,7.368,27.864,19
88295288,11036911,sequential,1000,7.29516,7.224,1.1773780673655823,7.008,7.176,7.272,7.104,7.368,34.488,22
89579576,11197447,sequential,1000,7.302048,7.224,1.1945033260279738,6.984,7.176,7.272,7.08,7.368,33.432,28
90882536,11360317,sequential,1000,7.310448,7.224,1.3623719847092866,6.984,7.176,7.272,7.104,7.368,32.328,25
92204456,11525557,sequential,1000,7.30596,7.224,1.3367877647285407,6.936,7.176,7.272,7.104,7.368,34.056,23
93545600,11693200,sequential,1000,7.321752,7.224,1.374726347687796,6.984,7.176,7.272,7.104,7.368,29.856,24
