size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
94906256,11863282,sequential,1000,7.30056,7.224,1.1400455562258336,7.032,7.176,7.272,7.104,7.368,30.288,24
96286696,12035837,sequential,1000,7.278768,7.224,1.0082941015255278,7.008,7.176,7.272,7.104,7.368,26.784,20
97687216,12210902,sequential,1000,7.296792,7.224,1.3067100366400557,6.936,7.176,7.272,7.104,7.368,40.296,23
99108112,12388514,sequential,1000,7.287504,7.224,1.0875077540409077,6.96,7.176,7.272,7.104,7.368,30.696,20
100549672,12568709,sequential,1000,7.317648,7.224,1.6698819113020218,7.008,7.176,7.2780000000000005,7.08,7.368,46.224,19
102012200,12751525,sequential,1000,7.307256,7.224,1.55220636484427,6.984,7.176,7.272,7.104,7.368,42.36,23
103496000,12937000,sequential,1000,7.275048,7.224,0.9285654912646536,6.912,7.176,7.272,7.104,7.344,25.248,21
105001384,13125173,sequential,1000,7.417536,7.224,4.387063564552424,6.936,7.176,7.272,7.104,7.368,142.776,26
106528664,13316083,sequential,1000,7.293864,7.224,1.142789274025981,6.984,7.176,7.272,7.104,7.368,32.64,19
108078160,13509770,sequential,1000,7.295928,7.224,1.1109298086989365,6.984,7.176,7.272,7.104,7.368,30.36,22
109650192,13706274,sequential,1000,7.2846,7.224,0.9687878187910074,6.936,7.176,7.272,7.104,7.345199999999999,26.16,22
111245096,13905637,sequential,1000,7.301304,7.224,1.3406414834590086,6.984,7.176,7.272,7.104,7.368,41.712,29
112863192,14107899,sequential,1000,7.278384,7.224,0.9181004263896935,6.984,7.176,7.272,7.104,7.368,24.432,22
114504824,14313103,sequential,1000,7.283016,7.224,0.9665960540348154,7.032,7.176,7.272,7.104,7.368,25.968,13
116170336,14521292,sequential,1000,7.280328,7.224,1.0316869672601348,7.008,7.176,7.272,7.104,7.368,29.232,24
117860072,14732509,sequential,1000,7.2815520000000005,7.224,1.02169379831411,6.984,7.176,7.272,7.104,7.368,27.048,18
