size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,206.593272,205.656,7.981186389390878,189.168,202.08,209.112,197.03879999999998,222.1716,309.528,65
73182728,9147841,random,1000,217.244472,215.88,8.320302676095254,200.784,212.778,219.696,208.12679999999997,232.41119999999998,345.096,67
79806336,9975792,random,1000,225.538008,224.16,8.916733086106417,209.424,220.89,228.06,216.432,241.38,385.272,64
87029424,10878678,random,1000,235.256688,233.676,8.27350713633529,220.968,230.322,237.432,225.8628,255.09720000000002,274.368,89
94906264,11863283,random,1000,242.414736,241.104,8.048781113169353,228.408,237.792,244.494,233.9016,257.6196,332.616,85
103496016,12937002,random,1000,249.061848,247.296,9.632467381764485,234.912,244.2,250.74,239.9748,266.3796,419.352,87
112863200,14107900,random,1000,255.899544,254.544,7.661560206698429,240.696,251.4,258.126,246.7176,273.078,291.72,85
123078192,15384774,random,1000,261.90072,260.196,9.089284425793537,244.416,257.25,263.50199999999995,253.4388,278.11440000000005,420.84,98
134217728,16777216,random,1000,267.357624,265.392,8.81424076883284,251.496,262.56,268.554,258.6924,287.5704,360.648,110
146365464,18295683,random,1000,272.093832,270.36,9.00298549724699,257.832,267.40200000000004,273.822,263.8068,288.4164,435.24,102
159612672,19951584,random,1000,277.02096,275.136,9.007446909875975,263.736,272.424,278.40599999999995,269.11080000000004,293.38079999999997,435.192,104
174058856,21757357,random,1000,282.063144,280.368,8.099518903350354,269.544,277.722,283.326,273.98159999999996,298.2492,392.328,107
189812528,23726566,random,1000,286.580376,284.856,7.774871018736065,272.712,282.33000000000004,287.83799999999997,278.9748,303.17040000000003,350.952,111
206992032,25874004,random,1000,290.654832,288.588,10.06021808589216,277.776,286.272,291.42,282.64680000000004,306.93719999999996,447.024,120
225726408,28215801,random,1000,294.822456,293.232,7.197575112742316,282.144,290.808,296.09400000000005,286.8936,310.5132,340.248,107
246156392,30769549,random,1000,297.694248,295.92,8.25504288295921,282.408,293.688,298.44,290.496,314.046,434.952,126
268435456,33554432,random,1000,300.679896,298.812,8.667596660034722,289.632,296.418,301.344,293.4468,316.16639999999995,456.864,121
