size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
5931640,741455,sequential,1000,7.282776,7.224,1.1462170664352314,6.96,7.176,7.272,7.104,7.344,32.064,12
6017912,752239,sequential,1000,7.280136000000001,7.224,0.9085155750200731,6.984,7.176,7.272,7.104,7.368,24.504,19
6105448,763181,sequential,1000,7.286448,7.224,1.058966511920641,6.984,7.176,7.272,7.104,7.368,29.04,20
6194256,774282,sequential,1000,7.2671280000000005,7.224,0.9259236762661761,6.96,7.176,7.272,7.08,7.344,25.896,21
6284352,785544,sequential,1000,7.270512,7.224,0.9194336387538102,6.984,7.176,7.272,7.104,7.344,24.984,16
6375760,796970,sequential,1000,7.280856,7.224,1.3319270794638156,6.96,7.152,7.272,7.08,7.344,41.904,11
6468496,808562,sequential,1000,7.278456,7.224,1.0273006038130195,6.984,7.176,7.272,7.08,7.368,27.912,20
6562584,820323,sequential,1000,7.278984,7.224,1.0381217464750965,6.936,7.176,7.272,7.104,7.344,30.24,16
6658040,832255,sequential,1000,7.277088,7.224,1.0081404323740752,6.984,7.176,7.272,7.104,7.344,28.92,10
6754880,844360,sequential,1000,7.260744,7.224,0.8110946140475457,6.984,7.176,7.272,7.1028,7.345199999999999,25.56,12
6853136,856642,sequential,1000,7.268472,7.224,0.8833944005272407,7.008,7.176,7.272,7.104,7.344,24.504,12
6952816,869102,sequential,1000,7.294752,7.224,1.4059762884984297,7.008,7.176,7.272,7.104,7.344,42.912,18
7053944,881743,sequential,1000,7.302552,7.224,1.2322378314957587,7.008,7.176,7.272,7.104,7.368,28.656,15
7156552,894569,sequential,1000,7.268928,7.224,0.9108561234869609,6.984,7.176,7.272,7.104,7.368,24.456,17
7260640,907580,sequential,1000,7.274088,7.224,0.9816411868272824,6.936,7.176,7.272,7.104,7.344,25.416,14
7366248,920781,sequential,1000,7.284504,7.224,1.0310432212609266,7.008,7.176,7.272,7.104,7.368,27.96,23
7473392,934174,sequential,1000,7.272624,7.224,0.9132936372776785,6.984,7.176,7.272,7.104,7.344,24.624,9
