footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,1024,128,4096,0,random,1000,17.347752,17.04,4.770081513784031,16.944,16.992,17.064,16.968,17.112,159.624,31
147072,1149,128,4096,0,random,1000,38.864928,17.064,544.9585389767469,16.968,17.016,17.112,16.992,17.208,16469.544,29
165120,1290,128,4096,0,random,1000,17.240375999999998,17.04,2.026111806311704,16.968,17.016,17.064,16.992,17.16,47.928,51
185344,1448,128,4096,0,random,1000,17.341848,17.136,1.9392197291833781,16.992,17.064,17.184,17.016,17.2812,47.184,34
208000,1625,128,4096,0,random,1000,17.280815999999998,17.064,2.04372623388336,16.968,17.04,17.088,17.016,17.184,51.264,54
233472,1824,128,4096,0,random,1000,17.244647999999998,17.064,1.7243426880413888,16.992,17.04,17.088,17.016,17.184,47.832,69
262144,2048,128,4096,0,random,1000,17.217336,17.016,1.7668214536712965,16.944,16.992,17.064,16.968,17.16,42.984,47
294144,2298,128,4096,0,random,1000,17.6616,17.448,1.8495722807237411,17.136,17.376,17.52,17.304,17.740799999999997,45.888,52
330240,2580,128,4096,0,random,1000,18.833952,18.6,1.7351175564297163,18.336,18.552,18.696,18.456,19.4412,44.448,59
370688,2896,128,4096,0,random,1000,19.822992,19.608,1.7458316253293154,19.248,19.536,19.704,19.416,20.593199999999996,49.632,65
416128,3251,128,4096,0,random,1000,20.688,20.448,1.8742270574994546,20.112,20.376,20.544,20.304,21.169199999999996,46.536,62
467072,3649,128,4096,0,random,1000,21.320928,21.024,2.1281833716292584,20.688,20.928,21.12,20.856,22.248,52.632,109
524288,4096,128,4096,0,random,1000,22.05228,21.72,2.0461423127348604,21.12,21.552,21.912,21.384,23.208,48.768,125
588416,4597,128,4096,0,random,1000,24.426744,24.096,2.347197037403634,23.208,23.88,24.336,23.544,25.56,56.856,111
660480,5160,128,4096,0,random,1000,26.950656,26.568,2.367826979800313,25.536,26.304,26.928,26.016,28.248,57.984,75
741376,5792,128,4096,0,random,1000,28.663488,28.248,2.583287844965393,27.072,27.936,28.704,27.576,30.0,67.368,60
832128,6501,128,4096,0,random,1000,31.82952,31.332,2.591048996932421,29.568,30.888,32.088,30.432,33.721199999999996,62.856,42
934144,7298,128,4096,0,random,1000,34.796424,34.296,2.722863865832417,32.544,33.792,34.968,33.288,36.9372,61.92,60
1048576,8192,128,4096,0,random,1000,39.653616,39.072,3.1108679702089694,37.056,38.496,39.912,37.8,41.8572,70.68,45
1176960,9195,128,4096,0,random,1000,46.09344,45.504,3.15617014122502,42.864,44.784,46.47,43.968,48.3612,75.936,36
1321088,10321,128,4096,0,random,1000,53.008992,52.416,3.908478507575573,50.184,51.81,53.232,50.952,54.672,131.976,36
1482880,11585,128,4096,0,random,1000,56.745816,56.196,3.590796300574041,53.4,55.416,57.006,54.5028,58.7052,89.544,28
1664384,13003,128,4096,0,random,1000,59.585016,58.836,4.816767728996188,56.472,58.224,59.664,57.454800000000006,61.3932,161.64,38
1868288,14596,128,4096,0,random,1000,62.298072,61.704,3.492227043670062,59.448,61.008,62.502,60.238800000000005,63.96,94.464,31
2097152,16384,128,4096,0,random,1000,56.507736,55.608,4.068083631728672,55.176,55.488,55.8,55.296,57.87959999999998,88.2,70
2353920,18390,128,4096,0,random,1000,57.633048,55.896,5.2625318947859725,55.296,55.632,56.4,55.464,72.60359999999999,88.584,132
2642176,20642,128,4096,0,random,1000,59.187888,57.384,5.280181146551356,56.16,56.904,58.2,56.496,74.7156,90.672,128
2965760,23170,128,4096,0,random,1000,60.483048,58.692,5.54081334627275,57.048,58.2,59.454,57.6,75.43679999999999,110.472,122
3328896,26007,128,4096,0,random,1000,62.04648,59.964,6.684459992474411,57.936,59.28,61.446,58.632,74.5932,187.632,141
3736576,29192,128,4096,0,random,1000,63.091632,61.464,4.915863778143294,58.848,60.6,62.67,59.88,75.4656,102.624,124
4194304,32768,128,4096,0,random,1000,61.691544,58.872,7.265380733124815,55.32,55.968,65.81400000000001,55.536,75.96719999999999,99.768,29
