stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,262144,2097152,4096,random,1000,40.987224,40.08,4.1131661261618655,37.512,39.408,40.776,38.7348,46.810799999999986,94.608,88
16,131072,2097152,4096,random,1000,42.8148,41.328,4.975727202046872,39.0,40.728,42.24,39.936,53.1168,117.816,146
24,87381,2097152,4096,random,1000,44.5476,42.552,5.3770706516460045,39.888,41.856,44.286,40.944,56.9052,99.912,157
32,65536,2097152,4096,random,1000,46.901976,44.232,6.777134338144793,41.952,43.632,45.768,42.96,61.896,83.976,182
40,52428,2097152,4096,random,1000,55.43004,54.828,3.612550437442094,51.792,53.976,55.896,52.896,57.653999999999996,85.776,31
48,43690,2097152,4096,random,1000,55.97988,55.44,3.2468540982210974,51.288,54.552,56.448,53.470800000000004,58.632,84.432,43
56,37449,2097152,4096,random,1000,57.74592,57.264,3.3586830194624238,53.496,56.352,58.176,55.128,60.048,86.112,33
64,32768,2097152,4096,random,1000,59.280144,58.776,3.1771572052970827,55.08,57.96,59.622,56.856,61.657199999999996,87.648,38
72,29127,2097152,4096,random,1000,58.757328,58.2,3.2480914837335946,55.224,57.408,59.214,56.544,60.889199999999995,85.848,28
80,26214,2097152,4096,random,1000,58.361784,57.672,6.1960119190528555,54.096,56.808,58.608,55.824,60.24,178.704,31
88,23831,2097152,4096,random,1000,58.824912,58.152,5.675863209012655,55.032,57.264,59.16,56.184,61.08599999999999,202.872,30
96,21845,2097152,4096,random,1000,57.774456,57.096,3.421488060568473,53.448,55.968,58.752,54.936,61.176,85.152,25
104,20164,2097152,4096,random,1000,61.79712,61.224,3.077368769605642,57.912,60.528,62.046,59.784,63.984,86.28,48
112,18724,2097152,4096,random,1000,62.457168,61.992,3.2241821490583167,58.68,61.152,62.784,60.214800000000004,64.632,88.152,35
120,17476,2097152,4096,random,1000,63.780312,63.144,4.446565186367182,59.784,62.424,63.936,61.536,65.664,157.752,42
128,16384,2097152,4096,random,1000,64.230528,63.648,3.2245900263528156,61.704,63.048,64.398,62.328,65.832,97.56,32
136,15420,2097152,4096,random,1000,64.256472,63.72,3.1789081827650274,60.888,62.994,64.536,62.088,66.312,90.0,33
144,14563,2097152,4096,random,1000,64.30128,63.744,3.206068264294339,60.888,63.096,64.488,62.256,66.0972,96.84,36
152,13797,2097152,4096,random,1000,58.759824,58.176,3.7968181443209845,53.208,56.28,60.48,54.814800000000005,62.712,92.712,25
160,13107,2097152,4096,random,1000,54.592776,54.168,3.0038810594368153,51.144,53.448,54.942,52.512,56.304,85.272,29
168,12483,2097152,4096,random,1000,52.873416,52.392,3.0478589283283752,48.96,51.378,53.622,50.326800000000006,55.5132,81.864,25
176,11915,2097152,4096,random,1000,52.212264,51.456,3.365214476192383,48.456,50.544,52.752,49.536,56.928,83.28,62
184,11397,2097152,4096,random,1000,48.37596,46.716,4.092199163823334,43.632,45.648,50.976,44.52,54.6264,77.376,21
192,10922,2097152,4096,random,1000,45.350568,45.648,3.499681945991535,39.816,42.714,47.088,41.28,48.744,76.152,19
200,10485,2097152,4096,random,1000,39.57396,38.4,3.718892155099588,35.04,37.416,39.864,36.216,46.7052,64.896,147
208,10082,2097152,4096,random,1000,32.89692,32.424,2.5774672084840984,30.216,31.776,33.318,30.936,35.4972,60.816,46
216,9709,2097152,4096,random,1000,30.045648,29.616,2.4414267748168883,27.912,29.112,30.342,28.488,32.041199999999996,61.344,46
224,9362,2097152,4096,random,1000,30.451944,29.64,7.859099164442483,27.744,28.944,30.648,28.3428,33.0,246.528,43
232,9039,2097152,4096,random,1000,29.398056,29.1,2.2739502401236837,26.904,28.464,29.76,27.7428,31.27799999999999,59.592,35
240,8738,2097152,4096,random,1000,27.844992,27.408,3.1587380065035036,26.4,27.09,27.96,26.76,29.017199999999995,103.536,32
248,8456,2097152,4096,random,1000,28.543608,28.176,2.1386495711837235,26.712,27.84,28.776,27.4068,29.784,53.136,29
256,8192,2097152,4096,random,1000,61.528944,60.888,3.3504015250777397,59.232,60.408,61.416,59.856,63.56279999999999,91.368,61
264,7943,2097152,4096,random,1000,29.202456,28.944,1.9295808462736943,27.744,28.626,29.352,28.224,30.144,54.192,26
272,7710,2097152,4096,random,1000,26.733744,26.436,1.8526286814943504,25.752,26.184,26.856,25.944,27.577199999999998,54.288,27
280,7489,2097152,4096,random,1000,26.83968,26.496,2.0914318695250067,25.752,26.28,26.904,26.04,27.72,53.304,44
288,7281,2097152,4096,random,1000,26.604288,26.304,1.9710404779257127,25.608,26.064,26.67,25.824,27.408,52.824,34
296,7084,2097152,4096,random,1000,27.798144,27.504,2.1220987692495488,26.472,27.192,27.888,26.856,28.705199999999998,53.976,33
304,6898,2097152,4096,random,1000,26.554224,26.232,1.9561000396680097,25.536,26.016,26.592,25.776,27.504,50.256,58
312,6721,2097152,4096,random,1000,26.254992,25.992,1.853961949676111,25.368,25.728,26.352,25.56,26.952,49.44,22
320,6553,2097152,4096,random,1000,25.81536,25.464,1.920266708202439,25.08,25.344,25.848,25.224,26.496,51.888,41
328,6393,2097152,4096,random,1000,26.090064,25.752,1.9066627763836075,25.368,25.602,26.118,25.488,26.832,52.296,41
336,6241,2097152,4096,random,1000,26.093736,25.776,2.0071638011953157,25.248,25.56,26.136,25.368,26.904,51.768,37
344,6096,2097152,4096,random,1000,26.018064,25.704,1.9893842377855389,25.272,25.512,26.016,25.368,26.737199999999998,55.272,46
