footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,512,8,4096,0,sequential,1000,7.26936,7.2,1.2211545327241728,6.984,7.152,7.248,7.08,7.32,33.384,8
4592,574,8,4096,0,sequential,1000,28.629168,7.2,543.0850217875557,6.984,7.152,7.248,7.08,7.32,16459.992,9
5160,645,8,4096,0,sequential,1000,7.245480000000001,7.176,1.171441056027894,6.936,7.128,7.224,7.056,7.296,29.832,10
5792,724,8,4096,0,sequential,1000,7.249128,7.176,1.1305359751937165,6.96,7.128,7.248,7.08,7.32,30.6,6
6496,812,8,4096,0,sequential,1000,7.266456,7.2,1.3191926854729772,6.984,7.152,7.248,7.08,7.32,33.864,4
7296,912,8,4096,0,sequential,1000,7.274424,7.2,1.2148849318440087,6.936,7.152,7.248,7.08,7.32,31.8,10
8192,1024,8,4096,0,sequential,1000,7.2698160000000005,7.2,1.1778527340916638,7.008,7.152,7.248,7.08,7.32,30.792,6
9192,1149,8,4096,0,sequential,1000,7.244232,7.2,0.9600769791959298,6.864,7.152,7.248,7.08,7.297199999999999,26.496,9
10320,1290,8,4096,0,sequential,1000,7.256976,7.2,1.1356050890790963,6.96,7.152,7.248,7.08,7.32,29.496,9
11584,1448,8,4096,0,sequential,1000,38.437752,7.2,986.488548254472,6.96,7.152,7.248,7.08,7.32,31202.736,10
13000,1625,8,4096,0,sequential,1000,7.217736,7.176,0.8371685884871395,7.008,7.104,7.248,7.032,7.32,23.304,3
14592,1824,8,4096,0,sequential,1000,7.406376,7.2,4.8742354491589595,6.888,7.152,7.248,7.08,7.344,159.312,12
16384,2048,8,4096,0,sequential,1000,38.439504,7.2,986.2590741047059,6.96,7.152,7.248,7.08,7.32,31195.488,12
18384,2298,8,4096,0,sequential,1000,7.343568,7.2,2.6306487591980554,6.936,7.152,7.248,7.08,7.32,80.472,12
20640,2580,8,4096,0,sequential,1000,7.26096,7.2,1.110090628554085,6.984,7.152,7.248,7.056,7.321199999999999,29.736,6
23168,2896,8,4096,0,sequential,1000,7.3194,7.2,2.5813506486278013,6.936,7.128,7.248,7.08,7.32,80.712,9
26008,3251,8,4096,0,sequential,1000,7.283184,7.224,1.228108712269868,6.984,7.176,7.272,7.08,7.344,31.704,9
29192,3649,8,4096,0,sequential,1000,31.286064,7.224,759.3574221444245,7.008,7.176,7.272,7.104,7.344,24020.232,12
32768,4096,8,4096,0,sequential,1000,7.282896,7.2,1.3597112325121903,6.984,7.146,7.248,7.056,7.344,31.248,12
36776,4597,8,4096,0,sequential,1000,7.393032,7.248,1.185502613840823,7.008,7.176,7.344,7.104,7.824,31.344,159
41280,5160,8,4096,0,sequential,1000,7.318848,7.2,0.9715104824516889,6.984,7.152,7.296,7.056,7.752,28.464,141
46336,5792,8,4096,0,sequential,1000,7.314336,7.2,0.9969889960085628,6.984,7.152,7.296,7.0788,7.704,26.736,123
52016,6502,8,4096,0,sequential,1000,38.486472,7.224,986.3478961323037,6.96,7.152,7.296,7.08,7.68,31198.344,120
58384,7298,8,4096,0,sequential,1000,7.31472,7.2,1.3406955516306311,6.984,7.152,7.272,7.08,7.656,35.592,113
65536,8192,8,4096,0,sequential,1000,7.350984,7.2,2.5163527238395607,6.984,7.152,7.272,7.08,7.704,82.152,104
73560,9195,8,4096,0,sequential,1000,7.31076,7.224,0.9476888606375916,6.936,7.176,7.296,7.104,7.68,25.512,87
82568,10321,8,4096,0,sequential,1000,7.307832,7.224,1.0325348012981896,6.936,7.176,7.296,7.08,7.609199999999999,28.68,84
92680,11585,8,4096,0,sequential,1000,38.49324,7.224,986.4976079962672,6.936,7.176,7.296,7.104,7.608,31203.072,69
104032,13004,8,4096,0,sequential,1000,7.2611040000000004,7.2,0.99508728656932,6.984,7.128,7.248,7.056,7.416,28.56,44
116768,14596,8,4096,0,sequential,1000,7.26264,7.176,1.1084193826922768,6.96,7.128,7.248,7.056,7.416,30.696,49
131072,16384,8,4096,0,sequential,1000,7.263264,7.2,1.0405967806811456,6.984,7.128,7.248,7.056,7.417199999999999,29.424,50
