stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
56,1198372,67108864,4096,sequential,1000,7.922928,7.752,1.55145808612705,7.176,7.464,8.046,7.344,8.5932,35.04,27
57,1177348,67108864,4096,sequential,1000,8.11896,7.944,1.5663845143663948,7.416,7.68,8.256,7.56,8.809199999999999,41.832,26
58,1157049,67108864,4096,sequential,1000,8.145216,7.968,2.13592030677666,7.368,7.656,8.28,7.512,8.6892,47.04,16
59,1137438,67108864,4096,sequential,1000,8.102376,7.896,1.6564973268973355,7.296,7.656,8.232,7.536,8.688,35.544,22
60,1118481,67108864,4096,sequential,1000,8.147256,8.016,1.819564868526202,7.272,7.632,8.304,7.464,8.808,45.528,16
61,1100145,67108864,4096,sequential,1000,8.21904,7.992,1.9706473660808628,7.392,7.656,8.376,7.536,8.8812,42.72,17
62,1082401,67108864,4096,sequential,1000,8.167464,8.04,1.5192355173774938,7.344,7.632,8.4,7.512,8.904,39.864,13
63,1065220,67108864,4096,sequential,1000,8.225328,8.064,1.7090642026749214,7.368,7.656,8.448,7.512,8.904,37.44,12
64,1048576,67108864,4096,sequential,1000,8.09136,7.92,1.5745178744418677,7.296,7.56,8.28,7.44,8.8332,35.544,13
65,1032444,67108864,4096,sequential,1000,8.695272,8.256,2.3119708456654915,7.392,7.752,8.712,7.56,11.090399999999997,33.816,68
66,1016800,67108864,4096,sequential,1000,8.254104,8.136,1.5014601439091708,7.344,7.68,8.496,7.536,9.048,33.744,10
67,1001624,67108864,4096,sequential,1000,8.382287999999999,8.28,1.628938190566077,7.44,7.752,8.64,7.608,9.192,41.712,11
68,986895,67108864,4096,sequential,1000,8.6502,8.256,5.872893879725949,7.416,7.704,8.688,7.536,9.2892,164.784,17
69,972592,67108864,4096,sequential,1000,8.528376,8.4,2.018080036484593,7.512,7.824,8.832,7.6788,9.36,46.68,9
70,958698,67108864,4096,sequential,1000,8.454408,8.376,1.3160635184977665,7.512,7.824,8.784,7.656,9.288,31.44,11
71,945195,67108864,4096,sequential,1000,8.635224,8.52,1.6198999233241496,7.584,7.872,8.928,7.728,9.696,32.568,23
72,932067,67108864,4096,sequential,1000,8.479152,8.424,1.671667227714959,7.464,7.728,8.88,7.584,9.456,38.64,9
73,919299,67108864,4096,sequential,1000,8.935104,8.688,5.505776917443046,7.632,7.944,9.144,7.8,9.937199999999999,176.208,15
74,906876,67108864,4096,sequential,1000,9.164328,8.904,2.8036431990543313,7.704,7.992,9.456,7.848,11.018399999999998,59.088,40
