footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,512,256,4096,0,random,1000,17.540544,17.352,2.005660208743479,17.232,17.328,17.376,17.28,17.448,47.592,31
146944,574,256,4096,0,random,1000,39.66924,17.304,555.5557426319431,17.088,17.256,17.352,17.184,17.4,16741.752,21
165120,645,256,4096,0,random,1000,17.627136,17.256,5.036337219258664,17.088,17.232,17.328,17.16,17.4,159.072,22
185344,724,256,4096,0,random,1000,17.61252,17.328,2.9090849655754187,17.16,17.28,17.376,17.232,17.424,65.544,26
207872,812,256,4096,0,random,1000,17.595816,17.376,2.1830080206362417,17.232,17.352,17.424,17.304,17.472,53.328,19
233472,912,256,4096,0,random,1000,17.407272,17.208,2.0305116477300906,17.064,17.184,17.256,17.112,17.328,47.736,27
262144,1024,256,4096,0,random,1000,17.576832,17.352,2.402153817460227,17.136,17.304,17.376,17.232,17.472,56.544,47
294144,1149,256,4096,0,random,1000,17.808072,17.568,2.2962287598001496,17.304,17.52,17.64,17.448,17.736,54.696,37
330240,1290,256,4096,0,random,1000,19.113624,18.888,2.0636256660338166,18.6,18.84,18.96,18.744,19.1532,52.032,54
370688,1448,256,4096,0,random,1000,20.011536,19.752,2.278467055901583,19.488,19.704,19.824,19.608,19.992,54.144,53
416000,1625,256,4096,0,random,1000,20.917728,20.52,4.155877431691561,20.208,20.448,20.592,20.376,21.002399999999998,120.384,58
466944,1824,256,4096,0,random,1000,22.674624,22.32,3.1849362400960994,21.744,22.152,22.488,22.008,23.089199999999998,78.12,61
524288,2048,256,4096,0,random,1000,24.125832,23.784,2.65930326996709,23.136,23.64,23.976,23.424,25.08,59.88,94
588288,2298,256,4096,0,random,1000,25.36104,25.056,2.3550948444014153,24.312,24.84,25.302,24.624,26.1852,54.312,61
660480,2580,256,4096,0,random,1000,28.90092,28.56,2.946933220995856,27.432,28.248,28.896,27.768,29.736,67.584,45
741376,2896,256,4096,0,random,1000,29.783208,29.352,3.1457385020785598,28.56,29.112,29.616,28.848,30.722399999999997,74.832,74
832000,3250,256,4096,0,random,1000,30.715896,30.192,3.741812232056008,29.088,29.952,30.528,29.592,31.873199999999997,100.776,87
934144,3649,256,4096,0,random,1000,34.649376,34.152,3.0582884525307423,32.568,33.768,34.656,33.36,36.31439999999999,70.872,63
1048576,4096,256,4096,0,random,1000,39.990744,39.444,3.638076596195273,37.704,38.952,39.96,38.4,41.401199999999996,81.96,44
1176832,4597,256,4096,0,random,1000,45.842856,45.288,3.7098249948962225,43.392,44.76,45.864,44.086800000000004,47.21039999999999,82.776,41
1320960,5160,256,4096,0,random,1000,48.037008,47.4,3.6573613280368975,45.96,47.016,48.006,46.4868,49.2972,80.472,40
1482752,5792,256,4096,0,random,1000,53.50092,52.86,3.9594511932023297,51.192,52.344,53.472,51.790800000000004,54.770399999999995,96.768,33
1664256,6501,256,4096,0,random,1000,57.228432,56.544,4.462240582980304,54.624,56.04,57.096,55.368,58.44,127.008,40
1868288,7298,256,4096,0,random,1000,59.523648,58.872,4.167749600543299,56.784,58.344,59.4,57.744,60.529199999999996,93.288,33
2097152,8192,256,4096,0,random,1000,54.243864,53.376,4.135416556962986,52.92,53.256,53.55,53.064,54.746399999999994,86.88,104
2353920,9195,256,4096,0,random,1000,55.196568,53.472,5.19813014480961,52.848,53.304,53.76,53.088,67.37639999999999,91.704,151
2642176,10321,256,4096,0,random,1000,55.803624,54.552,4.809180541849943,53.952,54.36,54.888,54.192,64.85879999999999,100.512,105
2965760,11585,256,4096,0,random,1000,56.721168,55.68,4.290029644434421,54.84,55.416,56.088,55.176,63.026399999999995,89.04,83
3328768,13003,256,4096,0,random,1000,58.29588,56.712,5.2586457051461695,55.824,56.352,57.27,56.088,69.0996,103.032,130
3736576,14596,256,4096,0,random,1000,58.154952,57.48,4.000633165815559,56.568,57.144,57.888,56.784,58.848,94.584,45
4194304,16384,256,4096,0,random,1000,54.91224,53.424,4.701506595408185,52.968,53.304,53.592,53.16,63.96719999999999,97.92,154
