footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,32768,128,4096,0,sequential,1000,9.042144,8.784,1.670121875296034,8.64,8.736,8.856,8.712,9.964799999999997,37.656,94
4707840,36780,128,4096,0,sequential,1000,26.323632,8.784,536.9711887627658,8.616,8.736,8.832,8.710799999999999,11.018399999999998,16987.584,99
5284480,41285,128,4096,0,sequential,1000,9.195144,8.856,3.8855095897495917,8.664,8.784,8.952,8.736,10.08,118.656,131
5931520,46340,128,4096,0,sequential,1000,9.04812,8.784,2.1162342178655145,8.64,8.76,8.88,8.688,9.457199999999998,48.24,120
6657920,52015,128,4096,0,sequential,1000,9.147816,8.832,3.980993961193996,8.616,8.784,8.904,8.736,9.458399999999997,119.352,82
7473280,58385,128,4096,0,sequential,1000,9.326592,8.856,3.032823234266433,8.64,8.784,8.952,8.712,11.448,84.024,179
8388608,65536,128,4096,0,sequential,1000,9.105576000000001,8.784,2.8697941087211207,8.64,8.736,8.838000000000001,8.688,10.995599999999998,86.04,99
9415808,73561,128,4096,0,sequential,1000,9.021,8.808,3.328381767344183,8.664,8.784,8.88,8.712,9.0,82.608,33
10568960,82570,128,4096,0,sequential,1000,12.011928,10.248,6.376080887999015,8.664,9.0,13.038,8.76,20.112,159.072,60
11863168,92681,128,4096,0,sequential,1000,10.056936,9.288,4.791346883796336,8.64,8.904,10.272,8.76,12.7692,145.512,64
13315968,104031,128,4096,0,sequential,1000,9.239496,8.88,2.043619549438409,8.64,8.808,9.072,8.736,11.281199999999998,49.512,121
14946688,116771,128,4096,0,sequential,1000,9.069288,8.856,1.788193226715746,8.664,8.784,8.958,8.736,9.624,38.4,109
16777216,131072,128,4096,0,sequential,1000,9.003960000000001,8.784,1.5730666028293072,8.64,8.736,8.808,8.688,9.3372,37.968,104
18831744,147123,128,4096,0,sequential,1000,9.320856000000001,8.88,2.0687636680825525,8.664,8.784,9.048,8.712,11.521199999999999,46.368,159
21137920,165140,128,4096,0,sequential,1000,9.518016,8.88,3.0353864417227987,8.64,8.76,9.408,8.712,11.953199999999999,83.784,133
23726464,185363,128,4096,0,sequential,1000,9.951504,9.216,2.2023275725288283,8.688,8.904,10.326,8.76,12.7692,41.28,65
26632064,208063,128,4096,0,sequential,1000,14.819832,11.315999999999999,8.681616022638904,8.64,9.24,19.182,8.784,31.731599999999975,82.824,40
29893504,233543,128,4096,0,sequential,1000,16.320072,16.056,4.305328907739781,8.76,13.584,19.152,10.0776,22.273199999999996,57.312,7
33554432,262144,128,4096,0,sequential,1000,19.074504,19.152,3.503160585538732,9.888,17.4,20.622,14.3976,22.969199999999997,60.024,25
37663488,294246,128,4096,0,sequential,1000,25.114104,23.616,8.24982175978683,18.84,22.776,24.36,21.456,34.92359999999989,153.048,86
42275840,330280,128,4096,0,sequential,1000,22.76028,23.04,3.4043103128690113,11.928,21.888,23.808,17.732400000000002,24.9852,59.712,98
47453056,370727,128,4096,0,sequential,1000,24.69132,24.276,3.29318404811738,22.656,23.952,24.696,23.448,25.656,75.888,42
53264256,416127,128,4096,0,sequential,1000,24.069096,24.096,3.42786330497901,17.112,23.28,24.648,20.325599999999998,25.873199999999997,64.68,103
59787136,467087,128,4096,0,sequential,1000,26.293344,24.384,9.464939140353444,19.344,23.976,25.128,22.752,32.977199999999975,153.696,124
67108864,524288,128,4096,0,sequential,1000,24.28668,24.312,3.1771434141180777,17.28,23.754,24.888,20.1588,26.016,63.312,122
75327104,588493,128,4096,0,sequential,1000,24.849936,24.504,3.4312618626204956,14.4,24.144,25.038,23.088,26.328,65.856,86
84551808,660561,128,4096,0,sequential,1000,24.533256,24.504,2.784552191173541,14.76,24.096,25.008,21.3804,26.232,51.936,112
94906240,741455,128,4096,0,sequential,1000,24.934128,24.696,2.9403990821618717,15.96,24.312,25.344,22.4088,26.667599999999997,55.704,99
106528640,832255,128,4096,0,sequential,1000,26.622912,24.624,9.26957728007093,21.168,24.216,25.446,23.592,36.96119999999998,170.448,115
119574400,934175,128,4096,0,sequential,1000,24.903768,24.696,2.5748395742276857,14.76,24.288,25.272,23.304,26.497199999999996,55.872,76
134217728,1048576,128,4096,0,sequential,1000,24.968928,24.648,2.7294930912811175,16.08,24.312,25.272,23.7336,26.256,56.712,59
