num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,random,1000,8.464116,7.722,6.320325228620718,7.712,7.716,8.896,7.712,8.912,190.089,12
3,262144,random,1000,8.319928,7.722,2.7693099856485213,7.712,7.716,8.571,7.712,8.921149999999999,35.462,14
4,262144,random,1000,15.875937,11.671,125.67768639376014,11.442,11.598,11.681,11.595,12.498,3985.751,149
5,262144,random,1000,32.665186,12.568,625.0998124815043,12.508,12.552,12.577,12.536,13.922,19780.189,193
6,262144,random,1000,13.134944,12.904,1.881860855414965,12.837,12.865,12.908,12.864,13.826,40.027,99
7,262144,random,1000,14.203442,13.852,2.2112388373560714,13.843,13.849,13.852,13.849,14.841,41.69,153
8,262144,random,1000,14.103485000000001,13.85,1.944079424453534,13.846,13.849,13.852,13.849,14.838,46.878,111
9,262144,random,1000,9.580775,9.298,2.1284667709809733,9.2,9.249,9.353,9.212,10.23355,37.053,154
10,262144,random,1000,13.655253,13.171,2.7532832610733506,13.091,13.11,13.208,13.091,14.59515,40.936,197
11,262144,random,1000,13.372683,13.128,1.8963258898173043,13.058,13.101,13.15,13.079,14.08515,40.893,105
12,262144,random,1000,13.400752,13.169,2.0802240602004,13.082,13.11,13.208,13.089,14.111,55.589,105
13,262144,random,1000,15.699567,15.45,1.9725058567380391,15.4,15.429,15.468,15.416,16.549,48.934,94
14,262144,random,1000,33.899155,32.914,4.2141755094204605,32.85,32.881,32.933,32.872,35.54845,78.589,216
15,262144,random,1000,32.511189,32.24,1.9305590499967942,31.942,32.231,32.277,32.221,33.629,59.646,55
16,262144,random,1000,33.413348,32.869,3.040999653368574,32.798,32.838,32.92,32.804,34.563,73.251,145
17,262144,random,1000,40.490173,39.956,3.099242423992301,39.845,39.924,40.026,39.88595,41.604749999999996,76.056,95
18,262144,random,1000,39.358473,38.882,3.105087403770795,38.315,38.855,38.916,38.49155,40.698,82.357,145
19,262144,random,1000,38.427361,37.809,3.6332850563890497,37.748,37.772,37.873,37.757,39.931999999999995,90.422,113
20,262144,random,1000,36.938897000000004,36.392,3.167699015601773,36.373,36.386,36.398,36.377,37.77515,72.192,112
21,262144,random,1000,37.550928,36.849,4.427150665815862,36.782,36.825,36.871,36.791,38.827,100.853,107
22,262144,random,1000,38.14299,37.088,4.695115240440964,36.984,37.042,37.131,37.003,40.23815,89.327,177
23,262144,random,1000,37.75898,37.493,2.3229358037510095,36.975,37.4615,37.523,37.263000000000005,38.41115,80.533,108
24,262144,random,1000,37.59745,36.8,4.066240048697769,36.616,36.778,36.886,36.723,38.77035,91.67,161
25,262144,random,1000,41.606623,40.55,4.4646675597731,40.516,40.535,40.579,40.523,42.291999999999994,78.178,216
26,262144,random,1000,41.234647,40.741,3.5908222307270634,40.658,40.728,40.759,40.713,42.40305,99.599,79
27,262144,random,1000,39.824068000000004,39.526,2.2444404778105462,39.406,39.486,39.563,39.447,40.612300000000005,73.205,113
28,262144,random,1000,38.473473,38.085,2.752159487950892,37.874,38.026,38.159,37.95,39.5604,80.049,67
29,262144,random,1000,40.09687,39.44,3.6592946443808536,39.317,39.376,39.4815,39.339,41.153,91.049,118
30,262144,random,1000,39.134413,38.772,2.604968576723473,38.661,38.7405,38.809,38.71095,40.3243,82.689,67
31,262144,random,1000,39.130867,38.336,4.090229136576666,38.278,38.318,38.349,38.297,39.788,96.504,176
32,262144,random,1000,38.015346,37.656,2.607861035689108,37.618,37.641,37.714,37.625,39.01185,80.779,67
33,262144,random,1000,41.305067,40.649,3.475941498617721,40.572,40.621,40.683,40.594,42.7247,74.743,187
34,262144,random,1000,40.417742,39.833,3.201134207378636,39.778,39.805,39.855,39.79,41.38345,84.837,174
35,262144,random,1000,40.584689,39.131,5.667905657897442,39.044,39.097,40.51275,39.063,42.249300000000005,101.79,44
36,262144,random,1000,38.863690999999996,38.379,2.757447964476537,38.336,38.352,38.425,38.346,39.9546,72.143,123
37,262144,random,1000,38.896536,38.478,2.9077020101247797,37.984,38.459,38.499,38.0749,39.896300000000004,75.782,277
38,262144,random,1000,37.986517,37.533,2.7090440068670243,37.398,37.484,37.604,37.441,39.065149999999996,69.947,104
39,262144,random,1000,38.237622,37.987,2.1676338823158683,37.428,37.962,38.018,37.7192,38.11729999999996,78.878,107
40,262144,random,1000,38.083407,37.736,2.55908339863948,37.551,37.677,37.77825,37.60995,39.30715,80.279,67
