num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,random,1000,8.414226,7.722,3.2395776227925297,7.712,7.716,8.89675,7.712,8.912,55.015,15
3,262144,random,1000,9.797613,7.722,32.86178224322948,7.712,7.716,8.896,7.712,8.921,869.935,17
4,262144,random,1000,11.409778,7.741,99.50801630483666,7.712,7.722,8.265,7.713,8.951,3153.821,15
5,262144,random,1000,34.200865,13.849,630.5452323161404,13.843,13.849,13.853,13.849,15.388,19953.73,195
6,262144,random,1000,14.705114,13.85,3.6603188884808064,13.843,13.849,13.858,13.849,15.984,46.184,242
7,262144,random,1000,14.09551,13.849,1.8350876591096723,13.837,13.849,13.852,13.849,14.838,40.534,103
8,262144,random,1000,14.098685,13.85,1.8739421145872739,13.843,13.849,13.852,13.849,14.838,41.403,112
9,262144,random,1000,9.429545,9.298,1.310978618785949,9.068,9.249,9.353,9.212,9.959,36.515,106
10,262144,random,1000,13.532135,13.169,2.328039721250202,13.076,13.11,13.208,13.077,14.533,40.717,145
11,262144,random,1000,13.38812,13.168,1.8460747112290552,13.086,13.11,13.208,13.088,14.111,40.445,98
12,262144,random,1000,13.47205,13.147,2.213322546352925,13.051,13.1,13.181,13.061,14.111,40.293,145
13,262144,random,1000,34.343142,33.81,3.033831936026129,33.399,33.783,33.834,33.605,35.363,68.225,358
14,262144,random,1000,32.954976,32.451,2.043307505733532,31.878,32.424,33.178,32.381,34.567,60.605,53
15,262144,random,1000,33.160271,32.304,3.966341610266106,32.102,32.276,32.354,32.237,34.61,77.123,208
16,262144,random,1000,31.707481,30.919,3.2335624948417263,30.841,30.897,31.679,30.876,33.0976,83.51,82
17,262144,random,1000,39.225702,39.0355,2.009688986141143,38.532,38.984,39.072,38.609,39.21169999999996,71.136,282
18,262144,random,1000,39.00706,38.649,2.222814947919123,38.453,38.59625,38.923500000000004,38.529,39.057,80.902,49
19,262144,random,1000,38.091475,37.527,2.7838882781678436,37.383,37.471,37.815,37.429,39.05964999999999,70.769,117
20,262144,random,1000,37.073481,36.613,4.089058188202451,36.076,36.26075,36.616,36.116,38.673,110.916,87
21,262144,random,1000,37.236841,36.65,3.7944470250544997,36.303,36.497,36.871,36.405,38.78375,103.027,90
22,262144,random,1000,36.43595,35.662,3.9500237823817446,35.49,35.617,35.736,35.57,37.381,91.233,166
23,262144,random,1000,35.957342000000004,35.451,3.173744666201464,35.361,35.405,35.488,35.374,36.837300000000006,78.907,106
24,262144,random,1000,35.088567,34.402,3.454551004422015,34.205,34.34075,34.626,34.26395,36.15015,72.25,126
25,262144,random,1000,41.495211,40.894,3.310831611005827,40.876,40.894,40.894,40.89,42.047,73.949,393
26,262144,random,1000,40.745731,40.336,3.035677476673268,39.937,40.066,40.428,39.993,41.96345,82.636,103
27,262144,random,1000,39.706529,39.569,2.2799281865213854,39.008,39.214,39.582,39.085,39.67999999999997,83.01,50
28,262144,random,1000,38.662827,38.242999999999995,3.2057053326453366,37.87,38.02,38.493,37.937850000000005,39.63715,90.494,67
29,262144,random,1000,39.233173,38.796,2.761784416683394,38.665,38.766,38.836,38.713,40.4401,71.849,84
30,262144,random,1000,38.584175,38.177,3.316295600347454,37.778,37.918499999999995,38.248,37.846,39.59055,88.892,102
31,262144,random,1000,38.072864,37.41,3.7013637612638397,36.978,37.167249999999996,37.481,37.0599,39.1121,70.925,144
32,262144,random,1000,36.942832,36.578,2.2895792598123705,36.318,36.5,36.834,36.41095,38.2343,71.2,64
33,262144,random,1000,40.755337,40.443,3.0617778131026765,40.007,40.121,40.489,40.069,41.61345,83.042,67
34,262144,random,1000,40.81119,40.236000000000004,3.2419857142299797,40.014,40.146,40.621,40.063,42.02445,92.615,77
35,262144,random,1000,39.686632,39.224000000000004,3.030462256829157,39.021,39.128,39.474,39.07295,41.01555,97.769,66
36,262144,random,1000,39.438306,38.923,3.1715316248165037,38.33,38.62475,38.965250000000005,38.429,40.65815,75.415,152
37,262144,random,1000,39.857055,38.799,5.109241400213995,38.606,38.769,38.83,38.668,41.857,106.647,223
38,262144,random,1000,38.943444,38.589,2.592421640247748,38.511,38.566,38.615,38.5379,40.020300000000006,80.917,69
39,262144,random,1000,38.41121,38.186,2.479123595487265,37.73,37.842,38.251,37.795899999999996,39.2931,71.49,76
40,262144,random,1000,38.049178,37.747,2.8425808164437494,37.25,37.389,37.763,37.291,39.1781,65.335,92
