num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,262144,sequential,1000,8.310824,7.722,2.686026134165008,7.712,7.716,8.577,7.712,8.912,35.688,13
3,262144,sequential,1000,11.429223,8.274,97.3963798763295,7.712,7.722,8.29775,7.713,8.905,3087.386,10
4,262144,sequential,1000,12.104711,11.664,6.4932183260467,11.527,11.596,11.678,11.595,12.886,207.752,109
5,262144,sequential,1000,12.705535,12.561,1.38651241445955,12.515,12.537,12.568,12.536,13.449,39.439,59
6,262144,sequential,1000,13.429902,12.907,3.8138470611446653,12.84,12.865,12.908,12.864,14.29,102.91,199
7,262144,sequential,1000,13.409396000000001,13.079,2.292577813775623,13.048,13.058,13.08,13.057,14.0131,47.144,146
8,262144,sequential,1000,14.094297000000001,13.852,1.925627715548852,13.846,13.849,13.852,13.849,14.838,46.386,110
9,262144,sequential,1000,9.421768,9.295,1.4192181179234722,9.151,9.249,9.353,9.212,9.9051,37.161,75
10,262144,sequential,1000,37.882227,37.582,2.447208442824933,37.134,37.582,37.637,37.195,38.654,70.491,275
11,262144,sequential,1000,36.304387,36.021,2.1856401730836654,35.99,36.009,36.036,35.997,37.57615,78.707,56
12,262144,sequential,1000,34.640347999999996,34.11,3.091040316970508,34.021,34.034,34.114,34.03,35.42015,63.098,97
13,262144,sequential,1000,35.733876,35.076,3.7696426757090022,35.042,35.061,35.08,35.046,36.2117,89.907,130
14,262144,sequential,1000,33.843703999999995,33.577,2.2160495897357917,33.497,33.537,33.611,33.509,33.75329999999993,74.334,50
15,262144,sequential,1000,33.307242,32.668,3.7483820351342683,32.506,32.617,32.687,32.596,35.0103,92.491,100
16,262144,sequential,1000,31.686603,31.099,3.105803426218941,30.841,31.034,31.228,30.879,32.597,72.677,202
17,262144,sequential,1000,39.047767,38.723,2.2753955800600383,38.622,38.695,38.765,38.662,40.265,71.715,71
18,262144,sequential,1000,40.602745999999996,39.898,3.8642239474699442,39.799,39.882,39.913,39.854,40.7454,82.981,151
19,262144,sequential,1000,38.243275,37.867,2.9384058978629204,37.781,37.845,37.904,37.799,37.99645,93.739,51
20,262144,sequential,1000,36.807675,36.46,2.460234301076056,36.324,36.423,36.520250000000004,36.379850000000005,37.62515,76.628,68
21,262144,sequential,1000,37.623723999999996,37.177,2.700607650790375,37.119,37.156,37.22,37.143,38.68315,71.485,90
22,262144,sequential,1000,36.709149000000004,36.064,3.450424542621288,35.852,36.0015,36.13725,35.926,37.4531,70.376,149
23,262144,sequential,1000,36.816665,35.607,5.1316126589266515,35.478,35.546,35.64775,35.503,38.64345,89.775,197
24,262144,sequential,1000,34.880978999999996,34.641,1.6774578413087968,34.457,34.592,34.755,34.54,35.8297,61.892,51
25,262144,sequential,1000,40.109367,39.79,2.582408992494318,39.778,39.787,39.79,39.786,39.908199999999944,83.421,116
26,262144,sequential,1000,39.958963,39.459,3.1860299377745016,39.303,39.41,39.529,39.352,40.89185,80.819,79
27,262144,sequential,1000,39.803941,38.894,4.070399293672419,38.858,38.885,38.901,38.864,41.86015,72.005,177
28,262144,sequential,1000,38.045366,37.6265,2.5734855344143357,37.407,37.564,37.696,37.5,39.086,80.77,128
29,262144,sequential,1000,38.271474,37.809,2.925831621265995,37.668,37.779,37.846,37.735,39.31045,80.254,98
30,262144,sequential,1000,37.569007,37.229,2.443283981768506,37.009,37.177,37.294,37.094,38.58025,69.829,72
31,262144,sequential,1000,37.29443,37.018,2.1071174164974544,36.904,36.972,37.027,36.91,38.29315,64.811,58
32,262144,sequential,1000,36.52735,36.137,2.7150268219935034,35.678,36.054,36.22925,35.923,37.4583,70.66,83
33,262144,sequential,1000,40.857535,40.274,3.2200320323040366,40.158,40.247,40.317,40.216,41.656,74.477,141
34,262144,sequential,1000,41.487421000000005,40.6625,4.240120244456099,40.602,40.637,40.692,40.618,42.777300000000004,109.055,158
35,262144,sequential,1000,40.367665,39.996,2.451555327194819,39.949,39.971,40.023,39.962,41.41715,71.077,66
36,262144,sequential,1000,39.922158,39.177,4.2656895201266245,39.106,39.155,39.235,39.131,41.25215,109.254,124
37,262144,sequential,1000,39.551902,38.983,3.4263145269565713,38.882,38.956,39.014,38.922,40.42,85.778,102
38,262144,sequential,1000,39.036527,38.422,3.3603124049304895,38.168,38.346,38.49,38.26885,39.9181,91.255,168
39,262144,sequential,1000,38.836825,38.248999999999995,3.473015937204302,38.195,38.223,38.336,38.201,39.74715,92.52,98
40,262144,sequential,1000,38.301186,37.791,3.2006810563735697,37.756,37.778,37.803,37.757,39.195,80.385,107
