num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,25165824,random,1000,8.303436,7.722,2.9244361337879488,7.712,7.716,7.725,7.712,8.91215,36.739,233
3,25165824,random,1000,8.393322,7.722,2.921112355200962,7.712,7.716,8.899,7.712,8.912,35.831,16
4,25165824,random,1000,8.269617,7.743,2.931533516962082,7.712,7.731,8.274,7.713,8.577,48.453,13
5,25165824,random,1000,27.583026,7.722,621.4164060306916,7.712,7.716,7.725,7.712,8.274,19658.769,178
6,25165824,random,1000,7.7452440000000005,7.721,0.4710936910315503,7.712,7.715,7.725,7.712,7.725,17.434,19
7,25165824,random,1000,7.745824,7.721,0.49710444964600536,7.712,7.715,7.722,7.712,7.722,18.376,39
8,25165824,random,1000,7.915394,7.722,1.5294471626661013,7.712,7.715,7.722,7.712,8.2921,34.589,177
9,25165824,random,1000,9.409617,9.298,1.301962743436346,9.108,9.246,9.353,9.212,9.908,36.273,77
10,25165824,random,1000,41.116028,39.805,4.975136151598561,39.698,39.796,41.429,39.787,42.83215,94.362,38
11,25165824,random,1000,40.521763,40.2435,2.0996010786624493,40.176,40.222,40.271,40.192,40.367,73.258,59
12,25165824,random,1000,40.795421,40.097,3.868244357608393,39.455,40.039,40.31425,39.59685,41.77205,91.142,199
13,25165824,random,1000,41.042603,40.762,1.9614124640792017,40.498,40.71,40.916,40.563,41.18414999999998,68.849,50
14,25165824,random,1000,42.91009,42.427,3.25715618021032,42.399,42.418,42.44,42.4,44.395300000000006,88.676,68
15,25165824,random,1000,43.423579000000004,42.302,4.24255648061994,42.129,42.24,43.703500000000005,42.188,45.21674999999999,79.615,36
16,25165824,random,1000,42.438475,42.154,2.1329543163158675,42.096,42.111,42.17,42.099,43.303149999999995,75.029,53
17,25165824,random,1000,42.503651,42.256,2.071542850867918,42.172,42.2145,42.265,42.179,42.271,74.558,49
18,25165824,random,1000,43.244349,42.688,3.5685023505982483,42.547,42.648,42.731750000000005,42.611,44.51305,106.88,79
19,25165824,random,1000,44.882796,43.902,3.920087319304887,43.237,43.819,44.02275,43.539699999999996,46.37319999999998,97.875,278
20,25165824,random,1000,45.679757,45.528,0.8959720944007937,45.451,45.497,45.635,45.47595,45.672,52.98,20
21,25165824,random,1000,48.434274,47.253,5.146104524852241,46.988,47.19,47.337,47.101,51.04845,107.116,192
22,25165824,random,1000,47.875555999999996,47.665,1.559902887965749,47.478,47.61,47.72,47.555,47.773,75.293,34
23,25165824,random,1000,47.879336,47.248,2.741755194150027,47.181,47.227,47.26925,47.205,49.1744,80.786,178
24,25165824,random,1000,47.383847,47.098,2.0297360942258487,46.908,47.024,47.162,46.966,47.2646,78.91,49
25,25165824,random,1000,47.674333,47.242,2.6340502240264314,47.083,47.22,47.28125,47.187,49.27705,76.363,60
26,25165824,random,1000,47.318425,46.999,1.4048028158166275,46.764,46.942,47.061,46.855,49.18,74.574,100
27,25165824,random,1000,48.396666,47.582,4.042107872199169,47.53,47.57,47.592,47.55795,50.3123,82.18,134
28,25165824,random,1000,47.901289,47.361,3.055549851724788,47.318,47.334,47.38,47.325,49.361,80.8,81
29,25165824,random,1000,48.71221,47.632,4.49669534735754,47.579,47.613,47.6605,47.598,51.471149999999994,101.263,178
30,25165824,random,1000,48.072942,47.463,2.558664958724961,47.389,47.433,47.5005,47.407,49.7321,82.593,170
31,25165824,random,1000,47.575155,47.117999999999995,2.87295962414667,46.904,47.043,47.1755,46.972,48.93815,79.82,68
32,25165824,random,1000,47.656909,47.454,1.5977807753647324,47.236,47.37375,47.512,47.291,47.589,76.175,34
33,25165824,random,1000,47.782235,47.475,2.086809172468172,47.404,47.454,47.496,47.433,47.62245,84.727,66
34,25165824,random,1000,47.555512,47.193,2.3721076570410107,47.064,47.144,47.233,47.088,49.14625,80.264,64
35,25165824,random,1000,47.839588,47.344,3.3288352086130817,47.306,47.337,47.389,47.319,49.216399999999965,99.472,62
36,25165824,random,1000,48.082549,47.594,3.0103041881019106,47.53,47.545,47.613,47.533,49.480599999999995,85.308,69
37,25165824,random,1000,49.356128,47.794,5.942813510454121,47.748,47.784,47.837,47.773,51.94345,126.288,249
38,25165824,random,1000,48.306531,48.006,2.0087245498963657,47.947,47.981,48.033,47.957,49.85,79.43,57
39,25165824,random,1000,49.150382,47.849,4.332270897024008,47.751,47.824,49.591750000000005,47.785,51.879149999999996,99.238,33
40,25165824,random,1000,48.574548,47.917,3.657562681960279,47.883,47.902,47.938,47.889,50.69215,111.766,109
