num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,25165824,sequential,1000,8.288336,7.722,2.579022350307842,7.712,7.716,8.899,7.712,8.921,37.577,12
3,25165824,sequential,1000,8.311794,7.731,2.7957461916869946,7.712,7.722,8.27625,7.713,8.924,39.492,13
4,25165824,sequential,1000,22.505288,7.722,444.4170385686953,7.712,7.716,8.571,7.712,8.912,14060.777,13
5,25165824,sequential,1000,8.126857,7.722,2.662203077486159,7.712,7.716,8.263,7.712,8.577,53.695,11
6,25165824,sequential,1000,7.944446,7.722,1.786254738573162,7.712,7.715,7.722,7.712,8.277,34.858,159
7,25165824,sequential,1000,7.842823,7.722,1.2845929015036608,7.712,7.715,7.725,7.712,8.268,34.493,107
8,25165824,sequential,1000,7.971377,7.722,2.4910574252648146,7.712,7.716,7.725,7.712,8.274,69.322,178
9,25165824,sequential,1000,9.508821,9.295,1.787933861319107,9.105,9.249,9.353,9.212,9.962,36.885,144
10,25165824,sequential,1000,45.039625,43.363,4.884455012910667,43.283,43.332,45.072500000000005,43.304,46.48555,94.016,40
11,25165824,sequential,1000,44.511314999999996,43.982,3.0478082063406875,43.942,43.966,43.998,43.948,45.277100000000004,78.09,89
12,25165824,sequential,1000,44.306082,43.737,3.073687828023552,43.718,43.728,43.761,43.724,45.18915,71.631,101
13,25165824,sequential,1000,43.735397999999996,42.909,3.4895365576223707,42.875,42.9,42.94,42.888,44.746,76.794,220
14,25165824,sequential,1000,44.292673,43.068,4.651751125609108,42.808,43.029,43.14425,42.967,46.112049999999996,96.35,247
15,25165824,sequential,1000,43.869689,43.488,2.403370104277978,43.433,43.47,43.519,43.4479,45.063,74.782,64
16,25165824,sequential,1000,43.456834,43.169,2.0908144928921093,43.141,43.154,43.17,43.142,44.82145,78.013,51
17,25165824,sequential,1000,44.098879000000004,43.332,3.6111605839566483,43.298,43.323,43.354,43.304,45.6732,79.658,159
18,25165824,sequential,1000,45.358143999999996,44.614,3.3472066433934997,44.458,44.57,44.688,44.516,46.36815,79.623,198
19,25165824,sequential,1000,46.739195,45.7995,4.463855219246407,45.751,45.776,45.84625,45.755,49.389,98.816,133
20,25165824,sequential,1000,47.504189000000004,47.021,2.8767781011962885,46.966,46.994,47.049,46.966,48.87815,80.449,81
21,25165824,sequential,1000,49.26589,48.659,3.5870411980428183,48.548,48.631,48.708,48.613,51.238,101.734,82
22,25165824,sequential,1000,49.89879,48.99,3.866315381410126,48.879,48.938,49.021,48.913,51.4812,82.688,203
23,25165824,sequential,1000,50.158216,49.03,4.377872602516874,48.929,48.983,49.057,48.962,52.88405,90.643,190
24,25165824,sequential,1000,49.033518,48.757,2.043144072594338,48.646,48.689,48.766,48.671,50.18445,81.622,55
25,25165824,sequential,1000,48.797744,48.187,3.247814544548346,48.159,48.18,48.199,48.168,50.1643,83.132,96
26,25165824,sequential,1000,49.145106,48.873,2.0246998078915492,48.769,48.833,48.916,48.809,48.935,82.663,47
27,25165824,sequential,1000,49.416217,49.101,2.4357064675175675,48.935,49.07,49.1135,49.051,49.125,91.955,49
28,25165824,sequential,1000,49.005424,48.435,3.365353806432017,48.306,48.398,48.472,48.361,50.166,100.382,83
29,25165824,sequential,1000,48.997178,48.3,3.204535012285084,48.192,48.239,48.325500000000005,48.211,51.006949999999996,80.768,146
30,25165824,sequential,1000,49.292002,48.796,2.83282572771422,48.735,48.766,48.849,48.751,50.488,80.779,72
31,25165824,sequential,1000,49.231843999999995,48.723,3.0662191483208656,48.662,48.699,48.748,48.677,50.52815,82.605,69
32,25165824,sequential,1000,49.43916,49.198,1.8005056453615969,49.069,49.168,49.205,49.14,49.233,76.736,44
33,25165824,sequential,1000,50.022577,48.576,5.205418105178557,48.499,48.542,48.656,48.512,52.74835,102.79,229
34,25165824,sequential,1000,49.319609,48.714,3.691409070944055,48.634,48.704,48.769,48.646,51.0191,102.39,80
35,25165824,sequential,1000,48.56104,48.15,2.877459201075465,48.07,48.095,48.196,48.07,49.844300000000004,100.996,64
36,25165824,sequential,1000,49.033501,48.147,3.7571145470585163,48.043,48.116,48.2025,48.07995,50.37244999999999,81.072,187
37,25165824,sequential,1000,48.792006,48.527,2.192872486878274,48.49,48.518,48.539,48.497,48.546,96.753,36
38,25165824,sequential,1000,48.462804,48.073,2.524087768015337,47.926,48.027,48.1235,47.965,49.796,78.608,53
39,25165824,sequential,1000,48.114983,47.756,2.3955615341240506,47.54,47.69,47.815,47.6189,49.547,79.839,56
40,25165824,sequential,1000,48.773951,48.346,2.68204776557313,48.322,48.346,48.346,48.343,49.78125,79.489,182
