size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,8.807775,8.277,3.7219679778314863,8.263,8.27125,8.896,8.263,8.915,95.404,14
1112,139,sequential,1000,12.073563,8.274,107.69744132251913,8.263,8.266,8.896,8.263,8.915,3413.588,13
1216,152,sequential,1000,25.19923,8.277,521.9756484894666,8.263,8.268,8.568,8.263,8.597,16514.325,12
1328,166,sequential,1000,8.33007,8.272,1.1346639790904818,8.263,8.266,8.277,8.263,8.28315,40.227,17
1448,181,sequential,1000,8.306554,8.272,0.5826296803531626,8.263,8.266,8.277,8.263,8.277,21.367,17
1576,197,sequential,1000,8.290263,8.272,0.4383502786560057,8.263,8.266,8.275,8.263,8.277,19.248,26
1720,215,sequential,1000,8.362998,8.338,0.472661101120573,8.318,8.332,8.344,8.323,8.349,19.297,3
1872,234,sequential,1000,8.511267,8.334,1.6126589703547571,8.312,8.329,8.34,8.323,8.973,34.114,114
2048,256,sequential,1000,8.353828,8.332,0.4167683988911759,8.309,8.326,8.337,8.317,8.346,16.554,14
2232,279,sequential,1000,8.430413,8.326,1.2231349653961228,8.303,8.32,8.335,8.309,8.63005,33.779,80
2432,304,sequential,1000,8.356159,8.323,0.542443448309235,8.303,8.315,8.329,8.309,8.34,19.357,4
2656,332,sequential,1000,8.425037,8.32,1.2080798726117448,8.303,8.314,8.326,8.309,8.6251,33.265,158
2896,362,sequential,1000,8.348871,8.317,0.5353425183664856,8.289,8.311,8.323,8.3,8.329,19.697,10
3152,394,sequential,1000,8.348513,8.312,0.5912173100804295,8.289,8.306,8.32,8.297,8.329,21.416,4
3440,430,sequential,1000,8.626036000000001,8.598,1.8471028172577513,8.289,8.309,8.619,8.3,8.633,34.894,9
3752,469,sequential,1000,8.620673,8.311,2.375795500949805,8.289,8.303,8.601,8.297,8.624,45.565,11
4096,512,sequential,1000,8.344094,8.306,0.6309736975270609,8.283,8.3,8.309,8.292,8.315,19.662,37
