size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
35728,4466,sequential,1000,9.043016,8.36,9.095094666947933,8.308,8.346,8.95725,8.334,9.013,284.665,12
36248,4531,sequential,1000,8.718481,8.355,2.1480109223562067,8.298,8.343,8.948,8.326,9.004,34.028,11
36776,4597,sequential,1000,24.262874,8.329,485.9043611112263,8.286,8.315,8.636,8.303,8.973,15373.919,15
37312,4664,sequential,1000,8.471173,8.3245,1.6198999292708953,8.292,8.315,8.335,8.303,8.958,42.22,79
37856,4732,sequential,1000,8.360278,8.326,0.579878756369026,8.292,8.317,8.341,8.306,8.3641,22.701,17
38408,4801,sequential,1000,8.351499,8.317,0.5350842991587458,8.291,8.309,8.326,8.3,8.341,19.323,19
38960,4870,sequential,1000,8.43048,8.323,1.2452543049047788,8.283,8.312,8.335,8.303,8.627,34.128,83
39528,4941,sequential,1000,8.35795,8.318,0.607478710642508,8.286,8.311,8.326,8.303,8.344,20.004,37
40104,5013,sequential,1000,8.343366,8.317,0.43813260118395686,8.283,8.311,8.326,8.303,8.343,16.729,34
40688,5086,sequential,1000,8.349792,8.321,0.5146169364948333,8.283,8.314,8.329,8.303,8.346,19.564,23
41280,5160,sequential,1000,8.503184,8.326,1.665722190691041,8.289,8.315,8.338,8.303,8.639,33.903,155
41880,5235,sequential,1000,8.355123,8.317,0.5939239020888724,8.283,8.309,8.326,8.303,8.34005,21.217,21
42488,5311,sequential,1000,8.351352,8.317,0.5430616982480942,8.289,8.309,8.326,8.3,8.343,20.027,15
43112,5389,sequential,1000,8.343195,8.32,0.4181249782929411,8.286,8.309,8.329,8.3,8.346,16.275,10
43736,5467,sequential,1000,8.417185,8.32,1.1874756389788248,8.288,8.311,8.332,8.303,8.62405,33.245,82
44368,5546,sequential,1000,8.355652,8.32,0.5593413927912807,8.283,8.312,8.329,8.303,8.344,20.062,17
45016,5627,sequential,1000,8.352572,8.32,0.5253318040251517,8.288,8.309,8.329,8.3,8.346,19.605,10
45672,5709,sequential,1000,8.420776,8.318,1.1927850040513965,8.289,8.311,8.329,8.3,8.6191,32.961,83
46336,5792,sequential,1000,8.334014,8.32,0.3054663606708626,8.283,8.312,8.32675,8.3,8.346,15.255,42
47008,5876,sequential,1000,8.432686,8.323,1.2223536418851255,8.285,8.314,8.335,8.303,8.624,33.356,95
47696,5962,sequential,1000,8.645314,8.326,2.355289354484359,8.286,8.314,8.35725,8.303,8.958,43.927,247
48392,6049,sequential,1000,8.650911,8.326,2.274981693725421,8.292,8.314,8.615,8.303,8.642,34.117,12
49088,6136,sequential,1000,8.356188,8.323,0.5260793915201223,8.292,8.31475,8.332,8.303,8.346,19.372,12
49808,6226,sequential,1000,8.342468,8.318,0.41000700325569894,8.294,8.312,8.326,8.303,8.343,16.195,25
50528,6316,sequential,1000,8.349584,8.32,0.5286129875765773,8.291,8.312,8.329,8.303,8.34305,21.278,16
51264,6408,sequential,1000,8.358297,8.323,0.5532314957401457,8.289,8.314,8.332,8.303,8.349,19.757,21
52008,6501,sequential,1000,8.351319,8.317,0.534017265337628,8.28,8.309,8.326,8.302850000000001,8.346,19.68,22
52768,6596,sequential,1000,8.426847,8.323,1.2133415616949486,8.283,8.314,8.334,8.303,8.625,33.655,86
53536,6692,sequential,1000,8.659741,8.329,2.3781363612020803,8.283,8.315,8.618,8.303,8.95815,45.352,11
54312,6789,sequential,1000,8.595497,8.321,2.1989747633842915,8.288,8.312,8.61,8.303,8.639,43.449,9
55104,6888,sequential,1000,8.355781,8.323,0.526820710583876,8.283,8.314,8.332,8.303,8.349,20.657,22
55904,6988,sequential,1000,8.352936,8.321,0.5008146555595425,8.283,8.312,8.331,8.303,8.346,19.668,18
56720,7090,sequential,1000,8.341408,8.317,0.406737656305704,8.286,8.311,8.326,8.303,8.341,17.342,29
57544,7193,sequential,1000,8.34291,8.317,0.4762492911147347,8.286,8.309,8.326,8.3,8.338,19.423,15
58384,7298,sequential,1000,8.36733,8.317,0.9364766615552348,8.283,8.311,8.326,8.303,8.343,35.06,23
59232,7404,sequential,1000,8.354937,8.323,0.5025515347465134,8.283,8.312,8.332,8.303,8.34915,18.023,15
60096,7512,sequential,1000,8.346337,8.323,0.4214037096627384,8.283,8.314,8.332,8.303,8.349,17.342,23
