size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4987896,623487,sequential,1000,8.683043,8.621,1.1772588515507347,8.589,8.615,8.627,8.604,8.636,42.023,22
5060440,632555,sequential,1000,8.65677,8.621,0.5857866720275609,8.58,8.613,8.627,8.604,8.636,18.676,10
5134048,641756,sequential,1000,8.647455,8.621,0.47300738256285074,8.592,8.615,8.627,8.60695,8.636,17.608,15
5208728,651091,sequential,1000,8.655399000000001,8.621,0.553266363940976,8.583,8.613,8.627,8.604,8.636,17.886,11
5284488,660561,sequential,1000,8.654876,8.621,0.5368115286031413,8.586,8.615,8.627,8.604,8.636,17.572,15
5361352,670169,sequential,1000,8.64761,8.621,0.47269215963222594,8.589,8.615,8.63,8.604,8.639,17.525,12
5439336,679917,sequential,1000,8.659103,8.621,0.5936052961679491,8.589,8.613,8.628,8.604,8.639,18.694,18
5518456,689807,sequential,1000,8.719803,8.621,1.231543631345194,8.595,8.613,8.63,8.604,8.949,35.102,77
5598720,699840,sequential,1000,8.63936,8.621,0.4049808512632293,8.592,8.615,8.627,8.604,8.639,18.092,19
5680152,710019,sequential,1000,8.653889,8.621,0.5225441752561156,8.595,8.613,8.627,8.604,8.639,17.08,17
5762776,720347,sequential,1000,8.655283,8.621,0.548212940689418,8.586,8.613,8.627,8.604,8.636,18.367,13
5846600,730825,sequential,1000,8.655356,8.622,0.5243691698510604,8.586,8.615,8.63,8.604,8.639,17.501,17
5931640,741455,sequential,1000,8.653691,8.621,0.5187223557948909,8.595,8.615,8.627,8.604,8.636,17.186,29
6017912,752239,sequential,1000,8.65539,8.621,0.5361730965737552,8.592,8.615,8.627,8.604,8.639,17.685,29
6105448,763181,sequential,1000,8.915755,8.627,2.119570572164415,8.589,8.618,8.9405,8.604,8.964,34.854,11
6194256,774282,sequential,1000,8.648712,8.621,0.47342175194134367,8.595,8.616,8.63,8.604,8.642,17.711,20
6284352,785544,sequential,1000,8.749571,8.622,1.3865733924793637,8.595,8.615,8.63,8.604,8.9491,35.586,87
6375760,796970,sequential,1000,8.647626,8.621,0.477663021476528,8.589,8.615,8.627,8.604,8.636,17.744,27
6468496,808562,sequential,1000,8.656576,8.624,0.5457177623095111,8.592,8.615,8.627,8.60695,8.639,17.732,24
6562584,820323,sequential,1000,8.775672,8.624,1.4865280138470154,8.592,8.616,8.63,8.604,8.955,34.86,145
6658040,832255,sequential,1000,8.817577,8.624,1.6749133783261436,8.589,8.615,8.636,8.607,8.961,35.201,196
6754880,844360,sequential,1000,8.646125,8.621,0.47009379654761724,8.592,8.613,8.627,8.604,8.636,17.477,10
6853136,856642,sequential,1000,8.6553,8.621,0.5456801598343455,8.592,8.613,8.627,8.604,8.636,17.863,8
6952816,869102,sequential,1000,8.647095,8.621,0.4695221198154524,8.589,8.615,8.627,8.604,8.639,18.079,15
7053944,881743,sequential,1000,8.655656,8.621,0.5434055126838659,8.595,8.615,8.627,8.604,8.639,17.598,22
7156552,894569,sequential,1000,8.655804,8.621,0.5468550338179324,8.586,8.615,8.627,8.604,8.636,17.741,20
7260640,907580,sequential,1000,8.645579,8.621,0.4480248118028632,8.589,8.615,8.627,8.604,8.639,17.269,35
7366248,920781,sequential,1000,8.653719,8.621,0.5154397541703387,8.595,8.6145,8.627,8.607,8.639,17.756,24
7473400,934175,sequential,1000,8.656118,8.621,0.5500107325151773,8.592,8.615,8.627,8.604,8.636,17.854,23
7582096,947762,sequential,1000,8.881224,8.627,1.9496629173565658,8.592,8.618,8.6755,8.606,8.964,33.655,249
7692384,961548,sequential,1000,8.655381,8.621,0.5410176299483362,8.595,8.613,8.627,8.604,8.639,17.836,11
7804272,975534,sequential,1000,8.720341,8.624,1.2133155316315285,8.592,8.615,8.63,8.604,8.949,34.796,83
7917784,989723,sequential,1000,8.946402,8.627,2.291700967779549,8.592,8.616,8.942,8.607,8.964,35.311,12
8032952,1004119,sequential,1000,8.657315,8.621,0.5675242493044226,8.595,8.615,8.627,8.604,8.636,17.886,15
8149800,1018725,sequential,1000,8.729236,8.621,2.52481342025725,8.595,8.6145,8.627,8.604,8.636,86.504,19
8268336,1033542,sequential,1000,8.646645,8.621,0.4617349761098493,8.595,8.615,8.627,8.604,8.636,17.231,11
8388608,1048576,sequential,1000,8.646635,8.621,0.47835843942756107,8.589,8.613,8.627,8.604,8.636,17.827,5
8510616,1063827,sequential,1000,8.646627,8.621,0.4825837035187801,8.595,8.613,8.627,8.604,8.636,17.572,8
8634408,1079301,sequential,1000,8.788081,8.63,0.8009827100136061,8.595,8.621,8.758,8.61,9.37875,21.011,97
8760000,1095000,sequential,1000,9.108065,8.945,2.5050536510361545,8.595,8.624,8.955,8.61,8.973,34.667,14
8887416,1110927,sequential,1000,8.650168,8.621,0.4817989788615497,8.595,8.615,8.627,8.604,8.642,17.51,49
9016688,1127086,sequential,1000,8.656681,8.621,0.5440845000385347,8.592,8.615,8.627,8.604,8.642,18.103,43
9147840,1143480,sequential,1000,8.690536,8.624,0.510024826874171,8.589,8.616,8.63,8.607,8.88215,18.059,135
9280896,1160112,sequential,1000,8.658162,8.621,0.5342057670575614,8.592,8.615,8.63,8.604,8.651,17.759,45
9415888,1176986,sequential,1000,8.657615,8.621,0.5406841815322131,8.595,8.615,8.627,8.604,8.642,18.234,47
9552848,1194106,sequential,1000,8.680831,8.624,0.5156308909041958,8.589,8.616,8.636,8.604,8.8203,18.198,165
9691800,1211475,sequential,1000,8.660122,8.621,0.526501974778296,8.592,8.615,8.627,8.604,8.678,17.744,83
9832768,1229096,sequential,1000,8.656526,8.621,0.5342745573454033,8.592,8.615,8.627,8.604,8.642,18.077,47
9975792,1246974,sequential,1000,8.659367,8.621,0.5657432896471516,8.592,8.615,8.627,8.604,8.642,18.629,46
10120888,1265111,sequential,1000,8.660156,8.621,0.5730201774700328,8.595,8.615,8.627,8.604,8.645,18.341,53
10268104,1283513,sequential,1000,8.670348,8.621,0.5640373187945927,8.592,8.616,8.6285,8.604,8.68615,18.121,95
10417456,1302182,sequential,1000,8.653048,8.621,0.5024606436273336,8.592,8.615,8.627,8.6059,8.648,18.127,57
10568976,1321122,sequential,1000,8.660534,8.621,0.5681724269539581,8.595,8.615,8.627,8.606,8.645,18.248,49
10722712,1340339,sequential,1000,8.659123,8.621,0.534140906858274,8.592,8.615,8.627,8.60695,8.654,17.397,63
10878672,1359834,sequential,1000,8.649602,8.621,0.45686502738691787,8.595,8.613,8.6285,8.604,8.64515,17.014,43
11036912,1379614,sequential,1000,8.814101,8.624,1.6508402473653596,8.586,8.618,8.636,8.606,8.958,34.416,206
11197448,1399681,sequential,1000,8.764123,8.624,1.5089128622610708,8.595,8.615,8.63,8.604,8.95105,33.639,100
11360312,1420039,sequential,1000,8.655072,8.621,0.5436641716607299,8.592,8.615,8.627,8.604,8.636,17.524,15
11525552,1440694,sequential,1000,8.940531,8.627,2.0938138846665963,8.595,8.61875,8.948,8.607,8.964,33.893,11
11693200,1461650,sequential,1000,8.655125,8.621,0.5420149957617691,8.586,8.615,8.627,8.604,8.636,18.139,15
11863280,1482910,sequential,1000,8.646773,8.621,0.4724033471445703,8.592,8.615,8.627,8.604,8.636,18.133,23
12035832,1504479,sequential,1000,8.900422,8.625,2.3396512992576732,8.592,8.6175,8.645,8.606,8.961,56.047,239
12210904,1526363,sequential,1000,8.655675,8.621,0.5431401666380563,8.592,8.615,8.627,8.604,8.636,18.8,28
12388512,1548564,sequential,1000,8.647009,8.621,0.47363518366587404,8.595,8.615,8.627,8.604,8.636,17.741,22
12568704,1571088,sequential,1000,8.646157,8.621,0.4484450460316295,8.592,8.615,8.627,8.604,8.636,17.138,30
12751520,1593940,sequential,1000,8.654513,8.621,0.5275844284663452,8.586,8.613,8.627,8.604,8.636149999999999,17.279,21
12937000,1617125,sequential,1000,8.915592,8.627,2.1292252726749696,8.595,8.618,8.939,8.604,8.961,34.243,11
13125168,1640646,sequential,1000,8.992297,8.952,0.589692772854948,8.927,8.945,8.961,8.937,8.973,20.412,35
13316080,1664510,sequential,1000,9.021815,8.955,0.9157734380100597,8.924,8.948,8.961,8.939,9.095,33.378,98
13509768,1688721,sequential,1000,8.995422,8.952,0.6381561511018985,8.93,8.945,8.961,8.939,8.97,20.4,31
13706272,1713284,sequential,1000,8.942299,8.627,2.2397720791557267,8.595,8.618,8.942,8.607,8.964,34.011,12
13905632,1738204,sequential,1000,8.943876,8.627,2.296651186248207,8.592,8.618,8.9375,8.607,8.961,34.75,12
14107896,1763487,sequential,1000,9.016307,8.955,0.6964958831653395,8.924,8.946,8.961,8.939,9.09205,20.991,88
14313104,1789138,sequential,1000,8.99587,8.952,0.5770677865990531,8.927,8.945,8.961,8.936,8.99705,18.762,60
14521288,1815161,sequential,1000,9.001351,8.9545,0.5737867539757588,8.927,8.946,8.961,8.936,9.02925,18.517,83
14732504,1841563,sequential,1000,9.001463,8.953,0.5519652237589242,8.927,8.946,8.961,8.939,9.081,18.55,86
14946800,1868350,sequential,1000,9.039326,8.952,1.5361929620137376,8.598,8.9445,8.961,8.621,9.01915,36.537,191
15164200,1895525,sequential,1000,8.655342000000001,8.621,0.5278892820754464,8.595,8.6145,8.627,8.604,8.636,17.097,34
15384768,1923096,sequential,1000,8.647775,8.621,0.47204437531578247,8.592,8.615,8.627,8.604,8.636,17.385,24
15608544,1951068,sequential,1000,8.659656,8.621,0.7965547119144254,8.592,8.613,8.627,8.604,8.636,30.826,12
15835576,1979447,sequential,1000,8.659141,8.621,0.5861111015348048,8.595,8.615,8.627,8.604,8.639,18.628,31
16065912,2008239,sequential,1000,8.656743,8.621,0.5326408069047847,8.592,8.615,8.627,8.604,8.642,17.822,42
16299600,2037450,sequential,1000,8.937787,8.633,1.9806609410483145,8.592,8.621,8.949,8.607,8.964,35.011,10
16536680,2067085,sequential,1000,8.654786,8.621,0.5207427649341191,8.592,8.615,8.627,8.604,8.636,17.097,26
16777208,2097151,sequential,1000,8.73696,8.624,1.3581035651575668,8.592,8.616,8.63,8.607,8.955,39.976,122
17021240,2127655,sequential,1000,8.655507,8.621,0.5209841402820488,8.592,8.615,8.627,8.604,8.636,17.27,33
17268824,2158603,sequential,1000,8.654275,8.621,0.4975073536561464,8.592,8.615,8.63,8.604,8.639,17.035,33
17520000,2190000,sequential,1000,8.658729000000001,8.621,0.5768520623702933,8.592,8.615,8.627,8.604,8.639,18.717,43
17774840,2221855,sequential,1000,8.656669,8.621,0.5413346512497086,8.595,8.615,8.627,8.604,8.636,17.848,31
18033376,2254172,sequential,1000,8.659333,8.621,0.5731762094487856,8.592,8.615,8.63,8.604,8.639,18.252,36
18295680,2286960,sequential,1000,8.641709,8.621,0.39070505084495105,8.592,8.615,8.627,8.604,8.639,17.492,41
18561800,2320225,sequential,1000,8.6844,8.621,0.987195763501584,8.595,8.615,8.627,8.604,8.651,35.086,55
18831784,2353973,sequential,1000,8.658562,8.622,0.5180296370487512,8.592,8.615,8.63,8.604,8.651,17.293,51
19105696,2388212,sequential,1000,8.979538,8.63,2.257098918542137,8.595,8.621,8.949,8.607,8.97635,34.664,15
19383600,2422950,sequential,1000,8.656931,8.621,0.5264815581481179,8.592,8.615,8.63,8.604,8.645,17.308,43
19665536,2458192,sequential,1000,8.663169,8.621,0.5853913883176934,8.586,8.615,8.63,8.604,8.66015,18.486,60
19951584,2493948,sequential,1000,8.644364,8.621,0.4026125238344534,8.592,8.615,8.627,8.604,8.64815,18.011,58
20241784,2530223,sequential,1000,8.730425,8.624,1.2384794312691174,8.589,8.616,8.633,8.604,8.9491,35.819,124
20536208,2567026,sequential,1000,8.70406,8.622,1.6194523062357138,8.592,8.615,8.63,8.604,8.67815,57.547,77
20834912,2604364,sequential,1000,8.722293,8.627,0.5725343909144496,8.589,8.618,8.639,8.607,9.158499999999998,17.694,179
21137960,2642245,sequential,1000,8.837626,8.633,1.10900920444311,8.595,8.622,8.776,8.61,9.538,34.943,105
21445424,2680678,sequential,1000,8.73641,8.624,0.65518704043804,8.592,8.618,8.636,8.607,9.21215,18.311,183
21757352,2719669,sequential,1000,8.740129,8.627,0.6348830229355734,8.592,8.619,8.639,8.607,9.28615,18.943,193
22073824,2759228,sequential,1000,8.724097,8.624,0.6267914494567648,8.592,8.618,8.636,8.607,9.1946,18.8,168
22394896,2799362,sequential,1000,8.752535,8.63,0.5918030750635339,8.589,8.621,8.675,8.609,9.419599999999999,18.934,186
22720632,2840079,sequential,1000,9.063414,8.796,2.2860374173835556,8.592,8.624,8.958,8.61,9.331299999999999,34.801,34
23051112,2881389,sequential,1000,8.75195,8.627,0.644350312194248,8.592,8.618,8.66825,8.607,9.3133,18.884,203
23386400,2923300,sequential,1000,8.883331,8.63,1.5723165116005275,8.592,8.619,8.78725,8.607,9.38415,34.2,101
23726560,2965820,sequential,1000,8.695742,8.624,0.5604265137494061,8.592,8.61575,8.633,8.604,8.998299999999999,18.314,141
24071672,3008959,sequential,1000,8.696534,8.624,0.5891410901202428,8.589,8.615,8.633,8.604,8.93015,18.222,148
24421800,3052725,sequential,1000,8.704863,8.624,0.6477226805523347,8.592,8.615,8.63,8.604,8.96045,18.495,152
24777024,3097128,sequential,1000,8.687302,8.624,0.517384231726518,8.595,8.616,8.633,8.607,8.92715,18.225,142
25137416,3142177,sequential,1000,8.694263,8.624,0.4999874831576429,8.592,8.616,8.633,8.604,8.9833,17.551,156
25503048,3187881,sequential,1000,8.938808,8.633,2.1248185666256485,8.592,8.621,8.949,8.607,9.1859,49.686,25
25874000,3234250,sequential,1000,8.89175,8.627,1.720733884888248,8.592,8.619,8.945,8.607,9.144549999999999,34.545,22
26250344,3281293,sequential,1000,8.706815,8.624,0.5730700341485664,8.595,8.616,8.633,8.607,9.08115,18.055,157
26632168,3329021,sequential,1000,8.723309,8.624,0.6649533099574912,8.595,8.618,8.636,8.607,9.182599999999999,22.427,164
27019536,3377442,sequential,1000,8.728358,8.624,0.5886829736619528,8.592,8.616,8.636,8.604,9.209999999999999,18.115,181
27412552,3426569,sequential,1000,8.726856,8.627,0.6002816066408092,8.592,8.616,8.636,8.60695,9.2159,18.759,168
27811272,3476409,sequential,1000,8.724433,8.627,0.5844824678861344,8.589,8.618,8.636,8.607,9.203,18.255,206
28215800,3526975,sequential,1000,8.712481,8.624,0.608357536759044,8.592,8.618,8.633,8.607,9.14005,18.213,152
28626208,3578276,sequential,1000,8.753176,8.624,0.9489231286717212,8.592,8.618,8.636,8.607,9.25975,32.344,180
29042584,3630323,sequential,1000,8.998941,8.63,2.1923692029950708,8.595,8.621,8.94825,8.607,9.5718,35.441,76
29465016,3683127,sequential,1000,8.800317,8.624,1.399029125860504,8.592,8.618,8.636,8.607,9.2331,33.627,208
29893600,3736700,sequential,1000,8.726666,8.627,0.6109689234891325,8.592,8.618,8.639,8.607,9.182,18.872,205
30328408,3791051,sequential,1000,8.72882,8.624,0.6558735989333446,8.589,8.618,8.639,8.607,9.2183,20.228,180
30769544,3846193,sequential,1000,8.740564000000001,8.624,0.6017268758640726,8.595,8.618,8.639,8.607,9.30115,17.833,201
31217096,3902137,sequential,1000,8.72648,8.627,0.5883131495742399,8.595,8.618,8.636,8.607,9.2424,17.59,185
31671160,3958895,sequential,1000,8.989477,8.636,1.9897076257347226,8.595,8.621,8.952,8.609,9.56515,34.054,64
32131832,4016479,sequential,1000,9.068282,8.7505,2.4654895617818493,8.595,8.624,8.958,8.61,9.431249999999999,43.369,46
32599200,4074900,sequential,1000,8.737951,8.627,0.61134904617187,8.592,8.618,8.645,8.607,9.27115,18.067,205
33073368,4134171,sequential,1000,8.726058,8.624,0.6043810032033048,8.598,8.618,8.636,8.607,9.277299999999999,18.13,186
33554424,4194303,sequential,1000,8.745581,8.627,0.6227876812645984,8.589,8.618,8.66075,8.607,9.31205,18.646,208
34042488,4255311,sequential,1000,8.766018,8.63,0.6084073250291692,8.592,8.621,8.752,8.607,9.35115,18.29,88
34537648,4317206,sequential,1000,8.734966,8.627,0.5139918057911239,8.592,8.619,8.704,8.609,9.301,17.697,102
35040008,4380001,sequential,1000,8.755211,8.627,0.6027537395566697,8.592,8.621,8.68925,8.607,9.34515,18.632,154
35549680,4443710,sequential,1000,8.779282,8.63,0.71089785781098,8.592,8.621,8.74,8.6089,9.434149999999999,20.507,108
36066760,4508345,sequential,1000,9.124052,8.693999999999999,2.3909059656608482,8.592,8.624,8.958,8.6089,9.71835,35.322,89
36591360,4573920,sequential,1000,8.840525,8.633,1.2971974192541087,8.586,8.621,8.7705,8.607,9.38815,34.957,86
37123600,4640450,sequential,1000,8.746907,8.627,0.6155570638453025,8.595,8.619,8.71,8.607,9.25915,18.273,107
37663568,4707946,sequential,1000,8.748928,8.627,0.5778450222037789,8.595,8.619,8.69225,8.607,9.3483,17.818,127
38211400,4776425,sequential,1000,8.815747,8.63,1.2621924539394862,8.592,8.621,8.752,8.607,9.369299999999999,35.289,114
38767200,4845900,sequential,1000,8.755586,8.628,0.6327056290385102,8.592,8.621,8.6905,8.607,9.3452,18.718,141
39331080,4916385,sequential,1000,8.795872,8.63,0.9687610642545538,8.586,8.621,8.74375,8.607,9.36915,32.258,134
39903168,4987896,sequential,1000,8.977686,8.636,2.017042878914422,8.592,8.621,8.949,8.61,9.59915,35.444,61
40483568,5060446,sequential,1000,8.756746,8.627,0.6278280158622276,8.595,8.618,8.68675,8.607,9.37515,18.881,141
41072416,5134052,sequential,1000,8.766507,8.63,0.6253825895676457,8.589,8.621,8.746,8.607,9.354049999999999,18.637,100
