size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
79806336,9975792,random,1000,191.097399,190.529,4.112342693919274,181.552,188.63,192.879,185.85185,198.31125,229.804,40
80967144,10120893,random,1000,170.209252,169.789,3.68433219949725,161.84,167.91649999999998,171.9135,165.2314,177.42,190.309,42
82144840,10268105,random,1000,174.575877,173.9765,4.955770297654453,164.986,171.91875,176.06025,169.37769999999998,181.4553,228.38,52
83339664,10417458,random,1000,174.389715,173.7475,4.151545432396501,165.244,171.89274999999998,175.99375,168.9651,181.8699,207.1,51
84551864,10568983,random,1000,172.963554,172.4505,3.689948639486198,163.532,170.53050000000002,174.61375,167.78525,180.53605,187.03,50
85781696,10722712,random,1000,172.959871,172.466,3.870472002984246,161.211,170.714,174.43125,168.0885,180.16049999999998,206.397,59
87029424,10878678,random,1000,195.810885,190.5585,11.088127867290149,179.133,186.9545,205.48675,183.85525,217.65654999999998,230.575,0
88295296,11036912,random,1000,177.464864,176.9325,3.8421781351632207,170.001,175.16725,178.91975000000002,172.6789,184.79729999999998,212.294,53
89579576,11197447,random,1000,175.187083,174.687,4.19403775481335,166.692,172.78050000000002,176.82325,170.11955,182.08515,233.211,42
90882544,11360318,random,1000,175.068158,174.677,3.726413004877333,167.033,172.72650000000002,176.7125,169.9411,182.0428,204.039,42
92204464,11525558,random,1000,194.781893,191.4345,11.058371259931251,174.109,187.54000000000002,199.89950000000002,181.53709999999998,218.60295,230.376,52
93545608,11693201,random,1000,180.235349,179.61950000000002,4.056431091785166,171.98,177.79500000000002,181.8675,175.15824999999998,188.1316,216.62,54
94906256,11863282,random,1000,178.777746,178.268,4.967317952288047,167.876,176.504,180.22125,173.826,185.2111,282.217,49
96286704,12035838,random,1000,194.861445,192.6995,9.991085833136461,171.72,189.683,198.2405,178.4144,216.90865,245.506,104
97687224,12210903,random,1000,181.144465,180.63049999999998,3.9056112799720926,171.886,178.7995,182.65375,176.24085,188.7108,216.323,58
99108120,12388515,random,1000,181.931541,180.8065,5.934663121246368,171.325,179.01425,183.2325,176.3999,190.85754999999997,235.38,66
100549680,12568710,random,1000,180.697235,180.00400000000002,3.8684380199881048,172.936,178.2675,182.18925000000002,175.90640000000002,187.97295,208.881,46
102012208,12751526,random,1000,181.719008,180.55200000000002,5.47244785571041,172.491,178.0595,184.39425,175.13835,191.31029999999998,216.665,27
103496008,12937001,random,1000,179.669056,179.13,3.6199082856974236,169.782,177.406,181.29975000000002,175.05625,186.21800000000002,207.746,44
105001392,13125174,random,1000,182.004077,181.221,4.075668471374918,173.337,179.5325,183.48225,177.20655,189.857,209.207,58
106528672,13316084,random,1000,183.39738,182.55849999999998,5.129376956664772,174.043,180.33125,185.20325000000003,177.48065,191.37165000000002,236.671,37
108078168,13509771,random,1000,183.247744,182.43,4.731895502598459,173.544,180.2565,185.199,177.72105000000002,191.89520000000002,213.843,40
109650200,13706275,random,1000,182.940948,182.3645,4.087055870303583,174.527,180.52175,184.439,178.0861,190.2085,218.909,49
111245104,13905638,random,1000,183.037248,182.4805,4.02862240784626,174.471,180.75824999999998,184.40775000000002,178.1147,190.33015,221.871,56
112863200,14107900,random,1000,183.740429,183.01749999999998,4.003946185704425,174.732,181.365,185.08375,179.2091,190.80749999999998,218.468,55
114504832,14313104,random,1000,184.408623,183.7255,4.333011607238026,174.011,181.8495,185.79524999999998,179.53255,192.34835,219.651,60
116170344,14521293,random,1000,185.544304,184.994,4.511479147206566,176.491,183.03725,186.903,180.30155,193.1653,225.799,58
117860080,14732510,random,1000,184.099856,183.5355,4.232429325962014,175.334,181.61325,185.463,179.2244,191.37974999999997,215.539,54
119574392,14946799,random,1000,185.944085,185.2865,4.135995536125474,177.456,183.4795,187.34725,181.178,193.6739,233.357,56
121313648,15164206,random,1000,186.195171,185.5775,4.625552915439681,175.038,183.641,187.47500000000002,181.29585,194.0018,236.871,60
