size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,9.008613,8.912,1.543280960601262,8.896,8.903,8.921,8.896,9.062,52.43,99
1112,139,random,1000,16.055548,8.908,223.7080178438433,8.896,8.903,8.915,8.896,8.9831,7083.166,92
1216,152,random,1000,8.320347,8.274,0.7406582107667316,8.263,8.266,8.277,8.263,8.294,24.273,77
1328,166,random,1000,8.315702,8.272,0.6331533229213334,8.263,8.266,8.274,8.263,8.29715,20.872,86
1448,181,random,1000,8.320026,8.274,0.5975523744109501,8.263,8.268,8.285,8.263,8.297,19.283,46
1576,197,random,1000,8.313838,8.272,0.6002621047095598,8.263,8.266,8.274,8.263,8.29415,18.469,75
1720,215,random,1000,8.585011,8.34,1.9730417249839212,8.315,8.332,8.349,8.326,8.976,37.255,179
1872,234,random,1000,9.053184,8.976,0.7414312000235547,8.951,8.97,8.986,8.964,9.1943,21.85,161
2048,256,random,1000,8.97246,8.97,1.0390604771018266,8.315,8.964,8.976,8.329,9.114,30.719,225
2232,279,random,1000,8.363173,8.326,0.5775935815228701,8.306,8.321,8.332,8.315,8.346,20.864,49
2432,304,random,1000,8.401122,8.323,0.9847268799744141,8.306,8.317,8.331,8.311,8.62415,34.341,96
2656,332,random,1000,8.427519,8.32,1.2258020052990592,8.303,8.314,8.326,8.306,8.627,34.26,133
2896,362,random,1000,8.513971,8.32,1.7013135995821358,8.298,8.314,8.329,8.306,8.63,34.264,208
3152,394,random,1000,8.618812,8.32,1.0297940320299028,8.289,8.311,8.949,8.3,8.981349999999999,29.883,5
3440,430,random,1000,9.029305,8.952,0.7724140090497947,8.927,8.942,8.964,8.933,9.17505,23.055,147
3752,469,random,1000,8.76539,8.314,2.747852863101891,8.295,8.306,8.615,8.3,8.955,45.291,22
4096,512,random,1000,8.348872,8.306999999999999,0.5651153979755188,8.286,8.303,8.314,8.297,8.35215,20.099,61
4464,558,random,1000,8.353772,8.303,0.5974108617641244,8.286,8.3,8.312,8.294,8.438,19.593,104
4864,608,random,1000,8.474934,8.303,4.524269428482958,8.28,8.297,8.309,8.289,8.418,150.713,82
5312,664,random,1000,8.345098,8.303,0.5577949153260215,8.28,8.295,8.311,8.286,8.421149999999999,20.602,77
5792,724,random,1000,9.04165,8.958,0.750990936621,8.93,8.951,8.97,8.942,9.22115,22.405,173
6312,789,random,1000,8.35792,8.314,0.6077130826227051,8.294,8.309,8.32,8.3,8.37525,21.306,65
6888,861,random,1000,8.437611,8.312,1.2797691591766773,8.292,8.306,8.321,8.297,8.621,34.199,158
7512,939,random,1000,8.44025,8.311,1.2780680276821668,8.292,8.306,8.32,8.298,8.621,34.581,184
8192,1024,random,1000,8.40538,8.306,1.0512463424300094,8.283,8.30225,8.314,8.294,8.6101,34.211,158
8928,1116,random,1000,8.359168,8.306,0.6608667434730155,8.283,8.3,8.312,8.291,8.441,20.806,87
9736,1217,random,1000,9.045653,8.945,0.7608539119083677,8.905,8.936,8.958,8.924,9.283299999999999,21.82,224
10624,1328,random,1000,8.918945,8.946,0.9677470901043338,8.277,8.933,8.961,8.303,9.16015,30.791,323
11584,1448,random,1000,8.375041,8.309,0.644381103327313,8.283,8.303,8.317,8.294,8.51015,20.576,146
12632,1579,random,1000,8.362468,8.309,0.657949404129523,8.272,8.3,8.317,8.283,8.45575,21.459,96
13776,1722,random,1000,8.356689,8.306,0.6515627262706678,8.274,8.297,8.312,8.286,8.372,19.38,69
15024,1878,random,1000,8.446575,8.312,1.4712954192090675,8.274,8.3,8.323,8.286,8.624,35.374,136
16384,2048,random,1000,8.773468,8.936,1.0390479900859737,8.272,8.309,8.952,8.294,9.197299999999998,29.578,6
17864,2233,random,1000,9.049788,8.949,0.7580419544198465,8.912,8.939,8.967,8.927,9.29815,24.129,230
19480,2435,random,1000,8.384544,8.335,0.6320506040104937,8.277,8.318,8.358,8.298,8.418149999999999,19.599,50
21240,2655,random,1000,8.696229,8.361,2.3833884654281885,8.272,8.312,8.615,8.29495,8.98815,39.972,15
23168,2896,random,1000,8.399125,8.335,0.680563797492533,8.288,8.317,8.363,8.303,8.48485,22.207,61
25264,3158,random,1000,8.417676,8.365,0.699077251831318,8.263,8.3425,8.387,8.303,8.47625,21.531,71
27552,3444,random,1000,8.473678,8.375,0.9405457397727156,8.289,8.346,8.404,8.312,8.727749999999997,29.483,85
30048,3756,random,1000,9.137331,9.033000000000001,0.8678011248156062,8.906,8.979,9.124500000000001,8.945,9.42715,27.324,77
32768,4096,random,1000,8.513199,8.478,0.49695069311792933,8.375,8.456,8.504,8.418,8.562299999999999,18.374,49
35728,4466,random,1000,8.991168,8.947,0.7265376085741693,8.797,8.9085,8.97825,8.857850000000001,9.02515,23.483,22
38968,4871,random,1000,9.499903,9.453,0.6518262767686541,9.261,9.39,9.528,9.323,9.606,22.097,10
42488,5311,random,1000,10.383971,10.0195,2.8460543704642465,9.786,9.936,10.26225,9.855,10.43515,49.252,13
46336,5792,random,1000,10.935377,10.6885,2.345992956473404,10.123,10.336,11.11,10.204,11.285,49.216,11
50528,6316,random,1000,11.618879,11.546,0.8143923005395975,11.261,11.485,11.629,11.399,11.81615,26.027,41
55104,6888,random,1000,11.054615,10.991,0.6894969578104242,10.741,10.911,11.06375,10.813,11.293,24.771,55
60096,7512,random,1000,11.846315,11.414,2.9066494909152767,11.092,11.301,11.6825,11.203850000000001,12.1473,46.458,31
65536,8192,random,1000,11.769508,11.555,1.9229369470782025,11.342,11.465,11.638,11.397,12.0141,38.115,116
71464,8933,random,1000,11.862498,11.773,1.1881752759936064,11.469,11.713,11.863,11.5599,11.946,35.279,15
77936,9742,random,1000,13.094826,12.984,1.1402849615414201,12.769,12.90475,13.076,12.825,13.33115,35.84,50
84984,10623,random,1000,12.305217,12.155,1.4522427885956357,11.966,12.109,12.224,12.05785,12.55725,38.137,68
92680,11585,random,1000,12.580983,12.336,1.9088814282238742,12.118,12.288,12.400500000000001,12.207,12.83,39.155,195
101064,12633,random,1000,12.654895,12.506,1.4299312589702977,12.346,12.463,12.581,12.40595,12.907599999999999,39.252,71
110216,13777,random,1000,12.97452,12.679,1.1933221154706182,12.503,12.63,12.85025,12.561,13.779,34.115,227
120192,15024,random,1000,13.959944,13.763,3.1432642384847216,12.564,13.653,13.877,12.7846,14.37425,94.806,173
131072,16384,random,1000,12.95569,12.88,0.9921483872497714,12.584,12.822,12.923,12.72185,13.05205,31.34,67
142928,17866,random,1000,13.178152,13.021,1.4445072662116096,12.828,12.969,13.093,12.9109,13.4911,39.735,87
155872,19484,random,1000,13.216295,13.056999999999999,1.5306383674097503,12.886,13.01,13.107,12.955,13.497,39.157,81
169976,21247,random,1000,15.302558,15.107,1.1397171112735518,14.609,14.9675,15.345,14.77485,16.09775,31.957,74
185360,23170,random,1000,13.396608,13.251,1.1088921345658929,13.119,13.214,13.31125,13.1609,13.57015,33.761,68
202136,25267,random,1000,16.011086,15.899,1.2257114738882153,15.045,15.686,16.09775,15.4097,16.4423,35.423,24
220432,27554,random,1000,16.815608,16.546,2.1623241709226106,15.726,16.3465,16.775,16.07085,17.8176,69.969,59
240384,30048,random,1000,17.288425,17.0555,1.389461900430432,16.097,16.787,17.413,16.471,18.511599999999998,37.714,62
262144,32768,random,1000,18.454647,18.236,1.6704049740012654,17.051,17.966,18.578,17.575,19.33975,44.633,46
285864,35733,random,1000,20.234935,20.0715,1.2571630593255327,19.217,19.8,20.372,19.498,21.03675,39.649,41
311744,38968,random,1000,22.610206,22.1575,2.1473229830553104,20.741,21.64525,23.203500000000002,21.0959,24.5093,56.352,14
339952,42494,random,1000,23.99875,23.736,1.9149771217633063,22.175,23.322,24.12775,22.8737,25.191399999999998,48.923,42
370728,46341,random,1000,25.924557,25.6725,1.8849770335917009,24.498,25.392,26.06275,24.957849999999997,26.91015,68.89,44
404280,50535,random,1000,29.626818,29.52,2.26416214682233,26.286,28.103,30.6495,27.0137,32.15285,50.131,15
440872,55109,random,1000,30.327569,29.775,3.494582097085755,28.549,29.3905,30.2065,28.91685,31.3559,79.008,43
480768,60096,random,1000,31.909644,31.6725,1.9211881243316784,29.607,31.3195,32.07025,30.8627,32.7614,58.122,32
524288,65536,random,1000,33.536309,33.242000000000004,1.617944859099372,31.478,32.901,33.66974999999999,32.4009,35.15615,54.878,73
571736,71467,random,1000,34.902769,34.664,1.9893836243529914,33.215,34.299,35.0355,33.8121,35.627900000000004,61.195,27
623480,77935,random,1000,37.177247,36.533,2.731687087925214,34.681,35.892,37.682249999999996,35.163850000000004,40.619550000000004,66.86,58
679912,84989,random,1000,38.310187,37.297,5.242203229437956,35.42,36.911249999999995,37.835,36.161,38.9831,74.981,46
741448,92681,random,1000,40.497368,40.132000000000005,3.6510745478461444,38.698,39.723,40.6045,39.21875,41.42545,132.713,29
808560,101070,random,1000,41.228618,41.009,2.331939379431924,37.677,40.587,41.4415,39.54295,42.1181,76.078,65
881744,110218,random,1000,42.129411,42.0285,1.7185931398849057,39.103,41.56575,42.43025,40.3663,43.062149999999995,63.86,67
961544,120193,random,1000,42.989044,42.8335,1.8470919800721477,39.606,42.4265,43.267,40.991099999999996,44.028,63.926,85
1048576,131072,random,1000,44.095129,43.881,1.8812232135337206,41.228,43.4965,44.28,42.7881,44.91435,68.584,51
1143480,142935,random,1000,44.995179,44.7165,1.8963233846942718,42.811,44.3215,45.12975,43.82,45.84175,69.518,34
1246968,155871,random,1000,45.818988,45.5125,1.968681968360697,43.776,45.092,45.93675,44.5821,46.92485,64.455,41
1359832,169979,random,1000,45.863188,45.7565,1.8984418569290291,42.383,45.230000000000004,46.34625,43.455850000000005,47.233149999999995,65.061,92
1482904,185363,random,1000,44.648318,44.301,2.3143237524830678,42.74,44.00775,44.67425,43.585,45.4393,70.865,42
1617120,202140,random,1000,45.282607,44.8545,3.2635778947692096,43.502,44.5015,45.175,44.1249,45.9086,114.359,42
1763488,220436,random,1000,45.680241,45.3705,2.5886008427801768,44.177,45.028,45.641,44.62285,46.32615,92.599,45
1923096,240387,random,1000,47.850325,46.023,4.8807938259822805,44.221,45.58825,46.8715,45.0879,58.86635,94.442,164
2097152,262144,random,1000,46.189727,42.889,6.035230204564951,39.545,40.543,51.768,39.9997,55.00145,66.294,0
2286960,285870,random,1000,48.907435,50.3255,7.444968616554168,39.299,41.24375,54.60424999999999,40.39355,58.146449999999994,140.141,2
2493944,311743,random,1000,49.912256,51.6215,7.06749159871888,39.94,41.877250000000004,56.036249999999995,40.97685,59.54195,69.982,0
2719664,339958,random,1000,51.782062,51.2725,8.150525175520459,41.015,42.98875,59.377750000000006,41.8566,63.07515,75.805,0
2965816,370727,random,1000,48.323081,44.088,7.747091521951221,42.001,43.37425,51.539500000000004,42.65355,64.49515000000001,77.396,68
3234248,404281,random,1000,44.904444,44.439,2.7313652628425706,42.869,43.996,44.994749999999996,43.44955,46.173899999999996,79.166,41
3526968,440871,random,1000,49.944821,46.417,8.23145900435028,43.726,45.55175,48.26075,44.62885,69.75219999999999,115.346,201
3846192,480774,random,1000,54.903019,54.28,5.774328505404531,46.081,52.140249999999995,56.93825,48.9346,61.275999999999996,180.11,17
4194304,524288,random,1000,53.018826,52.8525,3.580073654702805,45.566,50.902,54.5485,48.5726,57.224149999999995,90.355,25
4573920,571740,random,1000,76.330589,45.9345,44.910389619662276,41.584,43.64425,111.92325,42.91745,158.34455,326.398,1
4987896,623487,random,1000,79.842847,50.8685,46.45421580700545,42.817,44.476,117.57825,43.96685,165.8383,184.319,0
5439336,679917,random,1000,60.814928,60.714,7.4136531151199225,45.773,57.913250000000005,62.878249999999994,48.80845,75.6528,112.309,196
5931640,741455,random,1000,104.356282,114.17349999999999,26.121028041338885,49.953,89.436,123.17099999999999,52.5117,132.8636,148.982,0
6468496,808562,random,1000,85.187902,66.864,29.06975320576079,48.346,61.636250000000004,115.24825,52.111450000000005,128.95305,222.706,1
7053944,881743,random,1000,112.063478,130.35250000000002,36.032955150645144,51.905,67.803,141.47775,56.6027,150.60864999999998,180.105,0
7692384,961548,random,1000,96.992045,79.8435,33.1546334121442,57.06,72.16175000000001,135.94375,62.3221,152.8609,201.719,0
8388608,1048576,random,1000,124.595904,124.28450000000001,52.43114570526521,45.586,73.45524999999999,180.50775000000002,48.64495,191.4794,216.051,0
9147840,1143480,random,1000,128.377344,117.12950000000001,37.854243731160736,78.522,91.96525,167.98424999999997,84.5101,184.32035,209.969,0
9975792,1246974,random,1000,146.313473,152.40699999999998,35.99959678935678,89.593,107.7715,179.88375,95.9867,190.20105,234.04,0
10878672,1359834,random,1000,174.102002,189.833,31.908190159381387,111.304,133.20175,193.761,119.28625000000001,203.39329999999998,283.13,0
11863280,1482910,random,1000,175.870264,177.293,9.331399464617956,149.871,172.0,180.7975,158.7149,188.04,236.489,78
12937000,1617125,random,1000,177.416242,178.005,8.710076555865916,159.905,170.9495,182.32025,164.27475,190.53515,217.907,20
14107896,1763487,random,1000,180.537452,181.349,10.123809976295096,159.786,173.423,185.37775,167.3803,192.05904999999998,302.453,18
15384768,1923096,random,1000,164.118852,175.3225,41.04621584406062,92.359,121.99475,202.906,100.5904,209.13199999999998,225.486,0
16777216,2097152,random,1000,187.979977,187.92849999999999,8.177381886581426,168.658,184.51,191.043,175.9213,198.8717,311.394,60
