size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1143480,142935,sequential,1000,9.068340000000001,8.957,1.4109337094039296,8.921,8.948,8.97,8.939,9.11415,45.046,157
1160112,145014,sequential,1000,9.003846,8.955,0.6578723221691852,8.924,8.948,8.964,8.939,8.988,20.298,46
1176984,147123,sequential,1000,9.053163,8.958,0.7824490596594529,8.927,8.948,8.973,8.9389,9.14515,19.786,157
1194104,149263,sequential,1000,9.030126000000001,8.955,0.8460425723083669,8.927,8.946,8.96475,8.936,9.086,26.53,96
1211472,151434,sequential,1000,8.994814,8.957,0.5647018696671772,8.927,8.948,8.967,8.939,8.988,18.296,27
1229096,153637,sequential,1000,9.023095,8.957,0.6160361665791494,8.924,8.948,8.97,8.936,9.108,19.673,158
1246968,155871,sequential,1000,8.994615,8.955,0.5590942166738251,8.924,8.946,8.964,8.936,8.998099999999999,18.75,60
1265104,158138,sequential,1000,9.042212000000001,8.958,0.7524715998391995,8.924,8.949,8.973,8.939,9.1175,20.749,146
1283512,160439,sequential,1000,9.01691,8.955,0.6527123910003282,8.924,8.946,8.967,8.936,9.102,20.053,140
1302176,162772,sequential,1000,9.011064000000001,8.954,0.7505445149842699,8.918,8.946,8.961,8.936,8.982,22.657,48
1321120,165140,sequential,1000,9.033496,8.957,0.8246816548316179,8.924,8.948,8.97,8.939,9.108,26.818,147
1340336,167542,sequential,1000,9.046827,8.958,0.9495938118366601,8.924,8.948,8.967,8.939,9.099,30.55,116
1359832,169979,sequential,1000,9.013591,8.955,0.6638076546118772,8.927,8.948,8.964,8.936,9.08315,22.12,90
1379608,172451,sequential,1000,9.01524,8.955,0.6139008035477691,8.924,8.948,8.967,8.93885,9.09615,18.823,120
1399680,174960,sequential,1000,9.021324,8.955,0.7571204702228242,8.924,8.948,8.964,8.939,9.089,23.236,102
1420040,177505,sequential,1000,9.042893,8.957,0.7990820443888504,8.924,8.948,8.97,8.939,9.197149999999999,23.739,157
1440688,180086,sequential,1000,9.021919,8.958,0.6979032392605513,8.924,8.949,8.967,8.939,9.083,19.317,101
1461648,182706,sequential,1000,9.004204,8.955,0.60681887869078,8.927,8.948,8.967,8.939,9.072099999999999,18.983,94
1482904,185363,sequential,1000,9.003779,8.955,0.5788439448344186,8.924,8.948,8.967,8.93695,9.086,19.075,100
1504480,188060,sequential,1000,9.072446,8.958,0.9096451579585291,8.924,8.949,8.99125,8.939,9.23,26.922,215
1526360,190795,sequential,1000,9.008912,8.955,0.5896022583734556,8.924,8.948,8.967,8.936,9.0841,18.618,103
1548560,193570,sequential,1000,9.012538000000001,8.955,0.6396757535076858,8.924,8.946,8.964,8.936,9.0312,18.103,95
1571088,196386,sequential,1000,9.041465,8.955,0.8879669340978025,8.924,8.948,8.967,8.939,9.105,26.569,148
1593936,199242,sequential,1000,9.039036,8.958,0.8367522973443879,8.924,8.949,8.967,8.939,9.086,24.417,110
1617120,202140,sequential,1000,9.036632,8.955,0.8183848216409517,8.924,8.949,8.967,8.939,9.099,23.954,130
1640640,205080,sequential,1000,9.032402,8.955,0.7656149388763457,8.924,8.948,8.964,8.939,9.02215,19.559,84
1664504,208063,sequential,1000,9.022978,8.955,0.6770385045569068,8.927,8.948,8.97,8.939,9.111,20.161,141
1688720,211090,sequential,1000,9.010475,8.955,0.6079572512886037,8.924,8.948,8.967,8.939,9.07115,19.164,81
1713280,214160,sequential,1000,9.027511,8.955,0.7604843958921153,8.924,8.948,8.964,8.939,9.086,23.346,109
1738200,217275,sequential,1000,9.006852,8.955,0.5630739172900235,8.921,8.948,8.967,8.936,9.093,18.4,120
1763480,220435,sequential,1000,9.100983,8.955,2.5388309197640853,8.914,8.946,8.96775,8.936,9.10815,85.855,130
1789136,223642,sequential,1000,9.002763,8.958,0.5367482384717275,8.918,8.949,8.967,8.939,9.09,18.799,110
1815160,226895,sequential,1000,9.005278,8.957,0.7181122474348394,8.918,8.9475,8.967,8.936,9.0384,27.008,80
1841560,230195,sequential,1000,9.046018,8.958,0.9101404415249875,8.924,8.948,8.973,8.936,9.11715,28.014,139
1868344,233543,sequential,1000,9.019916,8.958,0.6020152350956637,8.924,8.948,8.97075,8.939,9.105,18.528,144
1895520,236940,sequential,1000,9.024874,8.956,0.7510423641558156,8.927,8.948,8.967,8.939,9.089,23.251,100
1923096,240387,sequential,1000,9.051589,8.955,0.8843698333169676,8.927,8.948,8.97,8.939,9.10215,25.681,135
1951064,243883,sequential,1000,9.057682,8.955,0.8671624297417154,8.927,8.946,8.97,8.936,9.102,19.363,118
1979440,247430,sequential,1000,9.029843,8.96,0.6004359280178483,8.927,8.949,8.979,8.939,9.114,18.026,174
2008232,251029,sequential,1000,9.008439000000001,8.957,0.5777574265406918,8.924,8.948,8.97,8.936,9.09,18.532,100
2037448,254681,sequential,1000,9.097155,8.961,0.8879621939209082,8.927,8.949,9.013,8.939,9.32375,21.084,142
2067080,258385,sequential,1000,9.026031,8.958,0.8103751834656444,8.924,8.948,8.97,8.939,9.089,27.281,85
2097152,262144,sequential,1000,9.01362,8.955,0.7128110332824324,8.924,8.945,8.961,8.939,9.087,23.917,104
2127648,265956,sequential,1000,9.05928,8.955,0.8987159461987708,8.927,8.946,8.967,8.936,9.11715,21.583,157
2158600,269825,sequential,1000,9.031304,8.957,0.6955466243830751,8.921,8.948,8.97,8.936,9.111,20.479,153
2190000,273750,sequential,1000,9.020556000000001,8.958,0.6619593787258271,8.918,8.949,8.97,8.939,9.105,21.089,156
2221848,277731,sequential,1000,9.019708,8.955,0.6166400617067478,8.921,8.946,8.967,8.936,9.123,20.21,169
2254168,281771,sequential,1000,9.059732,8.9545,0.933113414768441,8.924,8.946,8.964,8.936,9.099,21.798,131
2286960,285870,sequential,1000,9.029191,8.958,0.7435469161630189,8.924,8.949,8.973,8.939,9.1142,27.048,167
2320224,290028,sequential,1000,9.017085,8.954,0.6421942597394049,8.924,8.946,8.964,8.939,9.09315,17.949,105
2353968,294246,sequential,1000,9.06179,8.961,0.7535103607540933,8.914,8.949,8.983,8.939,9.2553,20.071,205
2388208,298526,sequential,1000,9.013015,8.955,0.5461637864749517,8.927,8.948,8.967,8.936,9.105,17.857,154
2422944,302868,sequential,1000,9.027589,8.955,0.7875679077313196,8.927,8.948,8.964,8.939,9.09915,27.821,126
2458192,307274,sequential,1000,9.070728,8.958,0.7781315973527863,8.924,8.949,8.98275,8.939,9.295,20.464,219
2493944,311743,sequential,1000,9.003852,8.955,0.5761775374401978,8.924,8.946,8.964,8.936,9.08905,19.268,100
2530216,316277,sequential,1000,9.056797,8.955,0.9248192312021855,8.921,8.946,8.967,8.936,9.105,26.324,139
2567024,320878,sequential,1000,9.069905,8.955,1.122581749254262,8.921,8.948,8.97,8.939,9.15175,30.599,158
2604360,325545,sequential,1000,9.043636,8.958,0.7141441741031046,8.924,8.948,8.97,8.936,9.12475,18.688,159
2642240,330280,sequential,1000,9.035128,8.955,0.7826383778262131,8.921,8.9475,8.964,8.939,9.10815,23.997,157
2680672,335084,sequential,1000,9.103333000000001,8.955,1.0682993604952848,8.924,8.946,8.967,8.936,9.120599999999998,20.835,159
2719664,339958,sequential,1000,9.029047,8.955,0.7168741991510145,8.911,8.948,8.967,8.936,9.111,19.63,124
2759224,344903,sequential,1000,9.028228,8.955,0.8001861019874151,8.924,8.946,8.967,8.936,9.093,25.067,102
2799360,349920,sequential,1000,9.022459,8.955,0.706294403278904,8.927,8.948,8.964,8.936,9.096,21.872,132
