size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,216.659253,214.9685,23.436166554916372,203.617,211.62324999999998,218.83425,206.8399,228.3582,925.707,39
68084984,8510623,random,1000,215.888438,217.3915,9.544496532778469,196.328,206.81525,221.52625,201.35580000000002,230.8164,268.143,4
69075304,8634413,random,1000,211.273122,210.6165,6.112646553744704,200.37,208.27800000000002,213.5305,204.58825,219.74325,326.18,31
70080024,8760003,random,1000,211.100397,210.6505,5.43520991132552,199.597,208.53525,213.047,204.32535,219.57245,316.366,51
71099360,8887420,random,1000,212.93627,211.7145,11.617320566561217,194.313,204.12075000000002,219.88600000000002,199.11175,230.2708,367.988,6
72133528,9016691,random,1000,214.283636,212.951,6.200395366927033,202.609,210.26524999999998,217.1695,206.7855,225.651,289.414,29
73182728,9147841,random,1000,214.009316,213.7835,5.151427292634081,201.765,210.9145,216.76425,206.85505,222.56394999999998,288.865,20
74247200,9280900,random,1000,216.538441,214.9565,6.37394384071617,205.258,212.19125,219.442,208.92505,228.76475000000002,255.343,38
75327152,9415894,random,1000,217.380558,217.9495,9.136873572689911,198.26,210.84725,222.7305,202.8944,232.4364,256.493,12
76422808,9552851,random,1000,210.991029,211.471,5.398808002142974,197.245,206.83775,214.28474999999997,202.30169999999998,219.735,230.061,5
77534400,9691800,random,1000,219.032678,217.1845,7.836252727747436,206.546,214.35250000000002,222.52325,210.6367,232.3211,341.108,32
78662168,9832771,random,1000,216.3496,214.92849999999999,7.033533797578688,205.347,212.20625,219.2385,208.86055,227.09005,332.758,30
79806336,9975792,random,1000,214.235683,215.2585,8.367670533826823,193.378,209.90325,220.19525,198.52855,226.49634999999998,238.427,10
80967144,10120893,random,1000,215.551658,214.291,6.122848429442454,203.768,211.49375,218.40775000000002,208.0174,227.6915,275.23,38
82144840,10268105,random,1000,218.825166,217.497,7.140906963734278,204.942,213.98525,222.459,209.5236,231.97744999999998,256.977,28
83339664,10417458,random,1000,213.424662,212.8175,5.410134571879136,203.01,210.67625,215.37975,207.25785,221.70409999999998,324.153,40
84551864,10568983,random,1000,216.945362,215.291,6.920454909694385,206.598,212.8125,219.7745,209.90705,228.3633,331.623,34
85781704,10722713,random,1000,217.302695,216.04250000000002,6.546673804909092,206.914,213.0785,219.8275,210.33225,228.16295,314.643,32
87029424,10878678,random,1000,213.81139,218.5155,10.718032751581045,192.611,203.981,221.52625,197.08724999999998,226.93005,319.179,1
88295296,11036912,random,1000,217.840154,216.487,6.292581531025927,207.239,213.36825000000002,220.803,210.65785,229.30419999999998,270.09,33
