size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,sequential,1000,9.113234,8.958,0.6912419842028728,8.927,8.949,8.97,8.939,9.97615,19.317,183
73182728,9147841,sequential,1000,9.090926,8.958,0.6771816976082383,8.927,8.948,8.973,8.939,9.899,19.853,159
79806336,9975792,sequential,1000,9.082298,8.958,0.6448941507423226,8.927,8.949,8.97,8.942,9.80115,19.593,165
87029424,10878678,sequential,1000,9.085112,8.958,0.6395360426166814,8.927,8.949,8.96775,8.942,9.8933,18.808,162
94906264,11863283,sequential,1000,9.092235,8.958,0.7284016287102244,8.924,8.949,8.97,8.939,9.844299999999999,19.645,166
103496016,12937002,sequential,1000,9.101922,8.958,0.7640454091893382,8.927,8.949,8.97,8.939,9.81915,19.841,166
112863200,14107900,sequential,1000,9.092575,8.958,0.7232997476149843,8.921,8.949,8.97,8.939,9.807,19.568,167
123078192,15384774,sequential,1000,9.105486,8.958,0.777121843834134,8.924,8.949,8.97,8.942,9.82945,19.133,159
134217728,16777216,sequential,1000,9.103052,8.958,0.7801876338676742,8.927,8.949,8.97,8.939,9.851549999999998,21.172,173
146365464,18295683,sequential,1000,9.094489,8.958,0.6830092191709219,8.93,8.949,8.97,8.939,9.91215,19.51,171
159612672,19951584,sequential,1000,9.121521,8.958,0.8814622619705724,8.924,8.949,8.973,8.94,9.89315,20.553,156
174058856,21757357,sequential,1000,9.086286,8.958,0.6661564746008648,8.927,8.949,8.973,8.939,9.81015,20.335,159
189812528,23726566,sequential,1000,9.086224,8.958,0.6444581632256263,8.93,8.949,8.97,8.9419,9.8269,18.857,164
206992032,25874004,sequential,1000,9.095835000000001,8.958,0.7597912413982577,8.924,8.948,8.97,8.939,9.795449999999999,20.323,176
225726408,28215801,sequential,1000,9.099167,8.958,0.7143652699073841,8.927,8.951,8.97,8.94,9.84175,19.455,172
246156392,30769549,sequential,1000,9.091864000000001,8.958,0.7439280586592096,8.927,8.949,8.97,8.939,9.7983,20.906,155
268435456,33554432,sequential,1000,9.082667,8.958,0.6272353340455838,8.927,8.951,8.97,8.942,9.789299999999999,18.516,171
