size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,random,1000,224.760195,222.92700000000002,7.3787521734105965,211.25,219.9455,227.41875,216.07055,239.98575000000002,261.375,59
73182728,9147841,random,1000,222.7778,220.6725,10.329703979219264,209.416,217.54825,225.173,213.86235000000002,238.58714999999998,445.958,67
79806336,9975792,random,1000,220.229519,218.28199999999998,6.302639585076904,211.039,216.32275,221.50225,213.82750000000001,233.15619999999998,258.992,110
87029424,10878678,random,1000,226.567766,224.74400000000003,7.039402148325513,215.348,221.8495,229.01225,218.74515,241.3748,260.409,67
94906264,11863283,random,1000,235.079848,233.7455,11.374920257996175,211.754,227.93824999999998,242.10850000000002,217.02474999999998,255.84574999999998,286.455,11
103496016,12937002,random,1000,217.016769,215.1525,6.149043296896364,207.852,213.243,218.17575,210.62825,230.1229,252.543,115
112863200,14107900,random,1000,229.069507,229.784,10.728668625249892,208.595,224.1635,233.9425,212.62535,248.45284999999998,299.104,51
123078192,15384774,random,1000,218.25168299999999,216.111,6.603424269012827,208.763,214.127,219.3485,212.04025,230.94539999999998,266.426,112
134217728,16777216,random,1000,226.727944,222.9145,8.888103405057965,215.458,220.371,233.0345,217.9292,243.7124,275.061,19
146365464,18295683,random,1000,224.928958,222.931,6.347939221873553,215.525,221.12725,225.5275,218.40785,238.18474999999998,255.592,158
159612672,19951584,random,1000,221.383631,219.395,6.23872551880093,212.235,217.34175,222.68449999999999,215.31005000000002,234.3401,261.071,111
174058856,21757357,random,1000,221.788658,219.73,6.585483062175333,210.907,217.27525,224.19725,214.8687,235.8021,252.485,62
189812528,23726566,random,1000,239.102446,237.4645,9.156656267168659,214.157,232.70925,244.475,227.41015000000002,256.56859999999995,281.949,27
206992032,25874004,random,1000,219.119479,217.151,6.446716012583919,209.159,215.22725,219.899,212.9702,231.65365,271.054,140
225726408,28215801,random,1000,224.434627,222.585,6.252589956412785,215.559,220.5225,225.66475,218.095,236.5691,272.823,107
246156392,30769549,random,1000,229.628262,225.8965,10.490684377773935,214.614,220.79025000000001,236.73375,217.9848,249.54715,283.615,9
268435456,33554432,random,1000,222.877893,220.917,6.98766292509203,211.29,218.18325000000002,225.51624999999999,215.56480000000002,237.03400000000002,286.301,55
