size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
220432,27554,random,1000,16.624409,15.984,8.530148219014565,15.158,15.83,16.167,15.6,17.259899999999995,261.243,67
223640,27955,random,1000,17.260564,17.0875,1.5630117061293871,16.25,16.891,17.293,16.614849999999997,17.72805,43.97,36
226888,28361,random,1000,18.356642,18.1745,1.526762003080392,17.088,17.93925,18.394,17.6,18.83915,35.012,39
230192,28774,random,1000,16.421316,16.085,2.045756095468408,15.37,15.904,16.339,15.66085,17.727199999999996,46.748,64
233544,29193,random,1000,18.041949,17.732,2.0940595497255554,16.793,17.501,17.98975,17.24385,18.763199999999998,42.838,52
236936,29617,random,1000,15.750097,15.41,2.006387346894108,14.889,15.275,15.6,15.107,16.979,42.605,80
240384,30048,random,1000,16.807277,16.529,1.9325654259031946,15.646,16.33,16.744,16.08785,17.72575,42.124,58
243880,30485,random,1000,18.768375,18.4075,2.2826054429057563,17.271,18.158,18.722,17.74685,20.323699999999995,51.017,64
247424,30928,random,1000,16.622653,16.263,2.2691172353183116,15.564,16.063,16.489,15.8207,18.194449999999996,53.78,79
251024,31378,random,1000,19.357257,19.099,1.8477390981211945,17.961,18.8465,19.39475,18.4887,20.48075,47.637,64
254680,31835,random,1000,18.316274,17.931,2.2510689955100323,17.097,17.71,18.21375,17.41885,19.869849999999996,49.155,78
258384,32298,random,1000,20.222337,19.9195,2.280634283300408,18.817,19.610500000000002,20.21275,19.274,21.302049999999998,53.955,59
262144,32768,random,1000,18.64351,18.351,1.8498009123457895,17.431,18.121,18.633,17.808,19.8053,40.51,71
265952,33244,random,1000,17.919253,17.618,2.5078525413908133,16.75,17.394,17.851,17.0807,18.984949999999998,77.209,68
269824,33728,random,1000,19.757492,19.4195,2.0932104796336293,18.382,19.16,19.786,18.795,21.2806,59.874,80
273744,34218,random,1000,19.731416,19.4765,1.6488195282628055,18.241,19.19875,19.80425,18.791900000000002,21.029849999999996,37.211,69
277728,34716,random,1000,21.058933,20.752,2.0532590984667367,19.464,20.43,21.117,20.00685,22.2338,48.561,59
281768,35221,random,1000,20.006658,19.753,1.6202851857371032,18.63,19.46925,20.09,19.1118,21.253199999999996,41.602,56
285864,35733,random,1000,21.264571,21.009500000000003,2.3690414306759724,19.737,20.654,21.37875,20.27955,22.112049999999996,70.705,37
290024,36253,random,1000,20.891795,20.669,1.6231965481755466,19.522,20.39,20.958,20.0468,21.8846,43.703,53
294240,36780,random,1000,22.762143,22.5,2.0418850773783084,21.252,22.23,22.813,21.849700000000002,23.46725,56.184,45
298520,37315,random,1000,21.847378,21.591,2.014719166145603,20.218,21.228,21.9305,20.791700000000002,22.905,51.183,45
302864,37858,random,1000,23.657787,23.39,1.9047439263733212,22.294,23.037,23.78575,22.67785,24.671499999999998,47.439,38
307272,38409,random,1000,22.085231,21.788,1.9709024308755192,20.666,21.4935,22.154,21.151,23.14145,49.625,50
311744,38968,random,1000,23.894665,23.522,2.3850729917448965,22.304,23.184,23.9485,22.7849,24.9843,52.753,39
316272,39534,random,1000,22.655564,22.27,2.490355443734918,20.878,21.93525,22.70675,21.4697,23.942849999999996,54.663,55
320872,40109,random,1000,24.392546,23.984,2.710754919596775,22.289,23.616,24.469,23.13425,25.4192,56.5,35
325544,40693,random,1000,23.96482,23.5475,2.576586374439046,22.209,23.215,23.94425,22.815849999999998,25.25885,59.776,60
330280,41285,random,1000,24.842208,24.409,2.7986738445242283,22.785,23.99675,24.852,23.45985,26.158449999999995,55.016,51
335080,41885,random,1000,23.993775,23.751,1.9646467456543455,22.254,23.392,24.0925,22.8949,25.157249999999998,52.605,55
339952,42494,random,1000,24.436809,24.224,1.7421002053971075,22.874,23.8575,24.593249999999998,23.39885,25.515449999999994,52.685,41
344904,43113,random,1000,24.749079,24.53,1.774677087112617,23.129,24.1615,24.91625,23.6737,25.872399999999995,47.104,43
349920,43740,random,1000,25.285808,25.015,1.796155630836645,23.806,24.742,25.359,24.35295,26.43515,49.054,62
355008,44376,random,1000,25.610138,25.407,1.9329221290349266,24.033,25.0,25.72375,24.51485,26.64,50.339,41
360168,45021,random,1000,26.085419,25.751,2.5294195584643018,24.337,25.378500000000003,26.199,24.837,27.3006,71.107,45
365408,45676,random,1000,26.329384,26.0775,1.7993958463762099,24.862,25.72525,26.505,25.31595,27.400499999999997,52.403,36
370728,46341,random,1000,26.782724,26.5315,1.8815222533400486,24.892,26.165,26.953,25.73895,27.830899999999996,49.993,35
376120,47015,random,1000,27.224537,27.008,1.7718113647177973,25.459,26.62725,27.41375,26.04485,28.2947,55.77,31
381584,47698,random,1000,27.471985,27.200000000000003,1.8269603643615118,25.717,26.88425,27.58575,26.441,28.536250000000003,53.719,48
387136,48392,random,1000,28.039501,27.784,1.8807709811357902,26.431,27.49575,28.121,27.06395,28.903299999999998,52.026,39
392768,49096,random,1000,28.438735,28.189,1.8942475869578652,26.358,27.79225,28.61725,27.302,29.47415,51.674,34
398480,49810,random,1000,28.906801,28.6225,2.0319938105824153,26.732,28.24925,29.014,27.6397,30.195,52.931,55
404280,50535,random,1000,29.118835,28.8615,1.8436646189049684,27.468,28.419,29.33375,27.97985,30.195899999999998,54.191,31
410160,51270,random,1000,29.5222,29.207,2.2246382549451416,27.628,28.802,29.713,28.353849999999998,30.63045,61.882,29
416128,52016,random,1000,29.765565,29.5335,2.0542720154079617,28.023,29.115,29.90075,28.64895,30.78785,56.089,33
422176,52772,random,1000,30.13211,29.891,2.09408796431819,27.95,29.541,30.262,28.997700000000002,30.980099999999997,58.399,41
428320,53540,random,1000,30.502139,30.1835,2.2356904843069447,28.532,29.851,30.59,29.31355,31.412,57.012,39
434544,54318,random,1000,30.900809,30.615,1.9751200408316185,29.06,30.29725,30.986,29.844549999999998,31.801799999999997,53.814,43
440872,55109,random,1000,31.446952,31.0855,2.87701699447231,29.204,30.722,31.5085,30.11705,32.5912,92.818,46
447280,55910,random,1000,32.04432,31.5085,3.795486989450377,29.682,31.108,31.967,30.561700000000002,33.17824999999999,112.289,49
453784,56723,random,1000,31.936063,31.6205,2.261343729399291,30.142,31.30025,31.99475,30.804949999999998,32.8446,59.337,41
460384,57548,random,1000,32.306775,31.838,3.6618948740294885,29.909,31.48275,32.314,30.942700000000002,33.25855,120.943,45
467088,58386,random,1000,32.427826,32.191,2.213259898227296,30.415,31.7175,32.58525,31.12635,33.42395,58.674,28
473880,59235,random,1000,32.754818,32.411,2.3271686575830377,30.921,31.951,32.896,31.5307,33.74865,62.646,31
480768,60096,random,1000,33.044200000000004,32.795,2.1449647301747627,31.24,32.389250000000004,33.19325,31.7487,33.99115,60.999,22
487760,60970,random,1000,33.270156,32.9805,2.1214075076414427,31.437,32.622249999999994,33.353,32.04275,34.126749999999994,60.754,35
494856,61857,random,1000,33.607117,33.249,2.3551897163309183,31.81,32.880250000000004,33.66974999999999,32.43285,34.494749999999996,60.619,29
502056,62757,random,1000,33.931793,33.6155,2.194063411664623,31.911,33.21725000000001,34.06425,32.6937,34.911300000000004,60.404,31
509360,63670,random,1000,34.146796,33.804,2.333508230764796,32.31,33.432249999999996,34.22475,32.9477,35.11155,58.819,31
516768,64596,random,1000,34.416658,34.1055,2.2824618329897777,32.176,33.73224999999999,34.5285,33.16525,35.26475,65.179,40
524288,65536,random,1000,34.860599,34.5105,2.790315390807853,32.51,34.113,34.914,33.638850000000005,35.889450000000004,88.271,39
531912,66489,random,1000,34.954947,34.638,2.2753242653968475,33.313,34.309250000000006,35.04,33.760850000000005,35.749399999999994,65.538,29
539648,67456,random,1000,35.869509,35.3605,3.0214580100384363,33.669,34.904250000000005,35.877750000000006,34.365,36.91479999999999,68.933,38
547496,68437,random,1000,35.484067,35.117999999999995,2.3309199399115528,33.5,34.7715,35.552,34.293749999999996,36.3926,67.697,37
555464,69433,random,1000,35.659288,35.3635,2.177093557800265,33.81,34.97125,35.7525,34.41085,36.49015,61.278,29
563536,70442,random,1000,35.917684,35.616,2.224961292449129,33.675,35.276,36.03375,34.708,36.7943,62.094,36
571736,71467,random,1000,36.217661,35.886,2.102755797048488,34.586,35.536,36.297,35.101,37.111399999999996,60.168,34
580056,72507,random,1000,36.558574,36.211,2.577147566613931,34.562,35.797,36.63125,35.19855,37.493,70.763,31
588488,73561,random,1000,36.64844,36.386,2.1649609646315517,34.782,35.978,36.772,35.4717,37.54385,58.218,27
597048,74631,random,1000,36.835083,36.495000000000005,2.2821871321644984,35.003,36.09175,36.935,35.591499999999996,37.7355,59.742,30
605736,75717,random,1000,37.124331,36.7835,2.223073626713427,34.954,36.389,37.257,35.85595,38.12605,63.517,32
614544,76818,random,1000,37.404465,37.021,2.7828041993620367,35.217,36.61225,37.484750000000005,36.122,38.463550000000005,93.551,38
623480,77935,random,1000,37.824236,37.3965,3.759031842469108,35.702,36.946250000000006,37.855,36.25085,38.9109,129.091,35
632552,79069,random,1000,37.927811,37.582,2.4438641351740875,35.503,37.1415,38.067,36.4867,38.98394999999999,66.023,37
641752,80219,random,1000,38.886972,38.3135,3.133987613500982,36.162,37.664249999999996,39.100750000000005,36.9655,40.9501,70.19,41
651088,81386,random,1000,38.361127,38.0465,2.3517770451599236,36.444,37.6785,38.41674999999999,37.1367,39.103,73.946,31
660560,82570,random,1000,38.427082,38.143,2.1420664298442906,36.622,37.784,38.493,37.339400000000005,39.2198,63.599,30
670168,83771,random,1000,38.624629,38.3105,2.1604950419256195,36.846,37.87,38.799,37.379850000000005,39.59475,60.193,26
679912,84989,random,1000,38.914637,38.525000000000006,2.668662068240463,37.052,38.097,38.993,37.59195,40.05065,77.896,32
689800,86225,random,1000,39.763683,39.256,2.984964265142076,37.103,38.8015,39.756,38.155,40.75435,72.423,41
699840,87480,random,1000,39.833074,39.3375,2.9014546382015935,37.717,38.95825000000001,39.78775,38.449850000000005,40.806999999999995,69.392,45
710016,88752,random,1000,40.129754,39.606,3.09734946449205,37.796,39.183,40.0775,38.64885,41.296,88.231,49
720344,90043,random,1000,39.407549,39.116,2.06678327230837,37.6,38.75,39.48925,38.3047,40.2013,65.299,31
730824,91353,random,1000,39.656653,39.3715,2.0210987954407207,37.506,38.9915,39.815749999999994,38.3574,40.64315,62.756,40
741448,92681,random,1000,40.110488,39.799,2.1403501518743675,37.812,39.32925,40.314,38.70655,41.22515,62.885,28
752240,94030,random,1000,40.121877,39.7115,3.4959294186770093,38.465,39.321,40.124,38.897850000000005,41.093650000000004,126.012,37
763176,95397,random,1000,40.160258,39.8525,2.0649237781684935,38.309,39.48675,40.314,38.9718,40.9833,62.668,25
774280,96785,random,1000,40.563445,40.2315,2.2033213587638514,38.493,39.823750000000004,40.713750000000005,39.274699999999996,41.57905,65.651,32
785544,98193,random,1000,40.461901,40.204,1.9939950695868172,38.404,39.827,40.615750000000006,39.255250000000004,41.293,61.916,33
796968,99621,random,1000,40.737054,40.428,2.4473429388920027,38.858,40.066,40.845,39.652,41.544149999999995,92.061,28
808560,101070,random,1000,40.949436,40.69,1.995810894606759,38.998,40.278,41.139,39.7094,41.8236,62.235,25
820320,102540,random,1000,41.034384,40.744,2.1507394334634435,39.161,40.34425,41.14375,39.869,41.7623,68.871,24
832256,104032,random,1000,41.539858,41.1595,2.4177741411541387,39.505,40.65625,41.698,40.0717,43.05345,69.582,41
844360,105545,random,1000,41.822771,41.4165,2.4252290750825223,39.48,40.958,41.9755,40.3289,43.00589999999999,66.654,34
856640,107080,random,1000,42.33495,41.866,2.6948346381971615,39.796,41.37125,42.4405,40.7957,43.7332,70.055,40
869096,108637,random,1000,42.358061,41.9535,2.426140726360098,40.183,41.446,42.4995,40.80455,43.7782,62.983,41
881744,110218,random,1000,42.421117,41.963,2.4321549944911465,40.318,41.48224999999999,42.565,40.95595,44.01945,65.621,46
894568,111821,random,1000,48.444246,47.504000000000005,4.021160286725156,43.056,46.187,49.521,44.77985,54.40699999999998,80.098,50
907576,113447,random,1000,50.574402,44.958,14.597782540560656,40.854,44.006249999999994,47.263999999999996,43.10185,88.18675,148.187,180
920776,115097,random,1000,42.834199,42.197,3.940279765959904,40.041,41.69775,42.857,41.04085,45.3069,126.319,82
934168,116771,random,1000,42.74949,42.366,2.38897225357021,40.225,41.884,42.90375,41.3071,43.965999999999994,72.027,37
947760,118470,random,1000,43.581604,43.1185,2.4971073241196846,40.87,42.443,43.949749999999995,41.7952,45.69605,68.838,38
961544,120193,random,1000,43.670263,43.154,2.603414465795201,41.176,42.528,43.896,41.82285,45.84865,64.038,47
975528,121941,random,1000,44.005194,43.5815,2.4357152035730527,41.41,43.0855,44.126,42.3774,45.51705,67.921,47
989720,123715,random,1000,51.078189,50.155,4.326733152281297,42.734,48.601,52.67675,46.43695,57.64235,81.015,40
1004120,125515,random,1000,44.545841,43.973,2.753440550762915,41.532,43.16975,45.0875,42.34735,47.27499999999999,75.774,41
1018720,127340,random,1000,46.74328,46.181,3.1097894002188817,43.353,45.404250000000005,46.991,44.49085,49.15754999999999,73.722,47
1033536,129192,random,1000,45.92404,45.221,3.3251673076740103,42.55,44.488,46.22924999999999,43.62825,49.042,95.781,54
1048576,131072,random,1000,47.955269,46.5445,4.308655375611373,42.804,45.267,48.7795,44.09475,55.94489999999999,81.396,96
1063824,132978,random,1000,44.989423,44.552,2.4561001604309767,42.326,43.994749999999996,45.14175,43.32535,46.7037,63.351,47
