footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,256,128,4096,0,sequential,1000,8.888702,8.395,3.935090840516788,8.326,8.349,8.973,8.332,9.05,108.149,13
36736,287,128,4096,0,sequential,1000,22.296186,13.030999999999999,298.89889110822264,10.273,10.396,14.07675,10.338,16.72115,9464.123,8
41216,322,128,4096,0,sequential,1000,14.708769,14.524,0.8654717702062985,14.217,14.452,14.605,14.352,16.747,27.571,71
46336,362,128,4096,0,sequential,1000,12.938738,12.568000000000001,1.3309211458431536,12.288,12.503,12.627,12.397,16.67845,27.281,89
51968,406,128,4096,0,sequential,1000,13.15498,12.869,1.1147035550385653,12.555,12.742,12.992750000000001,12.656,16.321,24.837,78
58368,456,128,4096,0,sequential,1000,12.82367,12.21,1.2631630124001794,12.017,12.127,13.159,12.072,16.6432,25.51,56
65536,512,128,4096,0,sequential,1000,12.414486,12.13,1.2329673289419465,12.0,12.089,12.178,12.043,16.6863,26.927,59
73472,574,128,4096,0,sequential,1000,14.125661,13.774,1.9040232910266017,13.176,13.642,13.883,13.3969,16.8311,40.437,118
82560,645,128,4096,0,sequential,1000,14.018574,13.547,1.2667454000044494,12.981,13.455,13.77125,13.33685,16.836,27.474,134
92672,724,128,4096,0,sequential,1000,14.287992,14.114,1.0518019258525948,13.208,13.708,14.4105,13.45785,15.577,32.128,91
103936,812,128,4096,0,sequential,1000,14.076254,13.906,0.8147012370124337,13.159,13.734,14.0945,13.518,15.60215,26.119,102
116736,912,128,4096,0,sequential,1000,14.442256,14.312999999999999,0.8327080575887165,13.463,14.174,14.47,13.714,15.45615,28.394,220
131072,1024,128,4096,0,sequential,1000,14.172055,13.935,0.9124542392436531,13.398,13.78,14.107,13.576,15.174,28.503,189
147072,1149,128,4096,0,sequential,1000,16.01159,15.847,1.052154217973011,14.257,15.537,16.293,15.1487,17.109150000000003,35.647,18
165120,1290,128,4096,0,sequential,1000,16.104825,15.8445,2.226315861392918,14.225,15.318750000000001,16.376,14.8059,17.239150000000002,42.306,13
185344,1448,128,4096,0,sequential,1000,16.207785,16.126,1.5010229594179096,13.946,15.7455,16.44575,15.23185,16.919,42.481,14
208000,1625,128,4096,0,sequential,1000,16.147815,16.109,1.0635755496083599,14.274,15.76025,16.46875,15.06415,17.0112,33.721,23
233472,1824,128,4096,0,sequential,1000,17.578104,17.635,1.3141912843707022,13.789,16.80925,18.17075,16.370549999999998,18.63875,36.961,23
262144,2048,128,4096,0,sequential,1000,14.588414,14.45,1.2881557374043744,14.168,14.378,14.51,14.277,14.6141,35.46,25
294144,2298,128,4096,0,sequential,1000,14.866603,14.714,1.2331855212906617,14.326,14.628,14.827,14.493,15.120149999999999,33.074,47
330240,2580,128,4096,0,sequential,1000,16.310322,15.999,2.7276228527314297,15.557,15.792,16.21,15.66285,16.592299999999998,56.848,19
370688,2896,128,4096,0,sequential,1000,16.899819,16.307,3.942572434545831,16.077,16.244,16.64975,16.1769,16.851,66.789,23
416128,3251,128,4096,0,sequential,1000,16.546789,16.325,1.8722211141794602,16.128,16.2805,16.367,16.215,16.771150000000002,42.035,61
467072,3649,128,4096,0,sequential,1000,16.469487,16.316,1.4524023541806277,16.137,16.273,16.353,16.218,16.431,38.672,23
524288,4096,128,4096,0,sequential,1000,16.747325,16.316,3.010656546039952,16.123,16.2655,16.379,16.2029,16.845399999999998,54.542,176
588416,4597,128,4096,0,sequential,1000,16.526479,16.301,1.8572832052391643,16.134,16.26025,16.353,16.1999,16.7172,49.953,55
660480,5160,128,4096,0,sequential,1000,16.472279,16.31,1.4738625892840522,16.14,16.264,16.35,16.203,16.419,39.126,19
741376,5792,128,4096,0,sequential,1000,16.474814,16.293,1.4703307164783779,16.115,16.25575,16.339,16.198,16.4111,38.83,25
832128,6501,128,4096,0,sequential,1000,16.441254999999998,16.301,1.1877231859071125,16.114,16.258,16.347,16.201,16.419,31.605,21
934144,7298,128,4096,0,sequential,1000,16.541135,16.307,1.976600106940642,16.129,16.26325,16.3565,16.201,16.7711,54.632,82
1048576,8192,128,4096,0,sequential,1000,16.579703,16.301,2.0940728673962052,16.106,16.258,16.353,16.2029,16.8,50.351,97
