footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32768,1024,32,4096,0,random,1000,9.2061,8.685500000000001,4.3571996057564775,8.565,8.656,9.25575,8.60795,9.32,119.343,15
36768,1149,32,4096,0,random,1000,9.829726,9.443000000000001,2.3930830862261305,9.289,9.384,9.673,9.341,10.218,38.105,150
41280,1290,32,4096,0,random,1000,25.924668,10.534,480.47546626891176,10.31,10.491,10.626,10.4359,11.291,15204.647,223
46336,1448,32,4096,0,random,1000,11.21414,11.161,0.7244778316336038,11.017,11.132,11.1905,11.086,11.244,24.572,19
52000,1625,32,4096,0,random,1000,11.812993,11.77,0.6745200502944662,11.661,11.742,11.788,11.7009,11.81915,23.808,11
58368,1824,32,4096,0,random,1000,12.141274,12.098,0.629105587930011,11.98,12.067,12.127,12.032,12.172,25.197,9
65536,2048,32,4096,0,random,1000,12.607792,12.552,0.7100563955213846,12.44,12.529,12.578,12.492,12.61805,25.901,16
73536,2298,32,4096,0,random,1000,12.815531,12.693,1.2864433954312364,12.607,12.673,12.716,12.6439,13.1142,38.382,63
82560,2580,32,4096,0,random,1000,12.835103,12.785,0.7096181440051411,12.65,12.756,12.811,12.681,12.851,27.37,52
92672,2896,32,4096,0,random,1000,13.074324,12.998,0.9314358763843144,12.854,12.949,13.047,12.897,13.107,30.668,15
104032,3251,32,4096,0,random,1000,14.317958,14.263,0.6928703367438525,13.656,14.128,14.39575,13.951600000000001,14.6111,23.785,18
116768,3649,32,4096,0,random,1000,15.046715,14.96,0.7940617884641591,14.415,14.838,15.12,14.658900000000001,15.356,26.165,17
131072,4096,32,4096,0,random,1000,13.429703,13.380500000000001,0.6120917652771684,13.257,13.354,13.403,13.3,13.437,23.425,41
147104,4597,32,4096,0,random,1000,13.61126,13.492,1.0427213809442473,13.386,13.466,13.521,13.432,13.593,30.15,48
165120,5160,32,4096,0,random,1000,14.797158,14.691,1.1208369660840691,14.199,14.574,14.797,14.43285,15.01,38.284,34
185344,5792,32,4096,0,random,1000,14.855143,14.7,1.3420637338131958,14.205,14.56775,14.80975,14.39785,15.08205,42.547,41
208064,6502,32,4096,0,random,1000,15.709877,15.5655,1.0797605265361694,14.835,15.4295,15.72625,15.223,16.040399999999998,29.952,42
233536,7298,32,4096,0,random,1000,16.972997,16.753,1.2514038479170428,16.017,16.57025,16.96225,16.327,17.57644999999999,32.919,52
262144,8192,32,4096,0,random,1000,20.444967,20.194,1.7617498859292062,18.825,19.901,20.53075,19.53555,21.552599999999995,48.104,57
294240,9195,32,4096,0,random,1000,24.160622,24.0075,1.3983618941830125,22.712,23.7065,24.299,23.22985,24.95555,49.467,41
330272,10321,32,4096,0,random,1000,26.801491,26.654,1.2040390491802793,25.165,26.358,26.933,26.03885,27.74675,41.161,53
370720,11585,32,4096,0,random,1000,30.485104,30.279,1.7097392811752303,29.072,29.926,30.63975,29.51485,31.3461,55.559,31
416128,13004,32,4096,0,random,1000,33.971321,32.917,5.076295537726832,31.852,32.524249999999995,33.56225,32.171949999999995,34.9552,71.438,48
467072,14596,32,4096,0,random,1000,35.504024,35.312,1.2886541805391472,34.101,35.057249999999996,35.627,34.707,36.2423,49.476,31
524288,16384,32,4096,0,random,1000,37.191081,37.013999999999996,1.970520487950438,35.733,36.73325,37.289500000000004,36.2619,37.7742,87.495,34
588480,18390,32,4096,0,random,1000,39.148434,38.933,1.682290900622814,37.76,38.637,39.22625,38.32685,39.86585,64.408,26
660544,20642,32,4096,0,random,1000,40.446106,40.299,1.2278638924988805,39.051,39.91675,40.678,39.44485,41.42085,52.794,18
741440,23170,32,4096,0,random,1000,41.784968,41.63,1.4106044093847772,40.219,41.33625000000001,41.889,40.9249,42.40305,62.603,28
832224,26007,32,4096,0,random,1000,42.793651,42.556,1.7488107834626807,41.952,42.386,42.743,42.13,43.24925,76.333,47
934144,29192,32,4096,0,random,1000,43.6749,43.4575,1.6660373634755303,42.13,43.205,43.75425,42.8136,44.2813,68.364,28
1048576,32768,32,4096,0,random,1000,44.52132,44.324,1.613918294047087,43.378,44.064499999999995,44.58225,43.68885,45.0204,70.013,29
