stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,65536,524288,4096,sequential,1000,8.789885,8.332,2.5382516343211785,8.294,8.32,8.948,8.306,9.004,35.58,14
16,32768,524288,4096,sequential,1000,19.722781,8.329,263.21708231040975,8.28,8.31475,8.456,8.3,8.967,7557.084,109
24,21845,524288,4096,sequential,1000,8.499481,8.375,3.073368506641632,8.318,8.364,8.387,8.349,8.415,104.409,41
32,16384,524288,4096,sequential,1000,8.562845,8.384,1.5373107575699652,8.338,8.369,8.413499999999999,8.352,8.722,33.876,177
40,13107,524288,4096,sequential,1000,8.515053,8.456,0.6706730712944717,8.392,8.438,8.478,8.421,8.51615,20.206,27
48,10922,524288,4096,sequential,1000,8.63297,8.556,0.8795583630516022,8.447,8.527750000000001,8.59,8.496,8.648,28.778,24
56,9362,524288,4096,sequential,1000,9.120015,9.053,0.7307837064416534,8.783,8.9895,9.12,8.918,9.246,21.456,22
64,8192,524288,4096,sequential,1000,12.772628,12.684,0.7631555949333518,12.42,12.633,12.747,12.552,12.84815,22.986,27
72,7281,524288,4096,sequential,1000,13.099826,13.001999999999999,0.9360667543998626,12.736,12.938,13.058,12.85985,13.165099999999999,27.574,24
80,6553,524288,4096,sequential,1000,13.391745,13.228,1.484197729709851,12.987,13.171,13.291,13.09,13.649399999999998,42.214,68
88,5957,524288,4096,sequential,1000,13.662589,13.51,1.8247528218747713,13.231,13.452,13.57,13.366,13.662,63.393,26
96,5461,524288,4096,sequential,1000,13.829437,13.719,1.0250675594967058,13.418,13.662,13.774,13.584,13.866,30.906,24
104,5041,524288,4096,sequential,1000,14.210884,14.096,1.0683697555053113,13.86,14.047,14.157,13.964,14.248149999999999,32.307,21
112,4681,524288,4096,sequential,1000,14.515506,14.381,1.1367051537538528,14.065,14.306,14.464,14.21995,14.585,32.016,22
120,4369,524288,4096,sequential,1000,15.521193,15.364,1.249879985330083,15.134,15.318,15.427,15.263,15.53905,31.205,29
128,4096,524288,4096,sequential,1000,16.458231,16.307,1.1545700444869627,16.088,16.267,16.35,16.218,16.448,30.564,36
136,3855,524288,4096,sequential,1000,21.147404,21.016,1.1074129718737604,20.694,20.936,21.097,20.815,21.229,34.79,26
144,3640,524288,4096,sequential,1000,23.244555,23.1035,1.1644284635054323,22.856,23.029,23.19225,22.934,23.333,39.859,25
152,3449,524288,4096,sequential,1000,23.910905,23.7875,1.0376778764868944,23.489,23.699,23.883,23.589,24.0271,37.458,23
160,3276,524288,4096,sequential,1000,25.993184,25.938,1.9265727254922433,24.423,25.479750000000003,26.117,24.82255,26.41205,52.576,31
168,3120,524288,4096,sequential,1000,25.639603,25.53,1.0566625180577136,24.99,25.455,25.593,25.346,25.7171,41.086,39
176,2978,524288,4096,sequential,1000,26.980196,26.873,1.099242219458951,26.056,26.69025,27.03975,26.199849999999998,27.5631,41.221,76
184,2849,524288,4096,sequential,1000,27.202049,27.019,1.6747792816491494,26.177,26.84975,27.203,26.602,27.588150000000002,53.541,32
192,2730,524288,4096,sequential,1000,26.400327,26.134,2.7556436616625635,24.363,25.76,26.4075,25.31045,26.89735,60.739,24
200,2621,524288,4096,sequential,1000,25.803927,25.7975,1.1202503767361909,24.021,25.25025,26.2095,24.53785,26.68,37.927,11
208,2520,524288,4096,sequential,1000,25.262794,25.07,1.4659080885540157,22.479,24.394,25.76425,23.3737,27.8857,36.576,60
216,2427,524288,4096,sequential,1000,27.817996,27.7625,1.0118126609431437,26.26,27.4985,27.95325,27.1457,28.253,42.777,18
224,2340,524288,4096,sequential,1000,25.670629,25.702,1.13117805103447,23.86,25.0225,26.09975,24.397,26.66655,39.968,15
232,2259,524288,4096,sequential,1000,29.23758,29.289,1.06481135644997,25.967,29.035,29.437,28.253800000000002,29.62415,38.905,73
240,2184,524288,4096,sequential,1000,26.912417,26.89,1.0113804058990052,24.961,26.4805,27.215,25.966849999999997,27.53425,37.315,20
248,2114,524288,4096,sequential,1000,23.914673,23.822,1.6200992190451022,22.094,23.427500000000002,24.2605,22.3907,25.02145,48.906,25
256,2048,524288,4096,sequential,1000,29.241048,28.963,2.0964027681393342,28.635,28.854,29.06,28.747,29.59225,54.381,96
