footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4080,102,40,4096,32,random,1000,8.161255,7.722,2.65118215194237,7.712,7.716,8.265,7.712,8.903,48.795,9
4560,114,40,4096,32,random,1000,7.887821,7.721,1.5378975921572162,7.712,7.715,7.722,7.712,8.571,35.449,80
5160,129,40,4096,32,random,1000,22.526318,8.896,443.1014411170504,7.712,7.734,8.906,7.716,8.915,14020.527,7
5760,144,40,4096,32,random,1000,7.802755,7.771,0.5843296108097459,7.758,7.768,7.774,7.762,7.777,19.657,16
6480,162,40,4096,32,random,1000,7.802608,7.765,0.685272524451965,7.752,7.762,7.77,7.756,7.777,22.363,18
7280,182,40,4096,32,random,1000,7.894078,7.762,1.4804155457519703,7.746,7.758,7.768,7.752,8.315,41.883,76
8160,204,40,4096,32,random,1000,7.80059,7.759,0.658828000493478,7.743,7.756,7.762,7.75,7.768,19.596,57
9160,229,40,4096,32,random,1000,7.796072,7.756,0.6462580167705777,7.74,7.75,7.761,7.746,7.768,19.537,4
10320,258,40,4096,32,random,1000,8.00076,7.777,1.8058230564790425,7.755,7.771,7.781,7.765,8.3321,34.821,146
11560,289,40,4096,32,random,1000,7.802151,7.768,0.6046108272694524,7.752,7.765,7.774,7.756,7.78,21.28,7
13000,325,40,4096,32,random,1000,7.808364,7.767,0.6860538648017438,7.752,7.759,7.771,7.753,7.774,20.69,5
14560,364,40,4096,32,random,1000,8.829023,8.32,3.2598940396308316,7.743,8.306,8.942,7.756,8.967,36.351,19
16360,409,40,4096,32,random,1000,7.8019549999999995,7.759,0.8115075535597217,7.74,7.755,7.764,7.749,7.771,26.907,22
18360,459,40,4096,32,random,1000,7.897602,7.86,0.6147572839048873,7.786,7.842,7.89,7.807,7.9281,21.758,3
20640,516,40,4096,32,random,1000,7.892224,7.845,0.6128592124119848,7.771,7.835,7.896,7.817,7.919,20.541,3
23160,579,40,4096,32,random,1000,7.947902,7.9,0.6834817962182766,7.832,7.879,7.927,7.857,7.961,21.227,6
26000,650,40,4096,32,random,1000,7.995344,7.936,0.9898631596027497,7.859,7.921,7.955,7.894,7.982,32.979,10
29160,729,40,4096,32,random,1000,8.001314,7.952,0.7352795750307889,7.869,7.921749999999999,7.9895,7.884,8.017,22.037,8
32760,819,40,4096,32,random,1000,8.222716,8.182,0.7479464708568838,8.007,8.111,8.228,8.05,8.302,21.255,7
36760,919,40,4096,32,random,1000,9.039726,8.992,0.7366520407581542,8.875,8.96,9.022,8.918,9.069,21.669,11
41280,1032,40,4096,32,random,1000,11.251418,10.6,4.221300264989829,9.819,9.908,10.995,9.8649,11.475,39.543,32
46320,1158,40,4096,32,random,1000,10.802216,10.743,0.8638053200663764,10.644,10.721,10.764,10.69,10.798,26.419,13
52000,1300,40,4096,32,random,1000,11.285519,11.22,1.1589127691269285,11.116,11.199,11.237,11.162,11.26,42.587,17
58360,1459,40,4096,32,random,1000,11.463429,11.421,0.6846914117237693,11.294,11.383,11.44725,11.338,11.479,23.307,8
65520,1638,40,4096,32,random,1000,11.779004,11.73,0.689905475807773,11.632,11.711,11.752,11.675,11.779,24.226,16
73560,1839,40,4096,32,random,1000,12.171439,11.926,2.200484683227793,11.804,11.896,11.957,11.85895,12.774,50.036,105
82560,2064,40,4096,32,random,1000,12.095224,12.046,0.7086756839690841,11.96,12.027,12.061,12.006,12.089,26.073,20
92680,2317,40,4096,32,random,1000,12.902726,12.291,2.7964169296742156,12.196,12.256499999999999,12.334,12.22095,14.1931,39.795,229
104000,2600,40,4096,32,random,1000,12.453613,12.38,0.9488620903469047,12.269,12.35,12.402,12.289,12.448,30.716,26
116760,2919,40,4096,32,random,1000,12.599295,12.451,2.1236461925485908,12.303,12.401,12.481,12.359,12.530149999999999,67.942,29
131040,3276,40,4096,32,random,1000,12.827017,12.509,2.4280020157527673,12.392,12.478,12.54,12.43895,13.409,54.629,114
