stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,2048,65536,4096,random,1000,13.625097,13.04,5.364212581377551,12.916,13.01,13.475,12.966,13.561,160.534,18
33,1985,65536,4096,random,1000,22.373123,14.18,248.94058162280123,14.014,14.123750000000001,14.257,14.05785,14.76915,7886.312,144
34,1927,65536,4096,random,1000,14.015996,13.904,1.3437872413943117,13.72,13.812,13.966,13.759,14.290049999999999,39.379,54
35,1872,65536,4096,random,1000,14.400547,14.272,1.345861326623773,14.064,14.213,14.319,14.159,14.73815,39.573,56
36,1820,65536,4096,random,1000,13.920201,13.862,0.7030140050456252,13.72,13.8,13.913,13.753,13.987,24.35,9
37,1771,65536,4096,random,1000,14.340608,14.229,1.3529240007065022,14.002,14.099,14.319,14.037,14.625,39.693,46
38,1724,65536,4096,random,1000,14.28327,14.088,1.6221065367961245,13.934,14.055,14.123,14.0069,14.649049999999999,40.712,132
39,1680,65536,4096,random,1000,14.898097,14.386,2.891510608174936,14.234,14.334,14.858,14.284,14.9781,40.03,20
40,1638,65536,4096,random,1000,13.420385,13.055,2.4281444867271436,12.957,13.026,13.1005,12.993,13.579,39.0,221
41,1598,65536,4096,random,1000,14.298998,14.281,0.7372685554931249,13.972,14.141,14.331,14.0309,14.408,27.547,9
42,1560,65536,4096,random,1000,14.160851,14.1,0.6532338932712527,13.907,14.044,14.189,13.94295,14.29,25.522,7
43,1524,65536,4096,random,1000,14.983679,14.803,2.586824272689735,14.228,14.410499999999999,14.968,14.316,15.015,40.879,17
44,1489,65536,4096,random,1000,14.186585000000001,13.7035,3.2087972105312783,13.147,13.3535,14.27275,13.202,14.46205,42.0,21
45,1456,65536,4096,random,1000,14.953616,14.159,3.4413992313030484,14.001,14.11375,15.171,14.067,15.2881,44.775,25
46,1424,65536,4096,random,1000,13.937618,13.717,1.8620281117009927,13.567,13.677,13.77125,13.633,14.236,40.022,112
47,1394,65536,4096,random,1000,13.988887,13.929,0.6807802964562378,13.808,13.8855,13.978,13.84585,14.087,27.172,19
48,1365,65536,4096,random,1000,12.971845,12.923,0.6116751846417399,12.826,12.889,12.969,12.862,13.0041,24.958,7
49,1337,65536,4096,random,1000,14.124708,14.08,0.715162926015287,13.866,14.027,14.125,13.92395,14.179,27.715,10
50,1310,65536,4096,random,1000,13.915253,13.86,0.6670399983137071,13.742,13.832,13.903,13.786,13.944,24.8,9
51,1285,65536,4096,random,1000,14.15456,14.135,0.6392894159591236,13.895,14.0405,14.18,13.947,14.22,25.081,7
52,1260,65536,4096,random,1000,13.876945,13.823,0.6477610673507442,13.711,13.797,13.852,13.757,13.903,26.309,24
53,1236,65536,4096,random,1000,14.340121,14.269,0.7126008674955113,14.094,14.228,14.337,14.165,14.415149999999999,25.432,8
54,1213,65536,4096,random,1000,14.2921,14.246,0.6042380769644143,14.128,14.217,14.277,14.168,14.3121,24.561,10
