stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
40,1638,65536,4096,sequential,1000,8.833871,7.918,12.55760530943167,7.859,7.9,7.96175,7.881,9.142,395.711,243
41,1598,65536,4096,sequential,1000,18.664237,8.611,229.40582176106756,8.507,8.584,8.645,8.553,9.243,6398.226,141
42,1560,65536,4096,sequential,1000,8.62118,8.55,1.0198236258431297,8.44,8.522,8.583,8.489,8.633,35.929,28
43,1524,65536,4096,sequential,1000,8.818609,8.667,3.518606157757986,8.562,8.639,8.697,8.60485,8.74905,117.729,15
44,1489,65536,4096,sequential,1000,8.387042,8.341,0.7253214055695429,8.25,8.32,8.363,8.295,8.394,22.69,10
45,1456,65536,4096,sequential,1000,8.734568,8.691,0.667530535925056,8.593,8.663,8.718,8.624,8.765,20.611,14
46,1424,65536,4096,sequential,1000,9.670952,9.847,1.994946319707504,8.442,9.1735,9.912,8.556,9.982149999999999,36.289,9
47,1394,65536,4096,sequential,1000,8.836178,8.792,0.6428857522191688,8.657,8.764,8.826,8.7209,8.887,20.844,16
48,1365,65536,4096,sequential,1000,8.025481,7.986,0.7156391919760209,7.881,7.967,8.007,7.939,8.035,23.757,19
49,1337,65536,4096,sequential,1000,8.912384,8.883,0.5197718088519974,8.753,8.848,8.918,8.80195,8.979,19.462,12
50,1310,65536,4096,sequential,1000,8.866044,8.804,1.1166646838151908,8.651,8.76175,8.848500000000001,8.7,8.921,39.836,14
51,1285,65536,4096,sequential,1000,8.991569,8.949,0.6493045045112337,8.746,8.905,8.997,8.8499,9.0691,20.792,12
52,1260,65536,4096,sequential,1000,8.665633,8.616,0.7022357719387345,8.44,8.57475,8.6645,8.525,8.75205,24.42,20
53,1236,65536,4096,sequential,1000,9.074748,9.032,0.6734111292851084,8.819,8.982,9.083,8.918,9.157,23.436,16
54,1213,65536,4096,sequential,1000,9.053259,8.936,1.517794871908649,8.724,8.8865,8.988,8.823,9.096,45.402,33
55,1191,65536,4096,sequential,1000,9.227528,9.093,1.3989991715143715,8.845,9.031,9.172,8.952,9.671149999999999,38.922,69
56,1170,65536,4096,sequential,1000,8.262826,8.2295,0.5936321629333008,8.068,8.185,8.274,8.133,8.3481,21.942,10
57,1149,65536,4096,sequential,1000,9.323149,9.277,0.6410914670061271,8.973,9.203,9.3575,9.114,9.482,21.334,8
58,1129,65536,4096,sequential,1000,9.282585,9.232,0.6395103582220333,8.921,9.151,9.329,9.04395,9.482149999999999,21.948,12
59,1110,65536,4096,sequential,1000,9.562285,9.491,1.0376437868572255,9.071,9.39525,9.58925,9.27695,9.743,34.684,14
60,1092,65536,4096,sequential,1000,9.25181,9.21,0.617025399999258,8.789,9.10425,9.31625,8.9656,9.479149999999999,18.992,9
61,1074,65536,4096,sequential,1000,9.934789,9.8855,0.6329647311105334,9.362,9.758,10.037,9.577,10.249,21.528,10
62,1057,65536,4096,sequential,1000,10.245837,10.209,0.6433674705276395,9.568,10.046,10.359,9.8219,10.6238,21.549,11
63,1040,65536,4096,sequential,1000,12.020845,11.957,0.7307966479915707,11.693,11.893,12.046,11.819,12.177,24.626,12
64,1024,65536,4096,sequential,1000,11.417371,11.371,0.7320285986409467,11.163,11.286,11.435,11.217,11.540149999999999,25.021,6
65,1008,65536,4096,sequential,1000,12.654043,12.58,0.791470725333578,12.386,12.546,12.6385,12.4929,12.742,26.085,31
66,992,65536,4096,sequential,1000,12.517335,12.462,0.7140955028300922,12.332,12.426,12.503,12.386,12.5741,24.803,18
