num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,25.369712,23.98,11.161491799945752,20.45,23.462,27.024,21.796,29.769199999999998,364.156,9
3,32768,random,1000,29.684332,16.132,361.9539894253725,13.442,14.986,18.663,14.59,27.116,11462.572,187
4,32768,random,1000,10.002082,9.637,0.8026292013818778,8.572,9.59,10.324,9.59,10.324,24.794,13
5,32768,random,1000,9.578982,9.95,1.5408226212079137,7.756,8.9,10.284,8.268,10.286,38.33,5
6,32768,random,1000,9.127676000000001,8.9,1.338261031941681,7.42,8.268,9.95,8.268,10.286,29.22,4
7,32768,random,1000,9.41286,8.902,1.3670534032756025,7.248,8.552,10.252,8.268,10.286,31.42,3
8,32768,random,1000,9.186246,8.9,1.3023999897179117,7.714,8.268,9.95,8.048,10.36,28.132,3
9,32768,random,1000,12.11954,11.53,1.4901564974145456,10.12,11.004,13.364,10.994,14.054,33.314,4
10,32768,random,1000,15.269217999999999,14.599,1.304869853207518,13.122,14.594,16.06,14.524,16.06,33.148,6
11,32768,random,1000,15.198602,14.878,1.7494038823380778,13.12,14.594,16.06,14.524,16.06,38.642,6
12,32768,random,1000,15.245128,14.594,1.7620398224648475,13.12,14.594,16.06,14.524,16.06,46.414,5
13,32768,random,1000,23.195862,23.042,1.815318885378437,22.094,23.036,23.044,23.0159,23.046,48.91,90
14,32768,random,1000,23.18133,23.042,2.032717826177765,22.094,23.036,23.044,23.006,23.046,72.258,187
15,32768,random,1000,23.157072,23.044,1.3518783828355192,22.092,23.042,23.044,23.034,23.044,41.432,123
16,32768,random,1000,23.149984,23.044,1.2738939223771615,22.092,23.042,23.044,23.034,23.044,41.446,116
17,32768,random,1000,23.147422,23.044,1.218981303110648,22.094,23.042,23.044,23.034,23.046,42.636,190
18,32768,random,1000,23.133912000000002,23.044,1.1163478206691284,22.094,23.042,23.044,23.034,23.048,43.428,251
19,32768,random,1000,23.150024000000002,23.044,1.2766772059185956,22.092,23.042,23.044,23.036,23.048,41.974,179
20,32768,random,1000,23.157516,23.044,1.3118904643049794,22.092,23.042,23.044,23.034,23.048,40.1,264
21,32768,random,1000,23.122656,23.044,0.952621844197393,22.096,23.042,23.044,23.034,23.048,37.786,197
22,32768,random,1000,23.131636,23.044,1.1205829222282433,22.094,23.042,23.044,23.042,23.046,39.132,66
23,32768,random,1000,23.135578,23.044,1.0927242177842182,22.092,23.042,23.044,23.034,23.05,40.596,187
24,32768,random,1000,23.134582,23.044,1.0613049106592267,22.092,23.042,23.044,23.036,23.048,39.414,177
25,32768,random,1000,23.143722,23.044,1.2101135341287121,22.092,23.042,23.044,23.034,23.046,43.45,90
26,32768,random,1000,23.140328,23.044,1.2385873109889922,22.094,23.042,23.044,23.034,23.046,42.3,131
27,32768,random,1000,23.152626,23.044,1.310297934364853,22.092,23.042,23.044,23.036,23.046,46.494,91
28,32768,random,1000,23.157246,23.044,1.443060673565596,22.094,23.042,23.044,23.034,23.046,49.272,104
29,32768,random,1000,23.142500000000002,23.044,1.1385229837752882,22.092,23.042,23.044,23.034,23.044,38.084,122
30,32768,random,1000,23.141152,23.044,1.2216808851255228,22.094,23.042,23.044,23.034,23.0441,38.364,153
31,32768,random,1000,23.154802,23.044,1.3657165850155684,22.098,23.042,23.044,23.036,23.044,47.014,134
32,32768,random,1000,23.118918,23.044,0.9339016037471407,22.092,23.042,23.044,23.0379,23.046,38.67,80
33,32768,random,1000,23.140060000000002,23.044,1.1448959774578646,22.096,23.042,23.044,23.034,23.044,41.62,194
34,32768,random,1000,23.126046000000002,23.044,1.0169858199808106,22.092,23.042,23.044,23.036,23.044,39.104,115
35,32768,random,1000,23.136352000000002,23.044,1.1135509938534076,22.096,23.042,23.044,23.034,23.044,39.068,121
36,32768,random,1000,23.146164000000002,23.044,1.1813660189690471,22.1,23.042,23.044,23.036,23.046,44.014,119
37,32768,random,1000,23.14267,23.044,1.1484883162281245,22.092,23.042,23.044,23.034,23.046,40.844,219
38,32768,random,1000,23.115614,23.044,0.9712664709345017,22.092,23.042,23.044,23.042,23.044,39.882,56
39,32768,random,1000,23.137828,23.044,1.1605863117420447,22.092,23.042,23.044,23.034,23.044,41.91,125
40,32768,random,1000,23.29168,23.042,1.1642930231878243,22.092,23.036,23.044,23.034,26.078,39.066,98
