num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,1310720,random,1000,21.514636,21.796,2.8025996903818657,16.316,19.854,23.06,18.444,23.466,54.35,8
3,1310720,random,1000,29.656044,16.13,393.1836162440964,13.59,14.986,17.878500000000003,14.984,23.464,12449.73,88
4,1310720,random,1000,10.768528,10.754,1.435653857730064,8.956,9.99,10.756,9.726,12.516,37.548,193
5,1310720,random,1000,8.834418000000001,8.9,0.9888684938727564,7.252,8.268,8.9,8.268,10.286,25.032,140
6,1310720,random,1000,9.396978,9.888,1.1227310544099758,7.324,8.6025,10.284,8.268,10.286,24.546,3
7,1310720,random,1000,9.05756,8.9,1.3480987830009818,6.81,8.268,9.95,8.268,10.286,31.506,4
8,1310720,random,1000,8.723284,8.9,1.0121738147053474,7.558,8.268,8.9,8.268,9.95,28.784,68
9,1310720,random,1000,12.27856,8.9,4.414079084538989,7.824,8.268,16.036,8.268,18.266,39.392,3
10,1310720,random,1000,16.297788,16.034,1.4858281382152887,14.212,15.18,18.264,15.112,18.266,31.188,5
11,1310720,random,1000,17.037092,16.058,1.4300239382611741,14.318,16.034,18.266,15.63,18.268,32.076,6
12,1310720,random,1000,16.901598,16.04,1.4739823589142405,14.366,16.034,18.266,15.312,18.268,33.288,6
13,1310720,random,1000,17.10836,16.066,1.4561637969004044,15.112,16.036,18.266,16.034,18.268,38.678,5
14,1310720,random,1000,16.6531,16.058,1.3900261705287256,14.488,15.92,17.814,15.4,18.266,32.954,6
15,1310720,random,1000,16.815906,16.036,1.7678198296529293,14.538,16.034,18.266,15.4358,18.266,38.738,6
16,1310720,random,1000,16.934272,16.038,1.51149521196456,15.148,16.034,18.266,15.484,18.534,30.814,6
17,1310720,random,1000,16.982143999999998,16.126,1.7347858049491445,14.61,16.034,18.266,15.5319,18.268,39.37,6
18,1310720,random,1000,17.008309999999998,16.04,1.4781228755198714,14.628,16.034,18.266,15.5379,18.27,31.986,6
19,1310720,random,1000,16.754006,16.036,1.3573505591793533,15.116,15.974,18.266,15.578,18.266,31.282,5
20,1310720,random,1000,16.598508,16.053,1.2413660522229575,14.708,15.721499999999999,17.814,15.566,18.266,31.302,5
21,1310720,random,1000,16.744372,16.036,1.3517779422749951,14.708,15.6595,18.266,15.614,18.266,31.608,6
22,1310720,random,1000,16.106388,15.666,2.1594508091765494,14.344,15.253499999999999,16.311,15.222,17.856,44.774,44
23,1310720,random,1000,16.36842,15.72,1.8927621372238268,14.952,15.658,16.69,15.294,18.0342,45.442,46
24,1310720,random,1000,33.727816,33.5,3.0149761829121515,24.874,31.835,35.322,29.5535,37.822399999999995,52.37,26
25,1310720,random,1000,35.401366,35.046,2.3088288816733145,30.992,34.249,35.996,33.0758,38.004599999999996,59.004,45
26,1310720,random,1000,36.296042,35.194,3.2587139332464785,30.844,34.203500000000005,38.5345,32.832600000000006,41.3154,54.336,24
27,1310720,random,1000,44.163002,42.781,3.5110073284538235,39.78,41.917,46.47,40.979699999999994,52.113,65.156,36
28,1310720,random,1000,45.521364,43.816,3.7255351916158257,40.112,42.6305,47.9865,41.4137,53.3972,62.962,11
29,1310720,random,1000,56.393058,56.43,4.151522260293652,49.252,52.4595,58.747,50.707699999999996,63.634299999999996,67.978,0
30,1310720,random,1000,59.979128,59.632999999999996,4.919432015484203,48.898,55.8445,64.4135,53.338,67.4587,76.984,0
31,1310720,random,1000,59.35207,59.244,3.996487609929038,52.396,55.7365,62.226,53.6725,65.88250000000001,73.76,3
32,1310720,random,1000,68.25434,68.116,1.677263832067681,57.974,68.006,68.216,67.816,70.7424,79.626,107
33,1310720,random,1000,69.137352,68.90100000000001,1.944843707124339,57.754,68.6755,69.592,67.46979999999999,71.982,80.194,94
34,1310720,random,1000,67.309354,67.022,1.6752288758466616,63.898,66.906,67.206,66.75189999999999,67.9441,105.46,174
35,1310720,random,1000,67.63832000000001,67.458,1.1207400036385582,63.526,67.348,67.6345,67.1559,68.458,77.1,89
36,1310720,random,1000,66.226196,65.961,1.239636034924398,63.218,65.7815,66.512,65.554,67.4644,76.096,81
37,1310720,random,1000,68.695382,66.495,4.950647668175389,63.064,66.3635,70.3625,66.0855,81.6112,134.688,82
38,1310720,random,1000,67.849104,68.12,2.1419412366928845,63.716,67.968,68.244,64.418,68.4444,114.05,186
39,1310720,random,1000,63.701014,64.306,1.5511325191278456,60.868,62.055499999999995,64.444,61.387499999999996,64.67020000000001,75.754,18
40,1310720,random,1000,70.624956,68.204,6.677164669984865,64.658,67.98,68.554,64.96589999999999,87.04060000000001,98.622,406
