size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,524288,random,1000,50.487098,50.382999999999996,1.3496752222670467,47.534,49.8305,50.9455,48.9591,51.843999999999994,65.35,24
4255312,531914,random,1000,50.57091,50.43,1.198656144376882,48.044,49.8735,51.1155,49.1319,52.0361,58.756,18
4317200,539650,random,1000,50.890802,50.774,1.2215638448411212,47.694,50.2005,51.376999999999995,49.4639,52.346199999999996,59.6,24
4380000,547500,random,1000,50.939578,50.793,1.2004385826466537,48.39,50.279,51.415,49.5672,52.3326,59.08,22
4443704,555463,random,1000,51.2603,51.167,1.2667439513328012,48.696,50.57,51.6995,49.8039,52.7324,62.17,24
4508344,563543,random,1000,51.494408,51.342,1.2251816810937421,48.744,50.821,51.9485,50.1235,52.876799999999996,60.808,25
4573920,571740,random,1000,51.88541,51.748999999999995,1.9486684203610711,49.254,51.146,52.32,50.316,53.2408,99.336,21
4640448,580056,random,1000,52.207042,52.003,1.3565647238838574,49.366,51.457499999999996,52.6085,50.707699999999996,54.3303,62.82,51
4707944,588493,random,1000,52.259626,52.163,1.231187712457896,49.982,51.6255,52.659,50.865899999999996,53.5691,63.156,25
4776424,597053,random,1000,52.548894,52.447,1.2273583948437365,49.876,51.8815,53.037,51.1076,53.928,60.726,21
4845896,605737,random,1000,52.761614,52.681,1.2097992648639133,50.364,52.1415,53.1675,51.3615,54.1584,61.644,24
4916384,614548,random,1000,53.073012,52.939,1.4310784945325374,50.598,52.3705,53.492999999999995,51.634,54.3352,65.768,22
4987896,623487,random,1000,53.276852,53.159,1.2877446425283083,50.198,52.622,53.7305,51.7434,54.691199999999995,62.838,29
5060440,632555,random,1000,53.484184,53.388,1.213415635158723,51.052,52.8165,53.906,52.1457,54.8246,63.508,21
5134048,641756,random,1000,53.772326,53.637,1.2138367045320673,50.954,53.1415,54.1895,52.412,55.020700000000005,64.082,26
5208728,651091,random,1000,53.986252,53.831,1.3925887979069973,51.432,53.371,54.3635,52.6697,55.2521,77.236,26
5284488,660561,random,1000,54.11322,53.992999999999995,1.2419423643778469,51.834,53.486,54.532,52.7309,55.4584,63.78,22
5361352,670169,random,1000,54.41674,54.316,1.2033512615436353,51.716,53.789,54.8525,53.0378,55.6746,62.662,25
5439336,679917,random,1000,54.603554,54.492,1.1754891593918881,51.806,53.999,55.014,53.2554,55.862,63.592,31
5518456,689807,random,1000,54.83011,54.730999999999995,1.1889393864973792,52.554,54.225,55.2365,53.4018,56.0524,64.25,25
5598720,699840,random,1000,55.062618,54.964,1.2293922414589087,52.66,54.4,55.44,53.688,56.4351,64.734,29
5680152,710019,random,1000,55.244266,55.158,1.2487021960493296,52.592,54.6325,55.670500000000004,53.8279,56.3377,65.726,26
5762776,720347,random,1000,55.491582,55.382999999999996,1.1963853790694916,53.08,54.862,55.9045,54.1259,56.7905,64.536,25
5846600,730825,random,1000,55.635448,55.55,1.1866371960844357,53.272,54.996,56.044,54.2858,56.931599999999996,63.378,23
5931640,741455,random,1000,55.822556,55.689,1.2377361664271112,53.632,55.201499999999996,56.2015,54.5279,57.0344,65.362,21
6017912,752239,random,1000,56.055926,55.945,1.210863654303536,53.174,55.4565,56.4365,54.6735,57.3631,64.608,31
6105448,763181,random,1000,56.252352,56.143,1.2316731769876743,53.754,55.6175,56.6325,54.942,57.5264,64.57,27
6194256,774282,random,1000,56.38205,56.289,1.2239216616000117,54.09,55.7555,56.774499999999996,54.984,57.6761,65.578,25
6284352,785544,random,1000,56.591292,56.441,1.2573106859073844,53.896,55.993,56.965,55.2594,57.8422,67.298,29
6375760,796970,random,1000,55.423578,55.331,1.2102068064716998,52.914,54.804,55.826,54.082800000000006,56.6861,64.038,28
6468496,808562,random,1000,55.601444,55.482,1.2180533522111554,52.544,54.9615,56.012,54.2738,56.8204,64.758,24
6562584,820323,random,1000,55.730904,55.605,1.2202752601337512,53.194,55.1415,56.084500000000006,54.4256,56.8784,64.91,25
6658040,832255,random,1000,55.896442,55.806,1.2004791238346308,53.246,55.2725,56.2615,54.553000000000004,57.182900000000004,66.304,31
6754880,844360,random,1000,56.138748,56.019,1.19446882767039,53.986,55.519000000000005,56.5805,54.7779,57.3301,66.252,22
6853136,856642,random,1000,56.304516,56.206,1.190846993658844,53.84,55.697,56.688500000000005,54.995200000000004,57.532399999999996,64.918,25
6952816,869102,random,1000,56.510936,56.402,1.2071557533793709,53.932,55.8835,56.902,55.2186,57.722300000000004,63.952,23
7053944,881743,random,1000,56.679794,56.574,1.2222699314592291,54.448,56.056,57.042,55.3655,57.8861,64.942,23
7156552,894569,random,1000,56.84771,56.72,1.2427697181990203,54.678,56.1995,57.2585,55.5773,58.006,65.922,21
7260640,907580,random,1000,57.047924,56.885000000000005,1.2428410035012458,54.512,56.4715,57.406,55.739000000000004,58.2204,68.448,27
7366248,920781,random,1000,57.25376,57.141999999999996,1.1961619931739653,55.11,56.67,57.6005,55.937000000000005,58.365,66.754,26
7473400,934175,random,1000,57.408008,57.278000000000006,1.3144204491155231,54.914,56.7975,57.7505,56.1374,58.618700000000004,67.05,28
7582096,947762,random,1000,57.616648,57.504000000000005,1.2184679414002735,54.974,57.023,57.9805,56.2872,58.8307,66.088,25
7692384,961548,random,1000,57.774904,57.646,1.2126283199011254,55.37,57.19,58.1285,56.489200000000004,58.8823,67.472,28
7804272,975534,random,1000,57.896824,57.772,1.1752464580934765,55.422,57.297,58.278999999999996,56.655499999999996,59.028,66.26,26
7917792,989724,random,1000,58.060448,57.937,1.195240768963221,55.498,57.4675,58.4065,56.8279,59.1866,67.048,25
8032952,1004119,random,1000,58.250824,58.132000000000005,1.2260322981961853,55.806,57.664,58.5945,56.9076,59.3862,68.218,29
8149800,1018725,random,1000,58.408702,58.285,1.2384487435846858,55.458,57.812,58.7725,57.1035,59.502700000000004,67.626,27
8268336,1033542,random,1000,58.533688,58.402,1.2155511191139512,56.006,57.9445,58.8925,57.2999,59.5973,67.752,28
8388608,1048576,random,1000,57.745678,57.63,1.191888579818895,55.428,57.146,58.068,56.5798,58.8221,66.872,30
8510616,1063827,random,1000,57.849768,57.743,1.1859450931387758,55.398,57.2835,58.172,56.6098,58.9805,67.618,29
8634408,1079301,random,1000,57.967904,57.83,1.2371734579067515,55.318,57.348,58.3305,56.713699999999996,59.1582,70.434,25
8760000,1095000,random,1000,58.120684,57.989000000000004,1.1683199114795397,55.4,57.5535,58.4405,56.9014,59.2986,66.306,29
8887416,1110927,random,1000,58.272536,58.129999999999995,1.1864868814377272,55.882,57.677499999999995,58.6115,57.0278,59.4422,67.196,29
9016688,1127086,random,1000,58.56598,58.391000000000005,1.539060761512562,56.38,57.925,58.8755,57.226,59.6982,72.076,27
9147840,1143480,random,1000,58.56373,58.427,1.2315348119696385,56.324,57.9615,58.8865,57.4019,59.658300000000004,68.334,25
9280896,1160112,random,1000,58.760054,58.605000000000004,1.2202816528967388,56.122,58.1815,59.124,57.5478,59.8688,68.17,24
9415888,1176986,random,1000,58.880856,58.762,1.2513820968898415,56.518,58.297,59.194,57.6958,59.8911,69.712,30
9552848,1194106,random,1000,59.037534,58.903000000000006,1.1786021966643294,56.684,58.4875,59.3565,57.8219,60.148300000000006,68.834,28
9691800,1211475,random,1000,59.20448,59.09,1.1623129445123552,57.06,58.6375,59.5645,58.0293,60.1961,69.278,22
9832768,1229096,random,1000,59.386546,59.22,1.5810657072540202,56.934,58.756,59.688500000000005,58.1829,60.320100000000004,86.412,25
9975792,1246974,random,1000,59.527304,59.388999999999996,1.2183005326157301,57.546,58.9475,59.827,58.333600000000004,60.609199999999994,68.988,26
10120888,1265111,random,1000,59.697998,59.521,1.8663711080889323,57.614,59.0995,59.9665,58.4558,60.7181,105.238,27
10268104,1283513,random,1000,59.770222,59.623000000000005,1.1495100939844645,57.602,59.237,60.1025,58.5456,60.8224,67.7,33
10417456,1302182,random,1000,59.955884,59.824,1.2134013323452952,57.882,59.41,60.2625,58.7765,61.076,71.926,32
10568984,1321123,random,1000,59.242562,59.088,1.1848585172339616,57.21,58.678,59.535,58.0919,60.3121,68.938,31
10722712,1340339,random,1000,59.318044,59.174,1.1102875774179266,56.794,58.8035,59.622,58.1819,60.4467,67.624,35
10878672,1359834,random,1000,59.492636,59.378,1.158190997154567,57.036,58.9495,59.792,58.3078,60.606399999999994,67.542,30
11036912,1379614,random,1000,59.636528,59.448,1.56781405853441,57.264,59.057,59.93,58.433499999999995,60.7141,89.392,26
11197448,1399681,random,1000,59.725816,59.57,1.139133382447818,57.85,59.181,60.0345,58.6266,60.820100000000004,68.096,26
11360312,1420039,random,1000,59.9327,59.819,1.2138254282104037,57.39,59.3535,60.262,58.6838,61.050999999999995,68.972,27
11525552,1440694,random,1000,60.025768,59.914,1.1283682701711923,57.996,59.492,60.328,58.8616,61.0826,68.26,26
11693200,1461650,random,1000,60.145316,60.0,1.159463658818214,58.126,59.592,60.4485,58.9994,61.2086,68.728,26
11863280,1482910,random,1000,60.29947,60.174,1.1991499003809256,58.208,59.775000000000006,60.588,59.1151,61.3549,69.228,38
12035832,1504479,random,1000,60.424872,60.292,1.1575451880935268,58.368,59.9115,60.702,59.3317,61.4282,69.382,31
12210904,1526363,random,1000,60.558772,60.419,1.2256938154960828,58.618,60.016,60.8565,59.399499999999996,61.6322,69.764,30
12388512,1548564,random,1000,60.664074,60.519000000000005,1.1892481615347212,58.586,60.096,60.982,59.527499999999996,61.688,69.888,30
12568704,1571088,random,1000,60.800842,60.675,1.1782688642888568,58.708,60.24,61.079,59.655699999999996,61.7462,70.502,27
12751520,1593940,random,1000,60.240126,60.119,1.1277496599065857,58.14,59.7335,60.5205,59.1055,61.2584,68.276,29
12937000,1617125,random,1000,60.33803,60.206,1.1388136509682483,57.794,59.826,60.6525,59.2538,61.3044,68.086,32
13125168,1640646,random,1000,60.484644,60.364,1.1829447999224916,57.724,59.924,60.8155,59.324,61.4784,69.844,24
13316080,1664510,random,1000,60.613774,60.441,1.2346835142271497,57.994,60.074,60.9025,59.5259,61.644,75.61,24
13509768,1688721,random,1000,60.862724,60.619,1.2461947637561366,58.678,60.2395,61.1265,59.69,62.9073,69.812,66
13706272,1713284,random,1000,60.82996,60.703,1.1215190463703109,58.72,60.293499999999995,61.114,59.7609,61.808,68.802,25
13905632,1738204,random,1000,60.964708,60.839,1.2107504744774817,58.94,60.4315,61.228,59.8259,61.846199999999996,70.308,26
14107896,1763487,random,1000,61.12525,61.004,1.2374948060072393,59.008,60.5995,61.354,59.9059,62.0922,69.396,33
14313104,1789138,random,1000,61.20419,61.07,1.1446205012981343,59.274,60.665,61.509,60.1035,62.2323,69.746,25
14521288,1815161,random,1000,61.35059,61.195,1.4958877444661562,59.226,60.773,61.604,60.183699999999995,62.2748,90.756,27
14732504,1841563,random,1000,60.90792,60.739000000000004,1.1800938094062685,58.872,60.3625,61.1805,59.7858,61.9285,70.764,30
14946800,1868350,random,1000,60.974734,60.825,1.2260841486552152,59.074,60.422,61.246,59.8433,61.9407,71.98,26
15164200,1895525,random,1000,61.073194,60.942,1.138358540412699,59.246,60.578,61.342,59.994,61.9732,69.582,28
15384768,1923096,random,1000,61.191058,61.075,1.1674234339390788,59.4,60.704,61.466,60.0936,62.0105,69.718,27
15608552,1951069,random,1000,61.29492,61.169,1.1503716532236619,59.296,60.793499999999995,61.5585,60.1916,62.178799999999995,70.458,26
15835576,1979447,random,1000,61.469868,61.328,1.1378447597424146,59.302,60.954,61.722,60.4539,62.4061,70.04,28
16065912,2008239,random,1000,61.56189,61.418,1.1860930927733813,59.246,61.1,61.7805,60.4599,62.5297,71.404,44
16299600,2037450,random,1000,61.621344,61.498,1.1113420836497154,59.792,61.144,61.8645,60.613699999999994,62.4863,69.546,31
16536680,2067085,random,1000,61.76947,61.632,1.1750174590741744,59.818,61.245000000000005,62.0185,60.7018,62.712500000000006,70.71,29
16777216,2097152,random,1000,61.400432,61.254,1.141581821172022,59.712,60.8995,61.674,60.3675,62.2161,70.118,25
17021240,2127655,random,1000,61.443044,61.302,1.1860774856078613,58.922,60.939499999999995,61.6965,60.335699999999996,62.3861,71.214,27
17268824,2158603,random,1000,61.551204,61.422,1.2138821640885464,59.572,61.044,61.804500000000004,60.4619,62.448100000000004,72.31,27
17520000,2190000,random,1000,61.678856,61.552,1.1566019346773113,59.448,61.183,61.932500000000005,60.596,62.5301,70.394,33
17774840,2221855,random,1000,61.775884,61.65,1.1430037253045418,59.812,61.292,62.0255,60.711800000000004,62.654700000000005,70.628,33
18033376,2254172,random,1000,61.91828,61.772000000000006,1.131739328426607,60.116,61.419,62.1745,60.9073,62.8062,70.132,25
18295680,2286960,random,1000,62.099114,61.885999999999996,2.2481689070081985,60.158,61.4875,62.310500000000005,60.972,62.940599999999996,121.018,28
18561800,2320225,random,1000,62.101144,61.982,1.1189126403615077,60.122,61.608,62.35,61.043099999999995,62.9882,70.142,32
18831784,2353973,random,1000,62.268686,62.106,1.163394390527955,60.422,61.742,62.541,61.2057,63.2921,73.02,29
