size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4573920,571740,random,1000,51.794298,51.72,1.2537339382755752,49.352,51.1135,52.224,50.237899999999996,53.124,60.512,23
4640448,580056,random,1000,52.070792,51.943,1.2660509570162497,48.81,51.424,52.4945,50.6237,53.486,62.342,25
4707944,588493,random,1000,52.25177,52.142,1.2578889218208575,49.292,51.5905,52.714,50.8828,53.596799999999995,61.342,23
4776424,597053,random,1000,52.56173,52.448,1.206260752948592,49.054,51.938,53.0125,51.1612,53.885,60.184,27
4845896,605737,random,1000,52.787926,52.682,1.2067489156694815,50.134,52.121,53.254,51.34,54.1163,60.922,22
4916384,614548,random,1000,53.070294,52.992999999999995,1.277615495725893,50.43,52.405,53.536,51.534,54.428399999999996,63.026,28
4987896,623487,random,1000,53.272782,53.185,1.2341774469039881,50.57,52.6315,53.696,51.811299999999996,54.6789,61.672,27
5060440,632555,random,1000,53.468422,53.357,1.199895448363316,51.032,52.867999999999995,53.876000000000005,52.1277,54.7528,61.302,25
5134048,641756,random,1000,53.736212,53.626,1.2253910960972396,51.13,53.1345,54.129,52.3518,54.8664,62.542,35
5208728,651091,random,1000,53.95068,53.813,1.2044439375906206,51.42,53.273,54.3625,52.6336,55.3181,62.796,28
5284488,660561,random,1000,54.104288,53.986,1.2194245894623355,51.95,53.453,54.519,52.7418,55.408300000000004,63.402,23
5361352,670169,random,1000,54.431312,54.312,1.436027360894366,51.78,53.77,54.840500000000006,53.077600000000004,55.608399999999996,76.006,29
5439336,679917,random,1000,54.61945,54.477000000000004,1.1950513835435317,51.904,54.013000000000005,54.994,53.314,55.8942,62.802,29
5518456,689807,random,1000,54.855634,54.697,1.5969544908010653,52.11,54.2095,55.2285,53.4995,56.044,89.322,26
5598720,699840,random,1000,55.056412,54.945,1.2015058579060622,52.41,54.422,55.483,53.6575,56.3582,63.402,27
5680160,710020,random,1000,55.218176,55.120999999999995,1.2326857292640048,52.684,54.566,55.620999999999995,53.885200000000005,56.4922,64.554,27
5762776,720347,random,1000,55.490604,55.35,1.2087884631864803,53.18,54.865,55.905,54.2325,56.7941,64.782,25
5846600,730825,random,1000,55.608788,55.488,1.1740695969466524,53.462,54.989000000000004,56.036500000000004,54.293,56.9761,64.568,22
5931640,741455,random,1000,55.82208,55.715,1.1815117653462668,53.798,55.184,56.206,54.531699999999994,57.0381,64.63,22
6017912,752239,random,1000,56.048564,55.93,1.1773012257192634,53.596,55.4355,56.4045,54.7037,57.2588,64.47,27
6105448,763181,random,1000,56.239714,56.091,1.3780929600032106,53.79,55.592,56.6285,54.9016,57.5201,78.292,25
6194256,774282,random,1000,56.402824,56.27,1.2212889042366721,53.832,55.801,56.83,55.0096,57.5981,66.324,22
6284352,785544,random,1000,56.638628,56.503,1.3447236918502712,54.084,55.9995,57.0205,55.2739,57.930299999999995,67.442,31
6375760,796970,random,1000,55.444998,55.306,1.2630019786184004,52.658,54.839,55.831,54.0379,56.7023,65.778,27
6468496,808562,random,1000,55.569878,55.47,1.2355846237625647,53.006,54.9315,55.946,54.232,56.7825,63.886,25
6562584,820323,random,1000,55.728894,55.61,1.1807710298736962,53.038,55.152,56.118,54.409699999999994,56.9463,64.366,26
6658040,832255,random,1000,55.939192,55.758,1.6061648236020414,53.52,55.2765,56.325,54.5436,57.1203,84.986,24
6754880,844360,random,1000,56.130628,56.026,1.2603667029249233,53.4,55.4875,56.5445,54.7635,57.336,66.252,26
6853136,856642,random,1000,56.311726,56.176,1.2246220135209067,53.566,55.721000000000004,56.670500000000004,55.025600000000004,57.5166,66.158,28
6952816,869102,random,1000,56.50744,56.376000000000005,1.1801451830402279,54.216,55.886,56.892,55.277499999999996,57.634100000000004,64.662,20
7053944,881743,random,1000,56.69634,56.586,1.226384454904428,54.416,56.082,57.058,55.3598,57.9062,67.446,25
7156552,894569,random,1000,56.861234,56.718,1.1850197065656543,54.73,56.25,57.266,55.606,58.0864,65.194,23
7260640,907580,random,1000,57.040842,56.896,1.1681992195051545,55.018,56.448,57.409,55.853699999999996,58.1601,66.578,23
7366256,920782,random,1000,57.199874,57.077,1.2120986309765451,55.022,56.5905,57.560500000000005,55.9039,58.41159999999999,67.566,23
7473400,934175,random,1000,57.397528,57.272999999999996,1.1962155444755118,54.928,56.773,57.8125,56.04,58.5587,66.36,25
7582096,947762,random,1000,57.636242,57.55,1.1657837179825052,54.954,57.045,58.02,56.3499,58.7842,65.888,27
7692384,961548,random,1000,57.763212,57.654,1.1536193794873284,55.562,57.188,58.1345,56.5137,58.9272,68.006,29
7804272,975534,random,1000,57.91979,57.778999999999996,1.299088501540536,55.566,57.3195,58.278,56.6459,59.023799999999994,76.372,28
7917792,989724,random,1000,58.082638,57.942,1.371325161168442,55.44,57.4795,58.416,56.8134,59.1888,70.648,26
8032952,1004119,random,1000,58.249376,58.131,1.2194282331649697,56.102,57.6575,58.602999999999994,56.9897,59.440799999999996,67.532,28
8149800,1018725,random,1000,58.410312,58.312,1.2065931715941947,55.404,57.817499999999995,58.774,57.1515,59.504799999999996,67.4,25
8268336,1033542,random,1000,58.53759,58.447,1.2017748785686773,56.104,57.922,58.9045,57.257600000000004,59.672599999999996,67.34,28
8388608,1048576,random,1000,57.774582,57.634,1.3307403500139143,54.812,57.2115,58.1065,56.519600000000004,58.9645,78.574,34
8510616,1063827,random,1000,57.888518,57.772999999999996,1.1670799678373915,55.088,57.3615,58.2305,56.5876,58.958,66.28,26
8634408,1079301,random,1000,57.964224,57.835,1.2115345103189152,55.552,57.338,58.3445,56.719699999999996,59.0745,68.376,24
8760000,1095000,random,1000,58.11608,57.982,1.1931676909549382,55.758,57.531499999999994,58.466,56.9359,59.2561,68.358,26
8887416,1110927,random,1000,58.277912,58.144999999999996,1.2436702118535492,55.992,57.6625,58.6385,57.0059,59.4301,68.168,24
9016688,1127086,random,1000,58.431492,58.298,1.2205939601487266,55.906,57.8655,58.7285,57.229499999999994,59.5401,68.322,30
9147840,1143480,random,1000,58.610486,58.456,1.6366868116788635,56.426,58.0275,58.907,57.3358,59.6482,94.938,25
9280896,1160112,random,1000,58.751764,58.642,1.170232005737004,56.208,58.135000000000005,59.1385,57.5195,59.8002,66.808,24
9415888,1176986,random,1000,58.87803,58.762,1.1142153144104898,56.386,58.3095,59.2425,57.707699999999996,59.928599999999996,65.998,27
9552848,1194106,random,1000,59.0573,58.878,1.355203535496651,56.672,58.4875,59.386,57.8476,60.1882,80.722,28
9691800,1211475,random,1000,59.218946,59.096,1.216700790621054,56.422,58.664,59.5125,58.0599,60.2321,71.392,31
9832768,1229096,random,1000,59.337438,59.239000000000004,1.1632291012943659,57.3,58.783,59.678,58.0935,60.404300000000006,67.878,25
9975792,1246974,random,1000,59.617594,59.41,1.254807049667755,57.496,58.9675,59.93,58.3079,61.5333,68.18,56
10120888,1265111,random,1000,59.66785,59.539,1.1939949570485875,57.59,59.114,60.0085,58.4998,60.717,69.218,25
10268104,1283513,random,1000,59.760352,59.654,1.159401062151885,57.318,59.177,60.078500000000005,58.573,60.840300000000006,68.104,27
10417456,1302182,random,1000,59.910722,59.822,1.0916313946648009,57.498,59.376,60.24,58.753699999999995,60.9522,67.612,29
10568984,1321123,random,1000,59.251188,59.128,1.1680312211536086,56.796,58.6855,59.5565,58.119699999999995,60.224199999999996,67.562,27
10722712,1340339,random,1000,59.312466,59.196,1.1289508886364157,57.052,58.7455,59.636,58.1973,60.3046,67.206,33
10878672,1359834,random,1000,59.45472,59.329,1.1724419430017459,57.45,58.892,59.7945,58.2596,60.4981,68.064,28
11036912,1379614,random,1000,59.606886,59.476,1.1606314748551427,57.404,59.0475,59.9285,58.4238,60.68,68.928,24
11197448,1399681,random,1000,59.78364,59.611000000000004,1.826939454434703,57.636,59.169,60.048500000000004,58.539899999999996,60.7562,103.092,31
11360312,1420039,random,1000,59.887968,59.77,1.1569727952830287,57.614,59.304,60.209,58.7658,60.9421,68.334,26
11525552,1440694,random,1000,60.049986,59.92,1.1828525960862868,58.07,59.518,60.328500000000005,58.9059,61.0223,68.69,31
11693200,1461650,random,1000,60.15074,59.993,1.2239890659779742,58.168,59.578,60.4745,58.9818,61.154300000000006,70.242,23
11863280,1482910,random,1000,60.30064,60.183,1.171313948848372,57.92,59.7475,60.590500000000006,59.1231,61.3903,69.276,39
12035832,1504479,random,1000,60.415358,60.271,1.162602613394909,58.674,59.8575,60.707,59.3037,61.3943,69.836,24
12210904,1526363,random,1000,60.548186,60.392,1.1809789298021522,58.416,59.9615,60.867,59.3459,61.6342,69.328,24
12388512,1548564,random,1000,60.707878,60.544,1.6098437470779596,58.428,60.16,60.9905,59.561699999999995,61.6783,97.39,28
12568704,1571088,random,1000,60.852072,60.682,1.48716733877177,58.588,60.305,61.0895,59.6579,61.7986,83.704,31
12751520,1593940,random,1000,60.243448,60.111000000000004,1.198192228280551,58.366,59.69,60.562,59.0438,61.282399999999996,69.23,24
12937000,1617125,random,1000,60.359994,60.226,1.1860748414385551,58.184,59.803,60.678,59.2179,61.314,69.144,27
13125168,1640646,random,1000,60.487672,60.351,1.478879359710107,58.392,59.9175,60.782,59.2975,61.3702,89.97,29
13316080,1664510,random,1000,60.587392,60.455,1.1568476021977616,58.358,60.042,60.891,59.4278,61.5805,68.894,23
13509768,1688721,random,1000,60.779838,60.592,2.0047602154066397,58.632,60.177499999999995,61.0015,59.634,61.7425,112.816,29
13706272,1713284,random,1000,60.808454,60.69,1.108157444953923,59.038,60.28,61.08,59.7239,61.8306,70.926,27
13905632,1738204,random,1000,61.003308,60.885000000000005,1.1429751148862557,58.738,60.48,61.3065,59.8779,61.9703,70.052,28
14107896,1763487,random,1000,61.084322,60.94,1.1609279314315675,59.228,60.558,61.341,59.976,62.0904,69.882,27
14313104,1789138,random,1000,61.229742,61.056,1.616683970507686,58.836,60.671,61.486999999999995,60.1199,62.1061,96.39,28
14521288,1815161,random,1000,61.299392,61.177,1.1394281718892574,59.096,60.781499999999994,61.5895,60.1936,62.1864,69.806,28
14732504,1841563,random,1000,61.010334,60.760999999999996,2.5253649099431894,58.626,60.38,61.188500000000005,59.7438,61.9186,117.62,34
14946800,1868350,random,1000,60.930848,60.784,1.1283727761772782,59.126,60.415499999999994,61.202,59.8418,61.8964,71.5,28
15164200,1895525,random,1000,61.092456,60.995000000000005,1.1394120641435723,58.702,60.585499999999996,61.3605,60.0018,62.0104,69.096,29
