footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
163840,2560,64,4096,0,sequential,1000,31.720926,33.962,9.177164691248288,24.256,25.901,34.8545,24.8978,36.644,273.646,8
183872,2873,64,4096,0,sequential,1000,29.463438,17.259,366.8785250137113,16.778,17.002,17.874499999999998,16.924,24.724499999999995,11619.4,55
206400,3225,64,4096,0,sequential,1000,11.6208,11.483,0.6443461786943397,11.034,11.334,11.762,11.284,12.2221,25.328,4
231680,3620,64,4096,0,sequential,1000,11.090994,10.926,0.5402154243157712,10.55,10.692,11.3545,10.642,12.0341,19.542,4
260032,4063,64,4096,0,sequential,1000,10.963398,10.826,0.6365840658301689,10.4,10.686,11.1205,10.638,11.5261,23.618,4
291904,4561,64,4096,0,sequential,1000,10.943052,10.817,0.6090774241462283,10.396,10.686,11.0455,10.636,11.522,23.376,18
327680,5120,64,4096,0,sequential,1000,10.979156,10.86,0.6110811958258018,10.394,10.698,11.132,10.644,11.508,20.92,4
367808,5747,64,4096,0,sequential,1000,10.962178,10.838,0.5834827027259508,10.404,10.684,11.134,10.634,11.52,22.522,4
412800,6450,64,4096,0,sequential,1000,10.951706,10.824,0.6222542035678489,10.406,10.678,11.064,10.632,11.526,21.484,9
463360,7240,64,4096,0,sequential,1000,10.940256,10.828,0.5167078259920604,10.394,10.676,11.052,10.6359,11.508,19.476,7
520128,8127,64,4096,0,sequential,1000,10.96959,10.857,0.5865522512474429,10.4,10.692,11.102,10.634,11.54,22.572,4
583808,9122,64,4096,0,sequential,1000,10.932164,10.809000000000001,0.5455445719498856,10.39,10.678,11.052,10.632,11.54,20.5,18
655360,10240,64,4096,0,sequential,1000,10.928858,10.798,0.5333634562026277,10.392,10.658,11.074,10.632,11.506,20.232,4
735616,11494,64,4096,0,sequential,1000,10.988686,10.86,0.6943855187521213,10.402,10.688,11.1345,10.63,11.556099999999999,25.112,4
825664,12901,64,4096,0,sequential,1000,10.985554,10.850999999999999,0.6881215040153071,10.564,10.686,11.1705,10.634,11.546299999999999,25.474,4
926784,14481,64,4096,0,sequential,1000,11.079728,10.962,0.5797433331642101,10.518,10.784,11.278,10.654,11.732099999999999,23.254,7
1040256,16254,64,4096,0,sequential,1000,11.781442,11.565000000000001,1.0115290859524149,10.628,11.202,12.130500000000001,10.8459,13.369699999999998,27.63,41
1167680,18245,64,4096,0,sequential,1000,11.518322,11.311,0.9426827924403645,10.662,11.029499999999999,11.754,10.81,12.733099999999999,28.058,42
1310720,20480,64,4096,0,sequential,1000,11.35497,11.17,0.7552148969933264,10.65,10.9475,11.600999999999999,10.778,12.3804,20.892,40
1471232,22988,64,4096,0,sequential,1000,12.881404,12.213000000000001,1.8008212998901747,11.038,11.684,13.497499999999999,11.347900000000001,16.4723,28.286,58
1651392,25803,64,4096,0,sequential,1000,11.583404,11.379999999999999,0.9717696460730955,10.552,11.2,11.7245,11.054,12.266399999999999,32.02,22
1853632,28963,64,4096,0,sequential,1000,12.03229,11.429,1.6828571371462417,10.804,11.17,12.046,11.014,15.784799999999997,24.326,121
2080576,32509,64,4096,0,sequential,1000,11.97903,11.398,1.621155901681747,10.726,11.09,12.0645,10.9539,15.233799999999997,24.852,102
2335424,36491,64,4096,0,sequential,1000,14.980282,14.591,3.9812795459876087,10.68,11.244,17.869500000000002,10.958,22.0647,29.864,3
2621440,40960,64,4096,0,sequential,1000,12.81174,12.038,2.0920672412094556,10.64,11.1535,13.8995,10.942,16.438399999999998,32.85,24
2942464,45976,64,4096,0,sequential,1000,11.96937,11.701,1.2510658451292038,10.652,11.1755,12.344,10.942,13.830299999999996,31.37,39
3302784,51606,64,4096,0,sequential,1000,11.621732,11.348,0.9127822410605914,10.62,11.11,11.9295,10.9379,12.991699999999998,21.3,41
3707264,57926,64,4096,0,sequential,1000,11.618412,11.322,1.0299740019537875,10.648,11.0315,11.8265,10.9339,13.294199999999998,25.098,61
4161216,65019,64,4096,0,sequential,1000,11.394152,11.178,0.9078244643950472,10.612,10.974,11.5445,10.924,12.0701,25.198,20
4670848,72982,64,4096,0,sequential,1000,11.37233,11.177,0.6795535005134328,10.594,10.976,11.5725,10.924,12.048,19.33,16
5242880,81920,64,4096,0,sequential,1000,11.400068,11.162,1.024374350609281,10.59,10.978,11.549,10.926,12.0541,31.314,24
