stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,327680,2621440,4096,sequential,1000,15.24616,14.775,3.3300015286153517,11.134,12.9215,15.712,12.0,23.355499999999996,39.066,104
16,163840,2621440,4096,sequential,1000,9.596504,9.534,1.195337010450422,7.86,8.648,10.612,8.164,10.682,24.752,4
24,109226,2621440,4096,sequential,1000,7.677216,7.598,1.5700526955522258,6.47,6.9035,8.5125,6.544,8.5801,48.772,3
32,81920,2621440,4096,sequential,1000,7.661744,7.587,0.9217359337660628,6.238,6.9595,8.502500000000001,6.574,8.576,19.558,3
40,65536,2621440,4096,sequential,1000,7.84112,7.7989999999999995,0.989251788323226,6.534,7.1395,8.56,6.78,8.6241,25.456,3
48,54613,2621440,4096,sequential,1000,8.154822,8.096,0.6952039620606782,6.996,7.6535,8.66,7.404,8.7681,16.53,8
56,46811,2621440,4096,sequential,1000,9.057268,8.781,1.3596146189593903,7.726,8.1675,9.097,7.8559,11.6922,17.03,122
64,40960,2621440,4096,sequential,1000,15.816598,15.224,2.486047168683837,11.132,14.094,16.8925,12.9398,20.9788,29.326,45
72,36408,2621440,4096,sequential,1000,11.774688,11.582,0.8197308468743368,10.96,11.412,11.866999999999999,11.3239,12.45,23.092,25
80,32768,2621440,4096,sequential,1000,15.29947,15.162,2.8667163560013686,11.652,12.661000000000001,17.046,11.7759,20.562,28.944,10
88,29789,2621440,4096,sequential,1000,12.721558,12.56,0.83714633285861,11.936,12.356,12.8605,12.1399,13.396,20.848,24
96,27306,2621440,4096,sequential,1000,18.583106,17.127000000000002,4.403893282177124,13.134,15.055499999999999,21.309,13.9638,27.102999999999998,38.284,11
104,25206,2621440,4096,sequential,1000,18.771164,18.744,3.9563947134016133,13.274,15.4115,21.342,13.5138,25.796799999999998,37.986,8
112,23405,2621440,4096,sequential,1000,16.784492,16.634999999999998,1.1095965584204281,15.346,16.35,16.942,15.9999,17.482599999999998,28.858,27
120,21845,2621440,4096,sequential,1000,18.636066,18.472,1.2711447504594513,16.808,18.088,18.845,17.6578,19.4982,28.756,27
128,20480,2621440,4096,sequential,1000,23.514904,22.47,4.717521844691251,18.494,19.597,25.453000000000003,18.7299,33.450900000000004,55.82,35
136,19275,2621440,4096,sequential,1000,25.902984,25.807000000000002,0.9341648761111497,24.248,25.484,26.1145,25.0619,26.682,35.04,29
144,18204,2621440,4096,sequential,1000,27.232422,27.21,1.102599223182641,24.906,26.5775,27.8005,25.7258,28.4381,36.622,12
152,17246,2621440,4096,sequential,1000,28.579848,28.525,1.0201635744402044,26.526,27.9995,29.05,27.29,29.8215,36.536,14
160,16384,2621440,4096,sequential,1000,30.198546,30.097,1.355002601449139,27.316,29.323,30.951,28.3118,32.224199999999996,38.414,13
168,15603,2621440,4096,sequential,1000,27.601752,27.68,1.6560767206263727,23.958,26.556,28.3845,25.0336,29.854499999999998,42.524,11
176,14894,2621440,4096,sequential,1000,29.002286,28.602,2.109676781482492,24.662,27.594,29.8495,26.457099999999997,33.206900000000005,40.646,49
184,14246,2621440,4096,sequential,1000,17.6023,12.497,7.164174536315177,11.426,11.9635,25.012500000000003,11.6519,29.9528,39.008,0
192,13653,2621440,4096,sequential,1000,18.458436,13.102,7.039924200063993,11.616,12.3635,25.3195,11.956,29.8892,39.298,0
200,13107,2621440,4096,sequential,1000,15.920024,12.46,6.17312960957411,11.61,12.119499999999999,20.916,11.8619,28.454399999999996,40.48,1
208,12603,2621440,4096,sequential,1000,13.824376,12.588999999999999,3.785360719191554,11.692,12.314,13.0565,12.0379,25.298999999999996,30.508,103
216,12136,2621440,4096,sequential,1000,13.579252,12.264,3.9835083134065354,11.546,12.023499999999999,12.708,11.794,25.40919999999999,39.458,109
224,11702,2621440,4096,sequential,1000,12.064708,11.955,0.5699671580865843,10.99,11.7555,12.2765,11.544,12.732199999999999,21.002,19
