stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,6468500,51748000,4096,random,1000,230.234356,230.176,5.279170346257905,216.208,226.8265,233.56400000000002,221.338,238.8694,251.188,10
16,3234250,51748000,4096,random,1000,237.161904,236.715,5.446413224112892,221.304,233.59900000000002,240.3545,228.7771,246.846,277.002,15
24,2156166,51748000,4096,random,1000,235.1516,234.995,5.370522596634425,222.036,231.4305,238.5135,226.9971,244.47029999999998,263.046,9
32,1617125,51748000,4096,random,1000,240.114784,239.983,5.224595153297513,222.886,236.3885,243.31050000000002,232.0266,248.6371,273.23,12
40,1293700,51748000,4096,random,1000,239.053932,238.998,5.275330048299774,223.5,235.49099999999999,242.12300000000002,230.9884,247.7696,279.002,11
48,1078083,51748000,4096,random,1000,241.82045,241.414,5.2103620582717936,225.856,238.4105,244.767,234.089,250.7561,286.046,22
56,924071,51748000,4096,random,1000,242.636278,242.333,5.05406422791954,228.17,239.184,245.707,235.0754,251.2847,263.692,14
64,808562,51748000,4096,random,1000,244.05035,243.76600000000002,5.411733446909631,227.566,240.5275,247.3025,235.9725,253.5732,285.55,12
72,718722,51748000,4096,random,1000,245.650556,245.362,5.074270251124337,231.218,242.2565,248.868,237.8304,254.41729999999998,263.27,13
80,646850,51748000,4096,random,1000,245.240074,245.272,4.865182831765987,231.106,241.8095,248.6505,237.3326,253.44709999999998,260.53,4
88,588045,51748000,4096,random,1000,245.58664,245.297,5.636788061480585,230.394,242.1455,248.472,238.0818,253.8946,319.948,15
96,539041,51748000,4096,random,1000,245.438286,245.245,5.089574125895701,229.202,241.8345,248.6805,237.5891,253.8106,265.388,10
104,497576,51748000,4096,random,1000,245.360008,244.96699999999998,5.413798146431607,230.326,241.6655,248.70850000000002,237.3673,254.3001,294.938,10
112,462035,51748000,4096,random,1000,245.494476,245.223,5.318579449889678,227.99,242.0185,248.75799999999998,236.882,254.3335,277.158,12
120,431233,51748000,4096,random,1000,243.755466,243.711,5.443693996099263,226.358,240.2945,247.39600000000002,234.6437,252.84779999999998,259.59,11
128,404281,51748000,4096,random,1000,244.06222,243.737,5.27528206947387,229.224,240.461,247.494,235.5618,253.2732,263.43,11
136,380500,51748000,4096,random,1000,218.354638,226.721,22.527362601395016,149.106,210.83100000000002,233.5375,164.5047,241.20129999999997,250.354,88
144,359361,51748000,4096,random,1000,220.567144,223.77100000000002,14.953764742941868,134.694,216.2575,229.26749999999998,197.7297,236.3956,245.816,48
152,340447,51748000,4096,random,1000,207.331674,214.998,22.08686377902751,129.666,202.5765,221.845,157.573,229.6025,241.066,111
160,323425,51748000,4096,random,1000,172.548318,174.75,36.50807645951303,115.256,134.769,208.92749999999998,122.63470000000001,219.772,236.282,0
168,308023,51748000,4096,random,1000,162.789422,177.094,31.5451033777515,89.626,131.991,187.9,109.52520000000001,203.6109,214.732,0
176,294022,51748000,4096,random,1000,192.484116,196.397,21.594589097661498,125.134,182.2165,208.978,147.6221,219.6311,245.492,31
