stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,1617125,51748000,4096,random,1000,201.225234,201.99099999999999,8.645844255371024,173.438,195.01299999999998,207.766,186.3798,214.489,224.244,2
33,1568121,51748000,4096,random,1000,215.56386,215.417,6.269517742308504,199.286,211.424,219.702,205.7034,225.11069999999998,262.174,7
34,1522000,51748000,4096,random,1000,216.366798,216.56799999999998,6.736737345425993,196.294,211.676,220.935,205.5371,226.5209,256.654,6
35,1478514,51748000,4096,random,1000,214.682842,214.628,6.654297076372276,190.542,210.4045,219.155,203.865,225.33800000000002,237.79,12
36,1437444,51748000,4096,random,1000,205.747538,206.12900000000002,7.861728969950118,180.02,200.12650000000002,211.38350000000003,192.4939,217.9985,230.254,2
37,1398594,51748000,4096,random,1000,211.260048,212.26600000000002,9.45757768592896,180.476,205.842,217.85850000000002,193.81810000000002,224.9759,236.008,18
38,1361789,51748000,4096,random,1000,205.289802,205.35000000000002,8.106717634875881,177.126,199.9475,210.5895,191.9497,217.8488,269.888,8
39,1326871,51748000,4096,random,1000,206.109038,206.359,8.317285955178901,180.516,200.5745,211.6455,192.14659999999998,219.02620000000002,248.098,14
40,1293700,51748000,4096,random,1000,189.102644,189.768,8.843019356792599,147.64,185.058,194.33249999999998,174.9477,201.62269999999998,250.348,45
41,1262146,51748000,4096,random,1000,203.386318,203.249,8.093807829449378,173.198,197.5345,209.752,190.5694,215.568,230.866,2
42,1232095,51748000,4096,random,1000,243.551092,243.262,5.130778624812498,227.626,239.975,246.9355,235.44580000000002,251.938,267.458,10
43,1203441,51748000,4096,random,1000,202.79752,202.793,8.192648930480185,180.344,197.1625,208.25900000000001,189.6633,215.77769999999998,271.326,5
44,1176090,51748000,4096,random,1000,191.733266,192.888,10.102724667283917,158.426,186.13049999999998,198.73649999999998,172.871,206.1415,236.71,24
45,1149955,51748000,4096,random,1000,199.116314,200.149,9.326572772947902,168.918,192.5755,205.9115,183.1376,212.9166,224.972,4
46,1124956,51748000,4096,random,1000,194.908828,194.99,8.58145159619944,172.428,188.6615,200.9695,180.9974,209.01999999999998,234.226,4
47,1101021,51748000,4096,random,1000,215.322342,215.574,9.392930252576443,182.806,210.23250000000002,221.636,198.7724,229.6501,249.236,30
48,1078083,51748000,4096,random,1000,182.548226,182.68599999999998,11.261699513521787,156.026,173.70850000000002,191.704,164.4145,199.9625,213.858,0
49,1056081,51748000,4096,random,1000,197.35534,197.652,8.1190550905856,169.62,191.99699999999999,202.899,183.7067,210.494,228.86,5
50,1034960,51748000,4096,random,1000,194.764342,194.753,8.15637348454909,172.618,189.02499999999998,200.704,181.16799999999998,207.67249999999999,217.64,0
51,1014666,51748000,4096,random,1000,196.262374,197.19299999999998,10.413762012999307,135.882,190.8205,203.041,181.8457,211.05589999999998,219.962,20
52,995153,51748000,4096,random,1000,192.613832,193.615,10.654914169515198,160.946,185.5905,200.19050000000001,173.6872,208.3382,259.656,5
53,976377,51748000,4096,random,1000,196.844766,198.667,13.80637219643417,126.462,189.52949999999998,206.52,175.9773,215.1129,224.808,24
54,958296,51748000,4096,random,1000,195.289858,198.161,17.554354205592738,107.88,183.201,207.964,172.40079999999998,217.9364,230.506,18
55,940872,51748000,4096,random,1000,198.031958,200.70999999999998,14.783528535170019,163.958,184.692,209.291,173.9331,218.5375,230.372,0
56,924071,51748000,4096,random,1000,188.83292600000001,195.337,22.958551261404683,81.636,174.2815,205.86599999999999,155.1018,214.9091,233.218,18
57,907859,51748000,4096,random,1000,198.71475,198.66199999999998,13.55349025053958,162.95,189.804,208.89350000000002,175.89509999999999,220.1574,231.652,0
58,892206,51748000,4096,random,1000,198.94101,198.55,11.390645848095566,163.786,191.58800000000002,206.8795,179.2888,217.6777,237.334,3
59,877084,51748000,4096,random,1000,199.79808,200.119,11.784651971768012,156.832,194.1345,206.9025,179.13930000000002,219.16019999999997,230.356,42
60,862466,51748000,4096,random,1000,238.897326,240.04500000000002,9.33888472129095,199.352,234.607,244.936,219.9095,251.5464,261.066,48
61,848327,51748000,4096,random,1000,254.285932,254.092,6.0425567661088335,236.766,250.359,258.03999999999996,245.09,264.3084,306.55,12
62,834645,51748000,4096,random,1000,227.25379,227.812,10.801569687207856,196.1,219.958,236.031,207.4813,243.0327,253.824,0
63,821396,51748000,4096,random,1000,227.700258,235.34199999999998,21.995572777612573,126.402,213.039,242.6845,192.2876,251.14229999999998,311.086,27
64,808562,51748000,4096,random,1000,226.280678,231.30700000000002,17.23848689737086,133.72,219.09900000000002,236.5425,199.4307,243.86100000000002,265.532,34
65,796123,51748000,4096,random,1000,255.35865,255.053,5.620900799987783,239.172,251.653,258.692,247.1515,264.9385,288.496,16
66,784060,51748000,4096,random,1000,256.48767,256.289,5.412592531958879,240.556,252.6415,260.0825,247.8846,265.2492,281.1,6
67,772358,51748000,4096,random,1000,250.885078,250.19799999999998,6.619723244498199,232.232,246.2855,254.6265,240.8379,262.9632,277.832,18
68,761000,51748000,4096,random,1000,250.597224,249.679,8.970911012947695,221.484,244.851,255.27,238.1053,267.3627,309.366,34
69,749971,51748000,4096,random,1000,256.512678,256.81399999999996,6.6047902518237915,234.598,252.6105,260.7735,244.3483,266.7007,284.932,26
70,739257,51748000,4096,random,1000,256.390854,255.164,8.784933279622072,234.152,250.18200000000002,262.008,243.30949999999999,272.3909,291.16,8
71,728845,51748000,4096,random,1000,252.629154,252.214,6.188376541590251,238.416,248.602,256.1225,243.4597,262.99060000000003,315.582,10
72,718722,51748000,4096,random,1000,242.96245,242.61200000000002,5.40683248186838,226.948,239.1965,246.762,234.60389999999998,252.09609999999998,263.932,7
73,708876,51748000,4096,random,1000,251.986446,251.945,7.208247812166672,230.806,247.5095,256.2965,240.4951,263.0442,295.83,23
74,699297,51748000,4096,random,1000,238.859504,238.926,7.214098435301408,212.518,234.3365,243.484,227.7129,250.71769999999998,260.992,22
75,689973,51748000,4096,random,1000,182.717946,207.775,44.24722228390077,73.946,136.7205,222.10899999999998,124.2101,229.9708,258.936,0
76,680894,51748000,4096,random,1000,172.37016,188.688,46.66597743813641,90.166,114.855,212.464,97.2671,222.25879999999998,234.898,0
77,672051,51748000,4096,random,1000,186.354574,208.958,37.881225616930145,77.51,147.2345,217.837,133.85410000000002,225.5393,233.726,0
78,663435,51748000,4096,random,1000,180.618126,198.668,42.19529109835597,85.426,158.0745,213.887,94.6185,223.2158,235.326,0
79,655037,51748000,4096,random,1000,174.256014,180.916,42.14079921941033,74.294,134.347,216.502,123.1289,226.3101,271.952,0
80,646850,51748000,4096,random,1000,156.410668,166.411,46.818019202309316,91.15,103.376,202.014,96.4931,213.79240000000001,232.314,0
81,638864,51748000,4096,random,1000,246.729696,247.043,6.354640008467924,225.386,242.306,250.8595,235.9085,257.27299999999997,264.12,6
82,631073,51748000,4096,random,1000,169.840414,159.58100000000002,51.56496832632693,71.922,119.361,224.083,108.0571,233.1209,262.036,0
83,623469,51748000,4096,random,1000,174.692424,197.374,46.336471196230974,92.686,122.6575,212.988,98.6655,223.04670000000002,234.93,0
84,616047,51748000,4096,random,1000,181.010226,198.24099999999999,35.3239728243727,94.372,146.63049999999998,210.7215,116.4813,218.04139999999998,228.184,0
85,608800,51748000,4096,random,1000,183.775486,182.913,35.706717508040455,99.364,151.4005,219.6395,136.5636,232.5961,245.246,0
86,601720,51748000,4096,random,1000,168.370356,172.103,41.64408190048856,73.65,128.88850000000002,211.70600000000002,118.93190000000001,221.07049999999998,237.02,0
87,594804,51748000,4096,random,1000,185.899186,199.614,30.5982935141714,122.1,155.02499999999998,210.731,132.3736,218.25449999999998,226.584,0
88,588045,51748000,4096,random,1000,167.76547,180.27100000000002,38.293054197371916,81.036,140.426,200.6455,92.8677,209.5626,220.45,0
89,581438,51748000,4096,random,1000,170.833004,169.148,40.797230705738365,72.998,131.5925,212.211,120.4658,221.4167,232.8,0
90,574977,51748000,4096,random,1000,167.303216,174.44400000000002,42.6625618256437,74.354,126.324,209.153,117.10000000000001,219.9974,232.21,0
91,568659,51748000,4096,random,1000,166.626472,185.906,45.93647236894578,98.346,115.18299999999999,210.565,105.1896,221.25799999999998,232.976,0
92,562478,51748000,4096,random,1000,166.237684,186.977,46.94286189442419,80.468,124.28399999999999,207.19899999999998,86.95,216.2614,224.104,0
