stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,1617125,51748000,4096,sequential,1000,10.997154,10.759,2.367756377363716,7.298,9.1,12.709,7.8837,14.932199999999998,23.096,7
33,1568121,51748000,4096,sequential,1000,11.490064,11.355,2.246586743462157,7.666,9.7,13.209,8.261700000000001,15.116299999999999,21.254,5
34,1522000,51748000,4096,sequential,1000,11.611616,11.348,2.435817387837375,7.876,9.6855,13.25,8.3579,15.352399999999992,23.748,14
35,1478514,51748000,4096,sequential,1000,11.828272,11.611,2.4904219062816018,7.978,9.8295,13.484,8.517800000000001,15.871899999999997,23.3,11
36,1437444,51748000,4096,sequential,1000,11.76907,11.327,2.473651722442742,7.822,9.747,13.400500000000001,8.555399999999999,16.056699999999996,26.286,9
37,1398594,51748000,4096,sequential,1000,12.124144,11.826,2.4698576947460547,8.194,10.131,13.724499999999999,8.8277,15.841099999999999,25.882,11
38,1361789,51748000,4096,sequential,1000,12.152606,11.77,2.4632876695398176,8.3,10.122,13.932,8.943700000000002,16.360799999999998,23.258,4
39,1326871,51748000,4096,sequential,1000,12.434052,11.966999999999999,2.6830522586633903,8.526,10.299,14.184,9.059800000000001,17.400999999999996,25.184,10
40,1293700,51748000,4096,sequential,1000,12.04814,11.302,2.6776087587743405,7.876,9.8975,13.7865,8.865499999999999,17.1299,22.42,8
41,1262146,51748000,4096,sequential,1000,12.746704,12.191,2.7120426116695717,8.618,10.5655,14.5155,9.335700000000001,17.622899999999998,25.082,9
42,1232095,51748000,4096,sequential,1000,12.75893,12.062999999999999,2.73922314142505,8.83,10.5315,14.565,9.4433,18.058199999999996,25.474,11
43,1203441,51748000,4096,sequential,1000,13.026578,12.362,2.802675156694038,8.82,10.7375,15.0235,9.671800000000001,18.1605,24.508,9
44,1176090,51748000,4096,sequential,1000,13.041834,12.209,2.875006147609565,9.028,10.677,15.023,9.7132,18.6987,24.318,7
45,1149955,51748000,4096,sequential,1000,13.449246,12.591000000000001,2.9816273719680786,9.372,11.020999999999999,15.159,10.075800000000001,18.933199999999996,26.818,15
46,1124956,51748000,4096,sequential,1000,13.56517,12.817,2.9583441833916835,9.54,11.0795,15.526,10.186,19.1382,27.734,8
47,1101021,51748000,4096,sequential,1000,13.869234,13.019,3.0017921095760633,9.448,11.419,15.9055,10.428,19.766799999999996,25.308,7
48,1078083,51748000,4096,sequential,1000,13.61649,12.63,3.046138428112423,9.12,11.2495,15.3945,10.2239,19.814999999999998,24.934,14
49,1056081,51748000,4096,sequential,1000,14.233706,13.136,3.1884273092341733,9.89,11.6445,16.221999999999998,10.7152,20.438799999999997,26.502,11
50,1034960,51748000,4096,sequential,1000,14.348582,13.158999999999999,3.2738556651435005,9.632,11.8515,16.231,10.7935,20.6662,32.868,18
51,1014666,51748000,4096,sequential,1000,14.607188,13.686,3.098388543779528,10.276,12.076,16.6405,11.0734,20.715999999999998,27.148,7
52,995153,51748000,4096,sequential,1000,14.646424,13.506,3.218489994091339,10.068,12.185,16.5555,11.0656,21.169099999999997,29.244,20
53,976377,51748000,4096,sequential,1000,15.036818,14.073,3.3088196866246116,10.326,12.43,17.0245,11.4069,21.444799999999997,29.062,16
54,958296,51748000,4096,sequential,1000,15.197592,14.09,3.2274130253768845,10.242,12.696,17.117,11.4639,21.678299999999997,27.954,17
55,940872,51748000,4096,sequential,1000,15.514112,14.649999999999999,3.3609674300001067,10.62,12.773,17.621000000000002,11.6517,22.039199999999997,28.906,12
56,924071,51748000,4096,sequential,1000,15.175838,14.093,3.3764245533582593,10.078,12.5075,17.2305,11.3838,21.789399999999997,29.324,11
57,907859,51748000,4096,sequential,1000,15.828938,14.692,3.4275421259528205,10.9,13.099499999999999,17.9875,11.9818,22.550499999999996,28.062,11
58,892206,51748000,4096,sequential,1000,16.00411,14.889,3.5243210533075424,11.02,13.185500000000001,18.341,12.107700000000001,22.729099999999995,31.306,14
59,877084,51748000,4096,sequential,1000,16.212786,15.068999999999999,3.586944056696434,10.894,13.3555,18.3465,12.251900000000001,23.150299999999994,31.112,15
60,862466,51748000,4096,sequential,1000,16.304204,15.248999999999999,3.575937536317944,11.284,13.44,18.4105,12.3597,23.0821,32.118,16
61,848327,51748000,4096,sequential,1000,16.56583,15.463000000000001,3.491993010056332,11.316,13.723,18.867,12.5358,23.196699999999996,31.938,6
62,834645,51748000,4096,sequential,1000,16.86548,15.737,3.608571748443373,11.558,13.939499999999999,19.1475,12.7639,23.803099999999993,30.444,10
63,821396,51748000,4096,sequential,1000,17.164764,16.161,3.68601542237658,11.992,14.2085,19.4015,12.9314,23.8299,32.856,15
64,808562,51748000,4096,sequential,1000,18.770502,18.054000000000002,3.840261352466945,13.18,15.6405,21.044,14.3719,25.3523,35.532,18
65,796123,51748000,4096,sequential,1000,19.40567,18.795,3.848261044181406,13.99,16.231,21.820999999999998,14.8531,25.572999999999997,41.344,17
66,784060,51748000,4096,sequential,1000,19.785298,19.085,4.053358143494778,14.356,16.4065,22.315,15.0527,25.924999999999997,38.824,22
67,772358,51748000,4096,sequential,1000,20.17577,19.599,4.05349909461073,13.998,16.7555,22.603,15.4037,26.398199999999996,40.79,22
68,761000,51748000,4096,sequential,1000,20.477526,19.999,4.039714404731577,14.348,17.1175,22.989,15.617700000000001,26.552699999999994,39.772,20
69,749971,51748000,4096,sequential,1000,20.9553,20.499000000000002,4.087039077672542,14.922,17.622,23.5745,15.9572,26.9301,43.226,17
70,739257,51748000,4096,sequential,1000,21.15748,20.712,4.301754814035788,14.762,17.843,23.707,16.1906,27.0447,80.622,16
71,728845,51748000,4096,sequential,1000,21.496782,21.038,4.064028992530457,15.326,18.1445,24.124499999999998,16.4459,27.5522,43.524,17
72,718722,51748000,4096,sequential,1000,21.171212,20.891,4.065385355553044,14.622,17.700000000000003,23.779,16.196,27.2963,42.14,16
73,708876,51748000,4096,sequential,1000,22.15092,21.706000000000003,4.159560606848041,15.44,18.589000000000002,24.9595,16.913600000000002,28.4321,43.702,15
74,699297,51748000,4096,sequential,1000,22.22464,21.704,4.310434228896392,15.946,18.759,25.089,16.9379,28.0034,47.668,19
75,689973,51748000,4096,sequential,1000,22.686668,22.229,4.249810836958032,15.75,19.1915,25.533,17.4019,28.5903,43.27,18
76,680894,51748000,4096,sequential,1000,22.714316,22.26,4.086904031746856,16.116,19.445,25.6565,17.3515,28.5262,40.348,18
77,672051,51748000,4096,sequential,1000,23.33203,23.038,4.37156974290896,16.332,19.873,26.068,17.7379,29.1414,47.744,20
78,663435,51748000,4096,sequential,1000,23.53952,23.171,4.427292358906427,16.83,19.775,26.503,17.898999999999997,29.3665,47.918,17
79,655037,51748000,4096,sequential,1000,23.815596,23.485999999999997,4.242113887086839,17.0,20.343,26.6725,18.317300000000003,29.4366,43.598,17
80,646850,51748000,4096,sequential,1000,23.746132,23.256999999999998,4.347644716528382,16.944,20.073500000000003,26.8715,18.215700000000002,29.5632,43.026,16
81,638864,51748000,4096,sequential,1000,24.535474,24.229,4.410638973150657,17.47,20.820999999999998,27.6275,18.849800000000002,30.0996,46.698,18
