footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3234240,101070,32,4096,0,random,1000,62.739694,61.982,7.4031751907724885,52.362,55.654,63.305,54.3304,75.6964,95.602,128
3630304,113447,32,4096,0,random,1000,56.80935,56.666,1.4021188047532358,54.186,56.211,57.1505,55.4136,57.986599999999996,68.256,36
4074880,127340,32,4096,0,random,1000,58.301374,58.083,2.231233360819624,55.76,57.6355,58.614,57.014,59.4941,116.14,27
4573920,142935,32,4096,0,random,1000,57.36684,57.265,1.1641590547277914,55.112,56.806,57.7015,56.0697,58.502,67.164,27
5134048,160439,32,4096,0,random,1000,58.695062,58.548,1.2015722450256645,56.572,58.0695,59.048,57.4732,59.8941,66.516,25
5762752,180086,32,4096,0,random,1000,60.004818,59.857,1.1689795653047577,57.68,59.4505,60.2945,58.952,61.0604,67.794,25
6468480,202140,32,4096,0,random,1000,59.57907,59.432,1.211139145238535,57.478,59.0095,59.903,58.4198,60.590500000000006,69.12,29
7260640,226895,32,4096,0,random,1000,60.68732,60.571,1.179178802492755,58.708,60.1335,60.968500000000006,59.518,61.716100000000004,69.628,29
8149792,254681,32,4096,0,random,1000,61.534121999999996,61.417,1.123034009503943,59.47,60.9795,61.805,60.4658,62.5428,69.682,25
9147840,285870,32,4096,0,random,1000,61.40313,61.269000000000005,1.153696305908217,59.496,60.859,61.6905,60.3278,62.322,69.56,26
10268096,320878,32,4096,0,random,1000,62.323178,62.122,1.526404053207947,60.524,61.7155,62.5565,61.2359,63.2387,86.09,24
11525536,360173,32,4096,0,random,1000,62.258182,62.129999999999995,1.1199696562438228,60.386,61.778,62.476,61.2399,63.124,70.832,31
12936992,404281,32,4096,0,random,1000,62.336812,62.202,1.1336883513267366,60.696,61.8195,62.5985,61.3419,63.2462,70.512,24
14521280,453790,32,4096,0,random,1000,63.373444,63.120999999999995,1.4633599534008084,61.418,62.7415,63.591,62.2618,64.8249,77.356,49
16299584,509362,32,4096,0,random,1000,63.260028,63.11,1.116470697346793,61.646,62.782,63.462,62.3675,64.0381,71.436,24
18295680,571740,32,4096,0,random,1000,63.598416,63.407,1.3078741444503452,61.876,63.048,63.8145,62.545899999999996,64.52860000000001,74.236,34
20536192,641756,32,4096,0,random,1000,64.09813,63.9,1.2219382177950353,61.844,63.527,64.333,63.016,65.2704,74.164,42
23051104,720347,32,4096,0,random,1000,67.190248,67.002,1.6364843817243195,64.12,66.186,67.818,65.22749999999999,69.4161,78.764,31
25873984,808562,32,4096,0,random,1000,76.826082,76.608,2.582108078180192,69.492,75.178,78.209,73.1858,81.1036,88.776,22
29042560,907580,32,4096,0,random,1000,113.195346,113.207,6.165163675640042,94.84,109.289,117.058,103.25840000000001,122.9287,173.792,10
32599168,1018724,32,4096,0,random,1000,148.156462,148.046,6.8786021165374605,130.802,143.584,152.878,136.5567,159.6019,172.878,3
36591360,1143480,32,4096,0,random,1000,173.828202,173.7,7.600919052696301,156.162,168.083,179.76500000000001,162.0146,186.1154,195.85,0
41072384,1283512,32,4096,0,random,1000,194.857408,194.744,5.897218850246589,180.49,190.697,198.7435,185.5564,204.59,219.684,7
46102208,1440694,32,4096,0,random,1000,203.51246,203.23399999999998,15.868642704960548,178.568,198.5135,208.05450000000002,190.63889999999998,214.6822,645.698,12
51748000,1617125,32,4096,0,random,1000,211.955218,211.974,5.468342826647369,194.062,208.47,215.50650000000002,202.8382,220.7521,231.352,15
58085152,1815161,32,4096,0,random,1000,217.018364,216.757,5.424190360650386,200.212,213.5105,220.227,208.8542,225.5285,274.334,15
65198368,2037449,32,4096,0,random,1000,219.976458,219.969,4.982265784819853,205.274,216.4605,223.382,212.32500000000002,228.2081,240.908,9
73182720,2286960,32,4096,0,random,1000,223.991084,223.792,5.780358579383311,207.084,220.172,227.20749999999998,215.9316,233.5592,280.268,17
82144800,2567025,32,4096,0,random,1000,225.73662,225.54700000000003,4.931024596488155,213.134,222.136,228.8085,217.9605,234.094,244.226,7
92204448,2881389,32,4096,0,random,1000,228.099914,227.786,5.31184622772073,211.516,224.5955,231.20499999999998,220.5702,236.4025,289.384,14
103496000,3234250,32,4096,0,random,1000,229.726116,229.415,4.978913477251634,215.032,226.476,232.8065,221.7682,238.3071,245.796,11
