footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
3234240,50535,64,4096,0,sequential,1000,30.440252,31.908,5.954393953363168,21.07,31.558,33.148,21.208,35.079100000000004,120.924,281
3630272,56723,64,4096,0,sequential,1000,14.784872,14.471,0.9756028456951776,13.83,14.18,15.099,14.114,16.112199999999998,24.416,39
4074880,63670,64,4096,0,sequential,1000,11.541112,11.276,1.0363504512054373,10.654,11.0315,11.7125,10.94,12.7104,26.252,47
4573888,71467,64,4096,0,sequential,1000,12.728028,11.491,2.6972503210696837,10.8,11.055499999999999,13.844000000000001,10.942,18.177599999999995,36.718,52
5134016,80219,64,4096,0,sequential,1000,12.315304,11.391,2.0462206426733416,10.618,11.003499999999999,12.46,10.934,16.6928,24.446,140
5762752,90043,64,4096,0,sequential,1000,12.09654,11.332,2.0291885813543056,10.65,11.0095,12.028,10.94,16.192,30.202,143
6468480,101070,64,4096,0,sequential,1000,12.909052,11.654,2.6961011595930073,10.636,11.099,14.157,10.9379,18.2324,32.562,35
7260608,113447,64,4096,0,sequential,1000,11.449392,11.198,1.1024546233439871,10.632,10.986,11.6345,10.934,12.0602,30.056,23
8149760,127340,64,4096,0,sequential,1000,11.398868,11.176,0.8962444022723961,10.63,10.98,11.567,10.932,12.062,23.936,22
9147840,142935,64,4096,0,sequential,1000,12.161488,11.25,2.5190577964862255,10.622,10.992,11.972,10.9339,17.1982,34.042,143
10268096,160439,64,4096,0,sequential,1000,11.901976,11.269,1.8012695621309598,10.662,10.988,11.816,10.928,15.849999999999989,25.672,124
11525504,180086,64,4096,0,sequential,1000,12.220746,11.298,2.2546358531510835,10.65,11.003499999999999,12.0045,10.934,17.1066,33.606,178
12936960,202140,64,4096,0,sequential,1000,12.700678,11.55,2.5337384298200054,10.652,11.0395,14.120999999999999,10.936,17.489099999999997,30.504,27
14521280,226895,64,4096,0,sequential,1000,11.569894,11.37,0.9265526237232986,10.648,11.016,12.0005,10.9379,12.0681,27.326,21
16299584,254681,64,4096,0,sequential,1000,11.379196,11.171,0.7853098096172497,10.65,10.978,11.524,10.928,12.048,22.89,20
18295680,285870,64,4096,0,sequential,1000,11.467004,11.178,2.124425571299685,10.654,10.978,11.5565,10.934,12.0541,71.896,26
20536192,320878,64,4096,0,sequential,1000,11.678564,11.241,1.3954069981889137,10.658,11.0055,11.76,10.938,14.85,28.166,73
23051072,360173,64,4096,0,sequential,1000,11.937394,11.542,1.2765581182983379,10.826,11.1855,12.0895,10.9679,14.679599999999999,20.614,84
25873984,404281,64,4096,0,sequential,1000,12.91039,12.191,2.021187600203211,10.908,11.493500000000001,13.6785,11.0299,17.007999999999992,23.418,52
29042560,453790,64,4096,0,sequential,1000,15.259858,14.457,3.128043013279857,10.96,12.996,16.9585,11.593,20.8558,33.554,18
32599168,509362,64,4096,0,sequential,1000,16.32064,15.466000000000001,3.3100205356381625,11.498,13.9315,18.149,12.497499999999999,22.670399999999997,35.046,24
36591360,571740,64,4096,0,sequential,1000,17.432376,16.655,3.5657685056183417,12.576,14.667,19.4225,13.232,23.8127,34.816,18
41072384,641756,64,4096,0,sequential,1000,17.780724,17.073999999999998,3.5396721366051205,12.552,14.8975,19.9865,13.4771,24.136599999999998,33.496,15
46102208,720347,64,4096,0,sequential,1000,18.161778,17.264,3.7313216441266395,12.434,15.1755,20.428,13.6696,24.315699999999996,35.794,16
51747968,808562,64,4096,0,sequential,1000,18.440696,17.795,3.8159344290948125,12.882,15.2985,20.6845,14.1199,24.7048,35.282,20
58085120,907580,64,4096,0,sequential,1000,18.580706,17.912,3.787556538204294,13.194,15.434,20.9565,14.2192,24.7041,36.164,17
65198336,1018724,64,4096,0,sequential,1000,18.564766,17.673000000000002,3.9130786367848094,13.246,15.3575,20.677,14.3017,25.0324,36.906,22
73182720,1143480,64,4096,0,sequential,1000,18.677858,17.759,4.062189977247155,13.204,15.4465,21.146,14.2136,25.0623,38.01,24
82144768,1283512,64,4096,0,sequential,1000,18.59659,17.597,3.965425673073279,13.028,15.3565,20.945999999999998,14.3056,24.89,36.706,21
92204416,1440694,64,4096,0,sequential,1000,18.781818,18.273000000000003,4.226654591507557,13.314,15.514,20.9985,14.3136,24.7821,73.922,21
103496000,1617125,64,4096,0,sequential,1000,18.646296,17.988999999999997,3.8793566941884507,13.28,15.463000000000001,20.869500000000002,14.3174,24.836,36.87,21
