num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,1310720,random,1000,25.703371999999998,26.64,4.403956371870791,17.382,21.508,28.676,19.98,29.124999999999996,73.66,7
3,1310720,random,1000,28.738952,14.338,424.313821530135,11.61,13.32,16.516,12.97,23.903299999999994,13432.954,53
4,1310720,random,1000,9.91829,9.926,0.9593270956125323,8.036,9.222,9.928,9.222,11.472,22.504,191
5,1310720,random,1000,9.420278,8.902,1.2728524093436648,7.192,8.272,9.928,8.264,11.474,22.784,3
6,1310720,random,1000,9.51273,9.95,1.1563206980144638,7.21,8.66,10.282,8.05,10.358,28.214,3
7,1310720,random,1000,8.955738,8.898,0.9599686386247954,7.19,8.268,8.904,8.264,10.284,21.494,230
8,1310720,random,1000,8.711336,8.896,0.7779644489228205,7.198,8.268,8.9,8.264,9.95,21.936,75
9,1310720,random,1000,9.274492,8.9,1.0287188870067878,7.194,8.272,9.952,8.2659,10.286,23.072,3
10,1310720,random,1000,9.012184,8.898,0.958502572414558,7.186,8.268,9.946,8.0519,10.354,20.132,3
11,1310720,random,1000,9.115216,8.9,1.0812908726588306,7.194,8.268,10.25,8.048,10.36,22.102,3
12,1310720,random,1000,8.80207,8.896,0.8075692113566063,7.196,8.268,8.902,8.264,10.2821,19.93,133
13,1310720,random,1000,17.327766,17.107999999999997,0.8457097458455934,15.118,17.002,17.652,16.6439,17.658,27.356,37
14,1310720,random,1000,17.276736,17.124,0.9763167173805007,15.106,17.002,17.652,16.034,17.814,31.936,32
15,1310720,random,1000,17.273046,17.012,0.9943046291653176,15.106,17.002,17.652,16.034,17.814,31.728,36
16,1310720,random,1000,17.340226,17.305,0.7826892175923565,15.104,17.002,17.652,16.9979,17.656,29.512,33
17,1310720,random,1000,17.281582,17.308,0.9464565501264585,15.108,17.002,17.652,16.034,17.814,30.978,31
18,1310720,random,1000,17.098282,17.008,1.0351055907780906,15.114,16.036,17.812,16.032,17.818,27.908,6
19,1310720,random,1000,17.27199,17.008,0.9469971359383699,15.108,17.0,17.652,16.034,17.814,31.214,33
20,1310720,random,1000,17.308866,17.016,0.9392277353138497,15.106,17.002,17.652,16.034,17.814,32.106,24
21,1310720,random,1000,17.218048,17.008,1.0158087463224095,15.106,17.0,17.6525,16.032,17.816,30.204,28
22,1310720,random,1000,37.01332,36.980999999999995,3.0662818471180966,23.774,35.1415,38.9425,32.1544,41.818999999999996,50.142,21
23,1310720,random,1000,35.543548,35.495,2.852051433104437,22.608,33.8425,37.112,31.1554,40.2597,47.364,32
24,1310720,random,1000,43.70776,43.581,1.569075673404208,39.388,42.77,44.495,41.5809,45.8162,55.474,21
25,1310720,random,1000,50.092646,50.004999999999995,1.77917709343781,45.548,49.043499999999995,50.9105,47.7509,52.296,65.69,23
26,1310720,random,1000,48.40199,48.272999999999996,1.616760753864107,44.116,47.464,49.152,46.2136,50.599799999999995,62.658,30
27,1310720,random,1000,59.4633,59.277,1.7024112811451206,54.804,58.556,60.1605,57.4489,61.6203,76.016,39
28,1310720,random,1000,55.587822,55.374,2.7327919108384275,52.066,54.6435,56.079,53.6879,57.3846,125.302,26
29,1310720,random,1000,65.348428,65.306,2.4254471642900746,56.596,64.0475,66.47449999999999,61.6217,68.9265,78.94,52
30,1310720,random,1000,68.366556,68.253,2.2419842729921955,62.874,66.913,69.602,65.05090000000001,72.02260000000001,80.214,22
31,1310720,random,1000,66.997782,66.813,2.1643912441917554,61.67,65.538,68.1455,63.9602,70.5291,80.204,25
32,1310720,random,1000,74.001738,73.458,1.6249172346231595,66.214,73.34,73.648,73.14789999999999,76.90610000000001,85.452,227
33,1310720,random,1000,74.37643,73.77199999999999,1.6663738827217067,70.616,73.4735,74.446,73.3036,77.734,87.252,111
34,1310720,random,1000,73.163574,72.465,2.0016856356351034,71.904,72.308,73.128,72.1518,78.33239999999999,92.914,94
35,1310720,random,1000,71.04817800000001,70.538,1.595032650911408,69.928,70.4355,71.22550000000001,70.304,74.424,93.274,73
36,1310720,random,1000,71.367278,70.126,4.152966237677268,68.968,69.66,70.392,69.37989999999999,81.51469999999999,134.802,129
37,1310720,random,1000,75.671342,75.205,2.248313732038675,74.14,74.98949999999999,75.426,74.522,78.72199999999994,87.462,71
38,1310720,random,1000,76.646252,75.45,4.126297495275336,74.334,75.254,75.668,74.7587,82.6721,121.702,184
39,1310720,random,1000,71.672634,71.514,1.3480813110733587,70.504,71.3515,71.65,70.9298,71.9321,84.858,70
40,1310720,random,1000,70.796916,70.62,1.422661215426174,69.522,70.45349999999999,70.7625,69.9879,71.0361,85.25,82
