footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
163840,2560,64,4096,0,random,1000,43.684266,39.382,12.140079198761276,34.034,37.924,51.668,35.732,57.3444,318.22,5
183872,2873,64,4096,0,random,1000,32.926534000000004,24.474,323.1195602492776,16.192,18.274,26.661,17.2379,27.196,10239.78,2
206400,3225,64,4096,0,random,1000,17.312864,17.014,1.2490407761015507,15.786,16.552999999999997,17.8545,16.1439,19.3887,28.818,33
231680,3620,64,4096,0,random,1000,16.92982,16.631,1.14942148289709,15.192,16.16,17.363999999999997,16.112,19.0104,30.688,35
260032,4063,64,4096,0,random,1000,17.000624,16.706,1.1696427124120847,15.792,16.16,17.4485,16.12,19.044,29.044,6
291904,4561,64,4096,0,random,1000,17.455656,17.079,1.037092293911246,16.038,16.908,17.7225,16.78,18.9235,30.556,50
327680,5120,64,4096,0,random,1000,18.034766,17.674,0.9329879419069379,17.094,17.506,18.2495,17.3898,19.4607,27.734,52
367808,5747,64,4096,0,random,1000,18.641508,18.306,1.0311750190224043,17.076,18.184,18.833,17.876,20.149099999999997,32.292,76
412800,6450,64,4096,0,random,1000,19.15753,18.820999999999998,1.0409371110538663,17.796,18.676,19.32,18.49,20.5182,32.63,73
463360,7240,64,4096,0,random,1000,19.652968,19.299,1.0931491490359575,18.344,19.122,19.8005,19.0119,21.1263,35.724,73
520128,8127,64,4096,0,random,1000,20.100554,19.712,2.016259661875947,18.818,19.6035,20.228,19.3719,21.380599999999998,73.51,70
583808,9122,64,4096,0,random,1000,20.30855,20.072,0.9131160421361605,19.152,19.924999999999997,20.4425,19.784,21.310299999999998,33.428,58
655360,10240,64,4096,0,random,1000,20.656742,20.387,0.9149711085960942,19.368,20.28,20.8145,20.146,21.7342,32.81,60
735616,11494,64,4096,0,random,1000,21.014982,20.766,0.8779494626314974,19.896,20.63,21.162,20.483900000000002,22.124999999999996,32.566,65
825664,12901,64,4096,0,random,1000,24.720088,24.581,1.1041771376945855,21.752,24.148,25.016,23.7578,25.8922,37.448,31
926784,14481,64,4096,0,random,1000,25.192184,25.073,1.1785474501420112,23.332,24.6635,25.4825,24.0475,26.5311,40.892,47
1040256,16254,64,4096,0,random,1000,26.988958,26.819000000000003,1.1142337973653424,25.344,26.3875,27.361,25.918,28.2288,38.292,23
1167680,18245,64,4096,0,random,1000,32.998336,32.848,1.2922669170449614,29.766,32.358,33.382,31.6519,34.4345,48.612,32
1310720,20480,64,4096,0,random,1000,38.517794,38.336,1.503207832387575,35.566,37.689499999999995,39.063,36.7856,40.4417,54.038,40
1471232,22988,64,4096,0,random,1000,43.805432,43.583,1.7737091897111166,39.902,42.91,44.2935,41.815200000000004,46.2351,59.306,56
1651392,25803,64,4096,0,random,1000,54.56595,54.242999999999995,1.9347957525548025,46.474,53.4895,55.1745,52.299099999999996,57.537,68.718,49
1853632,28963,64,4096,0,random,1000,64.605388,64.439,1.6204243272848184,61.848,63.7575,65.0685,62.894,66.20469999999999,76.806,33
2080576,32509,64,4096,0,random,1000,70.324354,69.971,1.7651475566027282,67.078,69.376,70.7105,68.5155,73.3682,82.914,69
2335424,36491,64,4096,0,random,1000,72.846308,72.02,2.7310881970152256,68.38,71.083,73.705,69.8976,78.8368,85.482,80
2621440,40960,64,4096,0,random,1000,73.072546,72.89,1.3902778925461279,71.516,72.596,73.144,72.2271,73.6583,85.42,40
2942464,45976,64,4096,0,random,1000,73.683606,73.416,2.4805527219897128,72.274,73.127,73.69,72.72579999999999,74.3182,138.984,36
3302784,51606,64,4096,0,random,1000,73.979858,73.8,1.3257785760332184,72.394,73.5445,74.056,73.1895,74.4961,85.852,37
3707264,57926,64,4096,0,random,1000,74.789096,74.549,2.0050155066647153,73.264,74.2315,74.825,73.7959,75.46300000000001,116.488,34
4161216,65019,64,4096,0,random,1000,74.712804,74.53,1.2999056659328492,73.33,74.28,74.7825,73.8678,75.25410000000001,84.504,31
4670848,72982,64,4096,0,random,1000,74.223334,73.046,2.3754849899297157,71.512,72.546,75.8595,72.08970000000001,78.41069999999999,86.532,15
5242880,81920,64,4096,0,random,1000,97.870038,92.751,14.699555940892072,78.606,86.749,105.71549999999999,82.6839,126.29129999999998,204.558,23
