stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,6468500,51748000,4096,sequential,1000,7.954544,8.053,0.9335424004711717,6.278,7.285,8.526,6.5179,9.0824,17.876,8
16,3234250,51748000,4096,sequential,1000,8.345498,8.455,1.1133154338511846,6.34,7.5875,8.961500000000001,6.6456,10.011299999999997,17.05,15
24,2156166,51748000,4096,sequential,1000,9.66583,9.484,1.7705155397161518,6.602,8.344,10.954,7.078,12.488199999999999,20.964,7
32,1617125,51748000,4096,sequential,1000,10.825434,10.690999999999999,2.1784975371028454,7.102,9.099499999999999,12.287500000000001,7.8157,14.354899999999999,21.026,10
40,1293700,51748000,4096,sequential,1000,12.107748,11.442,2.554812508864682,8.004,9.993500000000001,13.832,8.953800000000001,16.7605,24.07,7
48,1078083,51748000,4096,sequential,1000,13.616664,12.806000000000001,2.9417381131280584,9.384,11.291,15.54,10.198,19.546499999999998,27.832,11
56,924071,51748000,4096,sequential,1000,15.232056,14.126000000000001,3.361378547948238,10.792,12.586500000000001,17.174500000000002,11.5756,21.728399999999997,29.298,20
64,808562,51748000,4096,sequential,1000,18.82685,18.269,3.6333573574845603,12.886,15.833,21.156,14.4059,25.028699999999997,33.998,16
72,718722,51748000,4096,sequential,1000,21.236662,20.939999999999998,4.0827610853239795,14.708,17.7625,23.8895,16.304,27.4167,42.336,16
80,646850,51748000,4096,sequential,1000,23.923336,23.542,4.369412918958377,16.468,20.3455,26.796499999999998,18.24,29.5049,47.254,21
88,588045,51748000,4096,sequential,1000,26.780402,26.563000000000002,4.647027832719972,18.262,23.25,29.848,20.7151,32.047399999999996,51.054,19
96,539041,51748000,4096,sequential,1000,30.303498,30.214,4.618517025573416,21.512,27.236,32.809,24.1632,35.2722,58.086,25
104,497576,51748000,4096,sequential,1000,34.032596,33.916,4.819598621426442,23.79,31.131500000000003,35.884,27.9712,38.6982,63.416,33
112,462035,51748000,4096,sequential,1000,39.176616,38.916,4.67785240764303,28.326,37.009,40.453,33.0336,45.112399999999994,73.506,65
120,431233,51748000,4096,sequential,1000,42.981766,42.56,4.941986893517596,31.828,41.1155,43.5715,37.7268,48.21489999999999,77.644,101
128,404281,51748000,4096,sequential,1000,46.323392,45.57,4.150702004898625,35.984,44.727000000000004,46.9725,42.2838,52.812799999999996,77.492,106
136,380500,51748000,4096,sequential,1000,55.048118,54.032,5.417834167741307,45.332,51.7515,56.713,48.977,64.47029999999995,87.986,51
144,359361,51748000,4096,sequential,1000,60.3655,59.717,5.115065568863587,48.16,57.244,62.352000000000004,54.0517,70.1446,89.846,52
152,340447,51748000,4096,sequential,1000,62.47216,61.961,5.556362317254032,46.904,59.3475,64.6165,54.9056,73.0903,89.816,65
160,323425,51748000,4096,sequential,1000,64.565494,63.962,5.70402108169881,52.518,61.223,66.538,57.698,76.0028,94.058,52
168,308023,51748000,4096,sequential,1000,82.98449,84.30600000000001,8.808483815449003,51.488,79.04849999999999,87.58,66.81139999999999,95.61129999999999,121.412,73
176,294022,51748000,4096,sequential,1000,88.071424,88.649,7.583059612934433,67.134,83.7995,92.0765,74.6765,99.58779999999999,119.416,48
184,281239,51748000,4096,sequential,1000,80.829232,80.481,7.701850363464431,59.0,76.6525,84.328,69.3112,93.1342,129.862,63
192,269520,51748000,4096,sequential,1000,72.69687,72.424,6.762092022415816,56.994,68.5935,75.7715,62.835300000000004,82.59839999999993,107.632,41
200,258740,51748000,4096,sequential,1000,74.427242,74.44200000000001,7.568510729601967,58.452,69.774,77.791,63.0772,87.8343,110.746,39
208,248788,51748000,4096,sequential,1000,74.394114,74.12700000000001,7.3396063395950755,57.96,69.6405,77.942,64.2457,86.33359999999999,113.81,33
216,239574,51748000,4096,sequential,1000,77.808944,78.12299999999999,7.547516669523874,58.374,73.475,81.9345,65.8925,88.89059999999998,115.07,37
224,231017,51748000,4096,sequential,1000,98.638,100.077,11.461042836273448,63.17,91.76350000000001,107.1995,77.3212,114.66389999999998,126.726,11
232,223051,51748000,4096,sequential,1000,99.738222,100.402,12.329348326366194,57.56,91.4515,108.757,78.2839,117.9506,128.736,4
240,215616,51748000,4096,sequential,1000,104.817484,107.274,12.754721502186644,65.102,96.4825,113.6995,81.672,123.2564,142.962,9
248,208661,51748000,4096,sequential,1000,100.883264,104.268,14.722385923265888,56.102,90.04650000000001,112.02250000000001,74.15230000000001,120.1264,134.522,1
256,202140,51748000,4096,sequential,1000,95.29333,98.152,14.726961289550669,57.584,85.17,106.2715,68.3238,115.5737,128.186,0
