footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8192,128,64,4096,0,sequential,1000,24.168342,23.464,2.7047438441187546,18.956,21.8275,26.432,21.576,27.06,61.82,8
9152,143,64,4096,0,sequential,1000,31.720102,16.838,465.6231955537173,13.062,15.163499999999999,18.546,14.54,18.672,14741.088,11
10304,161,64,4096,0,sequential,1000,10.746308,10.754,1.4131442395515674,8.692,9.893,11.939,8.7879,12.412,24.706,4
11584,181,64,4096,0,sequential,1000,9.146054,8.976,1.0776036185177937,7.186,8.268,10.0905,7.812,10.278,19.97,4
12992,203,64,4096,0,sequential,1000,8.568844,8.301,1.2371042521124056,7.19,7.352,9.681,7.206,10.2821,18.726,3
14592,228,64,4096,0,sequential,1000,9.270636,9.186,0.9828895499349718,7.402,8.3065,10.182,8.048,10.272,18.512,4
16384,256,64,4096,0,sequential,1000,8.783264,8.756,0.895728934794801,7.224,8.268,9.374,7.838,9.836,23.148,3
18368,287,64,4096,0,sequential,1000,9.124894,8.9,1.0587561009246866,7.77,8.268,10.1415,8.022,10.278,20.724,3
20608,322,64,4096,0,sequential,1000,9.115084,8.922,0.9824527461116602,7.196,8.268,10.048,7.8479,10.276,19.612,3
23168,362,64,4096,0,sequential,1000,9.15332,9.006,1.0141279135419874,7.2,8.268,10.169,7.8452,10.274,20.378,3
25984,406,64,4096,0,sequential,1000,9.173516,9.032,1.0004553106324003,7.398,8.27,10.1645,7.846,10.28,20.238,3
29184,456,64,4096,0,sequential,1000,9.118752,8.9,0.9595284599017172,7.212,8.27,9.996,7.842,10.32,19.822,3
32768,512,64,4096,0,sequential,1000,9.014764,9.006,0.9571725380366758,7.19,8.268,9.448,7.84,10.264,20.54,4
36736,574,64,4096,0,sequential,1000,9.358682,9.356,1.1097782493086799,7.582,8.3855,10.348,7.87,10.402,20.388,4
41280,645,64,4096,0,sequential,1000,9.332814,9.394,1.056134427681123,7.278,8.386,10.346,7.866,10.41,19.23,2
46336,724,64,4096,0,sequential,1000,9.336322000000001,9.363,1.1455013477310507,7.264,8.402,10.354,7.872,10.456,20.988,3
51968,812,64,4096,0,sequential,1000,12.217396,12.024,0.8221606700343621,11.126,11.676,12.671999999999999,11.55,13.096,22.398,4
58368,912,64,4096,0,sequential,1000,13.300892,13.112,0.7927196129280016,12.532,12.876,13.616,12.836,13.9621,27.19,5
65536,1024,64,4096,0,sequential,1000,13.285446,13.09,0.7580289710855417,12.534,12.88,13.594,12.8459,13.9601,23.25,5
73536,1149,64,4096,0,sequential,1000,13.234242,13.068999999999999,0.666804419278674,12.542,12.884,13.468,12.836,13.93,23.36,4
82560,1290,64,4096,0,sequential,1000,13.23984,13.076,0.6270802788129094,12.736,12.882,13.474,12.8359,13.948,22.42,4
92672,1448,64,4096,0,sequential,1000,13.252192,13.082,0.7084386780071346,12.55,12.882,13.48,12.836,13.9521,23.842,5
104000,1625,64,4096,0,sequential,1000,13.271298,13.116,0.6789066573877778,12.534,12.892,13.432,12.812,13.9521,23.536,5
116736,1824,64,4096,0,sequential,1000,13.31577,13.134,0.9791804212694397,12.536,12.882,13.568999999999999,12.844,14.000399999999999,37.704,4
131072,2048,64,4096,0,sequential,1000,13.306126,13.126999999999999,0.6787983937690066,12.536,12.882,13.674,12.836,13.9881,23.042,5
147072,2298,64,4096,0,sequential,1000,13.284192,13.091000000000001,0.8519763064562083,12.544,12.89,13.517,12.836,13.96,29.228,5
165120,2580,64,4096,0,sequential,1000,13.267334,13.09,0.7902642887604691,12.55,12.8915,13.46,12.8379,13.9481,25.346,5
185344,2896,64,4096,0,sequential,1000,13.202644,12.914,0.8580121129972759,12.544,12.876,13.378,12.836,13.902,27.394,4
208064,3251,64,4096,0,sequential,1000,13.23052,13.06,0.6622064322844946,12.544,12.89,13.4535,12.836,13.972,26.48,3
233536,3649,64,4096,0,sequential,1000,13.267864,13.094999999999999,0.8962653318348585,12.556,12.888,13.458,12.836,13.9681,30.208,5
262144,4096,64,4096,0,sequential,1000,13.23201,13.026,0.7685809160553784,12.546,12.886,13.4825,12.85,13.9421,28.718,5
