num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,18.90158,18.48,7.234316458534436,14.396,17.104,20.465,16.096,20.58,237.756,8
3,32768,sequential,1000,21.4249,16.528,146.2494665347799,14.378,15.356,17.936,15.2515,19.054199999999998,4641.244,8
4,32768,sequential,1000,27.976817999999998,11.018,534.1727399826048,8.906,10.238,11.43,10.0779,12.714,16903.068,6
5,32768,sequential,1000,9.228686,8.9,1.051911328414542,7.228,8.526,10.026,8.2508,10.286,22.57,4
6,32768,sequential,1000,9.159688000000001,8.9,1.1600455509747607,7.302,8.282,9.95,8.2539,10.286,26.972,4
7,32768,sequential,1000,9.333598,9.17,1.0989121358317406,7.214,8.528,10.246,8.056,10.296,25.07,3
8,32768,sequential,1000,9.368456,9.229,1.131529718375778,7.246,8.6135,10.248,8.052,10.306,25.278,3
9,32768,sequential,1000,12.23994,11.931000000000001,1.3535551070524716,10.142,11.4695,12.8055,11.008,14.044,26.492,5
10,32768,sequential,1000,15.143304,14.596,1.3204889998719347,13.12,14.582,16.06,14.076,16.062,31.556,6
11,32768,sequential,1000,15.275331999999999,14.598,1.3984095677215223,13.118,14.594,16.06,14.086,16.064,33.094,6
12,32768,sequential,1000,14.980634,14.594,1.06800499845306,13.128,14.524,15.1355,14.0579,16.062,31.77,229
13,32768,sequential,1000,23.157414,23.042,1.2767811961439701,22.094,23.036,23.044,23.008,23.05,41.082,177
14,32768,sequential,1000,23.146592000000002,23.044,1.1257021732762706,22.092,23.042,23.046,23.032,23.0501,39.542,200
15,32768,sequential,1000,23.139528000000002,23.044,1.0678533232312086,22.1,23.038,23.044,23.034,23.052,38.2,67
16,32768,sequential,1000,23.132272,23.044,0.9837585979268465,22.09,23.044,23.046,23.034,23.052,38.138,184
17,32768,sequential,1000,23.161692,23.044,1.2493141458300114,22.09,23.042,23.046,23.034,23.052,40.352,151
18,32768,sequential,1000,23.14273,23.044,1.0990527685639522,22.092,23.042,23.046,23.034,23.052,37.806,169
19,32768,sequential,1000,23.153492,23.044,1.1890924719477636,22.088,23.042,23.046,23.034,23.052,38.094,187
20,32768,sequential,1000,23.142582,23.044,1.123668819934456,22.09,23.044,23.046,23.034,23.052,40.854,161
21,32768,sequential,1000,23.1393,23.044,1.0237365024391902,22.092,23.042,23.044,23.034,23.052,36.59,282
22,32768,sequential,1000,23.193126,23.044,1.7641103087123846,22.096,23.042,23.044,23.032,23.05,56.728,259
23,32768,sequential,1000,23.144436,23.044,1.074790055577166,22.096,23.044,23.046,23.036,23.052,39.782,183
24,32768,sequential,1000,23.15224,23.044,1.1867077659313272,22.09,23.042,23.044,23.034,23.05,38.324,222
25,32768,sequential,1000,23.139022,23.044,1.1287578437316774,22.086,23.042,23.044,23.034,23.05,36.998,184
26,32768,sequential,1000,23.161338,23.044,1.239783121333705,22.092,23.042,23.044,23.034,23.052,41.474,265
27,32768,sequential,1000,23.139238,23.044,1.0692869914228011,22.088,23.042,23.044,23.034,23.05,37.708,220
28,32768,sequential,1000,23.447784,23.044,1.4817754822927538,22.094,23.042,23.046,23.034,26.08,38.982,230
29,32768,sequential,1000,23.135460000000002,23.044,1.0530518708224408,22.092,23.044,23.0445,23.04,23.052,36.526,499
30,32768,sequential,1000,23.144738,23.044,1.0737246089626018,22.092,23.042,23.044,23.034,23.052,39.376,219
31,32768,sequential,1000,23.13177,23.044,1.0394741794146065,22.09,23.042,23.044,23.032,23.05,39.684,191
32,32768,sequential,1000,23.127382,23.044,1.1761979015368034,22.094,23.042,23.044,22.694,23.052,38.926,270
33,32768,sequential,1000,23.134158,23.044,1.0847411056571525,22.09,23.042,23.044,23.03,23.05,41.224,260
34,32768,sequential,1000,23.148344,23.044,1.1747116706550476,22.09,23.042,23.044,23.032,23.05,40.812,308
35,32768,sequential,1000,23.136214,23.044,1.2475958053382104,22.096,23.04,23.044,22.692,23.05,43.004,140
36,32768,sequential,1000,23.15421,23.044,1.2136431673427068,22.09,23.042,23.044,23.032,23.05,39.192,278
37,32768,sequential,1000,23.141234,23.044,1.0519520427967923,22.096,23.042,23.046,23.034,23.052,37.512,143
38,32768,sequential,1000,23.141042,23.044,1.1172796534709024,22.09,23.042,23.044,23.032,23.05,41.078,277
39,32768,sequential,1000,23.138158,23.044,1.0828933784565797,22.088,23.042,23.044,23.032,23.052,41.19,236
40,32768,sequential,1000,23.150946,23.044,1.16236366700718,22.098,23.042,23.044,23.032,23.05,36.958,304
