num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,50331648,random,1000,25.261776,25.02,6.744796947847407,20.812,23.884,25.712,23.88,26.0158,227.484,44
3,50331648,random,1000,28.514616,16.528,373.3724272518854,10.234,15.354,19.036,11.018,19.104,11823.192,7
4,50331648,random,1000,10.700446,10.28,1.266143557655526,9.676,10.236,11.02,10.234,11.02,40.096,8
5,50331648,random,1000,8.958198,8.9,1.0044545852400741,7.35,8.268,8.902,8.266,10.286,22.344,226
6,50331648,random,1000,9.208662,8.9,1.2415337110653546,7.228,8.268,10.01,8.266,10.286,25.73,4
7,50331648,random,1000,8.792424,8.898,1.5024820053499475,7.622,8.268,8.9,8.266,10.027199999999999,45.846,94
8,50331648,random,1000,8.818412,8.268,1.0833499625686047,7.21,8.19,8.9,8.05,10.342,24.152,194
9,50331648,random,1000,9.194124,8.9,1.0599882413006738,7.188,8.268,10.01,8.266,10.286,23.33,3
10,50331648,random,1000,11.56834,10.592,1.4838479332765502,9.932,10.548,13.016,10.524,13.018,27.392,4
11,50331648,random,1000,14.723232,14.338,1.6604076378105768,12.534,13.484,15.542,13.436,16.49,34.06,6
12,50331648,random,1000,14.034186,13.979,1.0382164739835573,13.148,13.54,14.29,13.46,14.628,29.918,12
13,50331648,random,1000,22.81262,22.498,1.2784211482262924,21.56,22.49,22.944,22.4759,23.708,37.708,60
14,50331648,random,1000,22.852232,22.538,1.5288665301598579,21.594,22.522,22.98,22.498,23.65,43.106,11
15,50331648,random,1000,22.894444,22.576,1.151729466336443,21.62,22.562,23.02,22.56,24.68,39.2,60
16,50331648,random,1000,22.711,22.596,1.3549557280682736,21.676,22.592,22.6,22.578,22.602,40.648,71
17,50331648,random,1000,22.89071,22.626,1.2672758689519927,21.68,22.618,22.646,22.598,23.716,40.186,240
18,50331648,random,1000,22.886598,22.648,1.3276096631969103,21.702,22.638,22.664,22.612,23.556,41.892,245
19,50331648,random,1000,22.936524,22.672,1.3263084058436074,21.728,22.66,22.692,22.646,23.534,42.082,281
20,50331648,random,1000,22.817256,22.682,1.4351471498789963,21.738,22.68,22.696,22.676,22.7,47.448,68
21,50331648,random,1000,23.203392,22.71,2.2420093515122255,21.764,22.696,23.2245,22.678,25.362,77.046,91
22,50331648,random,1000,38.872034,40.314,5.809545566956037,29.838,32.516,42.923500000000004,30.7356,46.9444,62.548,5
23,50331648,random,1000,45.877382,46.165,3.0732074440346637,37.996,44.293,47.367,41.4617,49.426500000000004,67.066,38
24,50331648,random,1000,52.5483,52.596999999999994,3.0513275205453834,46.058,51.3815,53.7255,47.0899,55.7445,74.728,106
25,50331648,random,1000,57.615678,57.549,3.0544652380091355,51.492,55.983,58.8685,53.327600000000004,60.9749,80.64,30
26,50331648,random,1000,64.644462,64.131,2.93074610693238,59.786,63.0535,65.4805,61.862,67.93220000000001,85.534,30
27,50331648,random,1000,67.04920800000001,67.199,3.717790585222838,60.048,64.864,68.67750000000001,61.671699999999994,71.7648,87.59,27
28,50331648,random,1000,72.88857,72.389,2.846088090083741,68.18,71.12299999999999,73.8985,69.9611,76.8631,91.714,33
29,50331648,random,1000,70.975754,68.476,5.324682459901509,67.052,67.528,71.5375,67.3159,84.11449999999999,99.1,114
30,50331648,random,1000,79.238518,79.416,4.562663270480937,73.632,74.6695,81.2995,73.9618,85.3427,128.66,16
31,50331648,random,1000,88.517986,88.0,3.2838945523928196,75.364,87.79,88.23,87.4476,92.0195,148.318,117
32,50331648,random,1000,86.112944,86.898,4.383128082163314,75.72,83.694,88.14500000000001,76.7053,92.0425,111.118,76
33,50331648,random,1000,86.550838,85.118,4.604582861137486,82.448,84.33149999999999,87.0965,83.4099,93.4179,135.744,56
34,50331648,random,1000,87.38939,87.009,3.730238130255012,82.096,84.6675,88.44,83.0311,94.9961,110.28,67
35,50331648,random,1000,85.811336,86.142,3.3427517880663262,81.966,83.3095,87.51150000000001,82.38170000000001,89.16300000000001,111.772,25
36,50331648,random,1000,84.196816,82.881,3.4013282134718725,82.128,82.614,83.671,82.3959,89.96539999999996,114.32,202
37,50331648,random,1000,85.57062,84.762,3.064085002819684,82.254,83.416,87.0085,82.7157,89.7865,115.33,28
38,50331648,random,1000,84.93597,83.983,3.0403418270854883,81.838,82.98,86.295,82.3998,89.4183,110.184,31
39,50331648,random,1000,89.858956,89.898,4.355643894512016,84.43,89.1885,90.577,85.4478,94.6425,170.924,261
40,50331648,random,1000,88.494686,87.90700000000001,3.847655509830152,82.498,85.56099999999999,89.69200000000001,83.7153,95.4001,110.578,41
