size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2097152,262144,random,1000,45.478224,45.196,2.516081128674127,40.718,43.897000000000006,46.667,42.519800000000004,48.7381,70.842,18
2127656,265957,random,1000,45.05097,44.856,2.0338693939906296,41.378,44.039,45.7665,42.8858,46.948100000000004,62.562,21
2158600,269825,random,1000,45.747306,45.495000000000005,1.9487817118714257,42.208,44.7415,46.3905,43.75,47.6361,62.578,20
2190000,273750,random,1000,46.501092,46.322,2.1155931191469173,42.65,45.457,47.2025,44.119499999999995,48.8484,64.302,27
2221848,277731,random,1000,46.852244,46.637,2.1285989800998406,42.648,45.764,47.4855,44.533899999999996,49.1285,62.766,26
2254168,281771,random,1000,47.365712,47.156000000000006,2.064990182424485,42.966,46.339,48.0215,45.100899999999996,49.472300000000004,63.02,30
2286960,285870,random,1000,47.98823,47.768,2.0731933189255742,43.8,46.9875,48.585,45.643699999999995,50.1541,63.294,34
2320224,290028,random,1000,49.593734,49.236000000000004,4.377555389533345,45.834,48.338,50.1005,47.2059,51.828399999999995,168.514,28
2353968,294246,random,1000,50.295272,49.933,4.439439369552414,46.346,49.0275,50.9105,47.6896,52.602,171.402,26
2388208,298526,random,1000,49.523572,49.502,2.3225896097484187,44.126,48.283,50.532,46.296800000000005,52.074,68.82,28
2422944,302868,random,1000,49.312516,49.253,2.380430703902149,44.016,47.8525,50.420500000000004,46.308800000000005,52.0983,68.248,21
2458192,307274,random,1000,51.019602,50.788,2.1690126134518706,47.3,49.9485,51.6535,48.7798,53.2184,68.002,26
2493944,311743,random,1000,52.42127,52.196,2.161846487458195,47.942,51.207,53.238,49.863499999999995,54.8381,68.35,22
2530216,316277,random,1000,53.471584,52.956,2.8576085711114616,48.704,51.8495,54.181,50.6208,57.7751,78.02,55
2567024,320878,random,1000,53.061956,52.617000000000004,3.026942172056972,46.932,51.0525,54.504000000000005,49.3318,57.7526,73.818,27
2604360,325545,random,1000,53.787412,53.521,2.4670196805782396,49.954,52.582,54.5055,51.3218,55.981199999999994,72.998,23
2642240,330280,random,1000,54.011966,53.665,2.5156661055869076,48.374,52.780499999999996,54.8065,51.2055,56.556,70.23,35
2680672,335084,random,1000,54.899396,54.458,2.7818524033416976,48.368,53.3035,55.8145,51.6696,59.1482,71.848,43
2719664,339958,random,1000,54.428334,54.394,2.485753066729025,49.292,53.123000000000005,55.537,50.9592,57.143,72.602,26
2759224,344903,random,1000,55.243036,55.33,2.9476335169172665,49.066,53.6215,56.47,51.3097,58.2883,74.184,25
2799360,349920,random,1000,54.593818,54.211,3.6867308949213484,49.718,52.782,55.798,51.350899999999996,57.8909,133.31,23
2840080,355010,random,1000,55.314438,55.05,3.6007865201535787,48.994,53.344500000000004,56.6485,51.8,58.456300000000006,117.686,26
2881384,360173,random,1000,55.655232,55.56,2.8500355901358567,50.378,53.936,56.842,52.2584,58.7363,81.174,24
2923296,365412,random,1000,56.694096,56.586,2.2739459881758717,51.004,55.6545,57.461,53.6512,58.8726,74.358,47
2965816,370727,random,1000,57.463604,57.480000000000004,2.9264836903652776,52.1,55.476,58.6385,53.5017,62.015499999999996,76.766,31
3008960,376120,random,1000,59.574636,59.144,4.1472342363695,54.47,58.059,60.394,56.7479,62.3244,165.042,29
3052720,381590,random,1000,59.345146,58.955,2.528250742014822,55.188,57.951,60.155,56.6792,62.477799999999995,80.606,31
3097128,387141,random,1000,59.748244,59.457,2.31601063679201,55.094,58.59,60.4145,57.2712,62.0767,76.414,30
3142176,392772,random,1000,60.165458,59.873999999999995,2.2600576494449904,55.922,59.0155,60.7935,57.833600000000004,62.6939,78.632,30
3187880,398485,random,1000,59.046436,59.129999999999995,2.6951368240600333,53.694,57.0595,60.572500000000005,55.445499999999996,62.0797,77.614,22
3234248,404281,random,1000,60.236346,59.771,3.1907064766449618,53.202,58.49,61.379,55.9043,65.60210000000001,78.046,48
3281288,410161,random,1000,60.77495,60.474000000000004,2.1615936909569253,56.438,59.659499999999994,61.513,58.4716,63.092999999999996,77.154,27
3329016,416127,random,1000,61.981,61.492,2.429894591072568,57.746,60.57,62.669,59.4214,65.6545,77.642,46
3377440,422180,random,1000,63.330462,62.179,3.5535491664298435,58.022,61.113,64.0775,59.8536,71.0471,85.164,104
3426568,428321,random,1000,63.153088,62.593,3.898567967915457,58.35,61.539,63.786500000000004,60.1954,67.5714,152.182,56
3476408,434551,random,1000,61.997104,61.967,3.1568145608121103,55.99,60.6875,62.9035,58.3611,64.432,118.354,35
3526968,440871,random,1000,61.952424,61.984,3.3983731579013425,56.498,60.062,63.176,58.1698,64.6111,120.75,28
3578272,447284,random,1000,62.54607,62.707,2.5362637924957894,57.21,61.131,63.5685,58.9318,65.1301,78.378,28
3630320,453790,random,1000,62.728532,62.917,2.6053450665683218,57.528,61.0415,63.934,59.204100000000004,65.396,78.168,28
3683128,460391,random,1000,63.039792,63.111,2.6263847908876197,57.898,61.2575,64.292,59.4598,66.06469999999999,78.75,28
3736696,467087,random,1000,63.738014,63.881,2.677778807733594,57.684,62.302,64.88300000000001,59.8819,66.4569,80.064,30
3791048,473881,random,1000,63.134312,63.118,2.7333271717970544,58.152,61.153000000000006,64.633,59.7997,66.5052,80.858,26
3846192,480774,random,1000,63.277888,62.625,2.843487958692146,58.182,61.283,64.8805,60.0998,66.9628,81.084,27
3902136,487767,random,1000,64.258076,64.366,2.6426961712004045,59.208,62.412,65.52350000000001,60.7977,67.2174,81.498,27
3958896,494862,random,1000,64.454312,64.556,2.895471593091944,59.29,62.5155,65.71199999999999,60.9058,67.1649,87.044,25
4016472,502059,random,1000,64.299944,64.13499999999999,2.637521033483158,59.438,62.444,65.748,61.078,67.4221,80.38,24
4074896,509362,random,1000,65.06443,65.24799999999999,2.760803059371065,59.87,63.083,66.3165,61.464,67.8278,80.974,28
4134168,516771,random,1000,65.76097,65.799,2.9651298930034047,60.36,64.14099999999999,66.905,62.1558,68.4183,115.81,29
4194304,524288,random,1000,63.263398,63.338,2.8073852299649626,57.402,61.3,64.594,59.7836,66.2741,79.604,27
4255312,531914,random,1000,63.430126,63.291,2.8115985777999475,58.444,61.428,64.7655,60.0316,66.638,79.434,29
4317200,539650,random,1000,63.767284,63.699,2.693164330198485,58.726,61.8975,65.1825,60.379400000000004,66.7984,80.796,25
4380000,547500,random,1000,63.624578,63.204,2.789679150669424,58.918,61.5995,65.15,60.3814,67.10149999999999,81.0,28
4443704,555463,random,1000,64.827494,65.015,3.598050071953458,58.688,62.4985,66.222,60.8618,67.9987,134.662,23
4508344,563543,random,1000,64.802544,64.749,4.398195018810272,59.704,62.548,66.3555,61.207699999999996,68.322,169.412,25
4573920,571740,random,1000,65.053072,65.086,2.797391712865971,59.406,62.948,66.6155,61.4994,68.3361,80.31,24
4640448,580056,random,1000,65.884426,65.938,3.365646444669213,60.326,63.797,67.176,61.9814,69.0128,115.472,28
4707944,588493,random,1000,65.59601,65.66,2.853159057695261,60.136,63.4715,66.962,62.058800000000005,68.4036,82.7,28
4776424,597053,random,1000,65.934978,65.995,2.942243052110701,61.122,63.873999999999995,67.3505,62.272,69.0784,84.378,29
4845896,605737,random,1000,66.170134,66.34,2.816897432493627,61.074,64.197,67.47749999999999,62.5882,69.139,85.014,27
4916384,614548,random,1000,67.086196,67.167,2.77486333719773,62.104,65.42150000000001,68.155,63.439699999999995,69.5431,86.738,29
4987896,623487,random,1000,66.98272,66.94999999999999,3.500605159981069,61.688,64.742,68.309,63.3279,70.0222,108.668,27
5060440,632555,random,1000,67.63177400000001,67.721,2.8952119599810335,61.416,66.221,68.6585,63.8134,70.0856,87.66,33
5134048,641756,random,1000,67.398068,67.408,3.1586649039351027,61.486,65.229,68.774,63.909099999999995,70.41199999999999,89.89,27
5208728,651091,random,1000,68.105394,68.209,3.1530005037964934,63.122,65.846,69.427,64.3415,71.33259999999999,87.438,30
5284488,660561,random,1000,67.440152,66.832,3.1838827048077594,62.476,65.354,68.9945,64.1351,70.7538,89.692,30
5361352,670169,random,1000,67.646406,67.08500000000001,2.9862711046176424,62.776,65.64,69.17450000000001,64.3733,71.0085,85.526,28
5439336,679917,random,1000,78.388506,73.414,13.3484216764836,64.958,70.371,78.8045,67.6287,111.45259999999998,136.216,152
5518456,689807,random,1000,146.12894,143.94,26.4242095121262,93.13,131.02100000000002,157.3445,106.1628,202.6997,226.958,80
5598720,699840,random,1000,157.34312,147.99,32.42712953913355,99.918,133.8485,182.1225,114.6237,215.8244,265.242,2
5680152,710019,random,1000,98.86698200000001,97.22399999999999,10.039345845256886,79.254,91.4295,103.789,85.5809,118.6173,139.396,23
5762776,720347,random,1000,172.055586,169.015,22.755907785270526,118.786,155.6725,191.0225,133.99699999999999,208.9444,231.742,0
5846600,730825,random,1000,81.944988,80.093,8.17648961145443,66.96,74.963,88.65899999999999,71.1223,95.41850000000001,109.126,0
5931640,741455,random,1000,121.126368,105.997,40.442312355418416,74.716,88.8495,144.4965,79.4587,203.6221,220.158,0
6017912,752239,random,1000,75.102752,74.195,3.5137897844272277,69.274,72.79249999999999,76.6875,71.31779999999999,80.89269999999999,96.812,35
6105448,763181,random,1000,90.069904,86.394,13.404829186688964,72.294,78.127,101.04350000000001,74.55170000000001,112.32789999999999,160.832,2
6194256,774282,random,1000,87.801868,88.074,9.474170033115955,72.45,78.782,94.37100000000001,74.8931,104.01629999999999,124.334,1
6284352,785544,random,1000,93.911006,95.366,13.546173016884413,70.928,80.683,105.126,74.4235,114.58779999999997,132.21,0
6375760,796970,random,1000,96.091888,84.61699999999999,26.82355449359997,70.188,75.836,109.233,72.4266,152.259,177.18,25
6468496,808562,random,1000,72.039264,71.514,3.9196582334396157,64.724,69.799,74.62049999999999,66.7294,77.4021,92.248,23
6562584,820323,random,1000,70.96688,71.074,3.000600588797765,65.136,69.693,72.0205,66.8595,73.42540000000001,89.192,45
6658040,832255,random,1000,71.245448,71.303,3.698058707687251,65.746,69.942,72.18549999999999,67.1471,73.7144,143.538,51
6754880,844360,random,1000,146.362022,125.22200000000001,43.60001865685833,103.148,115.3755,165.7505,108.0417,236.9871,278.848,38
6853136,856642,random,1000,132.793036,102.113,52.65977616352254,75.536,89.5515,197.62599999999998,80.6871,215.319,236.914,0
6952816,869102,random,1000,134.561272,120.78999999999999,38.26176892009713,84.798,102.65899999999999,171.759,89.75540000000001,199.7342,220.25,0
7053944,881743,random,1000,116.387424,108.351,25.95817926471275,80.034,95.1515,134.9645,85.73100000000001,166.81640000000002,185.34,0
7156552,894569,random,1000,72.530734,72.64099999999999,2.7977447619461278,66.976,71.48949999999999,73.4585,68.5555,74.8261,89.898,77
7260640,907580,random,1000,72.639666,73.095,3.1593093282988094,66.204,70.0745,74.222,68.317,75.9513,91.748,24
7366248,920781,random,1000,76.992978,74.99600000000001,8.32631473898559,66.444,72.67750000000001,77.434,68.9096,98.4755,117.088,135
7473400,934175,random,1000,73.448096,73.568,3.1711146404453507,67.388,71.3905,74.62450000000001,69.0594,79.0147,90.426,43
7582096,947762,random,1000,72.75475,73.12299999999999,3.0499815614237775,66.908,70.209,74.442,68.96459999999999,75.8806,88.734,25
7692384,961548,random,1000,73.47705,73.695,2.7537683383976876,67.984,72.08,74.5995,69.5115,75.9226,90.518,36
7804272,975534,random,1000,73.065146,73.52,3.204474950814001,67.194,70.4435,74.84,69.1994,76.48679999999999,89.688,26
7917792,989724,random,1000,81.8409,78.72,9.863580947866506,68.068,74.0795,91.083,69.82379999999999,97.4125,155.338,1
8032952,1004119,random,1000,73.657428,73.988,2.8160091783423766,67.828,71.6775,74.855,69.9256,76.1986,92.188,30
8149800,1018725,random,1000,74.7841,75.03800000000001,3.117628188787676,68.376,72.6495,76.022,70.7067,77.757,98.324,30
8268336,1033542,random,1000,75.095772,75.187,3.3934316032685943,67.402,73.5025,76.466,70.28529999999999,78.68090000000001,96.634,36
8388608,1048576,random,1000,78.162932,76.369,7.868780922899594,66.344,71.32650000000001,81.846,69.402,94.5295,109.368,22
8510616,1063827,random,1000,199.329712,199.22699999999998,15.299956273500491,158.998,188.322,209.897,175.4855,224.08849999999998,247.182,6
8634408,1079301,random,1000,73.07799,72.774,3.828315636479379,67.938,70.501,75.002,69.372,76.5351,139.64,21
8760000,1095000,random,1000,74.084306,74.233,3.3849508183142643,68.424,72.079,75.216,70.0473,77.23429999999999,121.372,29
8887416,1110927,random,1000,74.224376,74.306,2.807913318432004,68.256,73.3245,74.992,70.2915,76.1701,92.53,128
9016688,1127086,random,1000,75.026362,75.006,3.14387611428599,69.204,73.482,76.3405,70.5717,78.5291,97.92,30
9147840,1143480,random,1000,82.513156,75.471,20.471877209385077,68.666,72.001,79.03450000000001,70.32979999999999,134.2657999999999,180.324,174
9280896,1160112,random,1000,203.040998,203.149,17.080222810585795,168.52,189.48250000000002,216.268,176.42079999999999,229.3826,286.62,1
9415888,1176986,random,1000,74.213476,74.62100000000001,3.0366004669399334,68.922,71.80749999999999,75.637,70.50189999999999,77.005,96.016,28
9552848,1194106,random,1000,81.743998,81.711,3.7156358144335813,72.876,79.422,83.59700000000001,76.0799,86.6849,100.384,30
9691800,1211475,random,1000,75.64153,75.678,2.68393970338967,69.514,74.8275,76.402,71.6597,77.4532,93.306,129
9832768,1229096,random,1000,76.080618,76.394,3.283846817376839,70.746,73.541,77.519,71.7688,79.1604,95.512,27
9975792,1246974,random,1000,224.095002,222.392,14.968230594132198,186.562,212.942,234.94,201.24470000000002,248.8519,313.118,2
10120888,1265111,random,1000,76.477256,76.13,2.4972292887487493,73.08,75.4015,76.9105,74.4421,78.2401,100.104,32
10268104,1283513,random,1000,76.795896,76.445,2.2464505588366057,73.008,75.7415,77.3495,74.6079,78.6644,92.28,30
10417456,1302182,random,1000,76.899482,76.62100000000001,2.197582770616322,73.448,75.931,77.266,75.03290000000001,78.568,91.86,36
10568984,1321123,random,1000,77.015502,76.207,3.7544991202075995,73.14,75.40899999999999,77.286,74.2575,82.2845,151.426,121
10722712,1340339,random,1000,82.844038,79.377,8.037787633459633,73.618,76.6195,88.079,75.33609999999999,99.53679999999999,110.634,7
10878672,1359834,random,1000,76.643286,76.285,2.915837048927786,73.148,75.5885,76.976,74.67280000000001,78.30879999999999,136.18,35
11036912,1379614,random,1000,76.300564,75.945,2.5207295736527326,72.516,75.173,76.74199999999999,74.2097,78.0903,94.546,33
11197448,1399681,random,1000,76.722586,76.356,2.768162459106041,72.512,75.728,76.9625,74.9299,78.1285,125.314,37
11360312,1420039,random,1000,76.79041,76.417,2.381551608503155,72.316,75.86,77.04650000000001,75.0017,78.198,94.102,41
11525552,1440694,random,1000,77.10169,76.691,2.599888040228217,73.712,76.007,77.546,74.96379999999999,78.8851,94.576,32
