size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6468496,808562,sequential,1000,13.611938,13.695,1.54978978721004,10.568,12.418000000000001,14.8385,11.3858,14.93,29.256,5
6562584,820323,sequential,1000,8.729142,8.821,1.3260676888271394,6.792,7.8635,9.538,7.306,9.596,36.394,4
6658040,832255,sequential,1000,8.682536,8.701,1.1923029090507709,6.958,7.8175,9.532,7.3,9.5821,24.39,4
6754880,844360,sequential,1000,9.070278,9.151,1.2213423614531185,6.988,8.187,9.896,7.584,9.952,25.964,4
6853136,856642,sequential,1000,8.922694,8.987,1.135629270582704,7.06,8.0885,9.6085,7.5518,9.946,25.968,4
6952816,869102,sequential,1000,8.96008,9.022,1.1438170478879213,6.962,8.104,9.8505,7.5519,9.936,21.93,4
7053944,881743,sequential,1000,8.97227,8.989,1.131755447741911,7.058,8.0985,9.882,7.564,9.9441,25.152,3
7156552,894569,sequential,1000,8.854162,8.928,1.19409687928288,7.016,8.012,9.574,7.39,9.9381,25.186,5
7260640,907580,sequential,1000,8.690454,8.774000000000001,1.0879243104137297,6.692,7.8125,9.538,7.3059,9.59,21.514,4
7366248,920781,sequential,1000,8.750528,8.919,1.0936628894370202,6.77,7.8795,9.544,7.294,9.588,20.44,4
7473400,934175,sequential,1000,8.69656,8.798,1.093403307656051,6.706,7.8255,9.54,7.306,9.594,22.026,3
7582096,947762,sequential,1000,8.751084,8.857,1.1856565431786654,6.7,7.932,9.542,7.308,9.588099999999999,24.118,4
7692384,961548,sequential,1000,8.470932,8.506,1.0421802910893754,6.572,7.7045,9.224,7.064,9.5461,21.066,3
7804272,975534,sequential,1000,8.609324,8.575,1.0684756090576664,6.712,7.792,9.509,7.2859,9.588,22.708,3
7917792,989724,sequential,1000,8.43536,8.394,1.0729130611735682,6.562,7.619,9.22,7.0619000000000005,9.5461,19.944,4
8032952,1004119,sequential,1000,8.460298,8.600000000000001,0.9824833661496569,6.556,7.6850000000000005,9.216,7.072,9.256,20.85,3
8149800,1018725,sequential,1000,8.443938,8.469999999999999,0.9626549790889595,6.464,7.6815,9.216,7.086,9.262,18.664,4
8268336,1033542,sequential,1000,8.436362,8.559999999999999,0.9891976349127191,6.466,7.6275,9.212,7.06,9.258,20.35,3
8388608,1048576,sequential,1000,8.70585,8.786999999999999,1.0548907393526459,6.83,7.827500000000001,9.54,7.308,9.596,22.198,3
8510616,1063827,sequential,1000,8.744742,8.804,1.0328311854769363,6.708,7.9525,9.548,7.3059,9.9101,19.33,4
8634408,1079301,sequential,1000,8.439836,8.578,0.923358315976893,6.49,7.668,9.216,7.062,9.256,17.548,3
8760000,1095000,sequential,1000,8.729592,8.883,0.990457247484764,6.7,7.939500000000001,9.538,7.3038,9.592,19.264,3
8887416,1110927,sequential,1000,8.55348,8.76,0.9861391666778356,6.512,7.768,9.228,7.088,9.572,19.214,4
9016688,1127086,sequential,1000,8.686834,8.844000000000001,1.0360116701199,6.464,7.8815,9.524,7.3,9.582,21.726,3
9147840,1143480,sequential,1000,8.74294,8.888000000000002,1.0124600217765123,7.014,7.926,9.54,7.308,9.592,20.312,3
9280896,1160112,sequential,1000,8.429494,8.586,0.9260097115851161,6.784,7.604,9.206,7.056,9.254,18.066,3
9415888,1176986,sequential,1000,8.65769,8.779,1.0261877689961216,6.848,7.838,9.495,7.286,9.586,19.2,4
9552848,1194106,sequential,1000,8.714,8.836,1.0215752385252728,6.736,7.859,9.536,7.3019,9.588099999999999,21.5,3
9691800,1211475,sequential,1000,8.567798,8.567,1.0306527408726318,6.692,7.7595,9.454,7.2859,9.59,20.044,3
9832768,1229096,sequential,1000,8.511414,8.58,1.0194322059983325,6.508,7.7485,9.23,7.066,9.5501,19.252,4
9975792,1246974,sequential,1000,8.471396,8.588,0.9610237717527459,6.562,7.747,9.218,7.0679,9.268,19.192,3
10120888,1265111,sequential,1000,8.723818,8.777999999999999,1.004713764524317,6.682,7.9585,9.544,7.306,9.592,20.372,4
10268104,1283513,sequential,1000,8.715698,8.821,0.9471849830884083,6.716,7.8895,9.5425,7.3059,9.59,17.47,3
10417456,1302182,sequential,1000,8.576522,8.71,1.0389344677814594,6.516,7.77,9.25,7.0875,9.58,20.672,3
10568984,1321123,sequential,1000,8.920868,9.018,1.0980617916466606,6.714,8.096,9.604,7.4443,9.94,21.202,4
10722712,1340339,sequential,1000,8.734298,8.778,1.0134054676376272,6.736,7.996,9.54,7.3099,9.6,19.338,4
10878672,1359834,sequential,1000,8.309476,8.411,0.9676133199584227,6.27,7.574,8.9745,6.902,9.2722,20.528,2
