size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
103496016,12937002,sequential,1000,8.638552,8.690999999999999,1.3891492154692522,6.48,7.852,9.234,7.072,9.8407,27.654,7
105001400,13125175,sequential,1000,9.109158,9.219000000000001,1.3108451327284998,7.042,8.208,9.8765,7.4679,10.498199999999999,24.366,7
106528680,13316085,sequential,1000,9.17747,9.198,1.2868280668269454,6.726,8.314,9.8945,7.588,10.5981,24.15,12
108078176,13509772,sequential,1000,8.881584,8.942,1.1772678516542183,6.704,8.111,9.562,7.324,10.0504,22.838,6
109650208,13706276,sequential,1000,8.928916,9.033000000000001,1.2830364138961075,6.728,8.0915,9.5625,7.3159,10.1667,26.6,5
111245104,13905638,sequential,1000,8.830274,8.86,1.1390386200221227,6.794,8.0055,9.554,7.322,10.043599999999998,22.33,5
112863200,14107900,sequential,1000,9.119628,9.161000000000001,1.5961829888047765,6.876,8.207,9.6005,7.334,10.744399999999999,29.096,29
114504832,14313104,sequential,1000,8.563626,8.552,1.101474570906816,6.476,7.8235,9.23,7.0798,9.746,22.594,5
116170344,14521293,sequential,1000,9.159976,9.252,1.1041653338646837,7.296,8.317499999999999,9.908,7.578,10.450299999999999,22.986,3
117860080,14732510,sequential,1000,8.826954,8.916,1.139738412765637,7.032,7.9935,9.556,7.316,10.0442,22.654,3
119574400,14946800,sequential,1000,8.859776,9.011,1.1268082954783207,6.714,8.036,9.5585,7.314,9.9923,24.098,4
121313648,15164206,sequential,1000,8.83324,8.866,1.2097239049991226,7.118,8.038,9.5545,7.318,9.950199999999999,24.558,4
123078192,15384774,sequential,1000,8.74709,8.904,1.1605497816533747,6.8,7.958,9.438500000000001,7.2839,9.8525,22.75,4
124868408,15608551,sequential,1000,9.176756,9.327,1.3792778675451514,6.704,8.2895,9.806999999999999,7.5228,10.661499999999997,25.202,13
126684664,15835583,sequential,1000,9.114964,9.249,1.3397822715796919,6.956,8.272499999999999,9.85,7.562,10.436599999999999,25.73,6
128527336,16065917,sequential,1000,8.871934,8.948,1.294793049365297,6.728,8.011,9.562,7.318,10.090399999999999,25.89,6
130396808,16299601,sequential,1000,8.741876,8.837,1.1017594340301673,6.712,7.9675,9.498000000000001,7.2939,9.9001,24.72,3
132293472,16536684,sequential,1000,8.7233,8.791,1.0543500538417192,6.762,7.986,9.464,7.2999,9.8624,24.018,3
134217720,16777215,sequential,1000,8.630502,8.803,1.2530239698685197,6.422,7.888,9.23,7.088,9.760599999999998,26.116,4
136169968,17021246,sequential,1000,8.353582,8.472,1.2589644461829543,6.262,7.524,8.944,6.8418,9.5022,27.966,4
138150600,17268825,sequential,1000,9.16764,9.268999999999998,1.3662588677456748,6.714,8.256499999999999,9.626999999999999,7.3799,11.105799999999997,27.492,30
140160048,17520006,sequential,1000,9.042912,9.113,1.2448283953983337,6.778,8.2345,9.7625,7.5538,10.264999999999999,23.446,5
142198728,17774841,sequential,1000,9.129884,9.18,1.1884421792234392,6.962,8.2755,9.906,7.5919,10.3481,25.286,4
144267056,18033382,sequential,1000,8.862854,8.99,1.090684303973856,6.722,8.086,9.5565,7.3139,9.978,22.142,4
146365464,18295683,sequential,1000,8.594646000000001,8.705,1.0793375988708707,6.506,7.827500000000001,9.23,7.074,9.7487,23.24,4
148494400,18561800,sequential,1000,8.577218,8.758,1.0430691951264892,6.472,7.7995,9.23,7.058,9.6464,20.434,3
150654304,18831788,sequential,1000,8.441072,8.596,1.067696343675625,6.614,7.661,9.0315,6.9432,9.552399999999999,21.176,5
152845616,19105702,sequential,1000,8.9388,9.015999999999998,1.280584579348379,7.01,8.197000000000001,9.562,7.322,10.1183,25.016,7
155068808,19383601,sequential,1000,8.926878,9.038,1.0854367665092657,6.722,8.142,9.558,7.3358,10.1182,20.702,4
157324336,19665542,sequential,1000,8.51654,8.606,1.0386056663287226,6.79,7.7745,9.226,7.076,9.5801,22.684,3
159612672,19951584,sequential,1000,8.671168,8.71,1.2198709804667809,6.632,7.875500000000001,9.2505,7.2999,9.742,25.736,7
161934296,20241787,sequential,1000,8.411154,8.425,1.0978928330929922,6.32,7.6545,9.196,7.052,9.4522,25.95,3
164289680,20536210,sequential,1000,8.657686,8.705,2.390420525282464,6.518,7.739,9.234,7.0758,9.8783,74.294,4
166679328,20834916,sequential,1000,8.593798,8.683,1.2753668757905954,6.748,7.779,9.23,7.0658,9.822,26.15,6
169103736,21137967,sequential,1000,9.192812,9.174,1.443679182588098,7.05,8.266,9.846,7.5439,10.926,26.06,21
171563408,21445426,sequential,1000,8.829908,8.998999999999999,1.1567748889389324,6.474,7.9695,9.54,7.302,10.0602,21.954,5
174058856,21757357,sequential,1000,9.181176,9.299,1.5414343621824824,6.962,8.297,9.876,7.5558,10.5967,32.668,12
176590600,22073825,sequential,1000,9.022474,9.139,1.2778072885966767,6.746,8.199,9.572,7.3699,10.3727,27.55,12
179159168,22394896,sequential,1000,9.157436,9.245000000000001,1.1343020916577466,7.286,8.3415,9.908,7.58,10.2921,21.63,4
181765096,22720637,sequential,1000,8.951152,9.082,1.1348843868286618,6.728,8.089,9.5825,7.332,10.1242,19.918,6
184408936,23051117,sequential,1000,8.79921,8.837,1.064071879557422,6.946,8.042,9.55,7.3159,10.0361,22.676,2
187091224,23386403,sequential,1000,9.27992,9.434,1.1709929368096368,6.95,8.4435,9.928,7.596,10.652099999999999,24.766,11
189812528,23726566,sequential,1000,9.034934,9.094999999999999,1.252246165937075,6.754,8.188,9.795,7.5339,10.258499999999998,23.45,6
192573416,24071677,sequential,1000,8.847348,8.948,1.0629485530930096,6.716,8.047,9.554,7.314,10.024399999999998,19.672,4
195374456,24421807,sequential,1000,8.858978,8.953,1.111908998586277,6.982,8.0905,9.55,7.314,10.0482,21.012,4
198216248,24777031,sequential,1000,8.344914,8.418,1.2956970631607851,6.294,7.622,8.928,6.834,9.5061,26.648,7
201099368,25137421,sequential,1000,9.029828,9.144,1.1162022387783737,6.708,8.2025,9.586,7.3658,10.6063,18.474,14
204024424,25503053,sequential,1000,9.083904,9.163,1.100385932291023,7.104,8.247499999999999,9.888,7.5879,10.2821,22.232,5
206992032,25874004,sequential,1000,9.051828,9.128,1.106118223310664,7.176,8.1965,9.8345,7.5539000000000005,10.312299999999999,18.976,8
210002800,26250350,sequential,1000,8.873012,8.989,1.0613806823231753,6.742,8.0855,9.558,7.31,10.015099999999999,19.478,4
213057360,26632170,sequential,1000,9.086378,9.049,1.5783177157745927,6.898,8.095,9.574,7.322,10.816299999999995,27.162,33
216156352,27019544,sequential,1000,8.789288,8.91,1.134503545764116,6.58,8.02,9.528,7.314,9.8851,23.97,3
219300416,27412552,sequential,1000,8.89064,9.033999999999999,1.1563918715386063,7.008,8.044,9.5645,7.306,10.2302,19.866,4
222490216,27811277,sequential,1000,9.118676,9.18,1.2035517803201954,6.726,8.256499999999999,9.8085,7.5299000000000005,10.66,21.22,12
225726408,28215801,sequential,1000,8.867572,8.966999999999999,1.019573496581257,7.036,8.066,9.558,7.3299,10.0747,19.222,3
229009672,28626209,sequential,1000,8.9144,9.087,1.1609715237157536,6.822,8.1395,9.564,7.3339,10.084,25.256,4
232340696,29042587,sequential,1000,8.607702,8.774000000000001,1.112383397943362,6.722,7.8575,9.23,7.0916999999999994,9.7461,24.342,3
235720168,29465021,sequential,1000,9.420524,9.494,1.5936450313385067,6.998,8.5055,9.946,7.5979,11.1568,29.394,25
